Date,Open,High,Low,Close,Volume,OpenInt
20060824,46.945,47.037,46.851,47.037,39164,0
20060825,46.935,46.962,46.935,46.953,3658,0
20060828,47.298,47.409,47.298,47.353,538,0
20060829,47.381,47.567,47.195,47.521,18937,0
20060830,47.53,47.641,47.474,47.641,4733,0
20060831,47.632,47.818,47.632,47.818,5919,0
20060901,47.893,48.023,47.893,47.994,1290,0
20060905,47.994,48.004,47.864,47.948,5272,0
20060906,47.725,47.725,47.4,47.4,28404,0
20060907,47.4,47.4,47.121,47.316,14094,0
20060908,47.316,47.455,47.316,47.455,538,0
20060911,47.409,47.446,47.25,47.372,3552,0
20060912,47.493,51.154,47.214,47.994,12373,0
20060913,48.171,48.33,48.171,48.292,3444,0
20060914,48.144,48.227,48.06,48.144,11190,0
20060915,48.376,48.478,48.292,48.413,6457,0
20060918,48.33,48.395,48.236,48.236,4948,0
20060919,48.236,48.255,47.958,48.088,6134,0
20060920,48.413,48.441,48.357,48.357,10329,0
20060921,48.19,48.292,47.967,47.985,7639,0
20060922,47.837,47.874,47.632,47.864,4089,0
20060925,47.911,48.209,47.725,48.209,3014,0
20060926,48.171,48.525,48.171,48.516,11083,0
20060927,48.525,48.654,48.525,48.571,17755,0
20060928,48.738,48.738,48.506,48.646,12802,0
20060929,48.729,48.729,48.441,48.441,28297,0
20061002,48.468,48.608,48.348,48.348,5487,0
20061003,48.292,48.618,48.292,48.385,27436,0
20061004,48.413,48.952,48.413,48.952,6564,0
20061005,49.11,49.241,48.99,49.176,18937,0
20061006,48.943,49.138,48.943,49.064,14848,0
20061009,49.009,49.389,49.009,49.314,4625,0
20061010,49.417,49.472,49.371,49.472,3336,0
20061011,49.314,49.518,49.314,49.398,21196,0
20061012,49.574,49.862,49.574,49.862,9254,0
20061013,49.909,50.067,49.853,50.04,18614,0
20061016,50.178,50.393,50.178,50.355,17755,0
20061017,50.188,50.207,50.002,50.141,18398,0
20061018,50.458,50.458,50.178,50.178,17755,0
20061019,50.104,50.253,50.095,50.197,15710,0
20061020,50.132,50.132,49.983,50.002,20012,0
20061023,49.992,50.309,49.992,50.224,15496,0
20061024,50.234,50.374,50.216,50.346,18614,0
20061025,50.439,50.615,50.439,50.588,3874,0
20061026,50.661,50.857,50.494,50.857,6026,0
20061027,50.652,50.773,50.402,50.402,12159,0
20061030,50.476,50.596,50.29,50.485,24101,0
20061031,50.671,50.838,50.393,50.569,8607,0
20061101,50.671,50.671,50.188,50.253,19690,0
20061102,50.095,50.151,50.057,50.086,17969,0
20061103,50.327,50.337,49.936,50.086,17646,0
20061106,50.299,50.625,50.299,50.531,18506,0
20061107,50.569,50.765,50.531,50.588,20765,0
20061108,50.504,50.894,50.504,50.782,26361,0
20061109,50.848,50.941,50.69,50.69,19690,0
20061110,50.792,50.941,50.755,50.922,20765,0
20061113,50.941,51.136,50.913,51.034,35183,0
20061114,51.164,51.442,50.997,51.442,30019,0
20061115,51.536,51.703,51.517,51.592,17539,0
20061116,51.787,51.843,51.741,51.741,7531,0
20061117,51.638,51.759,51.573,51.759,8284,0
20061120,51.935,52.094,51.917,51.954,15496,0
20061121,52.038,52.205,52.038,52.196,15496,0
20061122,52.382,52.438,52.261,52.363,11190,0
20061124,52.242,52.428,52.196,52.428,5596,0
20061127,52.261,52.261,51.573,51.573,17969,0
20061128,51.359,51.693,51.359,51.638,10436,0
20061129,51.889,52.224,51.889,52.224,8069,0
20061130,52.336,52.652,52.215,52.558,3014,0
20061201,52.539,52.539,52.131,52.484,15063,0
20061204,52.652,52.948,52.623,52.948,12802,0
20061205,52.976,53.115,52.957,53.069,22703,0
20061206,53.078,53.181,53.022,53.115,4195,0
20061207,53.227,53.227,52.929,52.929,19259,0
20061208,52.966,53.06,52.828,52.939,5057,0
20061211,52.91,53.014,52.874,52.976,5702,0
20061212,52.976,53.05,52.744,52.966,7531,0
20061213,53.152,53.152,52.939,53.041,20443,0
20061214,53.143,53.366,53.143,53.301,9468,0
20061215,53.319,53.384,53.143,53.162,21088,0
20061218,53.171,53.255,52.828,52.845,28082,0
20061219,52.587,52.864,52.577,52.855,9362,0
20061220,52.966,53.106,52.966,53.004,11944,0
20061221,53.087,53.087,52.67,52.698,8823,0
20061222,52.252,52.372,52.159,52.177,10759,0
20061226,52.242,52.474,52.242,52.474,13018,0
20061227,52.763,52.845,52.708,52.845,25609,0
20061228,52.864,52.864,52.708,52.763,16785,0
20061229,52.716,52.735,52.522,52.539,25500,0
20070103,52.698,52.883,52.252,52.438,27544,0
20070104,52.419,52.503,52.15,52.466,37337,0
20070105,52.28,52.28,51.945,52.029,9577,0
20070108,51.917,52.103,51.778,52.01,25286,0
20070109,52.131,52.215,51.879,52.131,16785,0
20070110,51.908,52.317,51.908,52.288,25393,0
20070111,52.689,52.828,52.652,52.725,33678,0
20070112,52.773,52.929,52.708,52.901,20443,0
20070116,53.134,53.134,52.91,52.929,23133,0
20070117,52.92,53.171,52.92,53.078,12051,0
20070118,53.097,53.097,52.763,52.819,10006,0
20070119,52.836,53.125,52.781,53.125,7101,0
20070122,53.069,53.069,52.864,52.966,23240,0
20070123,53.087,53.422,53.041,53.255,16785,0
20070124,53.478,53.766,53.384,53.766,27866,0
20070125,53.747,53.747,53.292,53.319,33678,0
20070126,53.413,53.505,53.208,53.497,32278,0
20070129,53.58,53.72,53.505,53.562,16570,0
20070130,53.691,53.915,53.618,53.906,8500,0
20070131,53.85,54.426,53.794,54.37,21412,0
20070201,54.398,54.771,54.398,54.752,27114,0
20070202,54.854,55.003,54.826,54.993,15389,0
20070205,54.993,55.012,54.891,54.957,19474,0
20070206,55.179,55.31,54.974,55.31,14201,0
20070207,55.281,55.542,55.235,55.458,61652,0
20070208,55.3,55.393,55.235,55.356,26147,0
20070209,55.505,55.505,54.65,55.03,38089,0
20070212,54.919,54.919,54.537,54.64,25108,0
20070213,54.909,55.226,54.836,55.226,9006,0
20070214,55.31,55.663,55.272,55.542,21355,0
20070215,55.682,55.811,55.607,55.793,22165,0
20070216,55.811,55.839,55.607,55.839,20982,0
20070220,55.811,56.155,55.644,56.155,27436,0
20070221,55.997,56.146,55.849,56.146,35291,0
20070222,56.285,56.35,55.951,56.062,38950,0
20070223,55.997,55.997,55.811,55.96,29160,0
20070226,56.266,56.285,55.765,55.923,62660,0
20070227,55.356,55.356,53.933,54.213,44867,0
20070228,54.37,54.723,53.989,54.408,32707,0
20070301,53.505,54.445,53.199,54.268,68173,0
20070302,54.119,54.213,53.487,53.487,85646,0
20070305,52.939,53.227,52.652,52.652,31095,0
20070306,53.134,53.599,52.985,53.57,33248,0
20070307,53.543,53.766,53.376,53.441,13664,0
20070308,53.98,54.138,53.822,53.961,19690,0
20070309,54.194,54.249,53.887,54.063,11728,0
20070312,54.119,54.295,53.906,54.203,17969,0
20070313,53.952,54.017,53.078,53.143,31525,0
20070314,53.282,53.376,52.372,53.282,51539,0
20070315,53.497,53.804,53.441,53.756,18292,0
20070316,53.812,53.896,53.413,53.459,39164,0
20070319,53.887,54.073,53.72,53.998,18614,0
20070320,54.092,54.537,53.98,54.361,227458,0
20070321,54.435,55.3,54.314,55.207,58101,0
20070322,55.337,55.337,55.021,55.244,33785,0
20070323,55.058,55.486,55.058,55.402,27652,0
20070326,55.337,55.346,54.826,55.226,62835,0
20070327,54.993,54.993,54.761,54.928,19905,0
20070328,54.771,54.836,54.445,54.529,17107,0
20070329,54.919,54.919,54.51,54.705,10652,0
20070330,54.788,54.854,54.398,54.696,16355,0
20070402,54.872,55.133,54.752,55.039,63481,0
20070403,55.319,55.513,55.151,55.44,23133,0
20070404,55.375,55.44,55.272,55.384,40672,0
20070405,55.375,55.523,55.319,55.477,59932,0
20070409,55.69,55.69,55.477,55.569,20765,0
20070410,55.634,55.709,55.505,55.663,28082,0
20070411,55.69,55.69,55.244,55.327,26577,0
20070412,55.179,55.532,55.039,55.532,12910,0
20070413,55.616,55.709,55.411,55.699,19259,0
20070416,56.09,56.165,55.979,56.165,22273,0
20070417,56.23,56.396,56.155,56.256,80696,0
20070418,56.192,56.461,56.052,56.358,12802,0
20070419,56.1,56.368,56.071,56.23,11190,0
20070420,56.759,56.759,56.461,56.694,15389,0
20070423,56.861,56.963,56.759,56.815,24854,0
20070424,56.703,56.87,56.406,56.749,20228,0
20070425,57.093,57.298,56.768,57.279,15603,0
20070426,57.27,57.372,57.065,57.279,27222,0
20070427,57.149,57.214,56.972,57.121,25393,0
20070430,57.158,57.158,56.461,56.479,26147,0
20070501,56.489,56.61,56.118,56.582,22488,0
20070502,56.629,57.14,56.629,57.083,23348,0
20070503,57.168,57.419,57.168,57.344,309553,0
20070504,57.465,57.484,57.204,57.325,19690,0
20070507,57.372,57.447,57.363,57.4,26361,0
20070508,57.112,57.325,57.037,57.317,16678,0
20070509,57.27,57.697,57.214,57.661,21196,0
20070510,57.54,57.54,56.889,56.954,24960,0
20070511,57.056,57.409,57.056,57.409,5702,0
20070514,57.605,57.605,57.196,57.317,15925,0
20070515,57.325,57.614,57.028,57.056,30557,0
20070516,57.279,57.288,56.954,57.112,25717,0
20070517,57.01,57.344,56.972,57.177,15496,0
20070518,57.233,57.53,57.204,57.447,15496,0
20070521,57.465,57.837,57.428,57.697,95416,0
20070522,57.791,58.06,57.679,57.846,37875,0
20070523,58.115,58.19,57.67,57.67,40133,0
20070524,57.837,57.883,56.833,56.945,40456,0
20070525,57.177,57.363,57.037,57.233,20012,0
20070529,57.503,57.745,57.503,57.642,19045,0
20070530,57.465,58.33,57.419,58.33,19367,0
20070531,58.535,58.581,58.209,58.414,18398,0
20070601,58.673,58.841,58.664,58.785,9362,0
20070604,58.711,58.925,58.664,58.906,21088,0
20070605,58.823,58.823,58.414,58.497,25609,0
20070606,58.301,58.301,57.837,57.837,10759,0
20070607,57.474,57.679,56.721,56.721,27436,0
20070608,56.675,57.261,56.406,57.233,20443,0
20070611,57.223,57.503,57.083,57.298,14310,0
20070612,56.898,57.093,56.6,56.6,18184,0
20070613,56.778,57.325,56.778,57.325,20335,0
20070614,57.586,57.772,57.438,57.549,113297,0
20070615,58.023,58.153,57.818,57.893,89304,0
20070618,58.032,58.032,57.67,57.726,27330,0
20070619,57.642,57.818,57.447,57.745,28836,0
20070620,57.837,57.856,57.083,57.083,40349,0
20070621,57.093,57.382,56.713,57.298,21196,0
20070622,57.112,57.186,56.703,56.926,40780,0
20070625,56.972,57.056,56.256,56.471,57671,0
20070626,56.554,56.675,56.062,56.062,108027,0
20070627,55.876,56.694,55.774,56.694,38734,0
20070628,56.842,57.028,56.675,56.675,5487,0
20070629,56.907,57.131,56.442,56.675,21088,0
20070702,56.963,57.279,56.907,57.279,19045,0
20070703,57.493,57.632,57.465,57.54,24316,0
20070705,57.651,57.762,57.39,57.642,13018,0
20070706,57.67,57.948,57.465,57.93,10436,0
20070709,57.977,58.013,57.689,57.781,19367,0
20070710,57.54,57.54,56.805,56.805,26577,0
20070711,56.815,57.075,56.619,57.075,35937,0
20070712,57.279,57.856,57.279,57.781,27652,0
20070713,57.707,58.098,57.679,57.995,25717,0
20070716,57.902,58.088,57.762,57.791,15389,0
20070717,57.977,58.004,57.772,57.791,18720,0
20070718,57.4,57.54,57.121,57.493,16785,0
20070719,57.735,57.846,57.586,57.689,20982,0
20070720,57.651,57.651,56.73,56.796,13987,0
20070723,57.223,57.223,56.665,56.713,20012,0
20070724,56.34,56.396,55.327,55.523,38734,0
20070725,55.811,55.97,54.974,55.346,36475,0
20070726,54.733,54.742,53.534,54.64,69507,0
20070727,54.194,54.389,53.348,53.357,40456,0
20070730,53.311,53.887,53.097,53.654,30987,0
20070731,54.128,54.352,53.031,53.031,30127,0
20070801,53.041,53.282,52.14,53.19,47020,0
20070802,53.589,53.664,53.171,53.45,14848,0
20070803,53.384,53.384,51.797,51.805,29160,0
20070806,51.582,52.698,51.183,52.623,86506,0
20070807,52.336,53.171,52.336,52.976,34001,0
20070808,53.394,53.98,53.05,53.822,143639,0
20070809,52.874,53.246,52.326,52.372,34753,0
20070810,51.628,52.558,51.192,52.288,40780,0
20070813,52.92,53.014,52.456,52.466,12910,0
20070814,52.466,52.466,51.369,51.396,95437,0
20070815,51.21,51.852,50.272,50.42,58316,0
20070816,49.974,50.746,48.961,50.606,239185,0
20070817,51.647,52.708,50.55,51.87,85754,0
20070820,51.964,52.298,51.573,52.186,25393,0
20070821,51.862,52.558,51.862,52.531,11083,0
20070822,53.078,53.097,52.633,53.031,35722,0
20070823,53.199,53.236,52.708,52.939,25932,0
20070824,52.781,53.441,52.781,53.441,37120,0
20070827,53.394,53.394,52.828,52.828,21196,0
20070828,52.587,52.587,51.48,51.48,23133,0
20070829,52.038,52.605,51.768,52.605,20443,0
20070830,52.196,52.735,52.186,52.456,23885,0
20070831,52.957,53.292,52.716,53.069,129438,0
20070904,53.05,53.98,53.05,53.691,20765,0
20070905,53.134,53.208,52.828,53.022,18292,0
20070906,53.143,53.19,52.744,53.152,35613,0
20070907,52.419,52.493,52.094,52.215,20982,0
20070910,52.484,52.484,51.378,51.814,20335,0
20070911,52.075,52.391,51.973,52.391,21304,0
20070912,52.224,52.558,52.186,52.353,12051,0
20070913,52.493,52.81,52.363,52.67,123196,0
20070914,52.317,52.8,52.288,52.744,9793,0
20070917,52.652,52.716,52.363,52.568,25286,0
20070918,52.791,54.082,52.558,54.036,21842,0
20070919,54.566,54.938,54.305,54.537,44760,0
20070920,54.529,54.529,53.859,53.971,19259,0
20070921,54.184,54.23,53.971,53.971,17969,0
20070924,53.98,54.166,53.626,53.683,44544,0
20070925,53.487,53.618,53.217,53.589,29804,0
20070926,53.831,54.045,53.654,53.896,20982,0
20070927,54.138,54.268,54.008,54.268,15603,0
20070928,54.287,54.287,53.915,54.101,17861,0
20071001,54.175,54.984,54.175,54.965,49277,0
20071002,54.974,55.235,54.957,55.226,17969,0
20071003,55.095,55.235,54.844,54.984,11835,0
20071004,55.105,55.105,54.844,55.003,29483,0
20071005,55.375,55.811,55.272,55.728,54120,0
20071008,55.644,55.737,55.44,55.505,106412,0
20071009,55.532,55.839,55.411,55.839,20121,0
20071010,55.82,55.876,55.616,55.82,22488,0
20071011,55.951,56.183,55.281,55.513,29913,0
20071012,55.477,55.626,55.375,55.467,21842,0
20071015,55.634,55.747,54.742,54.957,23670,0
20071016,54.752,54.788,54.398,54.464,31525,0
20071017,54.798,54.798,53.85,54.314,26470,0
20071018,54.222,54.416,54.008,54.24,22488,0
20071019,54.101,54.101,53.031,53.031,39703,0
20071022,52.633,53.413,52.345,53.384,155369,0
20071023,53.608,53.766,53.19,53.691,65418,0
20071024,53.505,53.505,52.652,53.338,63050,0
20071025,53.524,53.691,52.763,53.413,101569,0
20071026,53.831,53.915,53.255,53.794,58747,0
20071029,54.036,54.119,53.747,53.859,30342,0
20071030,53.804,53.942,53.683,53.683,32062,0
20071031,54.008,54.352,53.701,54.305,14955,0
20071101,53.58,53.626,52.939,52.939,47343,0
20071102,53.208,53.208,52.233,52.595,65202,0
20071105,52.336,52.539,51.945,52.363,44409,0
20071106,53.236,53.236,52.112,52.892,23494,0
20071107,52.957,52.957,51.471,51.507,44197,0
20071108,51.759,51.898,50.894,51.797,50211,0
20071109,51.071,51.973,51.024,51.406,24265,0
20071112,51.48,51.749,50.838,50.838,19878,0
