Date,Open,High,Low,Close,Volume,OpenInt
20100914,94.114,94.698,93.693,94.296,64929,0
20100915,93.913,94.608,93.71,94.534,10145,0
20100916,94.278,94.552,93.985,94.497,65106,0
20100917,95.065,95.065,94.278,94.589,54214,0
20100920,94.937,96.126,94.68,96.126,20769,0
20100921,96.107,96.492,95.432,95.835,21074,0
20100922,95.687,96.126,95.138,95.32,19830,0
20100923,94.552,95.486,94.369,94.534,36453,0
20100924,95.119,95.998,95.046,95.942,26882,0
20100927,96.072,96.072,95.486,95.486,16440,0
20100928,95.467,96.107,94.644,96.107,54476,0
20100929,95.705,96.017,95.376,95.652,17363,0
20100930,96.267,96.707,95.144,95.511,48854,0
20101001,96.162,96.237,95.32,95.835,17671,0
20101004,96.327,96.327,94.716,95.028,96924,0
20101005,96.107,97.184,95.924,97.116,21676,0
20101006,97.116,97.262,96.657,96.951,302566,0
20101007,97.457,97.457,96.382,96.895,54493,0
20101008,97.023,97.68,96.694,97.623,68349,0
20101011,97.661,97.769,97.262,97.457,15495,0
20101012,97.35,98.146,96.767,98.037,45916,0
20101013,98.451,99.077,98.146,98.623,81318,0
20101014,98.564,98.663,97.739,98.244,20843,0
20101015,98.871,98.911,97.661,98.431,55290,0
20101018,98.491,99.226,98.323,99.137,24967,0
20101019,98.057,98.544,97.023,97.573,42122,0
20101020,97.866,98.98,97.866,98.623,24913,0
20101021,99.067,99.52,98.215,98.762,32091,0
20101022,98.98,99.019,98.782,99,27024,0
20101025,99.66,100.01,99.246,99.286,32304,0
20101026,98.762,99.346,98.722,99.266,16366,0
20101027,98.604,99.029,98.126,98.96,18692,0
20101028,99.52,99.58,98.623,99.029,21011,0
20101029,98.931,99.216,98.831,99.107,14763,0
20101101,99.67,100.14,98.623,99.156,56281,0
20101102,99.96,100.14,99.62,99.94,28495,0
20101103,100.14,100.36,99.117,100.36,34785,0
20101104,101.49,102.32,101.34,102.24,53508,0
20101105,102.4,102.76,102.21,102.63,45138,0
20101108,102.38,102.56,102.04,102.5,47423,0
20101109,102.65,102.76,101.4,101.71,38980,0
20101110,101.73,102.14,100.96,102.1,30790,0
20101111,101.29,101.84,101.05,101.76,26197,0
20101112,101.03,101.45,100.11,100.49,39231,0
20101115,100.94,101.15,100.34,100.42,221526,0
20101116,99.77,99.77,98.353,98.792,35847,0
20101117,98.891,99.246,98.643,98.871,46334,0
20101118,99.82,100.58,99.82,100.34,28473,0
20101119,100.22,100.6,99.79,100.56,22147,0
20101122,100.14,100.47,99.365,100.47,27680,0
20101123,99.346,99.415,98.762,99.067,155600,0
20101124,99.69,100.46,99.69,100.36,32859,0
20101126,99.71,100.12,99.58,99.79,25706,0
20101129,99.156,99.9,98.52,99.69,50216,0
20101130,98.802,99.63,98.673,99.009,100435,0
20101201,100.58,101.34,100.55,101.23,36394,0
20101202,101.34,102.58,101.34,102.54,66224,0
20101203,102.19,102.91,102.18,102.8,174137,0
20101206,102.63,102.88,102.48,102.67,70060,0
20101207,103.73,103.76,102.67,102.71,119074,0
20101208,102.86,103.18,102.45,103.14,75421,0
20101209,103.73,103.73,103.1,103.52,59896,0
20101210,103.85,104.22,103.62,104.14,74776,0
20101213,104.61,104.72,104.16,104.2,84167,0
20101214,104.43,104.65,104.01,104.25,65181,0
20101215,104.09,104.5,103.64,103.8,47638,0
20101216,103.93,104.46,103.52,104.39,66212,0
20101217,104.33,104.63,104.16,104.53,52496,0
20101220,104.8,105,104.29,104.76,79303,0
20101221,105.12,105.53,105.04,105.42,83216,0
20101222,105.57,105.79,105.47,105.79,118240,0
20101223,105.65,105.72,105.4,105.63,62689,0
20101227,104.74,105.27,104.68,105.23,78424,0
20101228,105.45,105.45,105.06,105.34,61857,0
20101229,105.54,105.64,105.43,105.43,58538,0
20101230,105.35,105.48,105.14,105.26,86180,0
20101231,105.02,105.38,104.94,105.38,122772,0
20110103,106.06,106.75,106.06,106.35,130229,0
20110104,106.66,106.66,105.71,106.27,118379,0
20110105,106.02,106.89,105.89,106.83,784295,0
20110106,106.92,107,106.35,106.64,79131,0
20110107,106.75,106.94,105.69,106.43,73167,0
20110110,106.04,106.41,105.69,106.33,136001,0
20110111,106.75,106.92,106.27,106.68,143899,0
20110112,107.37,107.74,107.17,107.64,117259,0
20110113,107.7,107.75,107.22,107.5,104951,0
20110114,107.35,108.29,107.32,108.26,181355,0
20110118,108.22,108.51,108.03,108.44,212948,0
20110119,108.38,108.44,107.09,107.37,122317,0
20110120,107.15,107.43,106.44,107.24,113009,0
20110121,107.86,108.11,107.39,107.5,108907,0
20110124,107.45,108.17,107.43,108.13,498118,0
20110125,107.8,108.17,107.26,108.09,247514,0
20110126,108.38,108.84,108.21,108.65,119378,0
20110127,108.6,108.99,108.42,108.8,324806,0
20110128,108.94,109.1,106.77,106.83,218697,0
20110131,107.29,107.8,107.02,107.72,153566,0
20110201,108.42,109.62,108.33,109.39,161068,0
20110202,109.12,109.51,109.12,109.22,99394,0
20110203,109.09,109.64,108.44,109.49,78907,0
20110204,109.49,109.84,109.07,109.79,97476,0
20110207,110.1,110.84,110.06,110.47,128954,0
20110208,110.62,111.01,110.36,110.99,167691,0
20110209,110.71,110.99,110.23,110.71,152579,0
20110210,110.18,110.87,109.97,110.74,136809,0
20110211,110.4,111.58,110.32,111.45,131168,0
20110214,111.39,111.78,111.26,111.73,100747,0
20110215,111.39,111.52,111.08,111.31,89756,0
20110216,111.75,112.19,111.63,112.05,103038,0
20110218,112.54,112.76,112.27,112.64,102525,0
20110222,111.41,112.01,110.04,110.32,315119,0
20110223,110.27,110.51,108.99,109.71,301551,0
20110224,109.51,109.97,108.58,109.6,263626,0
20110225,110.04,110.84,110,110.78,116191,0
20110228,111.17,111.59,110.88,111.44,227665,0
20110301,111.92,111.94,109.54,109.54,257161,0
20110302,109.45,110.32,109.35,109.86,192659,0
20110303,110.8,111.89,110.8,111.75,149079,0
20110304,111.71,111.71,110.18,110.91,184157,0
20110307,111.22,111.41,109.45,109.95,169558,0
20110308,110.2,111.3,109.79,110.97,116169,0
20110309,110.72,111.08,110.27,110.84,130967,0
20110310,109.71,109.71,108.67,108.8,292685,0
20110311,108.34,109.95,108.34,109.54,146800,0
20110314,108.86,109.14,108.04,108.9,159640,0
20110315,105.99,108.21,105.81,107.7,386156,0
20110316,107.32,107.59,104.91,105.65,371806,0
20110317,107.21,107.46,106.37,106.96,192500,0
20110318,108.34,108.34,107.21,107.44,139924,0
20110321,108.69,109.25,108.59,109.04,148973,0
20110322,108.97,109.18,108.61,108.65,150559,0
20110323,108.46,109.29,107.93,109.01,223040,0
20110324,109.66,110.16,109.09,110.04,121055,0
20110325,110.27,110.84,110.12,110.36,104773,0
20110328,110.65,110.9,110.1,110.14,181263,0
20110329,110,110.88,109.67,110.84,120672,0
20110330,111.41,111.92,111.34,111.6,114787,0
20110331,111.52,111.75,111.31,111.45,138694,0
20110401,112.18,112.46,111.7,111.98,76865,0
20110404,112.19,112.38,111.72,112.04,71098,0
20110405,111.75,112.44,111.75,112.04,223256,0
20110406,112.59,112.61,111.96,112.35,155407,0
20110407,112.2,112.61,111.57,112.16,116748,0
20110408,112.61,112.63,111.25,111.73,94482,0
20110411,111.87,112.18,111.15,111.34,151881,0
20110412,110.77,110.86,110.14,110.53,113952,0
20110413,111.09,111.13,110.14,110.57,201335,0
20110414,109.93,110.77,109.54,110.59,85539,0
20110415,110.77,111.26,110.51,110.97,86758,0
20110418,109.67,109.95,108.87,109.77,165285,0
20110419,109.97,110.44,109.69,110.44,85793,0
20110420,111.77,112.14,111.68,111.94,188431,0
20110421,112.5,112.5,112.1,112.42,217849,0
20110425,112.38,112.52,112,112.31,107656,0
20110426,112.72,113.53,112.63,113.29,92502,0
20110427,113.59,114.22,113.06,114.04,79201,0
20110428,113.91,114.54,113.87,114.4,72013,0
20110429,114.45,114.79,114.38,114.71,107850,0
20110502,115.23,115.31,114.28,114.46,142280,0
20110503,114.32,114.46,113.53,114.12,72559,0
20110504,114.1,114.1,112.86,113.32,116638,0
20110505,112.72,113.4,111.83,112.33,107619,0
20110506,113.44,114,112.4,112.86,150824,0
20110509,112.87,113.61,112.68,113.32,71906,0
20110510,113.64,114.43,113.55,114.26,190953,0
20110511,114.12,114.12,112.53,113.04,189703,0
20110512,112.77,113.76,112.18,113.66,123543,0
20110513,113.7,113.72,112.33,112.67,137469,0
20110516,112.33,113.08,111.81,111.98,123417,0
20110517,111.51,112.04,111.15,111.96,154901,0
20110518,112.07,113.04,111.87,112.99,80932,0
20110519,113.36,113.49,112.73,113.14,292133,0
20110520,112.95,113.06,112.16,112.36,103806,0
20110523,110.95,111.38,110.67,111.05,148157,0
20110524,111.38,111.57,110.78,110.95,97481,0
20110525,110.45,111.7,110.45,111.32,67744,0
20110526,111.03,111.98,110.8,111.77,70098,0
20110527,112.14,112.52,112.04,112.26,51768,0
20110531,113.35,113.4,112.53,113.38,187649,0
20110601,113.1,113.1,110.8,110.86,241460,0
20110602,110.95,111.15,110.15,110.73,230396,0
20110603,109.39,110.47,109.39,109.67,161445,0
20110606,109.45,109.56,108.41,108.51,123186,0
20110607,108.94,109.33,108.35,108.37,221568,0
20110608,108.21,108.54,107.8,107.93,95244,0
20110609,108.27,109.19,107.99,108.73,47135,0
20110610,108.33,108.35,107.01,107.23,116103,0
20110613,107.47,107.76,106.8,107.3,84737,0
20110614,108.3,109.08,108.3,108.67,82013,0
20110615,107.81,108.07,106.53,106.78,86694,0
20110616,106.82,107.48,106.21,106.99,71836,0
20110617,108.01,108.03,106.99,107.29,63934,0
20110620,106.95,108.07,106.93,107.89,58373,0
20110621,108.4,109.54,108.33,109.35,144075,0
20110622,109.08,109.63,108.64,108.7,115356,0
20110623,107.42,108.37,106.63,108.35,283649,0
20110624,108.37,108.4,106.97,107.16,123902,0
20110627,107.23,108.46,106.99,108.05,84262,0
20110628,108.52,109.48,108.4,109.44,64380,0
20110629,110.02,110.57,109.62,110.42,135668,0
20110630,110.79,111.64,110.67,111.48,135118,0
20110701,111.53,113.24,111.34,113.15,151035,0
20110705,113.06,113.24,112.7,112.96,99431,0
20110706,112.76,113.28,112.47,113.13,102669,0
20110707,114.16,114.63,113.98,114.38,211492,0
20110708,113.06,113.6,112.72,113.6,114315,0
20110711,112.18,112.55,111.25,111.5,100402,0
