Date,Open,High,Low,Close,Volume,OpenInt
20060206,44.386,44.386,43.62,43.62,73278,0
20060207,43.087,43.358,42.505,42.505,210029,0
20060208,42.437,43.232,42.1,43.223,571264,0
20060209,43.126,43.485,42.904,42.904,72969,0
20060210,42.583,42.729,42.09,42.437,272574,0
20060213,42.302,42.37,41.973,42.147,376405,0
20060214,41.954,42.971,41.556,42.874,659715,0
20060215,43.116,43.62,42.797,43.291,589429,0
20060216,43.707,43.815,43.213,43.795,261326,0
20060217,43.988,43.988,43.397,43.417,58830,0
20060221,43.727,43.844,43.203,43.678,251623,0
20060222,43.988,44.646,43.639,44.483,344306,0
20060223,43.776,44.551,43.776,44.191,317059,0
20060224,44.037,44.037,43.727,43.939,149137,0
20060227,43.824,44.182,43.505,43.873,310041,0
20060228,43.805,43.882,43.271,43.311,244813,0
20060301,43.136,43.407,43.067,43.407,171740,0
20060302,43.155,43.698,43.126,43.407,350189,0
20060303,43.077,43.077,42.7,42.719,466918,0
20060306,42.583,42.583,42.176,42.254,403756,0
20060307,41.818,41.818,41.217,41.488,483842,0
20060308,40.966,41.458,40.839,41.42,478374,0
20060309,41.488,41.497,40.587,40.675,580035,0
20060310,40.734,41.458,40.734,41.217,526161,0
20060313,41.595,41.895,41.401,41.497,466298,0
20060314,41.614,43.242,41.585,43.175,270100,0
20060315,43.058,43.32,42.729,42.884,324801,0
20060316,43.262,44.22,43.262,43.91,741044,0
20060317,44.143,44.947,44.143,44.705,451852,0
20060320,44.618,44.656,43.891,43.891,611926,0
20060321,43.407,43.776,42.99,43.038,115181,0
20060322,43.407,43.426,43.116,43.193,123957,0
20060323,43.551,44.589,43.551,44.308,938070,0
20060324,43.988,44.656,43.456,44.483,586644,0
20060327,44.637,44.85,44.483,44.541,342860,0
20060328,44.772,44.86,43.854,44.085,411083,0
20060329,43.939,44.376,43.882,44.133,21056,0
20060330,43.959,44.075,43.048,43.417,258952,0
20060331,43.368,43.368,43.116,43.358,9495,0
20060403,43.213,43.213,42.758,42.758,211785,0
20060404,42.874,43.213,42.826,43.213,439052,0
20060405,43.62,45.074,43.532,45.045,521002,0
20060406,44.492,44.695,44.24,44.589,175663,0
20060407,44.627,44.86,44.085,44.357,345958,0
20060410,44.328,44.376,43.863,43.882,218389,0
20060411,44.279,44.279,43.358,43.426,172050,0
20060412,43.116,43.252,42.71,42.797,364637,0
20060413,42.554,42.632,42.196,42.341,152027,0
20060417,42.534,42.632,41.847,42.147,135618,0
20060418,42.244,43.815,41.722,43.678,744861,0
20060419,43.668,43.668,42.923,43.213,267826,0
20060420,42.758,43.281,42.447,43.175,539681,0
20060421,43.407,43.407,42.69,42.865,211167,0
20060424,42.554,42.583,42.081,42.341,937554,0
20060425,41.993,42.119,41.266,41.294,743211,0
20060426,41.808,42.913,41.673,42.071,561872,0
20060427,40.539,41.43,40.47,41.266,285373,0
20060428,40.966,41.556,40.966,41.063,157498,0
20060501,41.179,41.189,40.539,40.578,362472,0
20060502,40.199,40.219,39.724,40.161,615543,0
20060503,39.968,40.597,39.968,40.209,385383,0
20060504,40.258,40.306,39.753,39.9,210133,0
20060505,40.451,41.313,40.104,41.034,750951,0
20060508,40.656,41.024,40.355,40.431,396116,0
20060509,40.228,40.403,39.978,40.007,100938,0
20060510,40.228,40.578,39.988,40.326,163692,0
20060511,39.861,40.027,39.094,39.094,815251,0
20060512,39.047,39.047,38.262,38.679,1220865,0
20060515,38.466,38.824,37.778,38.349,467333,0
20060516,38.495,38.495,37.477,37.632,273402,0
20060517,37.304,37.555,36.683,36.849,375784,0
20060518,37.4,38.077,36.915,37.001,678601,0
20060519,36.952,37.167,36.548,36.906,217770,0
20060522,36.712,36.712,35.695,36.217,391679,0
20060523,36.943,36.962,35.898,35.898,859733,0
20060524,35.947,36.791,35.568,36.323,151616,0
20060525,36.246,36.567,36.188,36.528,164825,0
20060526,36.866,36.952,36.722,36.8,268139,0
20060530,36.382,36.382,35.656,35.666,450097,0
20060531,35.656,35.859,35.365,35.559,631950,0
20060601,35.705,36.323,35.316,36.275,529258,0
20060602,36.411,36.499,35.394,35.666,351636,0
20060605,35.239,35.239,34.114,34.114,655585,0
20060606,33.864,33.864,32.603,33.186,1317982,0
20060607,33.912,33.912,32.875,32.933,846728,0
20060608,32.758,33.137,31.943,32.943,1069663,0
20060609,33.176,33.737,33.088,33.312,1035810,0
20060612,32.845,33.04,32.187,32.285,460314,0
20060613,32.128,32.623,31.529,31.529,474660,0
20060614,31.973,32.119,31.713,31.895,458869,0
20060615,32.285,33.428,32.255,33.233,677670,0
20060616,33.282,33.398,32.699,33.049,716275,0
20060619,32.797,32.982,32.119,32.372,618224,0
20060620,32.411,32.556,31.732,31.829,891211,0
20060621,31.732,32.923,31.732,32.613,912473,0
20060622,32.613,32.718,32.304,32.613,656824,0
20060623,32.372,33.04,32.236,32.797,264937,0
