Date,Open,High,Low,Close,Volume,OpenInt
20050225,27.802,28.029,27.7,28.01,1413837,0
20050228,27.983,28.001,27.7,27.846,222056,0
20050301,27.983,28.001,27.811,27.937,211521,0
20050302,27.937,28.082,27.709,28.02,244434,0
20050303,27.937,28.165,27.881,28.082,439498,0
20050304,28.192,28.565,28.192,28.476,1466831,0
20050307,28.621,28.712,28.528,28.612,455188,0
20050308,28.621,28.685,28.565,28.593,598142,0
20050309,28.439,28.565,28.285,28.285,411082,0
20050310,28.257,28.467,28.201,28.347,746910,0
20050311,28.257,28.511,28.192,28.275,520247,0
20050314,28.211,28.439,28.211,28.43,1626128,0
20050315,28.574,28.574,28.275,28.275,925189,0
20050316,28.22,28.239,27.872,27.946,1171926,0
20050317,28.029,28.091,27.9,27.937,440599,0
20050318,28.02,28.02,27.745,27.872,721129,0
20050321,27.974,28.029,27.727,27.964,447180,0
20050322,28.029,28.174,27.764,27.811,487226,0
20050323,27.718,27.802,27.62,27.637,1313238,0
20050324,27.718,27.983,27.7,27.774,472083,0
20050328,27.846,27.891,27.727,27.745,645208,0
20050329,27.709,27.802,27.253,27.29,1535947,0
20050330,27.517,27.811,27.454,27.811,928809,0
20050331,27.637,27.802,27.637,27.736,437307,0
20050401,27.811,27.937,27.382,27.471,1087231,0
20050404,27.444,27.517,27.272,27.444,550420,0
20050405,27.573,27.62,27.444,27.582,226990,0
20050406,27.48,27.755,27.48,27.592,358863,0
20050407,27.582,27.838,27.582,27.819,520466,0
20050408,27.736,27.829,27.536,27.536,737694,0
20050411,27.792,27.792,27.517,27.592,326937,0
20050412,27.435,27.863,27.262,27.811,515530,0
20050413,27.755,27.802,27.299,27.326,1142415,0
20050414,27.299,27.41,26.824,26.917,1503364,0
20050415,26.797,26.953,26.387,26.387,938574,0
20050418,26.342,26.614,26.251,26.47,907196,0
20050419,26.433,26.652,26.433,26.587,600887,0
20050420,26.661,26.708,26.26,26.315,1419544,0
20050421,26.433,27.015,26.433,27.015,1724868,0
20050422,27.163,27.163,26.47,26.698,542188,0
20050425,26.943,27.071,26.843,27.015,717837,0
20050426,26.843,27.071,26.642,26.67,608014,0
20050427,26.451,26.753,26.342,26.708,1514336,0
20050428,26.596,26.762,26.387,26.414,1398699,0
20050429,26.534,26.771,26.352,26.725,2717423,0
20050502,26.88,26.953,26.689,26.871,1066275,0
20050503,26.89,26.89,26.561,26.68,1803750,0
20050504,26.735,27.025,26.661,26.99,367421,0
20050505,26.862,27.053,26.788,26.852,703243,0
20050506,26.908,27.071,26.908,26.962,213717,0
20050509,26.805,27.144,26.805,27.144,565226,0
20050510,27.253,27.253,26.762,26.824,3393565,0
20050511,26.725,27.081,26.716,27.015,740547,0
20050512,27.2,27.2,26.698,26.725,1052232,0
20050513,26.843,26.862,26.396,26.587,3341893,0
20050516,26.525,26.962,26.525,26.962,425787,0
20050517,27.071,27.144,26.753,27.144,1261780,0
20050518,27.071,27.645,26.999,27.554,2967013,0
20050519,27.61,27.629,27.419,27.592,2503812,0
20050520,26.862,27.62,26.862,27.582,3724343,0
20050523,27.435,27.863,27.435,27.774,3858409,0
20050524,27.891,28.056,27.582,27.7,252114,0
20050525,27.645,27.709,27.391,27.463,1936832,0
20050526,27.573,27.718,27.48,27.662,951850,0
20050527,27.69,27.709,27.62,27.645,145368,0
20050531,27.545,27.672,27.48,27.573,206369,0
20050601,27.727,27.745,27.463,27.672,844113,0
20050602,27.601,27.745,27.582,27.672,113440,0
20050603,27.629,27.727,27.49,27.545,162700,0
20050606,27.536,27.601,27.454,27.564,644877,0
20050607,27.645,27.919,27.526,27.681,334615,0
20050608,27.662,27.764,27.49,27.509,174109,0
20050609,27.363,27.554,27.335,27.517,545041,0
20050610,27.391,27.637,27.344,27.48,1639842,0
20050613,27.499,27.681,27.41,27.526,475156,0
20050614,27.49,27.573,27.454,27.463,307189,0
20050615,27.554,27.554,27.29,27.49,657274,0
20050616,27.391,27.637,27.391,27.517,610980,0
20050617,27.4,27.783,27.4,27.672,1520589,0
20050620,27.499,27.672,27.499,27.573,607689,0
20050621,27.61,27.653,27.517,27.564,2243032,0
20050622,27.536,27.672,27.426,27.426,586294,0
20050623,27.382,27.382,26.871,26.871,1915325,0
20050624,26.917,26.935,26.544,26.698,888985,0
20050627,26.744,26.744,26.553,26.661,588488,0
20050628,26.753,27.144,26.753,27.125,899954,0
20050629,27.153,27.163,26.953,26.953,891726,0
20050630,27.025,27.109,26.744,26.78,1156021,0
20050701,26.981,26.981,26.788,26.871,1486248,0
20050705,26.88,26.999,26.698,26.953,962271,0
20050706,26.797,26.953,26.652,26.652,952506,0
20050707,26.279,26.762,26.279,26.716,887339,0
20050708,26.725,27.181,26.725,27.181,1877364,0
20050711,27.071,27.344,27.071,27.225,798254,0
20050712,27.163,27.2,27.071,27.081,544820,0
20050713,27.025,27.217,27.025,27.163,902150,0
20050714,27.354,27.471,27.326,27.41,936269,0
20050715,27.4,27.727,27.262,27.373,721676,0
20050718,27.225,27.444,27.208,27.317,900833,0
20050719,27.471,27.573,27.435,27.545,1150752,0
20050720,27.7,27.891,27.344,27.863,491613,0
20050721,27.881,27.974,27.7,27.718,1070227,0
20050722,27.709,27.891,27.69,27.802,761830,0
20050725,27.755,27.927,27.601,27.601,791121,0
20050726,27.727,27.802,27.645,27.736,481520,0
20050727,27.829,27.856,27.718,27.846,1253881,0
20050728,27.964,28.038,27.838,28.001,1105224,0
20050729,28.001,28.029,27.802,27.802,731658,0
20050801,27.872,27.9,27.736,27.783,554915,0
20050802,27.709,27.819,27.662,27.745,1072860,0
20050803,27.755,27.755,27.629,27.69,1391129,0
20050804,27.709,27.709,27.48,27.509,458042,0
20050805,27.391,27.536,27.344,27.363,692931,0
20050808,27.41,27.517,27.299,27.299,764903,0
20050809,27.373,27.573,27.373,27.499,510921,0
20050810,27.62,27.802,27.391,27.48,440707,0
20050811,27.41,27.727,27.41,27.709,480970,0
20050812,27.736,27.802,27.499,27.592,950204,0
20050815,27.517,27.709,27.4,27.645,641807,0
20050816,27.564,27.61,27.308,27.326,1085366,0
20050817,27.48,27.536,27.217,27.4,927054,0
20050818,27.253,27.426,27.253,27.281,520026,0
20050819,27.41,27.526,27.382,27.391,592547,0
20050822,27.373,27.637,27.363,27.444,598362,0
20050823,27.454,27.48,27.272,27.317,496880,0
20050824,27.281,27.454,27.081,27.099,501817,0
20050825,27.116,27.2,27.071,27.144,381025,0
20050826,27.163,27.163,26.962,26.999,1770835,0
20050829,26.999,27.163,26.852,27.163,284371,0
20050830,27.025,27.053,26.735,26.943,1814503,0
20050831,26.899,27.163,26.78,27.144,1158323,0
20050901,26.805,27.217,26.571,27.034,1098419,0
20050902,26.935,27.225,26.935,27.125,723432,0
20050906,27.025,27.463,27.025,27.444,897871,0
20050907,27.426,27.554,27.354,27.554,2168647,0
20050908,27.391,27.499,27.326,27.4,219422,0
20050909,27.4,27.582,27.4,27.554,296439,0
20050912,27.48,27.727,27.435,27.727,783115,0
20050913,27.653,27.727,27.526,27.61,680865,0
20050914,27.62,27.645,27.344,27.4,1981701,0
20050915,27.509,27.509,27.29,27.363,576199,0
20050916,27.419,27.49,27.217,27.444,1256076,0
20050919,27.363,27.363,26.962,27.081,1870018,0
20050920,27.4,27.4,26.899,26.899,692710,0
20050921,26.797,26.981,26.708,26.805,659578,0
20050922,26.771,26.999,26.716,26.917,4023633,0
20050923,26.953,27.181,26.862,27.116,2079451,0
20050926,27.163,27.344,26.962,27.081,1494586,0
20050927,26.943,27.29,26.943,27.225,1692613,0
20050928,27.234,27.299,27.053,27.234,166540,0
20050929,27.272,27.382,26.981,27.363,1173136,0
20050930,27.344,27.49,27.308,27.49,286783,0
20051003,27.582,27.582,27.281,27.326,994417,0
20051004,27.426,27.48,27.062,27.081,1784330,0
20051005,26.972,27.062,26.735,26.744,2879244,0
20051006,26.834,27.081,26.735,26.926,6767385,0
20051007,27.043,27.163,26.972,27.163,2604199,0
20051010,27.135,27.135,26.908,26.953,428748,0
20051011,26.843,27.043,26.771,26.805,445424,0
20051012,26.797,26.999,26.642,26.805,1164360,0
20051013,26.89,26.89,26.596,26.771,5379547,0
20051014,26.871,27.053,26.78,27.007,2008032,0
20051017,27.234,27.234,26.862,27.062,4240858,0
20051018,27.081,27.081,26.815,26.871,1283833,0
20051019,26.843,27.225,26.708,27.225,1624812,0
20051020,27.071,27.382,26.797,26.88,494246,0
20051021,26.908,26.99,26.652,26.698,1135832,0
20051024,26.708,27.135,26.708,27.109,2678802,0
20051025,27.153,27.244,26.88,27.071,852235,0
20051026,26.953,27.125,26.834,26.834,1378182,0
20051027,26.981,26.981,26.544,26.596,888985,0
20051028,26.744,27.025,26.614,27.025,926174,0
20051031,27.09,27.2,27.034,27.099,1469792,0
20051101,27.208,27.208,26.981,27.015,761500,0
20051102,26.99,27.317,26.871,27.29,965671,0
20051103,27.435,27.536,27.363,27.41,796718,0
20051104,27.48,27.499,27.308,27.426,727271,0
20051107,27.526,27.573,27.363,27.526,326828,0
20051108,27.344,27.444,27.308,27.354,295669,0
20051109,27.391,27.573,27.317,27.419,616574,0
20051110,27.49,27.802,27.4,27.774,309931,0
20051111,27.662,27.872,27.662,27.829,550963,0
20051114,27.819,27.9,27.792,27.881,218214,0
20051115,28.02,28.029,27.802,27.872,921568,0
20051116,27.937,28.038,27.927,27.974,971379,0
20051117,28.074,28.275,27.91,28.239,468024,0
20051118,28.347,28.593,28.347,28.528,862873,0
