Date,Open,High,Low,Close,Volume,OpenInt
20050225,18.403,18.551,18.355,18.505,624492,0
20050228,18.468,18.634,18.384,18.449,913000,0
20050301,18.587,18.708,18.533,18.671,644926,0
20050302,18.569,18.764,18.495,18.625,488454,0
20050303,18.596,18.68,18.412,18.486,435036,0
20050304,18.403,18.699,18.403,18.606,805404,0
20050307,18.495,18.902,18.495,18.745,584914,0
20050308,18.68,18.855,18.587,18.587,798699,0
20050309,18.403,18.717,18.403,18.551,1023408,0
20050310,18.495,18.652,18.43,18.634,619084,0
20050311,18.505,18.727,18.347,18.393,611729,0
20050314,18.393,18.486,18.311,18.468,701486,0
20050315,18.468,18.569,18.283,18.283,355555,0
20050316,18.264,18.311,18.042,18.097,612922,0
20050317,18.07,18.181,18.032,18.088,364205,0
20050318,18.032,18.144,17.922,17.987,1456930,0
20050321,17.996,18.088,17.894,17.987,918191,0
20050322,17.987,18.078,17.784,17.829,1670286,0
20050323,17.663,17.996,17.663,17.903,716192,0
20050324,17.847,18.088,17.847,17.912,487156,0
20050328,17.931,18.134,17.931,17.931,697484,0
20050329,17.801,18.013,17.756,17.791,795674,0
20050330,17.82,18.107,17.82,18.061,1005132,0
20050331,18.061,18.171,18.013,18.088,589996,0
20050401,18.032,18.217,17.894,17.931,2211726,0
20050404,17.894,18.051,17.837,17.996,1042006,0
20050405,18.061,18.107,18.013,18.032,589887,0
20050406,18.116,18.181,17.996,18.005,490076,0
20050407,18.023,18.254,18.023,18.245,712188,0
20050408,18.273,18.292,18.088,18.116,461527,0
20050411,18.199,18.199,17.996,18.013,775342,0
20050412,17.996,18.144,17.81,18.125,686778,0
20050413,18.051,18.088,17.801,17.866,852119,0
20050414,17.791,17.837,17.597,17.615,717595,0
20050415,17.395,17.422,17.071,17.081,1507319,0
20050418,17.154,17.246,17.081,17.099,2208696,0
20050419,17.312,17.348,17.201,17.312,764205,0
20050420,17.525,17.525,17.09,17.154,859903,0
20050421,17.246,17.625,17.246,17.615,1585613,0
20050422,17.478,17.562,17.284,17.403,703322,0
20050425,17.496,17.615,17.459,17.525,851687,0
20050426,17.459,17.663,17.385,17.403,582318,0
20050427,17.293,17.553,17.293,17.468,461422,0
20050428,17.395,17.496,17.293,17.293,389833,0
20050429,17.468,17.506,17.228,17.45,458176,0
20050502,17.534,17.597,17.385,17.431,341929,0
20050503,17.422,17.615,17.422,17.553,308190,0
20050504,17.597,17.747,17.525,17.672,449309,0
20050505,17.672,17.775,17.58,17.644,778153,0
20050506,17.709,17.756,17.663,17.69,379346,0
20050509,17.737,17.791,17.615,17.766,293698,0
20050510,17.719,17.728,17.525,17.58,373829,0
20050511,17.58,17.719,17.431,17.663,2006481,0
20050512,17.7,17.847,17.615,17.681,325707,0
