Date,Open,High,Low,Close,Volume,OpenInt
20050225,31.412,31.617,31.364,31.579,290496,0
20050228,31.579,31.617,31.299,31.45,492636,0
20050301,31.45,31.852,31.45,31.806,384408,0
20050302,31.673,31.991,31.664,31.825,353746,0
20050303,32.01,32.01,31.683,31.787,110898,0
20050304,31.825,32.086,31.825,32.058,199040,0
20050307,32.058,32.198,32.039,32.086,162823,0
20050308,32.105,32.115,31.879,31.917,754496,0
20050309,31.87,31.87,31.515,31.562,551823,0
20050310,31.544,31.721,31.469,31.617,511654,0
20050311,31.73,31.787,31.488,31.579,184832,0
20050314,31.571,31.664,31.478,31.626,404598,0
20050315,31.825,31.954,31.664,31.664,1140827,0
20050316,31.589,31.589,31.336,31.478,288252,0
20050317,31.506,31.617,31.469,31.506,1047341,0
20050318,31.498,31.498,31.141,31.28,956635,0
20050321,31.308,31.308,30.927,31.131,684623,0
20050322,31.308,31.308,30.85,30.869,285795,0
20050323,30.793,30.908,30.718,30.766,348829,0
20050324,30.747,31.008,30.747,30.812,343273,0
20050328,30.86,31.122,30.841,31.026,539857,0
20050329,30.888,31.008,30.617,30.636,288035,0
20050330,30.655,31.131,30.655,31.131,750863,0
20050331,30.982,31.217,30.982,31.036,1123732,0
20050401,31.169,31.326,30.718,30.793,771699,0
20050404,30.747,30.963,30.598,30.879,374257,0
20050405,30.936,31.131,30.936,31.065,286650,0
20050406,31.261,31.261,30.898,30.936,610585,0
20050407,30.888,31.112,30.812,31.074,221048,0
20050408,31.055,31.141,30.793,30.831,496480,0
20050411,30.927,30.927,30.655,30.664,230665,0
20050412,30.747,31.018,30.437,30.954,1475872,0
20050413,30.793,30.898,30.418,30.485,314960,0
20050414,30.418,30.485,30.046,30.063,314854,0
20050415,29.952,29.952,29.419,29.456,1873847,0
20050418,29.391,29.558,29.316,29.511,1774809,0
20050419,29.53,29.801,29.436,29.549,658018,0
20050420,29.456,29.52,29.026,29.064,195088,0
20050421,29.52,29.801,29.343,29.783,303207,0
20050422,29.857,29.857,29.127,29.335,372439,0
20050425,29.539,29.634,29.4,29.595,537291,0
20050426,29.436,29.7,29.391,29.391,498404,0
20050427,29.436,29.558,29.156,29.427,1173625,0
20050428,29.203,29.391,28.987,28.997,341350,0
20050429,29.184,29.211,28.659,29.064,846913,0
20050502,29.876,29.876,29.054,29.211,278422,0
20050503,29.165,29.475,29.108,29.325,605881,0
20050504,29.577,29.962,29.465,29.952,1285270,0
20050505,29.905,30.091,29.7,29.774,415817,0
20050506,30.091,30.091,29.718,29.774,296586,0
20050509,29.838,29.943,29.737,29.943,210899,0
20050510,29.718,29.801,29.53,29.577,227353,0
20050511,29.577,29.681,29.297,29.568,676930,0
20050512,29.577,29.774,29.409,29.419,437721,0
20050513,29.391,29.643,29.23,29.4,644344,0
20050516,29.4,29.765,29.4,29.765,272864,0
20050517,29.811,30.063,29.783,30.019,450754,0
20050518,30.261,30.672,30.166,30.608,196156,0
20050519,30.645,30.888,30.598,30.85,1065825,0
20050520,30.073,30.822,30.073,30.766,191029,0
20050523,30.699,31.055,30.699,30.963,327035,0
20050524,30.954,30.954,30.793,30.908,547762,0
20050525,30.803,30.898,30.672,30.812,734517,0
20050526,30.888,31.018,30.831,30.972,360474,0
20050527,31.026,31.026,30.917,30.972,527679,0
20050531,30.927,30.945,30.775,30.86,1158987,0
20050601,30.982,31.122,30.784,30.99,715074,0
20050602,30.869,31.217,30.869,31.15,190282,0
20050603,31.065,31.236,30.869,30.927,252781,0
20050606,30.972,31.026,30.879,30.972,396798,0
20050607,30.917,31.326,30.917,31.018,215281,0
20050608,31.122,31.141,30.869,30.888,426713,0
20050609,30.841,31.083,30.727,31.008,455135,0
20050610,30.999,31.074,30.85,31.008,481953,0
20050613,31.026,31.226,30.879,31.055,379599,0
20050614,30.999,31.459,30.999,31.383,335578,0
20050615,31.459,31.554,31.198,31.383,282268,0
20050616,31.364,31.534,31.364,31.45,126605,0
20050617,31.498,31.664,31.459,31.534,164317,0
20050620,31.355,31.598,31.326,31.554,217310,0
20050621,31.683,31.683,31.431,31.571,412400,0
20050622,31.589,31.712,31.412,31.562,510260,0
20050623,31.498,31.571,31.008,31.008,229062,0
20050624,30.982,30.982,30.718,30.737,667316,0
20050627,30.655,30.775,30.589,30.598,712083,0
20050628,30.664,31.055,30.664,31.026,183977,0
20050629,31.026,31.026,30.822,30.841,487720,0
20050630,30.936,31.026,30.681,30.681,329275,0
20050701,30.841,30.85,30.664,30.756,715286,0
20050705,30.841,31.074,30.672,31.045,275325,0
20050706,30.936,31.026,30.727,30.766,231948,0
20050707,30.504,30.888,30.372,30.86,438893,0
20050708,30.936,31.345,30.86,31.336,1087511,0
20050711,31.336,31.562,31.336,31.506,341029,0
20050712,31.579,31.787,31.45,31.712,594984,0
20050713,31.852,31.852,31.562,31.626,187182,0
20050714,31.87,31.991,31.721,31.796,260688,0
20050715,31.806,32.001,31.739,31.926,208977,0
20050718,31.825,32.039,31.73,31.954,349148,0
20050719,32.058,32.17,31.973,32.152,1178646,0
20050720,32.077,32.3,31.888,32.272,821380,0
20050721,32.291,32.386,32.086,32.198,252032,0
20050722,32.198,32.405,32.152,32.357,158764,0
20050725,32.338,32.506,32.105,32.105,318272,0
20050726,32.281,32.386,32.179,32.367,247440,0
20050727,32.434,32.452,32.188,32.452,269341,0
20050728,32.515,32.788,32.515,32.778,467420,0
20050729,32.76,32.778,32.424,32.424,497975,0
20050801,32.478,32.563,32.386,32.434,282910,0
20050802,32.487,32.591,32.434,32.591,225859,0
