Date,Open,High,Low,Close,Volume,OpenInt
20060622,35.34,35.417,35.205,35.398,5345,0
20060623,35.559,35.559,35.559,35.559,26219,0
20060627,34.996,35.073,34.881,34.891,74457,0
20060628,34.996,34.996,34.672,34.881,43520,0
20060629,35.205,35.768,34.977,35.768,145765,0
20060630,35.96,35.96,35.807,35.873,397552,0
20060705,35.578,35.578,35.13,35.417,122695,0
20060706,35.454,35.617,35.388,35.617,89347,0
20060707,35.34,35.568,35.263,35.34,133183,0
20060710,35.578,35.816,35.444,35.568,365568,0
20060711,35.283,35.578,35.054,35.568,101196,0
20060712,35.436,35.436,34.71,34.739,131086,0
20060713,34.396,34.539,34.129,34.234,294784,0
20060714,34.092,34.092,33.576,33.748,138843,0
20060717,33.813,34.1,33.756,33.871,59040,0
20060718,33.833,33.833,32.976,33.386,209317,0
20060719,33.642,34.282,33.642,34.186,154575,0
20060720,34.31,34.319,33.756,33.756,266992,0
20060721,33.5,33.518,33.231,33.328,173347,0
20060724,33.765,34.119,33.709,34.072,137271,0
20060725,34.338,34.51,33.957,34.396,664967,0
20060726,34.024,34.033,33.709,33.709,251579,0
20060727,33.672,33.804,33.25,33.26,38067,0
20060728,33.386,33.738,33.367,33.652,486900,0
20060731,33.909,34.148,33.784,33.967,842400,0
20060801,33.537,33.557,33.109,33.289,165481,0
20060802,33.48,33.576,33.26,33.414,726312,0
20060803,33.212,34.386,33.212,34.176,1006941,0
20060804,34.681,34.825,34.014,34.225,501477,0
20060807,33.919,34.186,33.862,34.1,488157,0
20060808,33.986,34.129,33.557,33.557,361374,0
20060809,33.948,33.957,33.203,33.203,883405,0
20060810,33.27,34.005,33.241,33.967,672830,0
20060811,33.967,33.986,33.765,33.765,153106,0
20060814,34.119,34.328,33.986,34.024,101089,0
20060815,34.367,34.72,34.319,34.72,294677,0
20060816,34.91,35.51,34.758,35.388,589780,0
20060817,35.417,35.912,35.398,35.588,442646,0
20060818,35.759,35.759,35.322,35.607,448308,0
20060821,35.083,35.13,34.986,35.093,221795,0
20060822,35.064,35.064,34.825,34.91,212988,0
20060823,34.758,34.825,34.328,34.443,548143,0
20060824,34.092,34.092,33.842,33.967,336835,0
20060825,33.88,33.919,33.681,33.862,782207,0
20060828,34.186,34.462,34.186,34.196,326767,0
20060829,34.425,34.501,34.119,34.481,534825,0
20060830,34.481,34.605,34.396,34.596,276744,0
20060831,34.758,34.778,34.615,34.653,524861,0
20060901,34.73,34.9,34.539,34.835,225886,0
20060905,34.881,35.112,34.881,35.102,279054,0
20060906,34.92,34.949,34.644,34.653,586630,0
20060907,34.681,34.977,34.425,34.72,519830,0
20060908,34.749,35.283,34.72,35.283,972334,0
20060911,35.102,35.778,34.996,35.656,143251,0
20060912,35.797,36.665,35.788,36.589,410451,0
20060913,36.56,36.818,36.465,36.733,813146,0
20060914,36.752,36.827,36.465,36.761,577298,0
20060915,37.124,37.124,36.665,36.827,389057,0
20060918,36.771,37.067,36.627,36.903,424818,0
20060919,37.114,37.162,36.636,37.162,870298,0
20060920,37.561,37.894,37.542,37.762,240251,0
20060921,38,38,37.171,37.313,245289,0
20060922,37.048,37.266,36.818,37.246,755885,0
20060925,37.439,37.884,37.198,37.884,527168,0
20060926,37.884,38.02,37.658,37.942,193166,0
20060927,37.991,38.134,37.658,37.799,271711,0
20060928,37.952,37.981,37.476,37.981,432369,0
20060929,38.029,38.029,37.429,37.467,515424,0
20061002,37.467,37.913,37.352,37.571,103295,0
20061003,37.39,38.173,37.361,38.106,345016,0
20061004,37.971,38.821,37.857,38.802,521191,0
20061005,38.554,38.783,38.286,38.764,1111910,0
20061006,38.381,38.497,38.164,38.352,434048,0
20061009,38.173,38.735,38.125,38.611,156881,0
20061010,38.629,38.802,38.516,38.573,838624,0
20061011,38.583,38.716,38.468,38.545,46876,0
20061012,38.716,39.42,38.716,39.411,126573,0
20061013,39.354,39.497,39.316,39.459,68897,0
20061016,39.43,39.602,39.316,39.535,139475,0
20061017,39.497,39.497,38.783,39.145,141675,0
20061018,39.65,39.65,39.02,39.155,380144,0
20061019,39.194,39.354,38.896,38.972,141257,0
20061020,39.155,39.155,38.811,38.972,92806,0
20061023,39.02,39.783,38.934,39.67,426916,0
20061024,39.717,39.765,39.326,39.574,331905,0
20061025,39.67,39.726,39.068,39.25,262485,0
20061026,39.449,39.945,39.194,39.945,47085,0
20061027,39.602,39.832,39.372,39.372,335367,0
20061030,39.117,39.841,39.117,39.775,272447,0
20061031,39.954,39.954,39.288,39.469,227667,0
20061101,39.43,39.43,38.583,38.591,284716,0
20061102,37.962,38.583,37.952,38.342,789654,0
20061103,38.563,38.563,37.639,38,161393,0
20061106,38.106,38.563,38.106,38.429,104030,0
20061107,38.62,39.01,38.62,38.725,60508,0
20061108,38.516,39.068,38.516,38.962,154262,0
20061109,39.136,39.136,38.601,38.696,344699,0
20061110,38.896,39.382,38.831,39.372,300553,0
20061113,39.411,39.746,39.126,39.126,93021,0
20061114,39.526,39.935,39.231,39.935,160867,0
20061115,39.954,40.184,39.756,39.765,313661,0
20061116,39.65,39.812,39.43,39.746,1434485,0
20061117,39.765,39.765,39.212,39.372,401747,0
20061120,39.391,39.478,39.107,39.194,129930,0
20061121,39.194,39.43,39.194,39.391,19610,0
20061122,39.43,39.66,39.43,39.66,112523,0
20061124,39.411,39.545,39.308,39.506,5872,0
20061127,39.401,39.506,38.745,38.745,286500,0
20061128,38.573,38.725,38.468,38.601,143773,0
20061129,39.097,39.345,38.991,39.279,470648,0
20061130,38.764,39.039,38.591,38.888,529685,0
20061201,39.145,39.145,38.238,38.648,1666557,0
