Date,Open,High,Low,Close,Volume,OpenInt
20110201,47.926,48.359,47.926,48.331,425,0
20110202,48.613,48.652,48.529,48.529,1062,0
20110204,49.387,50.394,49.387,50.394,19640,0
20110207,50.592,51.053,50.592,50.912,6925,0
20110208,50.527,50.818,50.517,50.818,6403,0
20110209,50.885,51.186,50.686,50.847,43490,0
20110210,50.677,51.401,50.638,51.167,18273,0
20110211,51.439,51.996,51.439,51.959,4235,0
20110214,52.174,52.193,51.978,51.978,5301,0
20110215,51.902,51.902,51.439,51.478,5795,0
20110216,51.666,51.921,51.515,51.835,17190,0
20110218,51.911,52.164,51.722,51.722,8144,0
20110222,50.677,50.818,50.036,50.036,2405,0
20110223,49.66,49.66,49.452,49.452,4116,0
20110224,49.508,49.838,49.245,49.838,13289,0
20110225,50.385,50.809,50.366,50.781,19422,0
20110228,51.27,51.27,50.288,50.552,6042,0
20110301,49.964,50.01,49.935,49.991,943,0
20110302,50.02,50.612,49.812,49.954,18710,0
20110303,50.735,51.217,50.735,51.217,1695,0
20110304,51.186,51.27,51.186,51.195,3610,0
20110307,51.318,51.353,49.781,50.319,8615,0
20110308,50.508,50.958,49.971,50.638,4713,0
20110309,49.15,49.15,49.15,49.15,373,0
20110310,48.55,48.7,48.464,48.464,3558,0
20110311,48.116,48.662,48.116,48.662,8782,0
20110314,48.652,48.671,48.209,48.378,13541,0
20110315,47.879,47.907,47.879,47.907,878,0
20110316,48.048,48.048,47.135,47.135,628608,0
20110317,47.566,47.566,47.416,47.416,1730,0
20110318,47.362,47.362,47.068,47.134,7806,0
20110321,47.625,47.643,47.52,47.606,1027,0
20110322,47.625,47.625,47.409,47.483,4711,0
20110323,47.672,47.87,47.634,47.87,3255,0
20110324,48.605,48.831,48.341,48.614,2826,0
20110325,48.785,49.198,48.7,48.7,5412,0
20110328,48.869,48.897,48.869,48.897,529,0
20110329,48.653,49.087,48.653,49.068,6284,0
20110330,48.182,49.783,48.182,49.783,850,0
20110331,49.872,50.043,49.815,49.968,10280,0
20110401,49.964,49.964,49.379,49.398,2190,0
20110404,49.445,49.445,49.341,49.417,1172,0
20110405,49.7,49.916,49.51,49.51,3370,0
20110406,50.142,50.142,49.945,49.964,3395,0
20110407,49.916,49.916,49.642,49.652,4442,0
20110408,49.585,49.585,49.275,49.388,2854,0
20110412,48.483,48.643,48.483,48.53,5412,0
20110413,49.16,49.16,49.16,49.16,2123,0
20110414,49.049,49.256,48.888,49.256,955,0
20110415,49.398,49.398,49.398,49.398,200,0
20110418,48.2,48.219,48.106,48.106,8700,0
20110420,49.049,49.049,48.973,48.973,743,0
20110421,50.066,50.075,50.066,50.075,1590,0
20110425,50.482,50.482,50.293,50.462,7564,0
20110426,50.529,50.529,50.529,50.529,102,0
20110427,50.472,50.999,50.472,50.999,888,0
20110428,50.999,50.999,50.859,50.943,897,0
20110429,51.287,51.361,51.287,51.361,1194,0
20110503,50.208,50.726,49.964,49.964,1762,0
20110504,49.623,49.623,49.538,49.566,454,0
20110505,49.916,49.916,49.916,49.916,102,0
20110506,50.066,50.066,49.935,49.935,418,0
20110509,50.17,50.17,50.17,50.17,529,0
20110510,50.689,50.915,50.689,50.906,10563,0
20110511,51.18,51.18,50.594,50.594,782,0
20110512,50.453,50.51,50.415,50.51,471,0
20110513,50.51,50.51,50.331,50.331,3987,0
20110516,51.283,51.283,50.359,50.359,212,0
20110517,49.106,49.313,49.106,49.313,2091,0
20110518,49.746,49.849,49.633,49.849,1323,0
20110519,49.982,50.274,49.982,50.264,7228,0
20110520,50.104,50.359,49.982,50.236,551,0
20110523,49.236,49.408,49.227,49.323,1152,0
20110524,49.481,49.481,49.481,49.481,109,0
20110525,49.275,49.916,49.275,49.916,419,0
20110526,50.179,50.208,50.104,50.199,1421,0
20110531,50.942,50.942,50.915,50.942,3104,0
20110601,50.726,50.726,50.726,50.726,102,0
20110602,50.123,50.208,49.935,50.208,748,0
20110603,49.719,49.773,49.03,49.03,25311,0
20110608,47.566,47.586,47.255,47.255,1486,0
