Date,Open,High,Low,Close,Volume,OpenInt
20150123,25.37,25.37,25.37,25.37,200,0
20150126,25.37,25.37,25.37,25.37,206,0
20150127,25.44,25.57,25.44,25.57,802,0
20150128,25.28,25.28,25.28,25.28,300,0
20150206,26.299,26.299,26.299,26.299,723,0
20150209,26.189,26.189,26.189,26.189,329,0
20150210,26.079,26.079,26.079,26.079,520,0
20150217,26.849,26.849,26.829,26.829,705,0
20150218,26.949,26.949,26.949,26.949,420,0
20150219,26.929,27.039,26.919,27.039,1551,0
20150220,26.969,27.108,26.959,27.088,9207,0
20150224,27.088,27.088,27.088,27.088,100,0
20150225,27.198,27.198,27.198,27.198,100,0
20150226,27.088,27.098,26.939,26.969,4544,0
20150227,26.979,27.568,26.929,26.929,2121,0
20150302,27.009,27.009,26.999,26.999,600,0
20150303,26.999,26.999,26.999,26.999,100,0
20150304,26.659,26.769,26.659,26.769,801,0
20150305,26.849,26.869,26.789,26.789,600,0
20150306,26.469,26.469,26.469,26.469,400,0
20150309,26.399,26.469,26.399,26.429,10108,0
20150310,26.429,26.429,26.429,26.429,100,0
20150311,26.279,26.279,26.279,26.279,100,0
20150312,26.279,26.279,26.279,26.279,100,0
20150313,26.299,26.299,26.299,26.299,200,0
20150316,26.479,26.519,26.479,26.509,1801,0
20150317,26.569,26.569,26.559,26.559,200,0
20150318,26.479,26.959,26.479,26.959,2002,0
20150319,26.769,26.769,26.769,26.769,200,0
20150320,27.57,27.57,26.98,27.03,5500,0
20150323,27.1,27.1,27.09,27.09,1300,0
20150324,26.98,26.98,26.97,26.97,200,0
20150325,26.87,26.87,26.62,26.62,200,0
20150326,26.64,26.64,26.64,26.64,1600,0
20150330,26.97,27.47,26.97,26.97,300,0
20150331,26.91,26.91,26.91,26.91,500,0
20150401,26.89,26.89,26.89,26.89,300,0
20150402,26.95,26.95,26.95,26.95,700,0
20150406,27.25,27.25,27.25,27.25,200,0
20150407,27.22,27.22,27.22,27.22,500,0
20150408,27.1,27.1,27.1,27.1,200,0
20150409,27.1,27.1,27.1,27.1,101,0
20150410,27.45,27.55,27.45,27.54,2300,0
20150413,27.46,27.47,27.43,27.47,2000,0
20150414,27.47,27.47,27.47,27.47,100,0
20150415,27.63,27.63,27.63,27.63,120,0
20150417,27.63,27.63,27.63,27.63,100,0
20150420,27.31,27.41,27.31,27.41,1213,0
20150421,27.37,27.37,27.37,27.37,127,0
20150423,27.5,27.5,27.5,27.5,2000,0
20150424,27.5,27.5,27.5,27.5,100,0
20150427,27.32,27.32,27.32,27.32,100,0
20150428,27.15,27.15,27.15,27.15,400,0
20150430,27.04,27.05,27.04,27.05,300,0
20150501,26.87,26.92,26.87,26.92,600,0
20150504,26.92,26.92,26.92,26.92,100,0
20150505,26.81,26.81,26.81,26.81,1000,0
20150506,26.35,26.35,26.35,26.35,300,0
20150508,27.1,27.11,27.1,27.11,1600,0
20150512,27.09,27.09,27.09,27.09,208,0
20150515,27.37,27.37,27.34,27.34,1365,0
20150518,27.34,27.34,27.34,27.34,24,0
20150519,27.34,27.34,27.34,27.34,100,0
20150521,27.6,27.6,27.6,27.6,100,0
20150526,27.6,27.6,27.6,27.6,1,0
20150527,27.35,27.51,27.35,27.51,500,0
20150528,27.34,27.41,27.34,27.41,1101,0
20150529,27.26,27.34,27.16,27.33,800,0
20150602,27.33,27.33,27.33,27.33,10,0
20150603,27.33,27.33,27.33,27.33,100,0
20150604,27.33,27.33,27.33,27.33,100,0
20150608,26.66,27.11,26.66,27.07,1400,0
20150609,27.07,27.07,27.07,27.07,8,0
20150610,27.25,27.25,26.72,27.23,600,0
20150615,27.02,27.02,27.02,27.02,100,0
20150616,27.12,27.12,27.12,27.12,100,0
20150617,27.12,27.19,27.12,27.15,20300,0
20150618,27.38,27.38,27.36,27.36,1500,0
20150619,27.37,27.37,27.37,27.37,200,0
20150623,27.5,27.5,27.35,27.43,7233,0
20150624,27.49,27.49,27.48,27.48,7000,0
20150625,27.25,27.25,27.22,27.22,200,0
20150626,27.03,27.03,27.03,27.03,14800,0
20150630,27.03,27.03,27.03,27.03,55,0
20150701,26.57,26.57,26.57,26.57,100,0
20150702,26.57,26.57,26.57,26.57,100,0
20150707,25.99,26.07,25.9,26.07,400,0
20150708,25.92,25.92,25.92,25.92,200,0
20150709,26.08,26.08,26.08,26.08,200,0
20150710,26.01,26.01,26.01,26.01,100,0
20150713,26.05,26.27,26.05,26.27,600,0
20150715,26.27,26.27,26.27,26.27,20,0
20150716,26.39,26.42,26.39,26.42,300,0
20150721,26.18,26.18,26.18,26.18,1000,0
20150723,26.18,26.18,26.18,26.18,100,0
20150727,24.92,24.95,24.92,24.95,1300,0
20150728,24.95,24.95,24.02,24.52,27300,0
20150729,24.4,26.74,24.4,25.1,2700,0
20150730,25.83,25.83,25.28,25.3,900,0
20150805,26.08,26.08,26.08,26.08,200,0
