Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-08-13,16:05:00,11.237,11.237,11.237,11.237,409,0
2014-08-13,20:40:00,11.237,11.237,11.237,11.237,1124,0
2014-08-13,20:55:00,11.246,11.246,11.246,11.246,2248,0
2014-08-13,21:15:00,11.246,11.246,11.246,11.246,920,0
2014-08-13,21:20:00,11.246,11.246,11.246,11.246,1124,0
2014-08-14,15:35:00,11.178,11.178,11.178,11.178,2043,0
2014-08-14,16:50:00,11.285,11.285,11.285,11.285,102,0
2014-08-14,16:55:00,11.285,11.285,11.285,11.285,102,0
2014-08-14,17:00:00,11.276,11.276,11.266,11.266,307,0
2014-08-14,17:05:00,11.266,11.266,11.266,11.266,204,0
2014-08-14,17:10:00,11.266,11.266,11.266,11.266,204,0
2014-08-14,17:30:00,11.246,11.246,11.246,11.246,102,0
2014-08-14,17:55:00,11.227,11.227,11.227,11.227,102,0
2014-08-14,18:30:00,11.227,11.227,11.227,11.227,102,0
2014-08-14,19:15:00,11.227,11.227,11.227,11.227,204,0
2014-08-14,19:45:00,11.227,11.227,11.227,11.227,163,0
2014-08-14,20:10:00,11.217,11.217,11.217,11.217,102,0
2014-08-14,21:05:00,11.168,11.168,11.168,11.168,102,0
2014-08-14,21:40:00,11.178,11.178,11.178,11.178,102,0
2014-08-14,21:50:00,11.178,11.178,11.178,11.178,204,0
2014-08-18,21:15:00,11.256,11.256,11.256,11.256,715,0
2014-08-18,21:40:00,11.207,11.207,11.207,11.207,164,0
2014-08-18,21:55:00,11.266,11.266,11.266,11.266,5006,0
2014-08-18,22:00:00,11.266,11.266,11.266,11.266,5926,0
2014-08-19,15:50:00,11.256,11.256,11.256,11.256,1888,0
2014-08-20,20:10:00,11.099,11.099,11.099,11.099,585,0
2014-08-21,21:20:00,11.158,11.158,11.158,11.158,1022,0
2014-08-22,16:35:00,11.158,11.158,11.158,11.158,1277,0
2014-08-25,21:20:00,11.139,11.139,11.099,11.119,613,0
2014-08-25,21:25:00,11.129,11.129,11.119,11.129,2656,0
2014-08-25,21:30:00,11.119,11.129,11.109,11.109,2146,0
2014-08-26,16:40:00,11.139,11.139,11.099,11.119,868,0
2014-08-26,17:35:00,11.109,11.109,11.109,11.109,511,0
2014-08-27,17:45:00,11.109,11.109,11.109,11.109,204,0
2014-08-27,19:30:00,11.099,11.099,11.099,11.099,204,0
2014-08-27,19:45:00,11.099,11.109,11.099,11.109,204,0
2014-08-27,19:50:00,11.129,11.129,11.109,11.119,2350,0
2014-08-27,19:55:00,11.148,11.148,11.109,11.148,4471,0
2014-08-27,20:00:00,11.148,11.158,11.119,11.139,4189,0
2014-08-27,20:05:00,11.139,11.139,11.109,11.109,817,0
2014-08-27,20:25:00,11.139,11.139,11.139,11.139,204,0
2014-08-27,20:45:00,11.129,11.129,11.119,11.119,613,0
2014-08-28,16:05:00,11.08,11.08,11.08,11.08,204,0
2014-08-28,19:05:00,11.099,11.099,11.099,11.099,204,0
2014-08-28,19:35:00,11.08,11.129,11.08,11.129,409,0
2014-08-29,15:35:00,11.119,11.119,11.119,11.119,613,0
2014-08-29,16:00:00,11.148,11.148,11.148,11.148,204,0
