Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-16,15:35:00,45.7,45.705,45.7,45.7,7149,0
2015-07-16,15:40:00,45.7,45.7,45.7,45.7,2840,0
2015-07-16,15:45:00,45.7,45.705,45.7,45.7,1670,0
2015-07-16,15:50:00,45.7,45.7001,45.7,45.7,3125,0
2015-07-16,15:55:00,45.7,45.7,45.7,45.7,2000,0
2015-07-16,16:00:00,45.7,45.7,45.7,45.7,2100,0
2015-07-16,16:05:00,45.7,45.7,45.7,45.7,100,0
2015-07-16,16:10:00,45.7,45.71,45.7,45.71,3182,0
2015-07-16,16:15:00,45.7,45.7072,45.7,45.7,3625,0
2015-07-16,16:20:00,45.7,45.7,45.7,45.7,100,0
2015-07-16,16:25:00,45.7,45.7,45.7,45.7,200,0
2015-07-16,16:30:00,45.7001,45.7001,45.7,45.7,12930,0
2015-07-16,16:35:00,45.7099,45.71,45.7,45.7,11736,0
2015-07-16,16:40:00,45.7,45.7068,45.7,45.7032,571,0
2015-07-16,16:45:00,45.7,45.7,45.7,45.7,200,0
2015-07-16,16:50:00,45.7,45.7,45.7,45.7,100,0
2015-07-16,16:55:00,45.7,45.7,45.7,45.7,200,0
2015-07-16,17:00:00,45.7,45.7,45.7,45.7,200,0
2015-07-16,17:05:00,45.7049,45.7049,45.7,45.7,647,0
2015-07-16,17:10:00,45.7,45.7001,45.7,45.7,373,0
2015-07-16,17:15:00,45.71,45.71,45.7,45.7,6045,0
2015-07-16,17:20:00,45.705,45.7099,45.7,45.7,1066028,0
2015-07-16,17:25:00,45.71,45.71,45.7,45.7063,5660,0
2015-07-16,17:30:00,45.7032,45.7049,45.7,45.7,871,0
2015-07-16,17:35:00,45.7,45.7,45.7,45.7,24469,0
2015-07-16,17:40:00,45.7,45.7016,45.7,45.7016,3100,0
2015-07-16,17:45:00,45.7,45.7099,45.7,45.7,1971,0
2015-07-16,17:50:00,45.7,45.709,45.7,45.709,18817,0
2015-07-16,17:55:00,45.7,45.7022,45.7,45.7022,660,0
2015-07-16,18:00:00,45.7,45.7049,45.7,45.7,2462,0
2015-07-16,18:05:00,45.7,45.7,45.7,45.7,100,0
2015-07-16,18:10:00,45.7,45.7,45.7,45.7,100,0
2015-07-16,18:15:00,45.7,45.7,45.7,45.7,200,0
2015-07-16,18:20:00,45.7,45.71,45.7,45.7022,2602,0
2015-07-16,18:25:00,45.7,45.7,45.7,45.7,100,0
2015-07-16,18:30:00,45.7,45.7049,45.7,45.7,578,0
2015-07-16,18:35:00,45.7049,45.7049,45.7,45.7,14174,0
2015-07-16,18:40:00,45.7,45.7,45.7,45.7,100,0
2015-07-16,18:45:00,45.7,45.71,45.7,45.71,5000,0
2015-07-16,18:50:00,45.7049,45.71,45.7,45.7028,8405,0
2015-07-16,18:55:00,45.7,45.7051,45.7,45.7051,5704,0
2015-07-16,19:00:00,45.7,45.7,45.7,45.7,100,0
2015-07-16,19:05:00,45.7,45.7,45.7,45.7,100,0
2015-07-16,19:10:00,45.7,45.7022,45.7,45.7022,1253,0
2015-07-16,19:15:00,45.7,45.7062,45.7,45.7062,200,0
2015-07-16,19:20:00,45.7,45.7,45.7,45.7,200,0
2015-07-16,19:25:00,45.7,45.7,45.7,45.7,100,0
2015-07-16,19:30:00,45.7,45.7,45.7,45.7,100,0
2015-07-16,19:35:00,45.7,45.7068,45.7,45.7,566,0
2015-07-16,19:40:00,45.7,45.7,45.7,45.7,100,0
2015-07-16,19:45:00,45.7,45.7,45.7,45.7,100,0
2015-07-16,19:50:00,45.7,45.7,45.7,45.7,300,0
2015-07-16,19:55:00,45.7,45.7099,45.7,45.7099,269,0
2015-07-16,20:00:00,45.71,45.71,45.7,45.7,14478,0
2015-07-16,20:05:00,45.7,45.7,45.7,45.7,100,0
2015-07-16,20:10:00,45.7001,45.7099,45.7,45.705,2297,0
2015-07-16,20:15:00,45.705,45.705,45.7,45.7,3543,0
2015-07-16,20:20:00,45.7,45.7065,45.7,45.7065,332,0
2015-07-16,20:25:00,45.7099,45.7099,45.7,45.7,350,0
2015-07-16,20:30:00,45.7068,45.7068,45.7,45.7,6291,0
2015-07-16,20:35:00,45.7,45.7,45.7,45.7,300,0
2015-07-16,20:40:00,45.7,45.7099,45.7,45.7,2363,0
2015-07-16,20:45:00,45.7,45.7,45.7,45.7,100,0
2015-07-16,20:50:00,45.7,45.7,45.7,45.7,356,0
2015-07-16,20:55:00,45.7,45.7,45.7,45.7,200,0
2015-07-16,21:00:00,45.7,45.7077,45.7,45.7077,2539,0
2015-07-16,21:05:00,45.705,45.705,45.7,45.7,5745,0
2015-07-16,21:10:00,45.7,45.7014,45.7,45.7014,6705,0
2015-07-16,21:15:00,45.7,45.7051,45.7,45.7028,3650,0
2015-07-16,21:20:00,45.7049,45.7099,45.7,45.7,7409,0
2015-07-16,21:25:00,45.7,45.7099,45.7,45.7,918,0
2015-07-16,21:30:00,45.7,45.7028,45.7,45.7,477,0
2015-07-16,21:35:00,45.7082,45.7082,45.7,45.7055,4794,0
2015-07-16,21:40:00,45.7028,45.7028,45.7,45.7,10233,0
2015-07-16,21:45:00,45.7,45.7032,45.7,45.7,650,0
2015-07-16,21:50:00,45.7,45.7021,45.7,45.7,4800,0
2015-07-16,21:55:00,45.7,45.705,45.7,45.7,1247,0
2015-07-16,22:00:00,45.7,45.7,45.7,45.7,600,0
2015-07-17,15:35:00,45.71,45.71,45.71,45.71,2916,0
2015-07-17,15:40:00,45.705,45.71,45.705,45.71,14000,0
2015-07-17,15:50:00,45.705,45.705,45.705,45.705,200,0
