Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-06-23,15:35:00,21.657,21.657,21.657,21.657,3614,0
2015-06-23,15:55:00,21.638,21.638,21.638,21.638,400,0
2015-06-23,16:05:00,21.638,21.657,21.638,21.638,1871,0
2015-06-23,16:10:00,21.643,21.643,21.643,21.643,1002,0
2015-06-23,16:15:00,21.638,21.638,21.638,21.638,100,0
2015-06-23,16:35:00,21.643,21.643,21.643,21.643,1502,0
2015-06-23,17:05:00,21.642,21.642,21.638,21.638,200,0
2015-06-23,17:15:00,21.647,21.647,21.642,21.642,1568,0
2015-06-23,17:25:00,21.647,21.647,21.647,21.647,2437,0
2015-06-23,17:40:00,21.647,21.647,21.647,21.647,240,0
2015-06-23,17:50:00,21.642,21.642,21.638,21.638,1002,0
2015-06-23,17:55:00,21.645,21.645,21.645,21.645,1960,0
2015-06-23,18:15:00,21.643,21.643,21.643,21.643,110,0
2015-06-23,18:20:00,21.641,21.641,21.641,21.641,1701,0
2015-06-23,18:30:00,21.638,21.647,21.638,21.647,8063,0
2015-06-23,18:35:00,21.647,21.647,21.647,21.647,400,0
2015-06-23,18:55:00,21.642,21.642,21.642,21.642,969,0
2015-06-23,19:25:00,21.642,21.647,21.642,21.647,782,0
2015-06-23,19:30:00,21.638,21.647,21.638,21.647,3404,0
2015-06-23,19:35:00,21.647,21.647,21.647,21.647,764,0
2015-06-23,20:00:00,21.647,21.647,21.638,21.638,18119,0
2015-06-23,20:05:00,21.638,21.647,21.638,21.647,4963,0
2015-06-23,20:20:00,21.647,21.647,21.645,21.645,720,0
2015-06-23,20:25:00,21.647,21.647,21.647,21.647,327,0
2015-06-23,20:40:00,21.642,21.642,21.642,21.642,1002,0
2015-06-23,21:15:00,21.643,21.647,21.641,21.641,5208,0
2015-06-23,21:20:00,21.638,21.638,21.638,21.638,600,0
2015-06-23,21:35:00,21.647,21.647,21.647,21.647,300,0
2015-06-23,21:40:00,21.641,21.641,21.641,21.641,422,0
2015-06-23,21:45:00,21.642,21.647,21.642,21.647,1198,0
2015-06-23,21:50:00,21.647,21.647,21.647,21.647,700,0
2015-06-23,22:00:00,21.646,21.646,21.642,21.646,9810,0
2015-06-24,15:35:00,21.657,21.657,21.657,21.657,671,0
2015-06-24,16:10:00,21.638,21.638,21.638,21.638,110,0
2015-06-24,16:20:00,21.647,21.647,21.647,21.647,200,0
2015-06-24,16:25:00,21.644,21.644,21.644,21.644,250,0
2015-06-24,16:30:00,21.651,21.651,21.651,21.651,276,0
2015-06-24,16:35:00,21.647,21.648,21.647,21.648,590,0
2015-06-24,16:40:00,21.647,21.647,21.647,21.647,152,0
2015-06-24,16:45:00,21.647,21.648,21.647,21.648,525,0
2015-06-24,17:00:00,21.65,21.65,21.65,21.65,500,0
2015-06-24,17:20:00,21.647,21.657,21.638,21.647,11540,0
2015-06-24,17:25:00,21.652,21.652,21.647,21.647,600,0
2015-06-24,17:45:00,21.643,21.647,21.643,21.647,254,0
2015-06-24,18:15:00,21.642,21.642,21.638,21.641,1473,0
2015-06-24,18:30:00,21.647,21.647,21.647,21.647,200,0
2015-06-24,18:35:00,21.638,21.638,21.638,21.638,2302,0
2015-06-24,18:40:00,21.647,21.647,21.647,21.647,100,0
2015-06-24,18:55:00,21.638,21.638,21.638,21.638,320,0
2015-06-24,19:30:00,21.647,21.647,21.642,21.647,3604,0
2015-06-24,20:00:00,21.643,21.643,21.643,21.643,159,0
2015-06-24,20:10:00,21.641,21.641,21.641,21.641,500,0
2015-06-24,20:15:00,21.643,21.647,21.638,21.642,2605,0
2015-06-24,20:30:00,21.647,21.647,21.642,21.644,3288,0
2015-06-24,21:05:00,21.647,21.647,21.647,21.647,1818,0
2015-06-24,21:20:00,21.638,21.638,21.638,21.638,115,0
2015-06-24,21:40:00,21.657,21.657,21.657,21.657,478,0
2015-06-24,22:00:00,21.647,21.647,21.638,21.638,219,0
2015-06-25,15:35:00,21.647,21.665,21.638,21.665,19282,0
2015-06-25,15:45:00,21.657,21.667,21.657,21.657,3004,0
2015-06-25,16:00:00,21.657,21.667,21.656,21.656,1122,0
2015-06-25,16:15:00,21.657,21.657,21.657,21.657,600,0
2015-06-25,16:20:00,21.648,21.648,21.648,21.648,1197,0
2015-06-25,16:25:00,21.649,21.657,21.648,21.657,1902,0
2015-06-25,16:35:00,21.652,21.657,21.652,21.652,3404,0
2015-06-25,16:40:00,21.657,21.657,21.657,21.657,327,0
2015-06-25,16:50:00,21.652,21.657,21.652,21.653,2425,0
2015-06-25,17:05:00,21.657,21.657,21.657,21.657,1102,0
2015-06-25,17:10:00,21.657,21.657,21.657,21.657,100,0
2015-06-25,17:35:00,21.653,21.653,21.653,21.653,173,0
2015-06-25,17:40:00,21.648,21.652,21.647,21.648,3604,0
2015-06-25,17:45:00,21.648,21.648,21.648,21.648,1250,0
2015-06-25,17:50:00,21.648,21.648,21.648,21.648,250,0
2015-06-25,17:55:00,21.651,21.651,21.651,21.651,245,0
2015-06-25,18:00:00,21.657,21.657,21.657,21.657,807,0
2015-06-25,18:05:00,21.657,21.657,21.647,21.647,2942,0
2015-06-25,18:25:00,21.648,21.648,21.647,21.648,650,0
2015-06-25,18:35:00,21.648,21.648,21.648,21.648,951,0
2015-06-25,18:45:00,21.648,21.648,21.647,21.648,2502,0
2015-06-25,19:00:00,21.647,21.647,21.647,21.647,15618,0
2015-06-25,19:15:00,21.647,21.647,21.647,21.647,1102,0
2015-06-25,19:25:00,21.648,21.648,21.647,21.647,2602,0
2015-06-25,19:35:00,21.652,21.657,21.652,21.657,761,0
2015-06-25,19:55:00,21.652,21.652,21.652,21.652,461,0
2015-06-25,20:00:00,21.653,21.653,21.647,21.647,1602,0
2015-06-25,20:10:00,21.652,21.652,21.638,21.647,18549,0
2015-06-25,20:20:00,21.647,21.647,21.647,21.647,135,0
2015-06-25,20:40:00,21.647,21.647,21.642,21.642,500,0
2015-06-25,20:45:00,21.647,21.647,21.647,21.647,300,0
2015-06-25,20:55:00,21.642,21.642,21.642,21.642,250,0
2015-06-25,21:05:00,21.642,21.642,21.642,21.642,700,0
2015-06-25,21:10:00,21.643,21.647,21.638,21.638,1043,0
2015-06-25,21:15:00,21.638,21.638,21.638,21.638,1302,0
2015-06-25,21:20:00,21.638,21.638,21.638,21.638,1802,0
2015-06-25,21:25:00,21.638,21.638,21.638,21.638,100,0
2015-06-25,21:30:00,21.638,21.638,21.638,21.638,200,0
