Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-22,15:35:00,42.39,42.91,42.38,42.51,23033,0
2015-07-22,15:40:00,42.64,42.6819,42.56,42.56,5200,0
2015-07-22,15:45:00,42.6,42.8,42.6,42.7,8399,0
2015-07-22,15:50:00,42.74,42.81,42.68,42.796,8992,0
2015-07-22,15:55:00,42.78,42.97,42.75,42.96,5650,0
2015-07-22,16:00:00,43,43,42.93,42.97,5459,0
2015-07-22,16:05:00,42.9826,43.03,42.9396,42.9396,4737,0
2015-07-22,16:15:00,43.02,43.15,43.01,43.13,1100,0
2015-07-22,16:20:00,43.2,43.26,43.2,43.237,3274,0
2015-07-22,16:25:00,43.2305,43.3,43.204,43.2399,7084,0
2015-07-22,16:30:00,43.2,43.2299,43.15,43.15,2850,0
2015-07-22,16:35:00,43.069,43.087,42.99,43.01,1848,0
2015-07-22,16:40:00,43.0464,43.0464,42.95,42.95,500,0
2015-07-22,16:45:00,42.96,43.0001,42.93,42.93,3776,0
2015-07-22,16:50:00,42.94,43.07,42.91,43.07,1000,0
2015-07-22,16:55:00,43.14,43.19,43.14,43.1828,2273,0
2015-07-22,17:00:00,43.201,43.2882,43.201,43.26,2700,0
2015-07-22,17:05:00,43.28,43.28,43.1996,43.1996,800,0
2015-07-22,17:10:00,43.12,43.141,43.12,43.141,1500,0
2015-07-22,17:15:00,43.14,43.18,43.14,43.18,920,0
2015-07-22,17:20:00,43.172,43.172,43.16,43.17,1000,0
2015-07-22,17:25:00,43.16,43.16,43.02,43.02,7153,0
2015-07-22,17:30:00,43.0099,43.0099,42.95,42.9759,5248,0
2015-07-22,17:35:00,42.93,43.1196,42.93,43.11,5485,0
2015-07-22,17:40:00,43.13,43.13,43.11,43.11,382,0
2015-07-22,17:45:00,43.08,43.18,43.08,43.18,1320,0
2015-07-22,17:50:00,43.22,43.238,43.21,43.21,700,0
2015-07-22,17:55:00,43.21,43.21,43.19,43.19,3521,0
2015-07-22,18:00:00,43.09,43.09,43.05,43.05,200,0
2015-07-22,18:05:00,43.19,43.19,43.19,43.19,100,0
2015-07-22,18:10:00,43.18,43.19,43.18,43.19,300,0
2015-07-22,18:15:00,43.19,43.19,43.19,43.19,100,0
2015-07-22,18:20:00,43.1302,43.1379,43.11,43.11,3345,0
2015-07-22,18:25:00,43.126,43.1496,43.126,43.1496,300,0
2015-07-22,18:30:00,43.1722,43.2141,43.1722,43.2141,4010,0
2015-07-22,18:35:00,43.23,43.23,43.23,43.23,300,0
2015-07-22,18:40:00,43.1503,43.166,43.15,43.166,300,0
2015-07-22,18:45:00,43.11,43.15,43.11,43.15,400,0
2015-07-22,18:55:00,43.1408,43.1408,43.1408,43.1408,100,0
2015-07-22,19:00:00,43.1429,43.1429,43.13,43.13,2100,0
2015-07-22,19:05:00,43.15,43.22,43.15,43.22,2035,0
2015-07-22,19:10:00,43.2372,43.25,43.2372,43.25,360,0
2015-07-22,19:15:00,43.23,43.23,43.18,43.18,1815,0
2015-07-22,19:20:00,43.17,43.17,43.17,43.17,400,0
2015-07-22,19:25:00,43.17,43.21,43.17,43.21,300,0
2015-07-22,19:30:00,43.17,43.17,43.17,43.17,200,0
2015-07-22,19:35:00,43.22,43.22,43.1812,43.1812,700,0
2015-07-22,19:40:00,43.172,43.19,43.172,43.19,220,0
2015-07-22,19:45:00,43.25,43.25,43.2425,43.2425,2380,0
2015-07-22,19:50:00,43.2372,43.2372,43.19,43.19,1960,0
2015-07-22,19:55:00,43.16,43.17,43.13,43.16,3220,0
2015-07-22,20:00:00,43.17,43.18,43.17,43.18,200,0
2015-07-22,20:05:00,43.17,43.202,43.17,43.202,1200,0
2015-07-22,20:15:00,43.15,43.15,43.15,43.15,220,0
2015-07-22,20:20:00,43.16,43.18,43.16,43.1701,2100,0
2015-07-22,20:25:00,43.23,43.28,43.21,43.22,6610,0
2015-07-22,20:30:00,43.2606,43.2606,43.22,43.22,400,0
2015-07-22,20:40:00,43.22,43.2564,43.22,43.2564,1025,0
2015-07-22,20:45:00,43.21,43.227,43.16,43.2,5500,0
2015-07-22,20:50:00,43.21,43.2274,43.17,43.17,22700,0
2015-07-22,20:55:00,43.2115,43.2115,43.2,43.21,1810,0
2015-07-22,21:00:00,43.2822,43.3072,43.2822,43.3072,900,0
2015-07-22,21:05:00,43.29,43.294,43.26,43.26,1779,0
2015-07-22,21:10:00,43.26,43.305,43.26,43.28,1130,0
2015-07-22,21:15:00,43.2803,43.2803,43.07,43.0799,6680,0
2015-07-22,21:20:00,43.03,43.04,43.03,43.04,1000,0
2015-07-22,21:25:00,43.06,43.11,43.06,43.11,400,0
2015-07-22,21:30:00,43.13,43.13,43.13,43.13,200,0
2015-07-22,21:35:00,43.0299,43.0899,43.0241,43.0899,3550,0
2015-07-22,21:40:00,43.0825,43.0825,43.04,43.0499,1300,0
2015-07-22,21:45:00,43.02,43.02,42.96,43.0172,6851,0
2015-07-22,21:50:00,43.05,43.06,43.04,43.05,1316,0
2015-07-22,21:55:00,43.07,43.097,43.04,43.06,6470,0
2015-07-22,22:00:00,43.15,43.2,43.14,43.16,10019,0
2015-07-23,15:35:00,43.68,43.68,43.2,43.2,10187,0
2015-07-23,15:40:00,43.35,43.35,43.11,43.17,1100,0
2015-07-23,15:45:00,43.15,43.15,42.94,43.06,5844,0
2015-07-23,15:50:00,43.0901,43.16,43.07,43.16,900,0
2015-07-23,15:55:00,43.08,43.08,43.0258,43.0258,1438,0
2015-07-23,16:00:00,43.03,43.03,42.88,42.9527,950,0
2015-07-23,16:05:00,43,43.06,42.98,43.0299,2729,0
2015-07-23,16:10:00,43.08,43.08,43.05,43.05,302,0
2015-07-23,16:15:00,43.2,43.3,43.2,43.3,700,0
2015-07-23,16:20:00,43.2701,43.3,43.24,43.29,5050,0
2015-07-23,16:25:00,43.306,43.31,43.306,43.31,1598,0
2015-07-23,16:30:00,43.31,43.411,43.3095,43.411,1510,0
2015-07-23,16:35:00,43.42,43.426,43.4104,43.426,850,0
2015-07-23,16:40:00,43.4999,43.55,43.45,43.48,3302,0
2015-07-23,16:45:00,43.5,43.5,43.45,43.45,3600,0
2015-07-23,16:50:00,43.43,43.4302,43.39,43.414,4070,0
2015-07-23,16:55:00,43.46,43.5,43.45,43.5,2404,0
2015-07-23,17:00:00,43.48,43.5,43.48,43.5,200,0
