Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-06-25,15:35:00,26.21,26.21,26.21,26.21,145,0
2015-06-25,16:00:00,26.1561,26.1561,26.1561,26.1561,173,0
2015-06-25,16:15:00,26.21,26.21,26.21,26.21,250,0
2015-06-25,16:40:00,26.1352,26.1352,26.1352,26.1352,116,0
2015-06-25,16:45:00,26.12,26.12,26.12,26.12,310,0
2015-06-25,17:05:00,26.175,26.175,26.17,26.17,771,0
2015-06-25,17:10:00,26.2054,26.2092,26.2054,26.2092,864,0
2015-06-25,17:35:00,26.18,26.18,26.18,26.18,135,0
2015-06-25,18:10:00,26.1701,26.1701,26.1701,26.1701,181,0
2015-06-25,18:35:00,26.195,26.195,26.195,26.195,400,0
2015-06-25,19:20:00,26.1886,26.1886,26.1886,26.1886,344,0
2015-06-25,19:25:00,26.2294,26.2294,26.2294,26.2294,267,0
2015-06-25,19:35:00,26.1912,26.1912,26.1912,26.1912,135,0
2015-06-25,20:10:00,26.232,26.232,26.232,26.232,800,0
2015-06-25,20:20:00,26.17,26.17,26.14,26.14,1800,0
2015-06-25,20:25:00,26.2147,26.2147,26.2147,26.2147,150,0
2015-06-25,20:35:00,26.16,26.16,26.16,26.16,100,0
2015-06-25,20:45:00,26.1637,26.1637,26.1637,26.1637,185,0
2015-06-25,20:50:00,26.1676,26.1676,26.1676,26.1676,608,0
2015-06-25,21:30:00,26.2084,26.2084,26.2084,26.2084,358,0
2015-06-26,15:50:00,26.2075,26.2075,26.2075,26.2075,205,0
2015-06-26,16:05:00,26.2649,26.2649,26.2649,26.2649,101,0
2015-06-26,16:10:00,26.27,26.27,26.2649,26.2649,377,0
2015-06-26,16:20:00,26.3199,26.3199,26.3149,26.3149,416,0
2015-06-26,17:30:00,26.22,26.22,26.22,26.22,100,0
2015-06-26,17:50:00,26.2531,26.2531,26.2531,26.2531,150,0
2015-06-26,18:10:00,26.2699,26.2699,26.2699,26.2699,477,0
2015-06-26,18:15:00,26.2806,26.2806,26.2806,26.2806,229,0
2015-06-26,18:25:00,26.2545,26.2545,26.24,26.24,865,0
2015-06-26,18:30:00,26.24,26.24,26.24,26.24,100,0
2015-06-26,19:30:00,26.1843,26.1843,26.1843,26.1843,403,0
2015-06-26,19:35:00,26.178,26.178,26.178,26.178,136,0
2015-06-26,19:40:00,26.2004,26.2004,26.2004,26.2004,250,0
2015-06-26,20:25:00,26.1751,26.1751,26.1751,26.1751,150,0
2015-06-26,21:30:00,26.249,26.249,26.249,26.249,185,0
2015-06-26,22:00:00,26.2597,26.26,26.2597,26.26,430,0
2015-06-29,15:35:00,25.84,25.93,25.84,25.93,2820,0
2015-06-29,15:45:00,25.91,25.91,25.91,25.91,100,0
2015-06-29,15:50:00,25.88,25.88,25.88,25.88,300,0
2015-06-29,16:00:00,25.89,25.8901,25.89,25.89,898,0
2015-06-29,16:10:00,25.884,25.884,25.884,25.884,100,0
2015-06-29,16:15:00,25.9486,25.9486,25.9486,25.9486,188,0
2015-06-29,16:30:00,25.82,25.82,25.82,25.82,1800,0
2015-06-29,16:40:00,25.84,25.86,25.84,25.86,300,0
2015-06-29,17:00:00,25.85,25.85,25.85,25.85,100,0
2015-06-29,17:10:00,25.8,25.8076,25.8,25.8076,274,0
2015-06-29,17:20:00,25.75,25.7501,25.75,25.75,300,0
2015-06-29,17:30:00,25.73,25.73,25.73,25.73,100,0
2015-06-29,17:35:00,25.73,25.73,25.73,25.73,3522,0
2015-06-29,17:55:00,25.7056,25.7056,25.68,25.6801,1450,0
2015-06-29,18:00:00,25.69,25.72,25.69,25.72,343,0
2015-06-29,18:05:00,25.71,25.71,25.71,25.71,100,0
2015-06-29,19:00:00,25.6878,25.6878,25.6878,25.6878,155,0
2015-06-29,19:25:00,25.69,25.75,25.69,25.75,9472,0
2015-06-29,19:35:00,25.732,25.732,25.72,25.72,682,0
2015-06-29,19:40:00,25.74,25.74,25.74,25.74,100,0
2015-06-29,19:55:00,25.7199,25.7199,25.7199,25.7199,400,0
2015-06-29,20:15:00,25.67,25.67,25.67,25.67,300,0
2015-06-29,20:30:00,25.68,25.68,25.68,25.68,100,0
2015-06-29,20:50:00,25.68,25.68,25.68,25.68,150,0
2015-06-29,21:05:00,25.66,25.66,25.58,25.58,992,0
2015-06-29,21:10:00,25.62,25.62,25.62,25.62,460,0
2015-06-29,21:20:00,25.601,25.62,25.59,25.62,7320,0
2015-06-29,21:30:00,25.6,25.6,25.6,25.6,100,0
2015-06-29,21:35:00,25.6017,25.62,25.59,25.62,536,0
2015-06-29,21:50:00,25.54,25.54,25.5,25.5,1281,0
2015-06-29,21:55:00,25.49,25.55,25.49,25.55,300,0
2015-06-29,22:00:00,25.4856,25.4856,25.4856,25.4856,300,0
2015-06-30,15:35:00,25.75,25.75,25.66,25.66,229,0
2015-06-30,15:40:00,25.67,25.67,25.67,25.67,100,0
2015-06-30,15:50:00,25.59,25.59,25.59,25.59,100,0
2015-06-30,16:00:00,25.63,25.63,25.63,25.63,100,0
