Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-23,15:35:00,178.33,178.33,178.125,178.19,68754,0
2015-07-23,15:40:00,178.19,178.23,178.0099,178.07,85076,0
2015-07-23,15:45:00,178.06,178.06,177.8699,177.93,56175,0
2015-07-23,15:50:00,177.93,177.93,177.82,177.929,54491,0
2015-07-23,15:55:00,177.92,177.93,177.74,177.86,53341,0
2015-07-23,16:00:00,177.87,177.91,177.76,177.82,43187,0
2015-07-23,16:05:00,177.83,177.9,177.71,177.83,58353,0
2015-07-23,16:10:00,177.82,177.93,177.75,177.93,39256,0
2015-07-23,16:15:00,177.92,178.03,177.92,177.98,69294,0
2015-07-23,16:20:00,177.99,178.09,177.95,178.06,27199,0
2015-07-23,16:25:00,178.06,178.1,178.02,178.07,20240,0
2015-07-23,16:30:00,178.06,178.17,178.03,178.17,46679,0
2015-07-23,16:35:00,178.18,178.18,178.09,178.15,20130,0
2015-07-23,16:40:00,178.16,178.2,178.08,178.15,39975,0
2015-07-23,16:45:00,178.14,178.25,178.09,178.11,58460,0
2015-07-23,16:50:00,178.12,178.14,178.055,178.0552,39371,0
2015-07-23,16:55:00,178.06,178.175,178.05,178.14,32915,0
2015-07-23,17:00:00,178.15,178.19,178.13,178.13,13922,0
2015-07-23,17:05:00,178.14,178.21,178.12,178.2099,17703,0
2015-07-23,17:10:00,178.2,178.2,178.1301,178.16,5423,0
2015-07-23,17:15:00,178.15,178.17,178.07,178.07,33336,0
2015-07-23,17:20:00,178.0607,178.07,177.93,177.95,31777,0
2015-07-23,17:25:00,177.94,177.95,177.87,177.91,20428,0
2015-07-23,17:30:00,177.92,177.92,177.76,177.79,25454,0
2015-07-23,17:35:00,177.79,177.83,177.75,177.82,44986,0
2015-07-23,17:40:00,177.82,177.82,177.72,177.74,44548,0
2015-07-23,17:45:00,177.74,177.75,177.67,177.73,57354,0
2015-07-23,17:50:00,177.73,177.74,177.6,177.64,48701,0
2015-07-23,17:55:00,177.64,177.64,177.48,177.5,48980,0
2015-07-23,18:00:00,177.507,177.545,177.39,177.47,55466,0
2015-07-23,18:05:00,177.45,177.47,177.28,177.34,110707,0
2015-07-23,18:10:00,177.33,177.38,177.26,177.38,61957,0
2015-07-23,18:15:00,177.36,177.39,177.25,177.32,77517,0
2015-07-23,18:20:00,177.32,177.33,177.21,177.2679,45168,0
2015-07-23,18:25:00,177.27,177.34,177.21,177.3,38904,0
2015-07-23,18:30:00,177.3,177.359,177.29,177.34,30247,0
2015-07-23,18:35:00,177.32,177.358,177.27,177.35,22188,0
2015-07-23,18:40:00,177.36,177.38,177.33,177.38,18171,0
2015-07-23,18:45:00,177.36,177.38,177.33,177.35,24563,0
2015-07-23,18:50:00,177.3499,177.3499,177.2,177.2157,62043,0
2015-07-23,18:55:00,177.22,177.23,177.17,177.2,48723,0
2015-07-23,19:00:00,177.21,177.32,177.1968,177.3,24953,0
2015-07-23,19:05:00,177.294,177.34,177.28,177.34,40479,0
2015-07-23,19:10:00,177.34,177.39,177.33,177.37,23856,0
2015-07-23,19:15:00,177.35,177.37,177.26,177.28,79655,0
2015-07-23,19:20:00,177.26,177.31,177.2258,177.25,17606,0
2015-07-23,19:25:00,177.26,177.26,177.19,177.21,13489,0
2015-07-23,19:30:00,177.19,177.26,177.13,177.2399,57182,0
2015-07-23,19:35:00,177.23,177.27,177.2299,177.25,10447,0
2015-07-23,19:40:00,177.24,177.24,177.15,177.21,33005,0
2015-07-23,19:45:00,177.21,177.27,177.1734,177.245,17747,0
2015-07-23,19:50:00,177.23,177.38,177.22,177.38,39713,0
2015-07-23,19:55:00,177.38,177.53,177.35,177.52,91255,0
2015-07-23,20:00:00,177.52,177.57,177.5,177.51,41905,0
2015-07-23,20:05:00,177.52,177.53,177.45,177.46,33505,0
2015-07-23,20:10:00,177.45,177.45,177.39,177.4,29096,0
2015-07-23,20:15:00,177.41,177.431,177.32,177.43,61859,0
2015-07-23,20:20:00,177.42,177.47,177.4,177.41,30929,0
2015-07-23,20:25:00,177.4099,177.43,177.32,177.3792,23400,0
2015-07-23,20:30:00,177.37,177.42,177.3,177.42,42596,0
2015-07-23,20:35:00,177.41,177.49,177.381,177.46,21810,0
2015-07-23,20:40:00,177.46,177.51,177.4,177.51,45491,0
2015-07-23,20:45:00,177.509,177.51,177.43,177.43,13872,0
2015-07-23,20:50:00,177.44,177.44,177.32,177.365,34833,0
2015-07-23,20:55:00,177.37,177.39,177.09,177.151,90863,0
2015-07-23,21:00:00,177.16,177.2,177.06,177.129,84456,0
2015-07-23,21:05:00,177.1275,177.1275,177.02,177.07,75577,0
2015-07-23,21:10:00,177.06,177.08,176.99,177.03,38166,0
2015-07-23,21:15:00,177.0278,177.04,176.83,176.88,87427,0
2015-07-23,21:20:00,176.86,176.935,176.85,176.88,70703,0
2015-07-23,21:25:00,176.89,176.96,176.83,176.94,15547,0
2015-07-23,21:30:00,176.94,176.96,176.85,176.92,33313,0
2015-07-23,21:35:00,176.94,176.95,176.84,176.87,39706,0
2015-07-23,21:40:00,176.87,177.07,176.86,177.06,61515,0
2015-07-23,21:45:00,177.05,177.18,177.04,177.04,71271,0
2015-07-23,21:50:00,177.01,177.11,176.96,177.1,60947,0
2015-07-23,21:55:00,177.09,177.09,176.96,177.01,83701,0
2015-07-23,22:00:00,177.02,177.18,176.99,177.16,141366,0
2015-07-24,15:35:00,177.25,177.25,176.86,176.96,115661,0
2015-07-24,15:40:00,176.97,177.01,176.82,176.93,77293,0
2015-07-24,15:45:00,176.92,176.9942,176.87,176.92,41834,0
2015-07-24,15:50:00,176.9,177.01,176.9,177.01,37744,0
2015-07-24,15:55:00,177,177.16,177,177.16,42910,0
2015-07-24,16:00:00,177.16,177.22,177.12,177.13,69144,0
2015-07-24,16:05:00,177.14,177.14,176.97,177.05,39266,0
2015-07-24,16:10:00,177.04,177.21,177.04,177.2,33257,0
2015-07-24,16:15:00,177.18,177.18,176.98,177.0299,30960,0
2015-07-24,16:20:00,177,177,176.83,176.89,54596,0
2015-07-24,16:25:00,176.88,176.88,176.75,176.79,40848,0
2015-07-24,16:30:00,176.78,176.83,176.7,176.7907,50587,0
2015-07-24,16:35:00,176.78,176.78,176.5,176.54,59074,0
2015-07-24,16:40:00,176.55,176.58,176.52,176.55,18126,0
2015-07-24,16:45:00,176.54,176.55,176.4699,176.53,42377,0
2015-07-24,16:50:00,176.5,176.5,176.43,176.48,34178,0
2015-07-24,16:55:00,176.47,176.56,176.47,176.47,17203,0
2015-07-24,17:00:00,176.48,176.5,176.31,176.31,53549,0
2015-07-24,17:05:00,176.31,176.42,176.29,176.42,46258,0
2015-07-24,17:10:00,176.41,176.44,176.355,176.37,17840,0
2015-07-24,17:15:00,176.37,176.37,176.21,176.26,66534,0
2015-07-24,17:20:00,176.26,176.36,176.21,176.36,40420,0
2015-07-24,17:25:00,176.37,176.4,176.31,176.35,31933,0
2015-07-24,17:30:00,176.35,176.44,176.35,176.38,32463,0
2015-07-24,17:35:00,176.39,176.49,176.36,176.3899,69486,0
2015-07-24,17:40:00,176.38,176.39,176.34,176.38,20803,0
2015-07-24,17:45:00,176.38,176.43,176.33,176.34,17552,0
2015-07-24,17:50:00,176.3355,176.36,176.2799,176.32,14109,0
2015-07-24,17:55:00,176.33,176.36,176.21,176.24,32527,0
2015-07-24,18:00:00,176.24,176.27,176.17,176.27,44961,0
2015-07-24,18:05:00,176.28,176.3,176.23,176.23,18574,0
2015-07-24,18:10:00,176.22,176.25,176.19,176.21,18200,0
2015-07-24,18:15:00,176.21,176.22,176.18,176.22,14417,0
2015-07-24,18:20:00,176.21,176.21,176.085,176.17,66791,0
2015-07-24,18:25:00,176.173,176.21,176.13,176.13,19450,0
2015-07-24,18:30:00,176.14,176.16,176.09,176.15,19646,0
2015-07-24,18:35:00,176.17,176.19,176.16,176.17,30664,0
2015-07-24,18:40:00,176.2,176.21,176.1599,176.16,10483,0
2015-07-24,18:45:00,176.15,176.15,176.06,176.09,25676,0
2015-07-24,18:50:00,176.0801,176.0955,175.9599,176.01,64189,0
2015-07-24,18:55:00,176,176.04,175.92,175.93,39275,0
2015-07-24,19:00:00,175.92,175.97,175.88,175.89,23711,0
2015-07-24,19:05:00,175.89,176,175.87,175.985,34188,0
2015-07-24,19:10:00,175.99,176,175.94,175.97,14636,0
2015-07-24,19:15:00,175.97,175.98,175.88,175.91,19514,0
2015-07-24,19:20:00,175.89,175.93,175.84,175.93,34737,0
2015-07-24,19:25:00,175.928,175.97,175.89,175.96,32926,0
2015-07-24,19:30:00,175.97,176,175.9,175.91,56351,0
2015-07-24,19:35:00,175.9,175.91,175.821,175.8601,31152,0
2015-07-24,19:40:00,175.86,175.8636,175.75,175.75,60522,0
2015-07-24,19:45:00,175.76,175.77,175.61,175.62,93593,0
2015-07-24,19:50:00,175.62,175.71,175.5,175.67,79952,0
2015-07-24,19:55:00,175.67,175.77,175.67,175.74,38102,0
2015-07-24,20:00:00,175.73,175.8,175.67,175.73,48347,0
2015-07-24,20:05:00,175.73,175.79,175.62,175.676,47907,0
2015-07-24,20:10:00,175.66,175.66,175.56,175.56,35418,0
2015-07-24,20:15:00,175.569,175.65,175.54,175.546,47077,0
2015-07-24,20:20:00,175.549,175.549,175.3999,175.46,91623,0
2015-07-24,20:25:00,175.4542,175.49,175.36,175.47,94380,0
2015-07-24,20:30:00,175.49,175.64,175.49,175.59,52484,0
2015-07-24,20:35:00,175.58,175.6,175.44,175.44,33646,0
2015-07-24,20:40:00,175.44,175.47,175.36,175.45,20491,0
2015-07-24,20:45:00,175.4514,175.5,175.4257,175.4941,27009,0
2015-07-24,20:50:00,175.48,175.55,175.43,175.435,36343,0
2015-07-24,20:55:00,175.45,175.46,175.31,175.38,32039,0
