Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-23,15:35:00,76.04,76.09,75.8872,75.949,12107,0
2015-07-23,15:40:00,75.8601,75.8601,75.78,75.8599,4592,0
2015-07-23,15:45:00,75.81,75.84,75.7936,75.7936,6220,0
2015-07-23,15:50:00,75.77,75.772,75.74,75.74,3984,0
2015-07-23,15:55:00,75.72,75.72,75.66,75.71,4133,0
2015-07-23,16:00:00,75.7,75.71,75.69,75.7,2556,0
2015-07-23,16:05:00,75.716,75.7199,75.66,75.67,8824,0
2015-07-23,16:10:00,75.63,75.7,75.63,75.7,2972,0
2015-07-23,16:15:00,75.7001,75.7299,75.69,75.7299,3845,0
2015-07-23,16:20:00,75.72,75.7698,75.72,75.7502,1803,0
2015-07-23,16:25:00,75.732,75.732,75.6999,75.71,900,0
2015-07-23,16:30:00,75.6901,75.749,75.6701,75.749,4688,0
2015-07-23,16:35:00,75.752,75.782,75.75,75.782,6501,0
2015-07-23,16:40:00,75.81,75.81,75.78,75.78,6441,0
2015-07-23,16:45:00,75.805,75.84,75.8,75.8099,6477,0
2015-07-23,16:50:00,75.82,75.83,75.795,75.7999,2979,0
2015-07-23,16:55:00,75.7987,75.8,75.761,75.77,4648,0
2015-07-23,17:00:00,75.76,75.78,75.76,75.7646,5037,0
2015-07-23,17:05:00,75.77,75.8101,75.77,75.78,4988,0
2015-07-23,17:10:00,75.76,75.77,75.76,75.76,1633,0
2015-07-23,17:15:00,75.76,75.76,75.721,75.74,2619,0
2015-07-23,17:20:00,75.7351,75.7351,75.68,75.7,6437,0
2015-07-23,17:25:00,75.7,75.7,75.65,75.66,2948,0
2015-07-23,17:30:00,75.66,75.66,75.62,75.62,5745,0
2015-07-23,17:35:00,75.62,75.65,75.6008,75.6008,4623,0
2015-07-23,17:40:00,75.61,75.61,75.5201,75.5201,17309,0
2015-07-23,17:45:00,75.52,75.527,75.491,75.527,8111,0
2015-07-23,17:50:00,75.4801,75.4801,75.46,75.47,5113,0
2015-07-23,17:55:00,75.471,75.5,75.4451,75.4501,5768,0
2015-07-23,18:00:00,75.47,75.47,75.422,75.43,10007,0
2015-07-23,18:05:00,75.4432,75.45,75.37,75.4,3587,0
2015-07-23,18:10:00,75.3899,75.41,75.36,75.41,4865,0
2015-07-23,18:15:00,75.3888,75.416,75.35,75.35,3499,0
2015-07-23,18:20:00,75.3464,75.3564,75.33,75.3435,6260,0
2015-07-23,18:25:00,75.32,75.36,75.31,75.31,5592,0
2015-07-23,18:30:00,75.35,75.4,75.35,75.39,6237,0
2015-07-23,18:35:00,75.3768,75.42,75.37,75.42,5368,0
2015-07-23,18:40:00,75.42,75.44,75.4,75.44,6835,0
2015-07-23,18:45:00,75.47,75.472,75.451,75.472,2933,0
2015-07-23,18:50:00,75.49,75.49,75.4549,75.4549,2078,0
2015-07-23,18:55:00,75.46,75.46,75.45,75.45,2651,0
2015-07-23,19:00:00,75.4329,75.48,75.43,75.46,3151,0
2015-07-23,19:05:00,75.45,75.47,75.43,75.4612,14107,0
2015-07-23,19:10:00,75.46,75.49,75.46,75.49,6000,0
2015-07-23,19:15:00,75.48,75.4801,75.4386,75.45,14512,0
2015-07-23,19:20:00,75.45,75.49,75.45,75.47,4550,0
2015-07-23,19:25:00,75.4738,75.4738,75.431,75.431,4680,0
2015-07-23,19:30:00,75.43,75.485,75.41,75.48,6843,0
2015-07-23,19:35:00,75.4649,75.47,75.45,75.45,2372,0
2015-07-23,19:40:00,75.46,75.52,75.46,75.52,8327,0
2015-07-23,19:45:00,75.52,75.55,75.511,75.55,7010,0
2015-07-23,19:50:00,75.5514,75.57,75.54,75.57,9433,0
2015-07-23,19:55:00,75.57,75.63,75.57,75.63,2874,0
2015-07-23,20:00:00,75.63,75.655,75.6209,75.65,6962,0
2015-07-23,20:05:00,75.65,75.65,75.59,75.5931,18935,0
