Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-23,15:35:00,35.87,35.93,35.79,35.93,6662,0
2015-07-23,15:40:00,35.99,36.04,35.9,36,5302,0
2015-07-23,15:45:00,36.03,36.09,36.03,36.08,9200,0
2015-07-23,15:50:00,36.06,36.0999,36.02,36.02,5289,0
2015-07-23,15:55:00,36.04,36.06,35.97,35.97,8647,0
2015-07-23,16:00:00,35.93,36.03,35.93,36.03,4100,0
2015-07-23,16:05:00,35.99,36,35.97,35.98,1000,0
2015-07-23,16:10:00,35.99,36.05,35.93,35.94,6550,0
2015-07-23,16:15:00,35.93,35.95,35.86,35.9,6942,0
2015-07-23,16:20:00,35.89,35.94,35.88,35.88,4700,0
2015-07-23,16:25:00,35.87,35.94,35.864,35.92,1900,0
2015-07-23,16:30:00,35.91,35.91,35.91,35.91,400,0
2015-07-23,16:35:00,35.91,35.93,35.91,35.91,2750,0
2015-07-23,16:40:00,35.93,35.98,35.93,35.98,2100,0
2015-07-23,16:45:00,35.99,36.06,35.947,36.06,8755,0
2015-07-23,16:50:00,36.05,36.06,36.05,36.06,300,0
2015-07-23,16:55:00,36.06,36.06,35.99,36,5873,0
2015-07-23,17:00:00,36,36.01,35.99,36.01,1500,0
2015-07-23,17:05:00,36.01,36.07,36.01,36.04,3800,0
2015-07-23,17:10:00,36.05,36.07,36.03,36.07,3150,0
2015-07-23,17:15:00,36.07,36.13,36.07,36.13,2400,0
2015-07-23,17:20:00,36.15,36.19,36.15,36.18,1800,0
2015-07-23,17:25:00,36.16,36.16,36.115,36.13,1501,0
2015-07-23,17:30:00,36.13,36.22,36.13,36.22,1000,0
2015-07-23,17:35:00,36.21,36.22,36.2,36.22,1400,0
2015-07-23,17:40:00,36.23,36.27,36.22,36.27,2800,0
2015-07-23,17:45:00,36.28,36.29,36.27,36.28,1658,0
2015-07-23,17:50:00,36.27,36.3,36.269,36.28,3250,0
2015-07-23,17:55:00,36.27,36.35,36.26,36.34,9760,0
2015-07-23,18:00:00,36.37,36.4,36.36,36.4,3156,0
2015-07-23,18:05:00,36.4,36.46,36.39,36.45,3538,0
2015-07-23,18:10:00,36.49,36.51,36.47,36.47,3855,0
2015-07-23,18:15:00,36.46,36.54,36.43,36.53,8294,0
2015-07-23,18:20:00,36.54,36.61,36.54,36.58,3800,0
2015-07-23,18:25:00,36.59,36.62,36.58,36.58,1646,0
2015-07-23,18:30:00,36.57,36.57,36.55,36.56,2800,0
2015-07-23,18:35:00,36.57,36.58,36.57,36.58,1500,0
2015-07-23,18:40:00,36.55,36.55,36.52,36.52,3066,0
2015-07-23,18:45:00,36.52,36.53,36.48,36.48,2850,0
2015-07-23,18:50:00,36.52,36.58,36.52,36.58,805,0
2015-07-23,18:55:00,36.6,36.63,36.58,36.61,2342,0
2015-07-23,19:00:00,36.59,36.59,36.55,36.56,825,0
2015-07-23,19:05:00,36.56,36.56,36.56,36.56,100,0
2015-07-23,19:10:00,36.54,36.56,36.5,36.5,2850,0
2015-07-23,19:15:00,36.5,36.59,36.5,36.55,4634,0
2015-07-23,19:20:00,36.57,36.59,36.54,36.56,1900,0
2015-07-23,19:25:00,36.5586,36.6,36.5586,36.6,966,0
2015-07-23,19:30:00,36.63,36.65,36.61,36.62,4900,0
2015-07-23,19:35:00,36.59,36.64,36.59,36.64,3600,0
2015-07-23,19:40:00,36.68,36.68,36.64,36.67,5100,0
2015-07-23,19:45:00,36.66,36.66,36.59,36.59,3200,0
2015-07-23,19:50:00,36.57,36.57,36.45,36.45,7100,0
2015-07-23,19:55:00,36.47,36.53,36.4,36.4,10500,0
2015-07-23,20:00:00,36.41,36.42,36.376,36.4,3200,0
2015-07-23,20:05:00,36.42,36.45,36.4168,36.44,5125,0
2015-07-23,20:10:00,36.44,36.464,36.44,36.464,2494,0
2015-07-23,20:15:00,36.49,36.54,36.47,36.54,2900,0
2015-07-23,20:20:00,36.53,36.55,36.52,36.55,2800,0
2015-07-23,20:25:00,36.56,36.59,36.56,36.59,3689,0
2015-07-23,20:30:00,36.59,36.6,36.56,36.56,5400,0
2015-07-23,20:35:00,36.56,36.58,36.55,36.56,8900,0
2015-07-23,20:40:00,36.56,36.58,36.5598,36.56,4698,0
2015-07-23,20:45:00,36.55,36.56,36.55,36.55,3600,0
2015-07-23,20:50:00,36.56,36.59,36.56,36.59,5142,0
2015-07-23,20:55:00,36.6,36.72,36.6,36.72,7837,0
2015-07-23,21:00:00,36.76,36.76,36.69,36.71,3450,0
2015-07-23,21:05:00,36.71,36.77,36.71,36.76,2350,0
2015-07-23,21:10:00,36.75,36.78,36.74,36.76,1700,0
2015-07-23,21:15:00,36.76,36.87,36.76,36.87,7883,0
2015-07-23,21:20:00,36.869,36.89,36.86,36.86,12355,0
2015-07-23,21:25:00,36.89,36.89,36.84,36.88,3558,0
2015-07-23,21:30:00,36.88,36.89,36.83,36.83,8800,0
2015-07-23,21:35:00,36.85,36.91,36.85,36.91,5905,0
2015-07-23,21:40:00,36.93,36.94,36.85,36.85,5097,0
2015-07-23,21:45:00,36.85,36.86,36.82,36.85,7382,0
2015-07-23,21:50:00,36.86,36.88,36.81,36.81,4358,0
2015-07-23,21:55:00,36.81,36.86,36.81,36.83,5790,0
2015-07-23,22:00:00,36.8301,36.88,36.82,36.88,17301,0
2015-07-24,15:35:00,37.77,37.92,37.74,37.86,8211,0
2015-07-24,15:40:00,37.906,37.93,37.874,37.9,5234,0
2015-07-24,15:45:00,37.87,38.0009,37.87,38.0009,2115,0
2015-07-24,15:50:00,37.978,38.04,37.95,38.01,7580,0
2015-07-24,15:55:00,38,38.0146,37.98,38.01,4120,0
2015-07-24,16:00:00,38.01,38.0355,37.98,38.0355,2466,0
2015-07-24,16:05:00,38.03,38.12,38.03,38.09,7250,0
2015-07-24,16:10:00,38.1,38.1,38.06,38.06,4304,0
2015-07-24,16:15:00,38.0899,38.12,38.07,38.11,2871,0
2015-07-24,16:20:00,38.12,38.26,38.12,38.26,7803,0
2015-07-24,16:25:00,38.28,38.35,38.28,38.35,3585,0
2015-07-24,16:30:00,38.35,38.35,38.3,38.31,6005,0
2015-07-24,16:35:00,38.34,38.38,38.34,38.37,5745,0
2015-07-24,16:40:00,38.35,38.3588,38.22,38.25,5900,0
2015-07-24,16:45:00,38.22,38.25,38.21,38.23,4851,0
2015-07-24,16:50:00,38.25,38.37,38.25,38.32,6130,0
2015-07-24,16:55:00,38.3,38.32,38.29,38.32,1000,0
2015-07-24,17:00:00,38.31,38.4,38.29,38.4,8000,0
2015-07-24,17:05:00,38.405,38.41,38.32,38.321,3000,0
2015-07-24,17:10:00,38.31,38.31,38.27,38.31,4712,0
2015-07-24,17:15:00,38.32,38.34,38.29,38.29,5232,0
2015-07-24,17:20:00,38.31,38.31,38.15,38.15,15600,0
2015-07-24,17:25:00,38.15,38.17,38.07,38.08,13180,0
2015-07-24,17:30:00,38.07,38.11,38.0577,38.11,3900,0
2015-07-24,17:35:00,38.12,38.12,38.04,38.0936,12512,0
2015-07-24,17:40:00,38.12,38.15,38.08,38.14,5869,0
2015-07-24,17:45:00,38.1599,38.24,38.1599,38.23,2800,0
2015-07-24,17:50:00,38.26,38.3,38.21,38.28,14750,0
2015-07-24,17:55:00,38.29,38.33,38.29,38.3299,7433,0
2015-07-24,18:00:00,38.35,38.37,38.34,38.34,6050,0
2015-07-24,18:05:00,38.34,38.36,38.29,38.36,6594,0
2015-07-24,18:10:00,38.4,38.41,38.35,38.38,16926,0
2015-07-24,18:15:00,38.39,38.43,38.38,38.43,4300,0
2015-07-24,18:20:00,38.43,38.49,38.43,38.44,11198,0
2015-07-24,18:25:00,38.42,38.42,38.42,38.42,359,0
2015-07-24,18:30:00,38.41,38.42,38.38,38.42,3296,0
2015-07-24,18:35:00,38.41,38.46,38.4,38.46,1873,0
2015-07-24,18:40:00,38.46,38.54,38.46,38.54,3169,0
2015-07-24,18:45:00,38.54,38.55,38.49,38.49,911,0
2015-07-24,18:50:00,38.5,38.55,38.5,38.55,300,0
2015-07-24,18:55:00,38.54,38.58,38.53,38.58,4622,0
2015-07-24,19:00:00,38.58,38.6288,38.56,38.6288,9383,0
2015-07-24,19:05:00,38.62,38.62,38.5349,38.54,2700,0
2015-07-24,19:10:00,38.56,38.62,38.55,38.61,2150,0
2015-07-24,19:15:00,38.58,38.62,38.58,38.62,2950,0
2015-07-24,19:20:00,38.65,38.66,38.5955,38.5955,3341,0
2015-07-24,19:25:00,38.6301,38.69,38.6,38.6,13358,0
2015-07-24,19:30:00,38.61,38.62,38.58,38.62,6045,0
2015-07-24,19:35:00,38.65,38.65,38.61,38.61,5100,0
2015-07-24,19:40:00,38.65,38.7,38.64,38.7,6300,0
2015-07-24,19:45:00,38.7,38.81,38.7,38.81,5900,0
2015-07-24,19:50:00,38.82,38.86,38.76,38.78,20120,0
2015-07-24,19:55:00,38.78,38.78,38.65,38.675,11838,0
2015-07-24,20:00:00,38.68,38.7,38.6165,38.62,11800,0
2015-07-24,20:05:00,38.65,38.7,38.65,38.69,8585,0
2015-07-24,20:10:00,38.69,38.76,38.67,38.76,3550,0
2015-07-24,20:15:00,38.73,38.81,38.73,38.81,3801,0
2015-07-24,20:20:00,38.83,38.89,38.82,38.82,2745,0
2015-07-24,20:25:00,38.85,38.866,38.83,38.85,1164,0
2015-07-24,20:30:00,38.89,38.89,38.81,38.81,5125,0
2015-07-24,20:35:00,38.79,38.88,38.78,38.88,4500,0
2015-07-24,20:40:00,38.88,38.92,38.88,38.9,2686,0
2015-07-24,20:45:00,38.91,38.92,38.9,38.9,1800,0
2015-07-24,20:50:00,38.9,38.9,38.87,38.9,4600,0
2015-07-24,20:55:00,38.91,38.97,38.91,38.94,9361,0
2015-07-24,21:00:00,38.93,38.93,38.8064,38.8064,5200,0
2015-07-24,21:05:00,38.81,38.85,38.68,38.68,8885,0
2015-07-24,21:10:00,38.66,38.66,38.61,38.6101,7500,0
2015-07-24,21:15:00,38.61,38.61,38.55,38.5732,8697,0
2015-07-24,21:20:00,38.55,38.63,38.55,38.59,11200,0
2015-07-24,21:25:00,38.6,38.69,38.58,38.6335,15186,0
2015-07-24,21:30:00,38.61,38.71,38.59,38.71,3505,0
2015-07-24,21:35:00,38.68,38.7,38.58,38.61,30070,0
2015-07-24,21:40:00,38.59,38.64,38.59,38.64,6300,0
2015-07-24,21:45:00,38.64,38.66,38.596,38.596,7900,0
2015-07-24,21:50:00,38.6,38.6,38.45,38.48,14577,0
2015-07-24,21:55:00,38.47,38.48,38.28,38.295,61362,0
2015-07-24,22:00:00,38.29,38.46,38.28,38.46,62972,0
2015-07-27,15:35:00,40.39,40.6,40.24,40.521,37543,0
2015-07-27,15:40:00,40.57,40.705,40.57,40.633,41426,0
2015-07-27,15:45:00,40.62,40.65,40.46,40.62,4890,0
2015-07-27,15:50:00,40.6314,40.66,40.38,40.38,15050,0
2015-07-27,15:55:00,40.41,40.45,40.2745,40.3,13448,0
2015-07-27,16:00:00,40.2601,40.31,40.23,40.28,10500,0
2015-07-27,16:05:00,40.27,40.37,40.22,40.36,18540,0
2015-07-27,16:10:00,40.37,40.54,40.37,40.48,35900,0
2015-07-27,16:15:00,40.5,40.5,40.33,40.35,14759,0
2015-07-27,16:20:00,40.33,40.4,40.2,40.2,20958,0
2015-07-27,16:25:00,40.18,40.22,40.13,40.16,23056,0
2015-07-27,16:30:00,40.18,40.25,40.14,40.18,14600,0
2015-07-27,16:35:00,40.12,40.14,39.95,40.11,28748,0
2015-07-27,16:40:00,40.17,40.18,40.01,40.01,19252,0
2015-07-27,16:45:00,40.05,40.09,40.03,40.09,5064,0
2015-07-27,16:50:00,40.04,40.22,40.02,40.22,17400,0
2015-07-27,16:55:00,40.2,40.33,40.14,40.26,12926,0
2015-07-27,17:00:00,40.26,40.28,40.12,40.2,9004,0
