Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-06-09,15:35:00,16.539,16.539,16.539,16.539,143,0
2015-06-09,16:00:00,16.514,16.514,16.514,16.514,202,0
2015-06-09,16:50:00,16.529,16.529,16.529,16.529,910,0
2015-06-09,17:15:00,16.568,16.578,16.568,16.578,404,0
2015-06-09,17:35:00,16.618,16.618,16.618,16.618,809,0
2015-06-09,19:05:00,16.569,16.598,16.568,16.598,3639,0
2015-06-09,20:00:00,16.567,16.567,16.567,16.567,385,0
2015-06-09,20:05:00,16.559,16.559,16.559,16.559,809,0
2015-06-09,20:15:00,16.559,16.559,16.559,16.559,101,0
2015-06-09,21:15:00,16.529,16.549,16.529,16.549,1185,0
2015-06-10,15:35:00,16.905,16.934,16.905,16.934,556,0
2015-06-10,15:55:00,16.925,16.925,16.925,16.925,303,0
2015-06-10,16:00:00,16.905,16.915,16.885,16.885,1556,0
2015-06-10,16:30:00,16.855,16.855,16.826,16.826,1213,0
2015-06-10,17:10:00,16.895,16.895,16.895,16.895,202,0
2015-06-10,17:15:00,16.903,16.954,16.903,16.954,1314,0
2015-06-10,17:25:00,16.93,16.93,16.93,16.93,101,0
2015-06-10,17:30:00,16.925,16.925,16.925,16.925,303,0
2015-06-10,17:45:00,16.91,16.91,16.91,16.91,404,0
2015-06-10,19:15:00,16.925,16.925,16.925,16.925,101,0
2015-06-10,19:35:00,16.892,16.892,16.885,16.885,693,0
2015-06-10,20:00:00,16.905,16.905,16.905,16.905,303,0
2015-06-10,20:35:00,16.925,16.925,16.925,16.925,1112,0
2015-06-10,20:55:00,16.944,16.944,16.944,16.944,274,0
2015-06-10,21:15:00,16.944,16.944,16.944,16.944,101,0
2015-06-10,21:35:00,16.929,16.929,16.929,16.929,624,0
2015-06-10,21:40:00,16.944,16.944,16.944,16.944,202,0
2015-06-10,21:45:00,16.948,16.948,16.948,16.948,159,0
2015-06-10,21:50:00,16.935,16.954,16.935,16.954,404,0
2015-06-10,21:55:00,16.954,16.954,16.954,16.954,101,0
2015-06-10,22:00:00,16.934,16.944,16.925,16.944,1112,0
2015-06-11,15:35:00,16.776,16.776,16.727,16.731,9136,0
2015-06-11,15:40:00,16.756,16.756,16.756,16.756,607,0
2015-06-11,15:45:00,16.727,16.727,16.727,16.727,1516,0
2015-06-11,16:05:00,16.756,16.756,16.756,16.756,101,0
2015-06-11,16:15:00,16.792,16.792,16.792,16.792,112,0
2015-06-11,16:35:00,16.747,16.747,16.747,16.747,809,0
2015-06-11,17:05:00,16.677,16.677,16.677,16.677,101,0
2015-06-11,17:25:00,16.727,16.727,16.727,16.727,202,0
2015-06-11,17:35:00,16.727,16.727,16.717,16.719,3860,0
2015-06-11,17:40:00,16.756,16.776,16.756,16.776,419,0
2015-06-11,18:15:00,16.727,16.727,16.727,16.727,101,0
2015-06-11,18:40:00,16.707,16.707,16.707,16.707,101,0
2015-06-11,18:45:00,16.737,16.737,16.737,16.737,724,0
2015-06-11,19:10:00,16.727,16.727,16.727,16.727,101,0
2015-06-11,19:30:00,16.756,16.756,16.756,16.756,101,0
2015-06-11,19:35:00,16.747,16.747,16.747,16.747,1820,0
2015-06-11,19:40:00,16.747,16.747,16.747,16.747,2932,0
2015-06-11,19:45:00,16.756,16.756,16.756,16.756,1719,0
2015-06-11,19:50:00,16.756,16.776,16.756,16.776,4145,0
2015-06-12,15:35:00,16.479,16.479,16.479,16.479,327,0
2015-06-12,15:40:00,16.43,16.43,16.43,16.43,202,0
2015-06-12,15:45:00,16.45,16.45,16.45,16.45,607,0
2015-06-12,16:25:00,16.43,16.43,16.43,16.43,101,0
2015-06-12,16:40:00,16.427,16.427,16.427,16.427,758,0
2015-06-12,17:15:00,16.489,16.529,16.489,16.529,607,0
2015-06-12,17:35:00,16.598,16.598,16.598,16.598,327,0
2015-06-12,17:40:00,16.578,16.588,16.578,16.588,202,0
2015-06-12,19:30:00,16.549,16.578,16.549,16.554,5462,0
2015-06-12,19:35:00,16.559,16.559,16.559,16.559,202,0
2015-06-12,20:25:00,16.571,16.571,16.571,16.571,119,0
2015-06-12,20:40:00,16.549,16.559,16.549,16.559,708,0
2015-06-12,21:10:00,16.538,16.538,16.538,16.538,286,0
2015-06-12,21:30:00,16.559,16.559,16.559,16.559,2224,0
2015-06-12,21:35:00,16.578,16.578,16.578,16.578,3235,0
2015-06-12,21:40:00,16.578,16.588,16.578,16.588,10514,0
2015-06-12,22:00:00,16.539,16.539,16.539,16.539,1023,0
2015-06-15,15:35:00,16.183,16.183,16.143,16.183,2224,0
2015-06-15,15:40:00,16.173,16.202,16.173,16.202,8862,0
2015-06-15,15:45:00,16.232,16.232,16.222,16.222,3033,0
2015-06-15,16:05:00,16.232,16.232,16.232,16.232,555,0
2015-06-15,16:15:00,16.222,16.222,16.222,16.222,202,0
2015-06-15,17:15:00,16.262,16.272,16.262,16.272,2325,0
2015-06-15,17:25:00,16.208,16.208,16.208,16.208,202,0
2015-06-15,17:35:00,16.222,16.222,16.222,16.222,101,0
2015-06-15,17:45:00,16.202,16.202,16.193,16.193,910,0
2015-06-15,18:50:00,16.243,16.243,16.243,16.243,230,0
2015-06-15,19:00:00,16.272,16.272,16.272,16.272,505,0
2015-06-15,19:40:00,16.242,16.252,16.242,16.252,1213,0
2015-06-15,19:45:00,16.212,16.212,16.212,16.212,2426,0
2015-06-15,19:55:00,16.202,16.202,16.202,16.202,809,0
2015-06-15,20:30:00,16.212,16.212,16.212,16.212,354,0
2015-06-15,20:50:00,16.241,16.241,16.241,16.241,101,0
2015-06-15,21:00:00,16.251,16.251,16.251,16.251,607,0
2015-06-15,21:25:00,16.251,16.251,16.251,16.251,177,0
2015-06-15,21:35:00,16.241,16.241,16.241,16.241,308,0
2015-06-15,21:55:00,16.272,16.272,16.272,16.272,129,0
2015-06-15,22:00:00,16.252,16.311,16.252,16.282,1350,0
2015-06-16,15:35:00,16.262,16.262,16.262,16.262,182,0
2015-06-16,15:40:00,16.292,16.321,16.292,16.316,29823,0
2015-06-16,15:50:00,16.242,16.247,16.242,16.247,546,0
2015-06-16,16:30:00,16.222,16.222,16.222,16.222,152,0
2015-06-16,17:15:00,16.282,16.311,16.282,16.301,207729,0
2015-06-16,17:20:00,16.301,16.301,16.301,16.301,2224,0
2015-06-16,17:30:00,16.292,16.292,16.292,16.292,202,0
2015-06-16,17:35:00,16.272,16.272,16.272,16.272,3235,0
2015-06-16,17:45:00,16.283,16.283,16.283,16.283,572,0
2015-06-16,18:00:00,16.301,16.301,16.301,16.301,124,0
2015-06-16,18:10:00,16.272,16.272,16.272,16.272,271,0
2015-06-16,18:45:00,16.282,16.282,16.282,16.282,505,0
2015-06-16,19:30:00,16.308,16.308,16.308,16.308,354,0
2015-06-16,19:45:00,16.299,16.299,16.299,16.299,124,0
2015-06-16,20:10:00,16.311,16.311,16.311,16.311,2527,0
2015-06-16,20:30:00,16.301,16.301,16.301,16.301,404,0
2015-06-16,21:50:00,16.322,16.322,16.322,16.322,177,0
2015-06-16,21:55:00,16.302,16.302,16.302,16.302,361,0
2015-06-16,22:00:00,16.301,16.321,16.282,16.321,1152,0
2015-06-17,15:35:00,16.272,16.272,16.272,16.272,2406,0
2015-06-17,16:05:00,16.301,16.301,16.301,16.301,404,0
2015-06-17,16:30:00,16.262,16.262,16.262,16.262,404,0
2015-06-17,16:45:00,16.212,16.212,16.212,16.212,1112,0
2015-06-17,17:05:00,16.222,16.222,16.222,16.222,404,0
2015-06-17,17:10:00,16.212,16.212,16.212,16.212,101,0
2015-06-17,17:20:00,16.186,16.186,16.186,16.186,674,0
2015-06-17,17:25:00,16.183,16.183,16.183,16.183,101,0
2015-06-17,17:30:00,16.163,16.163,16.163,16.163,202,0
2015-06-17,17:35:00,16.158,16.158,16.158,16.158,2022,0
2015-06-17,17:40:00,16.153,16.153,16.133,16.133,3336,0
2015-06-17,17:45:00,16.133,16.133,16.123,16.123,514,0
2015-06-17,17:50:00,16.133,16.133,16.133,16.133,101,0
2015-06-17,17:55:00,16.143,16.173,16.143,16.173,1618,0
