Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-06-11,15:35:00,11.767,11.767,11.767,11.767,811,0
2015-06-11,15:45:00,11.827,11.827,11.827,11.827,101,0
2015-06-11,15:55:00,11.885,11.885,11.809,11.809,607,0
2015-06-11,16:00:00,11.836,11.836,11.836,11.836,101,0
2015-06-11,16:10:00,11.893,11.893,11.893,11.893,425,0
2015-06-11,16:30:00,11.866,11.866,11.846,11.856,1923,0
2015-06-11,16:35:00,11.855,11.855,11.747,11.816,911,0
2015-06-11,16:45:00,11.698,11.698,11.698,11.698,167,0
2015-06-11,17:20:00,11.801,11.801,11.801,11.801,202,0
2015-06-11,18:20:00,11.733,11.832,11.733,11.832,651,0
2015-06-11,19:00:00,11.747,11.747,11.747,11.747,232,0
2015-06-11,19:25:00,11.767,11.767,11.747,11.747,607,0
2015-06-11,20:00:00,11.747,11.747,11.707,11.747,1316,0
2015-06-11,20:20:00,11.707,11.707,11.707,11.707,506,0
2015-06-11,20:25:00,11.707,11.707,11.698,11.707,3644,0
2015-06-11,20:30:00,11.767,11.767,11.757,11.757,2126,0
2015-06-11,20:35:00,11.707,11.707,11.698,11.707,9047,0
2015-06-11,20:45:00,11.707,11.717,11.707,11.717,1012,0
2015-06-11,20:50:00,11.717,11.717,11.717,11.717,2024,0
2015-06-11,20:55:00,11.742,11.742,11.712,11.727,4843,0
2015-06-11,21:00:00,11.777,11.777,11.777,11.777,1113,0
2015-06-11,21:05:00,11.782,11.826,11.782,11.796,1458,0
2015-06-11,21:10:00,11.796,11.796,11.757,11.757,7490,0
2015-06-11,21:15:00,11.737,11.757,11.737,11.747,405,0
2015-06-11,21:20:00,11.737,11.747,11.737,11.747,202,0
2015-06-11,21:25:00,11.737,11.747,11.737,11.747,2677,0
2015-06-11,21:30:00,11.747,11.787,11.747,11.777,5186,0
2015-06-11,21:55:00,11.826,11.826,11.816,11.816,810,0
2015-06-12,15:35:00,11.668,11.668,11.641,11.641,2986,0
2015-06-12,15:50:00,11.648,11.648,11.648,11.648,1215,0
2015-06-12,16:05:00,11.653,11.658,11.648,11.658,2024,0
2015-06-12,16:10:00,11.653,11.658,11.648,11.658,6074,0
2015-06-12,16:15:00,11.653,11.658,11.648,11.648,304,0
2015-06-12,16:30:00,11.638,11.638,11.638,11.638,101,0
2015-06-12,16:35:00,11.643,11.643,11.643,11.643,607,0
2015-06-12,16:40:00,11.643,11.643,11.643,11.643,997,0
2015-06-12,17:00:00,11.653,11.658,11.653,11.658,860,0
2015-06-12,17:05:00,11.648,11.648,11.638,11.638,202,0
2015-06-12,17:10:00,11.648,11.658,11.648,11.658,1198,0
2015-06-12,17:15:00,11.678,11.678,11.678,11.678,202,0
2015-06-12,17:20:00,11.678,11.688,11.663,11.668,7842,0
2015-06-12,17:25:00,11.683,11.698,11.683,11.698,9344,0
2015-06-12,17:30:00,11.698,11.707,11.688,11.688,1822,0
2015-06-12,17:35:00,11.698,11.698,11.698,11.698,2834,0
2015-06-12,17:40:00,11.737,11.757,11.732,11.757,607,0
2015-06-12,17:45:00,11.752,11.752,11.752,11.752,506,0
2015-06-12,17:50:00,11.737,11.737,11.737,11.737,709,0
2015-06-12,18:00:00,11.723,11.723,11.717,11.717,860,0
2015-06-12,18:05:00,11.717,11.717,11.717,11.717,101,0
2015-06-12,18:30:00,11.717,11.717,11.717,11.717,810,0
2015-06-12,19:15:00,11.707,11.727,11.707,11.727,7960,0
2015-06-12,19:20:00,11.717,11.717,11.717,11.717,202,0
2015-06-12,19:30:00,11.717,11.72,11.717,11.717,4150,0
2015-06-12,19:35:00,11.717,11.717,11.717,11.717,2935,0
2015-06-12,19:45:00,11.717,11.717,11.717,11.717,2429,0
2015-06-12,19:50:00,11.717,11.717,11.717,11.717,607,0
2015-06-12,19:55:00,11.717,11.717,11.717,11.717,202,0
2015-06-12,20:10:00,11.717,11.717,11.717,11.717,1316,0
2015-06-12,20:15:00,11.713,11.713,11.713,11.713,101,0
2015-06-12,20:25:00,11.717,11.717,11.717,11.717,101,0
2015-06-12,20:30:00,11.717,11.727,11.717,11.722,1316,0
2015-06-12,20:35:00,11.707,11.708,11.707,11.707,5356,0
2015-06-12,20:40:00,11.698,11.707,11.698,11.698,5466,0
2015-06-12,20:45:00,11.698,11.707,11.688,11.688,3522,0
2015-06-12,20:50:00,11.688,11.688,11.688,11.688,1417,0
2015-06-12,21:00:00,11.727,11.727,11.699,11.699,533,0
2015-06-12,21:10:00,11.695,11.695,11.695,11.695,1767,0
2015-06-12,22:00:00,11.668,11.668,11.668,11.668,1594,0
2015-06-15,15:35:00,11.5,11.5,11.5,11.5,991,0
2015-06-15,16:05:00,11.461,11.461,11.461,11.461,810,0
2015-06-15,16:50:00,11.542,11.542,11.542,11.542,762,0
2015-06-15,17:45:00,11.542,11.542,11.53,11.53,939,0
2015-06-15,18:35:00,11.54,11.54,11.54,11.54,211,0
2015-06-15,18:50:00,11.559,11.559,11.559,11.559,202,0
2015-06-15,18:55:00,11.539,11.539,11.525,11.525,202,0
2015-06-15,19:00:00,11.549,11.549,11.52,11.52,506,0
2015-06-15,19:05:00,11.52,11.52,11.51,11.51,405,0
2015-06-15,19:10:00,11.53,11.53,11.52,11.53,6915,0
2015-06-15,19:15:00,11.52,11.53,11.52,11.53,3413,0
2015-06-15,19:20:00,11.53,11.53,11.53,11.53,101,0
2015-06-15,19:25:00,11.559,11.569,11.559,11.559,11235,0
2015-06-15,19:30:00,11.549,11.559,11.549,11.549,1767,0
2015-06-15,19:35:00,11.549,11.549,11.549,11.549,506,0
2015-06-15,19:45:00,11.549,11.549,11.549,11.549,101,0
2015-06-15,19:50:00,11.54,11.54,11.54,11.54,304,0
2015-06-15,19:55:00,11.54,11.54,11.53,11.53,607,0
2015-06-15,20:00:00,11.549,11.549,11.549,11.549,909,0
2015-06-15,20:05:00,11.53,11.53,11.53,11.53,202,0
2015-06-15,20:15:00,11.54,11.54,11.54,11.54,202,0
2015-06-15,20:20:00,11.54,11.54,11.54,11.54,405,0
2015-06-15,20:40:00,11.565,11.565,11.565,11.565,1215,0
2015-06-15,20:45:00,11.582,11.582,11.582,11.582,202,0
2015-06-15,20:50:00,11.54,11.54,11.54,11.54,202,0
2015-06-15,21:15:00,11.549,11.549,11.549,11.549,101,0
2015-06-15,21:20:00,11.53,11.53,11.52,11.52,3675,0
2015-06-15,21:25:00,11.52,11.53,11.52,11.53,1417,0
2015-06-15,21:35:00,11.51,11.51,11.51,11.51,101,0
2015-06-15,21:40:00,11.519,11.548,11.51,11.548,1518,0
2015-06-15,21:50:00,11.5,11.5,11.5,11.5,101,0
2015-06-16,15:35:00,11.47,11.48,11.47,11.48,1947,0
2015-06-16,15:45:00,11.599,11.599,11.595,11.595,1389,0
2015-06-16,15:50:00,11.48,11.48,11.48,11.48,430,0
2015-06-16,16:05:00,11.48,11.48,11.48,11.48,101,0
2015-06-16,16:10:00,11.49,11.5,11.46,11.49,31787,0
2015-06-16,16:15:00,11.47,11.47,11.47,11.47,6073,0
2015-06-16,16:20:00,11.47,11.47,11.47,11.47,101,0
2015-06-16,16:25:00,11.47,11.47,11.47,11.47,101,0
2015-06-16,16:30:00,11.46,11.46,11.46,11.46,202,0
2015-06-16,16:35:00,11.48,11.48,11.47,11.47,304,0
2015-06-16,16:40:00,11.47,11.47,11.47,11.47,202,0
2015-06-16,16:45:00,11.48,11.48,11.48,11.48,304,0
2015-06-16,16:50:00,11.48,11.48,11.48,11.48,202,0
2015-06-16,16:55:00,11.49,11.49,11.48,11.48,607,0
2015-06-16,17:00:00,11.48,11.48,11.48,11.48,304,0
2015-06-16,17:05:00,11.48,11.48,11.48,11.48,202,0
2015-06-16,17:10:00,11.49,11.49,11.48,11.49,1316,0
2015-06-16,17:15:00,11.52,11.52,11.5,11.5,202,0
2015-06-16,17:20:00,11.51,11.54,11.51,11.54,1215,0
2015-06-16,17:25:00,11.54,11.54,11.53,11.54,3138,0
2015-06-16,17:30:00,11.51,11.53,11.51,11.53,304,0
2015-06-16,17:35:00,11.53,11.53,11.53,11.53,1518,0
2015-06-16,17:40:00,11.5,11.5,11.5,11.5,304,0
2015-06-16,17:45:00,11.5,11.5,11.5,11.5,101,0
2015-06-16,17:50:00,11.52,11.52,11.52,11.52,607,0
2015-06-16,17:55:00,11.52,11.52,11.52,11.52,202,0
2015-06-16,18:00:00,11.525,11.525,11.525,11.525,101,0
2015-06-16,18:05:00,11.53,11.53,11.53,11.53,304,0
2015-06-16,18:10:00,11.53,11.53,11.53,11.53,101,0
2015-06-16,18:15:00,11.53,11.53,11.53,11.53,202,0
2015-06-16,18:20:00,11.53,11.56,11.53,11.56,607,0
2015-06-16,18:25:00,11.54,11.54,11.51,11.51,405,0
2015-06-16,18:30:00,11.51,11.51,11.51,11.51,101,0
2015-06-16,18:35:00,11.53,11.53,11.53,11.53,202,0
2015-06-16,18:40:00,11.52,11.53,11.52,11.53,202,0
2015-06-16,18:45:00,11.52,11.52,11.52,11.52,101,0
2015-06-16,18:55:00,11.52,11.52,11.52,11.52,202,0
2015-06-16,19:00:00,11.52,11.52,11.52,11.52,202,0
2015-06-16,19:05:00,11.53,11.53,11.53,11.53,202,0
2015-06-16,19:10:00,11.53,11.53,11.53,11.53,101,0
2015-06-16,19:15:00,11.52,11.52,11.52,11.52,202,0
2015-06-16,19:20:00,11.54,11.54,11.54,11.54,202,0
2015-06-16,19:25:00,11.54,11.54,11.54,11.54,202,0
2015-06-16,19:30:00,11.54,11.54,11.54,11.54,202,0
2015-06-16,19:35:00,11.549,11.549,11.549,11.549,202,0
2015-06-16,19:40:00,11.549,11.549,11.549,11.549,202,0
2015-06-16,19:45:00,11.53,11.53,11.53,11.53,202,0
2015-06-16,19:50:00,11.53,11.53,11.53,11.53,202,0
2015-06-16,19:55:00,11.54,11.54,11.54,11.54,202,0
2015-06-16,20:00:00,11.54,11.54,11.54,11.54,202,0
2015-06-16,20:05:00,11.54,11.54,11.54,11.54,202,0
2015-06-16,20:10:00,11.549,11.549,11.549,11.549,202,0
2015-06-16,20:15:00,11.54,11.54,11.54,11.54,202,0
2015-06-16,20:20:00,11.549,11.549,11.549,11.549,405,0
2015-06-16,20:25:00,11.549,11.549,11.549,11.549,202,0
2015-06-16,20:30:00,11.549,11.549,11.549,11.549,202,0
2015-06-16,20:35:00,11.556,11.556,11.549,11.549,376,0
2015-06-16,20:40:00,11.549,11.549,11.549,11.549,101,0
2015-06-16,20:45:00,11.54,11.54,11.54,11.54,101,0
2015-06-16,20:50:00,11.54,11.54,11.54,11.54,405,0
2015-06-16,20:55:00,11.54,11.54,11.54,11.54,202,0
2015-06-16,21:00:00,11.54,11.54,11.54,11.54,304,0
2015-06-16,21:05:00,11.54,11.54,11.54,11.54,506,0
2015-06-16,21:10:00,11.54,11.54,11.54,11.54,202,0
2015-06-16,21:15:00,11.54,11.54,11.54,11.54,202,0
2015-06-16,21:20:00,11.54,11.54,11.54,11.54,405,0
2015-06-16,21:25:00,11.53,11.53,11.53,11.53,202,0
2015-06-16,21:30:00,11.54,11.54,11.54,11.54,174,0
2015-06-16,21:35:00,11.53,11.53,11.53,11.53,405,0
2015-06-16,21:40:00,11.569,11.569,11.53,11.54,1339,0
2015-06-16,21:45:00,11.53,11.53,11.53,11.53,405,0
2015-06-16,21:50:00,11.53,11.53,11.53,11.53,202,0
2015-06-16,21:55:00,11.53,11.53,11.52,11.52,709,0
2015-06-16,22:00:00,11.52,11.53,11.51,11.53,987,0
2015-06-17,15:35:00,11.54,11.54,11.54,11.54,810,0
2015-06-17,15:50:00,11.559,11.559,11.559,11.559,101,0
2015-06-17,16:15:00,11.559,11.559,11.559,11.559,101,0
2015-06-17,17:25:00,11.53,11.53,11.53,11.53,950,0
2015-06-17,17:35:00,11.514,11.514,11.514,11.514,455,0
2015-06-17,17:40:00,11.51,11.51,11.49,11.505,3181,0
2015-06-17,18:20:00,11.489,11.529,11.489,11.529,2836,0
2015-06-17,19:55:00,11.48,11.48,11.48,11.48,101,0
2015-06-17,20:05:00,11.441,11.441,11.441,11.441,431,0
2015-06-17,20:15:00,11.5,11.5,11.5,11.5,105,0
2015-06-17,20:45:00,11.535,11.574,11.535,11.539,1388,0
2015-06-17,20:55:00,11.579,11.579,11.579,11.579,405,0
2015-06-17,21:20:00,11.579,11.579,11.579,11.579,817,0
2015-06-17,21:35:00,11.589,11.589,11.589,11.589,202,0
2015-06-17,21:50:00,11.618,11.618,11.592,11.592,863,0
2015-06-17,21:55:00,11.53,11.53,11.53,11.53,202,0
2015-06-18,15:35:00,11.52,11.52,11.505,11.505,1150,0
2015-06-18,15:55:00,11.579,11.579,11.579,11.579,101,0
2015-06-18,16:15:00,11.667,11.667,11.667,11.667,101,0
2015-06-18,16:20:00,11.599,11.599,11.599,11.599,304,0
2015-06-18,16:30:00,11.597,11.597,11.597,11.597,405,0
2015-06-18,16:50:00,11.569,11.62,11.569,11.62,2439,0
2015-06-18,17:05:00,11.589,11.599,11.579,11.579,23078,0
2015-06-18,17:40:00,11.678,11.678,11.678,11.678,433,0
2015-06-18,17:45:00,11.678,11.678,11.678,11.678,380,0
2015-06-18,18:25:00,11.717,11.717,11.717,11.717,304,0
2015-06-18,19:25:00,11.637,11.637,11.637,11.637,253,0
2015-06-18,20:45:00,11.664,11.664,11.664,11.664,253,0
2015-06-18,21:40:00,11.698,11.707,11.698,11.698,1619,0
2015-06-18,21:55:00,11.619,11.619,11.619,11.619,160,0
2015-06-18,22:00:00,11.619,11.619,11.619,11.619,152,0
2015-06-19,16:00:00,11.583,11.619,11.583,11.619,652,0
2015-06-19,16:35:00,11.609,11.609,11.609,11.609,1518,0
2015-06-19,17:55:00,11.619,11.619,11.619,11.619,810,0
2015-06-19,18:10:00,11.628,11.628,11.609,11.609,1215,0
2015-06-19,18:25:00,11.628,11.628,11.628,11.628,202,0
2015-06-19,18:30:00,11.63,11.63,11.63,11.63,131,0
2015-06-19,19:25:00,11.658,11.658,11.658,11.658,202,0
2015-06-19,19:35:00,11.658,11.658,11.609,11.609,5365,0
2015-06-19,20:10:00,11.624,11.624,11.624,11.624,248,0
2015-06-19,20:20:00,11.622,11.622,11.622,11.622,921,0
2015-06-19,20:45:00,11.658,11.668,11.658,11.668,506,0
2015-06-19,20:50:00,11.609,11.609,11.609,11.609,675,0
2015-06-19,21:00:00,11.633,11.633,11.633,11.633,1012,0
2015-06-19,21:05:00,11.662,11.662,11.662,11.662,1033,0
2015-06-19,21:10:00,11.658,11.658,11.658,11.658,202,0
2015-06-19,21:45:00,11.658,11.658,11.658,11.658,253,0
2015-06-19,21:55:00,11.632,11.643,11.632,11.643,792,0
2015-06-19,22:00:00,11.609,11.609,11.609,11.609,445,0
2015-06-22,15:35:00,11.668,11.668,11.668,11.668,1167,0
2015-06-22,15:40:00,11.708,11.708,11.708,11.708,506,0
2015-06-22,16:00:00,11.806,11.806,11.806,11.806,304,0
2015-06-22,16:25:00,11.816,11.816,11.816,11.816,404,0
2015-06-22,16:30:00,11.794,11.794,11.794,11.794,846,0
2015-06-22,16:35:00,11.794,11.794,11.794,11.794,508,0
2015-06-22,16:40:00,11.816,11.816,11.816,11.816,101,0
2015-06-22,17:15:00,11.826,11.826,11.826,11.826,304,0
2015-06-22,17:25:00,11.845,11.846,11.845,11.846,643,0
2015-06-22,17:30:00,11.846,11.846,11.826,11.826,1008,0
2015-06-22,17:40:00,11.836,11.846,11.836,11.846,1012,0
2015-06-22,17:45:00,11.845,11.845,11.826,11.826,1721,0
2015-06-22,17:55:00,11.826,11.826,11.826,11.826,127,0
2015-06-22,18:10:00,11.826,11.826,11.787,11.787,1215,0
2015-06-22,18:15:00,11.787,11.787,11.787,11.787,202,0
2015-06-22,18:20:00,11.816,11.826,11.816,11.826,4150,0
2015-06-22,18:25:00,11.816,11.816,11.816,11.816,405,0
2015-06-22,18:30:00,11.826,11.826,11.826,11.826,1012,0
2015-06-22,18:55:00,11.825,11.826,11.816,11.826,1822,0
2015-06-22,19:00:00,11.826,11.826,11.826,11.826,1316,0
2015-06-22,19:10:00,11.816,11.816,11.816,11.816,404,0
2015-06-22,19:20:00,11.819,11.819,11.816,11.816,709,0
2015-06-22,19:25:00,11.826,11.826,11.826,11.826,709,0
2015-06-22,19:30:00,11.816,11.816,11.811,11.811,304,0
2015-06-22,19:35:00,11.806,11.806,11.806,11.806,405,0
2015-06-22,19:50:00,11.796,11.796,11.787,11.787,3138,0
2015-06-22,20:00:00,11.796,11.806,11.796,11.806,709,0
2015-06-22,20:30:00,11.806,11.806,11.799,11.799,1215,0
2015-06-22,21:05:00,11.813,11.813,11.813,11.813,202,0
2015-06-22,21:25:00,11.816,11.816,11.787,11.816,304,0
2015-06-22,21:30:00,11.806,11.806,11.806,11.806,253,0
2015-06-22,21:50:00,11.8,11.8,11.8,11.8,287,0
2015-06-22,21:55:00,11.787,11.787,11.787,11.787,202,0
2015-06-22,22:00:00,11.79,11.796,11.777,11.777,3131,0
2015-06-23,15:35:00,11.806,11.806,11.806,11.806,413,0
2015-06-23,15:40:00,11.826,11.826,11.826,11.826,810,0
2015-06-23,17:10:00,11.778,11.778,11.778,11.778,146,0
2015-06-23,17:50:00,11.767,11.767,11.767,11.767,101,0
2015-06-23,18:15:00,11.787,11.802,11.787,11.802,405,0
2015-06-23,18:20:00,11.785,11.785,11.785,11.785,418,0
2015-06-23,18:55:00,11.767,11.767,11.767,11.767,132,0
2015-06-23,19:35:00,11.767,11.767,11.767,11.767,220,0
2015-06-23,20:50:00,11.788,11.788,11.788,11.788,175,0
2015-06-23,21:00:00,11.788,11.788,11.788,11.788,186,0
2015-06-23,21:05:00,11.787,11.787,11.787,11.787,404,0
2015-06-23,21:10:00,11.787,11.796,11.757,11.787,7144,0
2015-06-23,21:15:00,11.777,11.777,11.777,11.777,202,0
2015-06-23,21:50:00,11.801,11.801,11.801,11.801,425,0
2015-06-24,15:35:00,11.77,11.825,11.77,11.825,2308,0
2015-06-24,15:40:00,11.87,11.87,11.87,11.87,100,0
2015-06-24,15:45:00,11.87,11.87,11.79,11.79,397,0
2015-06-24,15:50:00,11.8565,11.8565,11.8565,11.8565,200,0
2015-06-24,16:00:00,11.86,11.86,11.86,11.86,600,0
2015-06-24,16:05:00,11.815,11.815,11.815,11.815,300,0
2015-06-24,16:20:00,11.83,11.835,11.815,11.815,400,0
2015-06-24,17:25:00,11.8,11.82,11.8,11.82,1200,0
2015-06-24,17:30:00,11.82,11.82,11.82,11.82,300,0
2015-06-24,17:40:00,11.8,11.8,11.8,11.8,186,0
2015-06-24,17:45:00,11.81,11.82,11.81,11.81,851,0
2015-06-24,17:55:00,11.82,11.86,11.82,11.86,700,0
2015-06-24,18:05:00,11.8,11.8,11.8,11.8,520,0
2015-06-24,18:15:00,11.79,11.79,11.79,11.79,100,0
2015-06-24,18:40:00,11.8,11.81,11.8,11.81,200,0
2015-06-24,18:45:00,11.81,11.82,11.81,11.82,300,0
2015-06-24,18:50:00,11.806,11.806,11.8,11.8,453,0
2015-06-24,18:55:00,11.845,11.845,11.8,11.8,1669,0
2015-06-24,19:15:00,11.7801,11.7801,11.7801,11.7801,1000,0
2015-06-24,19:25:00,11.79,11.79,11.79,11.79,400,0
2015-06-24,20:25:00,11.77,11.77,11.77,11.77,800,0
2015-06-24,20:35:00,11.78,11.8,11.78,11.79,400,0
2015-06-24,21:55:00,11.7801,11.7801,11.7801,11.7801,342,0
2015-06-25,15:35:00,11.8,11.8,11.8,11.8,1333,0
2015-06-25,15:40:00,11.87,11.87,11.87,11.87,100,0
2015-06-25,15:50:00,11.82,11.82,11.82,11.82,100,0
2015-06-25,15:55:00,11.83,11.83,11.83,11.83,100,0
2015-06-25,16:05:00,11.82,11.82,11.82,11.82,300,0
2015-06-25,16:15:00,11.82,11.82,11.82,11.82,600,0
2015-06-25,16:25:00,11.81,11.81,11.81,11.81,300,0
2015-06-25,16:35:00,11.82,11.82,11.82,11.82,1400,0
2015-06-25,17:00:00,11.82,11.82,11.82,11.82,800,0
2015-06-25,17:05:00,11.82,11.82,11.82,11.82,100,0
2015-06-25,17:10:00,11.8,11.8,11.75,11.77,30400,0
2015-06-25,17:35:00,11.79,11.79,11.79,11.79,500,0
2015-06-25,17:45:00,11.79,11.79,11.79,11.79,400,0
2015-06-25,17:50:00,11.79,11.79,11.79,11.79,300,0
2015-06-25,17:55:00,11.79,11.79,11.79,11.79,400,0
2015-06-25,18:00:00,11.79,11.79,11.79,11.79,200,0
2015-06-25,18:10:00,11.79,11.79,11.79,11.79,1300,0
2015-06-25,18:30:00,11.79,11.79,11.79,11.79,200,0
2015-06-25,18:35:00,11.79,11.79,11.79,11.79,600,0
2015-06-25,18:50:00,11.775,11.775,11.775,11.775,200,0
2015-06-25,18:55:00,11.77,11.77,11.77,11.77,200,0
2015-06-25,19:00:00,11.77,11.775,11.77,11.775,400,0
2015-06-25,19:05:00,11.775,11.775,11.775,11.775,200,0
2015-06-25,19:15:00,11.775,11.775,11.775,11.775,400,0
2015-06-25,19:25:00,11.78,11.78,11.78,11.78,600,0
2015-06-25,19:35:00,11.78,11.78,11.77,11.78,1400,0
2015-06-25,19:40:00,11.78,11.78,11.78,11.78,200,0
2015-06-25,19:45:00,11.775,11.775,11.775,11.775,400,0
2015-06-25,19:50:00,11.7722,11.7722,11.7722,11.7722,1200,0
2015-06-25,19:55:00,11.7761,11.78,11.77,11.77,1700,0
2015-06-25,20:10:00,11.77,11.77,11.77,11.77,400,0
2015-06-25,20:15:00,11.77,11.77,11.77,11.77,1500,0
2015-06-25,20:25:00,11.77,11.77,11.77,11.77,600,0
2015-06-25,20:35:00,11.78,11.78,11.77,11.77,811,0
2015-06-25,20:45:00,11.7421,11.78,11.724,11.78,1249,0
2015-06-25,20:50:00,11.736,11.736,11.736,11.736,200,0
2015-06-25,20:55:00,11.79,11.79,11.79,11.79,400,0
2015-06-25,21:05:00,11.78,11.78,11.78,11.78,300,0
2015-06-25,21:10:00,11.74,11.74,11.74,11.74,300,0
2015-06-25,21:15:00,11.74,11.77,11.74,11.77,300,0
2015-06-25,21:20:00,11.77,11.77,11.77,11.77,200,0
2015-06-25,21:25:00,11.76,11.76,11.76,11.76,200,0
2015-06-25,21:30:00,11.76,11.76,11.76,11.76,200,0
2015-06-25,21:35:00,11.76,11.76,11.75,11.75,200,0
2015-06-25,21:40:00,11.75,11.75,11.75,11.75,100,0
2015-06-25,21:45:00,11.75,11.75,11.75,11.75,100,0
2015-06-25,21:50:00,11.75,11.78,11.75,11.78,200,0
2015-06-25,21:55:00,11.77,11.77,11.77,11.77,100,0
2015-06-25,22:00:00,11.8,11.81,11.71,11.71,300,0
2015-06-26,15:35:00,11.71,11.71,11.71,11.71,356,0
2015-06-26,15:40:00,11.711,11.711,11.711,11.711,148,0
2015-06-26,15:55:00,11.79,11.79,11.79,11.79,620,0
2015-06-26,16:45:00,11.695,11.695,11.695,11.695,100,0
2015-06-26,17:35:00,11.694,11.694,11.694,11.694,267,0
2015-06-26,19:30:00,11.601,11.601,11.601,11.601,666,0
2015-06-26,20:05:00,11.7,11.7,11.7,11.7,200,0
