Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-23,15:35:00,10.14,10.14,10.1,10.12,66245,0
2015-07-23,15:40:00,10.12,10.12,10.08,10.12,107045,0
2015-07-23,15:45:00,10.13,10.17,10.13,10.15,158426,0
2015-07-23,15:50:00,10.149,10.165,10.14,10.1401,18774,0
2015-07-23,15:55:00,10.149,10.17,10.149,10.15,8685,0
2015-07-23,16:00:00,10.1432,10.1899,10.1432,10.175,47900,0
2015-07-23,16:05:00,10.17,10.19,10.1692,10.18,61100,0
2015-07-23,16:10:00,10.1801,10.1801,10.17,10.17,9651,0
2015-07-23,16:15:00,10.17,10.18,10.15,10.18,52283,0
2015-07-23,16:20:00,10.18,10.18,10.1602,10.18,47084,0
2015-07-23,16:25:00,10.17,10.17,10.1649,10.17,20519,0
2015-07-23,16:30:00,10.16,10.18,10.16,10.17,17975,0
2015-07-23,16:35:00,10.16,10.17,10.16,10.16,30768,0
2015-07-23,16:40:00,10.16,10.17,10.16,10.16,22950,0
2015-07-23,16:45:00,10.16,10.18,10.1599,10.18,24827,0
2015-07-23,16:50:00,10.18,10.2,10.179,10.2,25800,0
2015-07-23,16:55:00,10.21,10.21,10.19,10.1901,54568,0
2015-07-23,17:00:00,10.2,10.2001,10.2,10.2001,3360,0
2015-07-23,17:05:00,10.21,10.215,10.2095,10.21,41886,0
2015-07-23,17:10:00,10.21,10.2227,10.21,10.2127,40640,0
2015-07-23,17:15:00,10.21,10.23,10.21,10.225,36089,0
2015-07-23,17:20:00,10.23,10.24,10.23,10.24,48979,0
2015-07-23,17:25:00,10.2335,10.25,10.2301,10.24,15315,0
2015-07-23,17:30:00,10.25,10.27,10.25,10.27,40933,0
2015-07-23,17:35:00,10.2681,10.28,10.2681,10.28,42521,0
2015-07-23,17:40:00,10.28,10.32,10.28,10.32,20146,0
2015-07-23,17:45:00,10.3121,10.35,10.31,10.3399,15588,0
2015-07-23,17:50:00,10.34,10.36,10.34,10.36,56627,0
2015-07-23,17:55:00,10.36,10.37,10.35,10.37,135354,0
2015-07-23,18:00:00,10.36,10.38,10.35,10.3532,79025,0
2015-07-23,18:05:00,10.36,10.385,10.36,10.38,29120,0
2015-07-23,18:10:00,10.38,10.39,10.38,10.38,20527,0
2015-07-23,18:15:00,10.37,10.41,10.37,10.4,86135,0
2015-07-23,18:20:00,10.395,10.42,10.395,10.42,48460,0
2015-07-23,18:25:00,10.42,10.43,10.4099,10.4101,60418,0
2015-07-23,18:30:00,10.4223,10.4223,10.401,10.4099,24520,0
2015-07-23,18:35:00,10.41,10.42,10.4,10.4,17996,0
2015-07-23,18:40:00,10.3968,10.3968,10.38,10.38,21966,0
2015-07-23,18:45:00,10.38,10.38,10.37,10.38,7544,0
2015-07-23,18:50:00,10.3706,10.39,10.3706,10.39,2976,0
2015-07-23,18:55:00,10.39,10.39,10.3779,10.3779,8200,0
2015-07-23,19:00:00,10.3796,10.3796,10.36,10.37,11788,0
2015-07-23,19:05:00,10.37,10.38,10.36,10.38,22304,0
2015-07-23,19:10:00,10.36,10.3799,10.36,10.36,7802,0
2015-07-23,19:15:00,10.36,10.38,10.36,10.38,10843,0
2015-07-23,19:20:00,10.3799,10.38,10.3621,10.37,4765,0
2015-07-23,19:25:00,10.37,10.39,10.37,10.39,12346,0
2015-07-23,19:30:00,10.39,10.41,10.3899,10.3899,14218,0
2015-07-23,19:35:00,10.3829,10.39,10.38,10.39,6718,0
2015-07-23,19:40:00,10.385,10.4,10.385,10.39,2249,0
2015-07-23,19:45:00,10.3941,10.4,10.385,10.39,43506,0
2015-07-23,19:50:00,10.385,10.39,10.37,10.37,9900,0
2015-07-23,19:55:00,10.37,10.38,10.35,10.35,19634,0
2015-07-23,20:00:00,10.35,10.36,10.345,10.35,7100,0
2015-07-23,20:05:00,10.35,10.36,10.3451,10.35,8648,0
2015-07-23,20:10:00,10.35,10.36,10.35,10.3599,1669,0
2015-07-23,20:15:00,10.36,10.37,10.34,10.365,11327,0
2015-07-23,20:20:00,10.36,10.36,10.3421,10.35,5446,0
2015-07-23,20:25:00,10.35,10.37,10.3421,10.36,8512,0
2015-07-23,20:30:00,10.3599,10.37,10.3599,10.3699,9477,0
2015-07-23,20:35:00,10.3601,10.3665,10.36,10.365,2814,0
2015-07-23,20:40:00,10.36,10.36,10.345,10.35,9000,0
2015-07-23,20:45:00,10.3449,10.36,10.34,10.36,18205,0
2015-07-23,20:50:00,10.36,10.3601,10.355,10.3601,6600,0
2015-07-23,20:55:00,10.37,10.41,10.37,10.4,15149,0
2015-07-23,21:00:00,10.4058,10.4193,10.3988,10.3988,12956,0
2015-07-23,21:05:00,10.4,10.43,10.4,10.43,12884,0
2015-07-23,21:10:00,10.425,10.435,10.41,10.42,32136,0
2015-07-23,21:15:00,10.4201,10.45,10.4201,10.4479,80178,0
2015-07-23,21:20:00,10.44,10.4598,10.44,10.45,42035,0
2015-07-23,21:25:00,10.449,10.45,10.4301,10.4388,20442,0
2015-07-23,21:30:00,10.435,10.45,10.43,10.435,10618,0
2015-07-23,21:35:00,10.43,10.4377,10.42,10.4377,87294,0
2015-07-23,21:40:00,10.43,10.43,10.4,10.4,159694,0
2015-07-23,21:45:00,10.3999,10.4099,10.3799,10.4099,35301,0
2015-07-23,21:50:00,10.41,10.42,10.4,10.4,45838,0
2015-07-23,21:55:00,10.4,10.42,10.4,10.4165,21225,0
2015-07-23,22:00:00,10.415,10.42,10.38,10.38,121681,0
2015-07-24,15:35:00,10.4,10.4,10.31,10.4,68860,0
2015-07-24,15:40:00,10.42,10.44,10.4,10.4,39656,0
2015-07-24,15:45:00,10.4,10.41,10.39,10.39,47517,0
2015-07-24,15:50:00,10.395,10.395,10.365,10.37,87052,0
2015-07-24,15:55:00,10.375,10.3771,10.3299,10.3299,49769,0
2015-07-24,16:00:00,10.32,10.32,10.3,10.3099,36168,0
2015-07-24,16:05:00,10.31,10.355,10.31,10.34,29167,0
2015-07-24,16:10:00,10.33,10.345,10.3246,10.3301,14253,0
2015-07-24,16:15:00,10.33,10.37,10.33,10.3601,10050,0
2015-07-24,16:20:00,10.37,10.4179,10.37,10.4099,19048,0
2015-07-24,16:25:00,10.4,10.4499,10.4,10.44,34734,0
2015-07-24,16:30:00,10.4401,10.455,10.42,10.4299,19644,0
2015-07-24,16:35:00,10.43,10.4599,10.43,10.4599,20758,0
2015-07-24,16:40:00,10.4599,10.465,10.45,10.459,32358,0
2015-07-24,16:45:00,10.455,10.47,10.45,10.45,26291,0
2015-07-24,16:50:00,10.45,10.46,10.4301,10.4301,98289,0
2015-07-24,16:55:00,10.435,10.44,10.42,10.435,13410,0
2015-07-24,17:00:00,10.435,10.46,10.4301,10.4599,15010,0
2015-07-24,17:05:00,10.46,10.46,10.435,10.445,28462,0
2015-07-24,17:10:00,10.4301,10.44,10.43,10.43,14196,0
2015-07-24,17:15:00,10.435,10.45,10.43,10.44,17805,0
2015-07-24,17:20:00,10.435,10.445,10.42,10.42,16139,0
2015-07-24,17:25:00,10.415,10.43,10.41,10.43,4951,0
2015-07-24,17:30:00,10.425,10.43,10.409,10.41,30571,0
2015-07-24,17:35:00,10.41,10.415,10.4,10.405,5997,0
2015-07-24,17:40:00,10.419,10.43,10.4032,10.41,15500,0
2015-07-24,17:45:00,10.4088,10.41,10.4,10.4012,4524,0
