Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-11,15:40:00,22.241,22.241,22.241,22.241,101,0
2015-02-11,17:00:00,22.31,22.31,22.31,22.31,110,0
2015-02-11,17:15:00,22.39,22.39,22.39,22.39,506,0
2015-02-11,18:50:00,22.34,22.34,22.34,22.34,253,0
2015-02-12,15:40:00,22.577,22.577,22.577,22.577,303,0
2015-02-13,16:10:00,21.974,22.746,21.974,22.746,1416,0
2015-02-13,16:25:00,22.726,22.835,22.726,22.835,2022,0
2015-02-13,17:05:00,22.844,22.844,22.844,22.844,833,0
2015-02-13,18:00:00,23.022,23.022,23.013,23.013,506,0
2015-02-13,18:20:00,22.825,22.825,22.825,22.825,506,0
2015-02-13,18:55:00,22.835,22.835,22.835,22.835,101,0
2015-02-13,20:00:00,22.953,22.953,22.953,22.953,152,0
2015-02-17,15:50:00,22.765,22.765,22.765,22.765,455,0
2015-02-17,21:50:00,22.983,22.983,22.983,22.983,253,0
2015-02-19,21:40:00,22.904,22.904,22.904,22.904,152,0
2015-02-25,17:35:00,23.25,23.25,23.25,23.25,303,0
2015-02-25,17:40:00,23.25,23.25,23.25,23.25,1213,0
2015-02-25,18:25:00,23.369,23.369,23.369,23.369,607,0
2015-02-27,18:00:00,23.487,23.487,23.487,23.487,273,0
2015-02-27,18:40:00,23.467,23.467,23.467,23.467,202,0
2015-03-02,15:55:00,23.161,23.161,23.161,23.161,101,0
2015-03-02,17:10:00,23.25,23.25,23.25,23.25,1,0
2015-03-02,20:20:00,23.22,23.22,23.22,23.22,140,0
2015-03-02,21:40:00,23.24,23.24,23.24,23.24,195,0
2015-03-03,16:10:00,22.914,22.914,22.914,22.914,101,0
2015-03-03,17:25:00,23.032,23.078,23.032,23.078,5238,0
2015-03-05,17:15:00,23.042,23.072,23.042,23.072,21260,0
2015-03-06,16:20:00,22.965,22.965,22.965,22.965,273,0
2015-03-09,14:35:00,22.993,22.993,22.993,22.993,101,0
2015-03-09,15:00:00,22.795,22.795,22.795,22.795,101,0
2015-03-11,14:35:00,22.498,22.498,22.498,22.498,202,0
2015-03-11,15:40:00,22.271,22.271,22.271,22.271,101,0
2015-03-11,20:55:00,22.325,22.325,22.325,22.325,257,0
2015-03-13,16:45:00,22.449,22.449,22.449,22.449,1168,0
2015-03-13,20:00:00,22.36,22.36,22.36,22.36,101,0
2015-03-13,20:05:00,22.449,22.449,22.449,22.449,404,0
2015-03-13,21:00:00,22.498,22.498,22.498,22.498,607,0
2015-03-16,15:20:00,22.607,22.607,22.607,22.607,506,0
2015-03-16,19:35:00,22.607,22.627,22.607,22.627,202,0
2015-03-16,20:15:00,22.637,22.637,22.637,22.637,101,0
2015-03-16,20:35:00,22.647,22.647,22.647,22.647,228,0
2015-03-17,15:40:00,22.593,22.593,22.593,22.593,101,0
2015-03-17,15:45:00,22.58,22.58,22.58,22.58,152,0
2015-03-17,20:30:00,22.746,22.746,22.746,22.746,303,0
2015-03-17,20:45:00,22.736,22.736,22.736,22.736,101,0
2015-03-19,20:25:00,22.848,22.848,22.848,22.848,202,0
2015-03-20,18:45:00,23.438,23.438,23.438,23.438,708,0
2015-03-20,19:00:00,23.188,23.188,23.188,23.188,101,0
