Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-15,15:35:00,117.64,118.49,117.64,118.49,490,0
2015-04-15,16:10:00,118.49,118.49,118.49,118.49,95,0
2015-04-15,16:25:00,118.49,118.49,117.98,118.1258,399,0
2015-04-15,16:30:00,118.1258,118.1258,118.1258,118.1258,20,0
2015-04-15,16:35:00,118.1258,118.1258,117.87,117.8901,355,0
2015-04-15,17:05:00,117.8901,117.8901,117.5,117.5,360,0
2015-04-15,17:25:00,117.5,117.5,117.2,117.2,293,0
2015-04-15,17:45:00,117.988,117.988,117.988,117.988,140,0
2015-04-15,18:00:00,117.988,117.988,117.988,117.988,50,0
2015-04-15,19:10:00,117.988,117.988,117.988,117.988,50,0
2015-04-15,20:05:00,118.325,118.325,118.325,118.325,202,0
2015-04-15,20:50:00,118.52,118.52,118.52,118.52,198,0
2015-04-15,20:55:00,118.52,118.52,118.52,118.52,16,0
2015-04-15,21:30:00,118.52,118.52,118.52,118.52,87,0
2015-04-15,21:40:00,118.73,118.73,118.73,118.73,281,0
2015-04-15,21:50:00,118.73,118.73,118.73,118.73,143,0
2015-04-15,22:00:00,118.73,118.73,118.73,118.73,60,0
2015-04-16,16:45:00,117.98,117.98,117.98,117.98,242,0
2015-04-16,17:10:00,117.94,118.34,117.94,118.34,250,0
2015-04-16,17:45:00,118.34,118.34,118.34,118.34,218,0
2015-04-16,19:05:00,118.34,118.34,118.34,118.34,97,0
2015-04-16,19:15:00,118.0501,118.0501,118.0501,118.0501,164,0
2015-04-16,19:35:00,118.26,118.4096,118.26,118.4096,384,0
2015-04-16,20:05:00,119.04,119.04,119.04,119.04,118,0
2015-04-16,20:10:00,119.04,119.04,119.04,119.04,18,0
2015-04-16,20:20:00,119.0705,119.0705,119.0705,119.0705,134,0
2015-04-16,20:45:00,119.0705,119.0705,119.0705,119.0705,264,0
2015-04-16,20:50:00,119.0705,119.0705,119.0705,119.0705,147,0
2015-04-16,20:55:00,119.0705,119.0705,119.0705,119.0705,97,0
2015-04-16,21:30:00,119.0705,119.0705,119.0705,119.0705,97,0
2015-04-17,15:35:00,117.31,117.31,117.31,117.31,201,0
2015-04-17,16:05:00,116.17,116.17,116.17,116.17,200,0
2015-04-17,16:10:00,116.4,116.4,116.4,116.4,33,0
2015-04-17,16:25:00,115.89,115.89,115.83,115.83,113,0
2015-04-17,16:30:00,115.84,115.84,115.72,115.82,286,0
2015-04-17,16:40:00,116.32,116.32,116.32,116.32,100,0
2015-04-17,16:50:00,116.319,116.319,116.319,116.319,25,0
2015-04-17,17:05:00,115.76,115.76,115.46,115.46,176,0
2015-04-17,17:10:00,115.5101,115.58,115.5101,115.58,249,0
2015-04-17,17:25:00,115.26,115.26,115.26,115.26,39,0
2015-04-17,17:30:00,115.25,115.33,115.24,115.24,201,0
2015-04-17,18:05:00,115.92,115.92,115.92,115.92,10,0
2015-04-17,18:40:00,116.02,116.02,116.02,116.02,42,0
2015-04-17,18:45:00,116.02,116.02,116.02,116.02,33,0
2015-04-17,19:15:00,115.92,115.92,115.92,115.92,100,0
2015-04-17,19:30:00,115.84,116.25,115.8,116.25,469,0
2015-04-17,19:35:00,116.129,116.129,115.69,115.69,217,0
