Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-23,15:35:00,38.92,38.96,38.92,38.95,22720,0
2015-07-23,15:40:00,38.97,38.97,38.87,38.9,10884,0
2015-07-23,15:45:00,38.89,38.89,38.84,38.84,30718,0
2015-07-23,15:50:00,38.855,38.89,38.829,38.8799,6515,0
2015-07-23,15:55:00,38.8833,38.91,38.8435,38.89,3892,0
2015-07-23,16:00:00,38.88,38.9,38.8501,38.9,8463,0
2015-07-23,16:05:00,38.88,38.91,38.83,38.9,7829,0
2015-07-23,16:10:00,38.89,38.92,38.88,38.9154,8821,0
2015-07-23,16:15:00,38.935,38.98,38.93,38.98,3893,0
2015-07-23,16:20:00,38.98,39.02,38.98,39.01,12889,0
2015-07-23,16:25:00,39.0054,39.0167,38.999,39.009,3084,0
2015-07-23,16:30:00,39.009,39.009,38.994,38.994,600,0
2015-07-23,16:35:00,39.01,39.04,39.01,39.04,10025,0
2015-07-23,16:40:00,39.04,39.04,39,39.01,15516,0
2015-07-23,16:45:00,39.01,39.049,39.01,39.03,2452,0
2015-07-23,16:50:00,39.03,39.0599,39.0201,39.0599,3691,0
2015-07-23,16:55:00,39.05,39.08,39.0448,39.0448,12466,0
2015-07-23,17:00:00,39.05,39.05,39.0152,39.03,7026,0
2015-07-23,17:05:00,39.03,39.04,39.015,39.02,17796,0
2015-07-23,17:10:00,39.01,39.025,38.99,39.01,73773,0
2015-07-23,17:15:00,39.0064,39.0064,38.955,38.96,5466,0
2015-07-23,17:20:00,38.9562,38.97,38.9463,38.97,3822,0
2015-07-23,17:25:00,38.97,38.98,38.93,38.9459,23400,0
2015-07-23,17:30:00,38.95,38.95,38.8962,38.93,149652,0
2015-07-23,17:35:00,38.93,38.961,38.93,38.94,11369,0
2015-07-23,17:40:00,38.94,38.94,38.925,38.9265,2400,0
2015-07-23,17:45:00,38.92,38.92,38.88,38.88,2799,0
2015-07-23,17:50:00,38.88,38.88,38.84,38.84,3553,0
2015-07-23,17:55:00,38.8401,38.8401,38.8,38.8,7168,0
2015-07-23,18:00:00,38.8299,38.8299,38.8,38.82,1328,0
2015-07-23,18:05:00,38.83,38.83,38.79,38.8,5476,0
2015-07-23,18:10:00,38.78,38.83,38.77,38.83,69225,0
2015-07-23,18:15:00,38.8399,38.86,38.825,38.83,11561,0
2015-07-23,18:20:00,38.85,38.88,38.835,38.874,51777,0
2015-07-23,18:25:00,38.87,38.9,38.825,38.875,141996,0
2015-07-23,18:30:00,38.88,38.89,38.87,38.87,14357,0
2015-07-23,18:35:00,38.8678,38.8678,38.845,38.845,7488,0
2015-07-23,18:40:00,38.85,38.85,38.83,38.83,6214,0
2015-07-23,18:45:00,38.83,38.83,38.82,38.82,10718,0
2015-07-23,18:50:00,38.82,38.825,38.8,38.815,10425,0
2015-07-23,18:55:00,38.8,38.82,38.795,38.8,15700,0
2015-07-23,19:00:00,38.8,38.845,38.8,38.83,3610,0
2015-07-23,19:05:00,38.83,38.84,38.82,38.83,18031,0
2015-07-23,19:10:00,38.83,38.83,38.83,38.83,200,0
2015-07-23,19:15:00,38.85,38.85,38.83,38.84,500,0
2015-07-23,19:20:00,38.84,38.84,38.83,38.84,920,0
2015-07-23,19:25:00,38.8395,38.84,38.82,38.82,37672,0
2015-07-23,19:30:00,38.82,38.82,38.79,38.82,26059,0
2015-07-23,19:35:00,38.83,38.85,38.81,38.82,42749,0
2015-07-23,19:40:00,38.82,38.84,38.8,38.84,10000,0
2015-07-23,19:45:00,38.845,38.8501,38.84,38.85,6961,0
2015-07-23,19:50:00,38.86,38.92,38.86,38.92,11308,0
2015-07-23,19:55:00,38.91,38.92,38.89,38.91,9119,0
2015-07-23,20:00:00,38.91,38.9151,38.9,38.91,6652,0
2015-07-23,20:05:00,38.91,38.91,38.885,38.9,2148,0
2015-07-23,20:10:00,38.8735,38.875,38.86,38.86,2500,0
2015-07-23,20:15:00,38.868,38.87,38.84,38.84,16323,0
2015-07-23,20:20:00,38.85,38.8538,38.84,38.85,10267,0
2015-07-23,20:25:00,38.845,38.845,38.82,38.8341,6365,0
2015-07-23,20:30:00,38.83,38.8514,38.82,38.8514,9874,0
2015-07-23,20:35:00,38.855,38.87,38.85,38.86,8985,0
2015-07-23,20:40:00,38.86,38.88,38.845,38.88,11210,0
2015-07-23,20:45:00,38.89,38.89,38.89,38.89,668,0
2015-07-23,20:50:00,38.88,38.885,38.86,38.86,8980,0
2015-07-23,20:55:00,38.86,38.86,38.81,38.8156,13220,0
2015-07-23,21:00:00,38.81,38.83,38.79,38.82,52542,0
2015-07-23,21:05:00,38.82,38.82,38.8,38.815,4622,0
2015-07-23,21:10:00,38.8129,38.815,38.8129,38.815,200,0
2015-07-23,21:15:00,38.8158,38.8199,38.78,38.79,43974,0
2015-07-23,21:20:00,38.789,38.7933,38.76,38.765,16577,0
2015-07-23,21:25:00,38.7658,38.7683,38.76,38.76,1700,0
2015-07-23,21:30:00,38.7651,38.768,38.75,38.755,13137,0
2015-07-23,21:35:00,38.75,38.755,38.74,38.745,8274,0
2015-07-23,21:40:00,38.745,38.755,38.735,38.755,20625,0
2015-07-23,21:45:00,38.7549,38.78,38.75,38.775,22540,0
2015-07-23,21:50:00,38.77,38.78,38.76,38.775,7262,0
2015-07-23,21:55:00,38.77,38.78,38.75,38.76,24979,0
2015-07-23,22:00:00,38.76,38.785,38.75,38.78,89881,0
