Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-06,15:35:00,83.489,83.489,83.489,83.489,300,0
2015-01-06,15:40:00,82.86,82.86,82.681,82.681,500,0
2015-01-06,15:45:00,82.431,82.431,81.792,81.902,2804,0
2015-01-06,15:50:00,82.081,82.131,82.081,82.131,1002,0
2015-01-06,15:55:00,82.261,82.261,82.261,82.261,100,0
2015-01-06,16:00:00,82.491,82.491,82.321,82.321,200,0
2015-01-06,16:05:00,82.191,82.191,81.912,82.071,701,0
2015-01-06,16:10:00,82.061,82.061,81.982,81.982,500,0
2015-01-06,16:15:00,81.832,82.341,81.832,82.341,802,0
2015-01-06,16:40:00,82.371,82.371,82.371,82.371,100,0
2015-01-06,16:50:00,81.642,81.652,81.612,81.622,400,0
2015-01-06,16:55:00,81.432,81.432,81.432,81.432,300,0
2015-01-06,17:05:00,80.714,80.893,80.714,80.893,701,0
2015-01-06,17:10:00,81.182,81.182,81.182,81.182,100,0
2015-01-06,17:15:00,81.162,81.162,81.162,81.162,200,0
2015-01-06,17:20:00,80.893,80.893,80.773,80.773,701,0
2015-01-06,17:50:00,80.014,80.014,79.894,79.894,300,0
2015-01-06,18:05:00,79.884,79.884,79.506,79.506,976,0
2015-01-06,18:10:00,79.176,79.176,79.176,79.176,100,0
2015-01-06,18:15:00,79.246,79.246,79.246,79.246,100,0
2015-01-06,18:20:00,79.236,79.236,79.236,79.236,500,0
2015-01-06,18:25:00,79.196,79.206,79.196,79.206,200,0
2015-01-06,18:30:00,79.126,79.176,79.126,79.176,300,0
2015-01-06,19:20:00,78.936,78.936,78.936,78.936,300,0
2015-01-06,19:30:00,78.666,78.816,78.626,78.816,300,0
2015-01-06,19:35:00,78.756,78.846,78.756,78.846,400,0
2015-01-06,19:40:00,78.896,78.896,78.896,78.896,100,0
2015-01-06,19:45:00,78.676,78.676,78.676,78.676,100,0
2015-01-06,20:00:00,79.096,79.126,79.096,79.126,200,0
2015-01-06,20:15:00,79.226,79.226,79.226,79.226,100,0
2015-01-06,20:30:00,79.116,79.206,79.116,79.206,500,0
2015-01-06,20:50:00,80.104,80.104,80.104,80.104,100,0
2015-01-06,21:00:00,80.404,80.404,80.174,80.174,200,0
2015-01-06,21:05:00,80.024,80.024,80.024,80.024,100,0
2015-01-06,21:20:00,80.314,80.434,80.314,80.434,200,0
2015-01-06,21:25:00,80.803,80.803,80.803,80.803,300,0
2015-01-06,21:35:00,80.714,80.714,80.384,80.384,822,0
2015-01-06,21:40:00,80.374,80.374,79.994,79.994,200,0
2015-01-06,21:50:00,80.204,80.474,80.204,80.474,701,0
2015-01-06,22:00:00,79.704,79.704,79.704,79.704,100,0
2015-01-07,16:05:00,82.241,82.241,82.241,82.241,100,0
2015-01-07,16:15:00,81.882,81.882,81.882,81.882,200,0
2015-01-07,16:30:00,81.382,81.382,81.302,81.332,827,0
2015-01-07,16:35:00,81.262,81.262,81.232,81.232,200,0
2015-01-07,16:45:00,80.943,80.943,80.773,80.803,1202,0
2015-01-07,16:50:00,80.843,80.933,80.843,80.933,400,0
2015-01-07,17:00:00,81.382,81.382,81.382,81.382,600,0
2015-01-07,17:05:00,81.152,81.152,81.122,81.122,200,0
2015-01-07,17:10:00,80.724,80.724,80.724,80.724,200,0
2015-01-07,17:20:00,80.424,80.424,80.424,80.424,300,0
2015-01-07,17:25:00,80.304,80.304,80.304,80.304,100,0
2015-01-07,17:35:00,80.214,80.264,80.214,80.264,400,0
2015-01-07,17:55:00,80.803,80.833,80.803,80.833,200,0
2015-01-07,18:10:00,81.522,81.792,81.522,81.792,1802,0
2015-01-07,18:15:00,81.892,81.892,81.892,81.892,120,0
2015-01-07,19:25:00,81.602,81.602,81.572,81.572,902,0
2015-01-07,20:05:00,82.151,82.161,81.832,82.161,2203,0
2015-01-07,20:10:00,82.301,82.301,82.181,82.181,802,0
2015-01-07,20:25:00,82.131,82.151,82.091,82.091,600,0
2015-01-07,21:10:00,81.662,81.712,81.662,81.702,802,0
2015-01-07,21:20:00,81.822,81.822,81.822,81.822,200,0
2015-01-07,21:35:00,81.752,81.752,81.752,81.752,200,0
2015-01-08,15:35:00,83.479,84.139,83.479,84.139,489,0
2015-01-08,15:40:00,84.348,84.667,84.029,84.029,1102,0
2015-01-08,15:45:00,84.537,84.537,84.537,84.537,300,0
2015-01-08,16:05:00,84.657,84.657,84.657,84.657,400,0
2015-01-08,16:45:00,84.727,84.727,84.727,84.727,200,0
2015-01-08,17:30:00,84.967,84.967,84.967,84.967,135,0
2015-01-08,18:00:00,85.367,85.367,85.367,85.367,300,0
2015-01-08,18:15:00,84.877,84.877,84.877,84.877,400,0
2015-01-08,19:55:00,85.317,85.317,85.317,85.317,100,0
2015-01-08,20:00:00,85.367,85.367,85.367,85.367,651,0
2015-01-08,21:00:00,85.597,85.597,85.597,85.597,701,0
2015-01-09,15:50:00,84.987,84.987,84.767,84.767,400,0
2015-01-09,16:00:00,83.959,84.039,83.799,83.799,500,0
2015-01-09,16:10:00,83.829,84.059,83.829,84.059,300,0
2015-01-09,16:15:00,84.199,84.199,84.199,84.199,100,0
2015-01-09,16:20:00,84.159,84.159,84.159,84.159,200,0
2015-01-09,16:30:00,83.769,83.769,83.749,83.749,200,0
2015-01-09,16:35:00,83.479,83.479,83.479,83.479,100,0
2015-01-09,17:15:00,82.651,82.651,82.651,82.651,802,0
2015-01-09,17:30:00,82.351,82.351,82.351,82.351,100,0
2015-01-09,17:45:00,82.661,82.661,82.661,82.661,200,0
2015-01-09,18:00:00,82.94,82.94,82.94,82.94,100,0
2015-01-09,18:10:00,83.19,83.19,83.19,83.19,100,0
2015-01-09,18:35:00,83.05,83.05,83.05,83.05,100,0
