Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-01,15:35:00,28.26,28.26,28.19,28.19,8289,0
2015-07-01,15:45:00,28.2,28.2,28.2,28.2,783,0
2015-07-01,15:50:00,28.2,28.2,28.1556,28.1556,1850,0
2015-07-01,16:00:00,28.15,28.2,28.15,28.2,2200,0
2015-07-01,16:05:00,28.2,28.2,28.2,28.2,200,0
2015-07-01,16:10:00,28.194,28.206,28.194,28.206,505,0
2015-07-01,16:15:00,28.2,28.2,28.2,28.2,200,0
2015-07-01,16:20:00,28.1975,28.1975,28.1975,28.1975,989,0
2015-07-01,16:30:00,28.174,28.19,28.17,28.19,352,0
2015-07-01,16:35:00,28.17,28.17,28.12,28.12,1200,0
2015-07-01,16:50:00,28.15,28.1699,28.09,28.09,2313,0
2015-07-01,16:55:00,28.14,28.1499,28.14,28.1499,3130,0
2015-07-01,17:05:00,28.114,28.114,28.114,28.114,3103,0
2015-07-01,17:10:00,28.1,28.1,28.1,28.1,100,0
2015-07-01,17:15:00,28.11,28.11,28.11,28.11,52229,0
2015-07-01,17:30:00,28.12,28.12,28.12,28.12,100,0
2015-07-01,17:45:00,28.134,28.134,28.134,28.134,700,0
2015-07-01,17:50:00,28.1048,28.134,28.08,28.08,770,0
2015-07-01,17:55:00,28.126,28.126,28.12,28.12,850,0
2015-07-01,18:00:00,28.136,28.136,28.13,28.136,651,0
2015-07-01,18:05:00,28.124,28.124,28.124,28.124,935,0
2015-07-01,18:10:00,28.11,28.11,28.11,28.11,100,0
2015-07-01,18:20:00,28.11,28.11,28.11,28.11,100,0
2015-07-01,18:35:00,28.09,28.09,28.09,28.09,100,0
2015-07-01,18:45:00,28.08,28.08,28.08,28.08,117,0
2015-07-01,19:00:00,28.0841,28.0841,28.058,28.058,710,0
2015-07-01,19:10:00,28.01,28.01,28.01,28.01,100,0
2015-07-01,19:20:00,28.0347,28.073,28.0347,28.073,591,0
2015-07-01,19:40:00,28.0272,28.07,28.0272,28.0525,941,0
2015-07-01,19:45:00,28.06,28.06,28.06,28.06,300,0
2015-07-01,20:00:00,28.03,28.035,28.03,28.035,200,0
2015-07-01,20:30:00,28.01,28.01,28.01,28.01,200,0
2015-07-01,20:35:00,28,28.02,28,28.02,2000,0
2015-07-01,20:50:00,28.0096,28.0096,28.0096,28.0096,360,0
2015-07-01,20:55:00,28,28,28,28,1100,0
2015-07-01,21:00:00,28,28.0099,27.996,27.996,1908,0
2015-07-01,21:15:00,28.01,28.01,28.01,28.01,900,0
2015-07-01,21:35:00,28.05,28.05,27.99,27.99,500,0
2015-07-01,21:45:00,28.053,28.053,28.053,28.053,663,0
2015-07-01,21:50:00,28.0326,28.0326,28.0326,28.0326,343,0
2015-07-01,21:55:00,28.05,28.059,28.048,28.048,887,0
2015-07-01,22:00:00,28.06,28.08,28.06,28.08,2093,0
2015-07-02,15:35:00,28.11,28.11,28.0489,28.0489,7127,0
2015-07-02,15:55:00,28.02,28.044,28.02,28.02,790,0
2015-07-02,16:00:00,28.0497,28.0497,28.0497,28.0497,700,0
2015-07-02,16:15:00,28.039,28.039,28.039,28.039,320,0
2015-07-02,16:20:00,28.023,28.023,28.023,28.023,137,0
2015-07-02,16:30:00,28.048,28.05,28.048,28.05,1200,0
2015-07-02,16:35:00,28.059,28.059,28.059,28.059,1068,0
2015-07-02,16:55:00,28.04,28.04,28.04,28.04,300,0
2015-07-02,17:05:00,28.05,28.05,28.05,28.05,900,0
2015-07-02,17:15:00,28.0495,28.05,28.0495,28.0499,500,0
2015-07-02,17:25:00,28.005,28.05,28.005,28.05,224,0
2015-07-02,17:30:00,28.005,28.005,28.005,28.005,1968,0
2015-07-02,17:45:00,28.058,28.06,28,28.01,55900,0
2015-07-02,17:50:00,28.01,28.01,28.01,28.01,300,0
2015-07-02,17:55:00,28.009,28.01,28.009,28.0099,500,0
2015-07-02,18:05:00,28.01,28.01,28.01,28.01,100,0
2015-07-02,18:10:00,27.99,27.99,27.99,27.99,100,0
2015-07-02,18:20:00,28.003,28.003,28.003,28.003,200,0
2015-07-02,18:45:00,28.001,28.001,28.001,28.001,100,0
2015-07-02,18:50:00,28.009,28.009,28.009,28.009,150,0
2015-07-02,18:55:00,28.009,28.009,28,28,242,0
2015-07-02,19:00:00,28.003,28.01,28.003,28.01,840,0
2015-07-02,19:10:00,28.01,28.01,28.01,28.01,100,0
2015-07-02,19:20:00,28.009,28.009,28.008,28.008,1602,0
2015-07-02,19:25:00,28.002,28.002,28,28,300,0
2015-07-02,19:35:00,28.01,28.01,28.01,28.01,100,0
2015-07-02,19:40:00,28.009,28.01,27.998,27.9995,3861,0
2015-07-02,19:50:00,28.01,28.01,28.01,28.01,100,0
2015-07-02,19:55:00,28.01,28.01,28.01,28.01,400,0
2015-07-02,20:00:00,28.01,28.01,28.005,28.005,756,0
2015-07-02,20:05:00,28.01,28.01,28.005,28.01,1356,0
2015-07-02,20:10:00,28.01,28.01,28.0099,28.01,2383,0
2015-07-02,20:15:00,28.01,28.01,28.01,28.01,400,0
2015-07-02,20:20:00,28.01,28.01,28.01,28.01,103,0
2015-07-02,20:30:00,28.01,28.01,28.0099,28.0099,3554,0
2015-07-02,21:00:00,28.01,28.01,28.01,28.01,100,0
2015-07-02,21:25:00,28.01,28.01,28.0099,28.01,2100,0
2015-07-02,21:30:00,28.01,28.01,28.0001,28.0001,714,0
2015-07-02,21:35:00,28.01,28.02,28.01,28.02,400,0
2015-07-02,21:55:00,28,28.07,28,28,1918,0
2015-07-02,22:00:00,28.0369,28.07,28.0369,28.07,970,0
2015-07-06,15:35:00,27.57,27.57,27.51,27.56,2262,0
2015-07-06,16:00:00,27.533,27.533,27.533,27.533,739,0
2015-07-06,16:05:00,27.576,27.576,27.576,27.576,900,0
2015-07-06,16:20:00,27.5701,27.596,27.5701,27.596,372,0
2015-07-06,16:35:00,27.5899,27.59,27.5899,27.59,468,0
2015-07-06,16:40:00,27.629,27.629,27.629,27.629,220,0
2015-07-06,16:50:00,27.6599,27.66,27.6599,27.66,850,0
2015-07-06,17:00:00,27.654,27.654,27.654,27.654,1224,0
2015-07-06,17:05:00,27.674,27.674,27.6727,27.6727,732,0
2015-07-06,17:15:00,27.686,27.686,27.63,27.63,636,0
2015-07-06,18:30:00,27.63,27.63,27.63,27.63,100,0
2015-07-06,18:50:00,27.586,27.586,27.586,27.586,210,0
2015-07-06,18:55:00,27.6099,27.6099,27.6099,27.6099,100,0
2015-07-06,19:05:00,27.6095,27.6095,27.6095,27.6095,1068,0
