Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-09,15:40:00,19.7,19.7,19.7,19.7,300,0
2014-10-09,15:50:00,19.7,19.7,19.7,19.7,1000,0
2014-10-09,16:25:00,19.61,19.61,19.61,19.61,1000,0
2014-10-09,16:40:00,19.57,19.57,19.57,19.57,1000,0
2014-10-09,16:55:00,19.53,19.53,19.53,19.53,1000,0
2014-10-09,17:10:00,19.5,19.5,19.5,19.5,500,0
2014-10-09,17:40:00,19.53,19.53,19.53,19.53,250,0
2014-10-09,17:50:00,19.53,19.53,19.53,19.53,100,0
2014-10-09,21:55:00,19.65,19.7,19.6,19.6,2350,0
2014-10-10,15:45:00,19.64,19.64,19.64,19.64,700,0
2014-10-10,16:30:00,19.8,19.8,19.8,19.8,500,0
2014-10-10,16:40:00,19.77,19.77,19.77,19.77,100,0
2014-10-10,16:45:00,19.76,19.78,19.76,19.78,600,0
2014-10-10,17:30:00,19.76,19.76,19.76,19.76,250,0
2014-10-10,20:30:00,19.78,19.78,19.78,19.78,451,0
2014-10-13,17:15:00,19.8,19.8,19.8,19.8,176,0
2014-10-13,19:45:00,19.8,19.8,19.8,19.8,700,0
2014-10-14,18:05:00,19.69,19.69,19.69,19.69,200,0
2014-10-17,17:45:00,19.6,19.6,19.6,19.6,600,0
2014-10-17,19:35:00,19.58,19.58,19.57,19.57,2000,0
2014-10-17,20:30:00,19.54,19.54,19.54,19.54,1000,0
2014-10-20,15:45:00,19.61,19.61,19.61,19.61,1000,0
2014-10-20,15:50:00,19.61,19.61,19.61,19.61,2000,0
2014-10-20,21:55:00,19.77,19.77,19.77,19.77,300,0
2014-10-20,22:00:00,19.75,19.77,19.63,19.63,600,0
2014-10-24,16:30:00,19.73,19.75,19.73,19.75,200,0
2014-10-28,17:20:00,20.05,20.05,20.05,20.05,500,0
2014-10-29,20:30:00,19.99,19.99,19.99,19.99,300,0
2014-10-29,20:35:00,20.02,20.02,20.02,20.02,300,0
2014-11-05,19:10:00,20.33,20.33,20.33,20.33,100,0
2014-11-05,19:15:00,20.37,20.37,20.37,20.37,100,0
2014-11-05,22:00:00,20.39,20.39,20.39,20.39,229,0
2014-11-06,17:05:00,20.4,20.4,20.4,20.4,200,0
2014-11-10,15:35:00,20.28,20.28,20.28,20.28,500,0
2014-11-10,15:40:00,20.28,20.33,20.28,20.33,900,0
2014-11-10,15:45:00,20.33,20.4,20.33,20.4,900,0
2014-11-10,15:50:00,20.4,20.5,20.4,20.5,900,0
2014-11-10,15:55:00,20.5,20.5,20.5,20.5,100,0
2014-11-10,16:50:00,20.36,20.36,20.36,20.36,340,0
2014-11-10,19:35:00,20.45,20.45,20.45,20.45,3000,0
2014-11-10,19:40:00,20.32,20.36,20.32,20.36,6000,0
2014-11-10,20:15:00,20.3,20.3,20.3,20.3,3000,0
2014-11-10,21:35:00,20.39,20.39,20.39,20.39,2800,0
2014-11-10,21:45:00,20.32,20.32,20.32,20.32,1000,0
2014-11-12,18:15:00,20.18,20.18,20.18,20.18,3000,0
2014-11-14,17:10:00,20.27,20.29,20.27,20.29,850,0
2014-11-14,18:55:00,20.21,20.21,20.21,20.21,3000,0
2014-11-14,20:10:00,20.19,20.19,20.19,20.19,3000,0
2014-11-14,20:30:00,20.28,20.28,20.28,20.28,100,0
2014-11-14,20:40:00,20.28,20.28,20.28,20.28,100,0
2014-11-14,20:45:00,20.28,20.28,20.28,20.28,100,0
2014-11-14,20:50:00,20.29,20.29,20.29,20.29,100,0
2014-11-14,20:55:00,20.29,20.29,20.29,20.29,200,0
2014-11-14,21:00:00,20.29,20.29,20.29,20.29,208,0
2014-11-17,18:15:00,20.31,20.31,20.31,20.31,100,0
2014-11-17,21:40:00,20.28,20.3,20.28,20.3,800,0
2014-11-17,21:45:00,20.28,20.28,20.28,20.28,151,0
2014-11-18,17:40:00,20.29,20.29,20.29,20.29,100,0
2014-11-18,20:40:00,20.33,20.33,20.33,20.33,2960,0
2014-11-18,21:20:00,20.39,20.39,20.39,20.39,100,0
2014-11-18,21:25:00,20.39,20.39,20.39,20.39,100,0
2014-11-18,21:30:00,20.39,20.39,20.39,20.39,100,0
2014-11-18,21:35:00,20.39,20.39,20.39,20.39,100,0
2014-11-18,21:40:00,20.39,20.39,20.39,20.39,200,0
2014-11-18,21:55:00,20.45,20.45,20.45,20.45,200,0
2014-11-19,19:15:00,20.31,20.31,20.31,20.31,250,0
2014-11-20,17:40:00,20.33,20.33,20.33,20.33,3000,0
2014-11-20,19:20:00,20.28,20.28,20.28,20.28,3000,0
2014-11-20,19:40:00,20.33,20.33,20.33,20.33,100,0
