Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-23,15:35:00,37.21,37.2699,37.19,37.24,19985,0
2015-07-23,15:40:00,37.24,37.24,37.2184,37.2205,4281,0
2015-07-23,15:45:00,37.19,37.19,37.1499,37.15,7605,0
2015-07-23,15:50:00,37.1804,37.1804,37.1747,37.1747,686,0
2015-07-23,15:55:00,37.1599,37.16,37.14,37.14,13944,0
2015-07-23,16:00:00,37.1502,37.1504,37.134,37.1504,3405,0
2015-07-23,16:05:00,37.1505,37.18,37.1505,37.159,3017,0
2015-07-23,16:10:00,37.1501,37.1551,37.1301,37.1301,41412,0
2015-07-23,16:15:00,37.146,37.176,37.14,37.176,1795,0
2015-07-23,16:20:00,37.1672,37.17,37.16,37.164,2769,0
2015-07-23,16:25:00,37.1749,37.2,37.17,37.19,4699,0
2015-07-23,16:30:00,37.1801,37.21,37.1747,37.21,9213,0
2015-07-23,16:35:00,37.22,37.22,37.2,37.2076,5993,0
2015-07-23,16:40:00,37.201,37.24,37.2,37.24,12316,0
2015-07-23,16:45:00,37.23,37.27,37.23,37.2587,5939,0
2015-07-23,16:50:00,37.26,37.27,37.258,37.258,4885,0
2015-07-23,16:55:00,37.25,37.26,37.2401,37.26,1693,0
2015-07-23,17:00:00,37.26,37.28,37.2501,37.27,3519,0
2015-07-23,17:05:00,37.27,37.29,37.27,37.28,1100,0
2015-07-23,17:10:00,37.282,37.282,37.2701,37.2773,4258,0
2015-07-23,17:15:00,37.28,37.28,37.2636,37.2636,2268,0
2015-07-23,17:20:00,37.27,37.27,37.224,37.224,1762,0
2015-07-23,17:25:00,37.23,37.23,37.2001,37.21,952,0
2015-07-23,17:30:00,37.2199,37.2199,37.18,37.18,6394,0
2015-07-23,17:35:00,37.19,37.19,37.17,37.17,3390,0
2015-07-23,17:40:00,37.16,37.17,37.1364,37.1364,4921,0
2015-07-23,17:45:00,37.135,37.14,37.1201,37.14,2252,0
2015-07-23,17:50:00,37.13,37.13,37.1101,37.12,2577,0
2015-07-23,17:55:00,37.1,37.11,37.07,37.07,15607,0
2015-07-23,18:00:00,37.07,37.08,37.07,37.07,1661,0
2015-07-23,18:05:00,37.06,37.0699,37.03,37.03,2290,0
2015-07-23,18:15:00,37.0329,37.038,36.9999,37.01,12495,0
2015-07-23,18:20:00,37,37,36.96,36.965,3602,0
2015-07-23,18:25:00,36.9401,36.96,36.9401,36.96,834,0
2015-07-23,18:30:00,36.96,36.97,36.96,36.9668,1931,0
2015-07-23,18:35:00,36.96,36.9651,36.955,36.9564,3818,0
2015-07-23,18:40:00,36.97,36.98,36.97,36.976,770,0
2015-07-23,18:45:00,36.9849,37,36.9849,37,3662,0
2015-07-23,18:50:00,36.996,36.996,36.98,36.98,1721,0
