Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-23,15:35:00,17.36,17.5647,17.36,17.5647,7517,0
2015-07-23,15:40:00,17.62,17.62,17.54,17.56,3337,0
2015-07-23,15:45:00,17.54,17.54,17.54,17.54,300,0
2015-07-23,15:50:00,17.55,17.55,17.49,17.5,2522,0
2015-07-23,15:55:00,17.51,17.55,17.51,17.55,4500,0
2015-07-23,16:00:00,17.551,17.57,17.53,17.54,6895,0
2015-07-23,16:05:00,17.54,17.54,17.54,17.54,3496,0
2015-07-23,16:10:00,17.48,17.52,17.47,17.52,6200,0
2015-07-23,16:15:00,17.5101,17.5401,17.4938,17.51,6536,0
2015-07-23,16:20:00,17.5,17.51,17.5,17.51,3454,0
2015-07-23,16:25:00,17.5,17.51,17.45,17.4501,5501,0
2015-07-23,16:30:00,17.435,17.46,17.431,17.45,10818,0
2015-07-23,16:35:00,17.4401,17.45,17.44,17.45,6683,0
2015-07-23,16:40:00,17.47,17.4836,17.46,17.4836,7255,0
2015-07-23,16:45:00,17.4901,17.5,17.47,17.47,20408,0
2015-07-23,16:50:00,17.46,17.46,17.44,17.46,5307,0
2015-07-23,16:55:00,17.4551,17.4551,17.431,17.432,4861,0
2015-07-23,17:00:00,17.42,17.42,17.39,17.39,3499,0
2015-07-23,17:05:00,17.4,17.42,17.38,17.38,5031,0
2015-07-23,17:10:00,17.3599,17.3599,17.31,17.31,2408,0
2015-07-23,17:15:00,17.2651,17.27,17.26,17.2699,2059,0
2015-07-23,17:20:00,17.25,17.25,17.231,17.24,1664,0
2015-07-23,17:25:00,17.22,17.24,17.22,17.24,11000,0
2015-07-23,17:30:00,17.25,17.25,17.223,17.2398,28983,0
2015-07-23,17:35:00,17.23,17.29,17.23,17.29,6850,0
2015-07-23,17:40:00,17.281,17.2965,17.265,17.265,9582,0
2015-07-23,17:45:00,17.266,17.275,17.25,17.261,9258,0
2015-07-23,17:50:00,17.25,17.25,17.25,17.25,400,0
2015-07-23,17:55:00,17.23,17.24,17.22,17.22,36435,0
2015-07-23,18:00:00,17.2299,17.2299,17.18,17.18,3263,0
2015-07-23,18:05:00,17.18,17.1925,17.151,17.16,3209,0
2015-07-23,18:10:00,17.17,17.17,17.1499,17.17,4132,0
2015-07-23,18:15:00,17.171,17.213,17.171,17.2049,4944,0
2015-07-23,18:20:00,17.2,17.2,17.19,17.19,2999,0
2015-07-23,18:25:00,17.2,17.23,17.2,17.23,1600,0
2015-07-23,18:30:00,17.273,17.275,17.27,17.27,740,0
2015-07-23,18:35:00,17.27,17.27,17.27,17.27,1300,0
2015-07-23,18:40:00,17.21,17.21,17.21,17.21,587,0
2015-07-23,18:45:00,17.23,17.26,17.23,17.26,2400,0
2015-07-23,18:50:00,17.27,17.27,17.21,17.21,3161,0
2015-07-23,18:55:00,17.24,17.24,17.2301,17.24,4347,0
2015-07-23,19:00:00,17.195,17.25,17.19,17.25,8065,0
2015-07-23,19:05:00,17.23,17.25,17.2273,17.25,4690,0
2015-07-23,19:10:00,17.2373,17.26,17.235,17.26,8045,0
2015-07-23,19:15:00,17.26,17.2699,17.23,17.265,9162,0
