Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-09-29,15:35:00,67.911,67.911,67.911,67.911,309,0
2014-09-29,15:40:00,67.881,67.881,67.881,67.881,515,0
2014-09-29,15:45:00,67.921,67.921,67.921,67.921,103,0
2014-09-29,16:15:00,67.483,67.483,67.483,67.483,1920,0
2014-09-29,16:45:00,67.464,67.911,67.455,67.455,3177,0
2014-09-29,18:25:00,67.59,67.59,67.59,67.59,206,0
2014-09-29,18:35:00,67.59,67.59,67.59,67.59,609,0
2014-09-29,21:15:00,67.717,67.727,67.707,67.717,5708,0
2014-09-29,21:20:00,67.756,67.756,67.727,67.727,2169,0
2014-09-30,15:40:00,67.144,67.144,67.144,67.144,422,0
2014-09-30,15:45:00,66.901,67.047,66.901,66.911,1133,0
2014-09-30,18:00:00,67.445,67.445,67.445,67.445,3179,0
2014-09-30,20:30:00,67.532,67.59,67.532,67.59,1648,0
2014-09-30,20:35:00,67.59,67.697,67.59,67.697,1029,0
2014-09-30,20:40:00,67.6,67.61,67.6,67.61,3089,0
2014-09-30,20:50:00,67.59,67.639,67.59,67.639,515,0
2014-09-30,20:55:00,67.639,67.639,67.629,67.629,1339,0
2014-09-30,21:00:00,67.6,67.6,67.6,67.6,309,0
2014-10-01,16:00:00,67.435,68.679,67.426,68.679,2529,0
2014-10-01,19:00:00,67.639,67.639,67.552,67.552,922,0
2014-10-01,19:05:00,67.513,67.513,67.455,67.455,412,0
2014-10-01,19:10:00,67.445,67.445,67.445,67.445,103,0
2014-10-01,19:15:00,67.386,67.386,67.386,67.386,206,0
2014-10-01,19:30:00,67.105,67.144,67.105,67.144,412,0
2014-10-01,19:35:00,67.202,67.202,67.154,67.154,412,0
2014-10-01,19:40:00,67.163,67.163,67.163,67.163,1032,0
2014-10-01,19:45:00,67.027,67.027,67.018,67.018,206,0
2014-10-01,19:50:00,67.085,67.085,67.085,67.085,721,0
2014-10-01,20:10:00,66.969,66.969,66.969,66.969,618,0
2014-10-02,15:45:00,66.959,66.969,66.94,66.94,1023,0
2014-10-02,16:10:00,67.027,67.027,67.027,67.027,309,0
