Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-10,15:35:00,110.25,110.28,110.25,110.28,575,0
2015-07-10,15:40:00,110.31,110.31,110.27,110.27,501,0
2015-07-10,15:50:00,110.29,110.32,110.29,110.32,660,0
2015-07-10,16:00:00,110.29,110.31,110.29,110.31,1702,0
2015-07-10,16:05:00,110.32,110.32,110.32,110.32,100,0
2015-07-10,16:30:00,110.29,110.29,110.29,110.29,225,0
2015-07-10,16:40:00,110.34,110.34,110.34,110.34,100,0
2015-07-10,16:55:00,110.36,110.36,110.35,110.35,454,0
2015-07-10,17:05:00,110.35,110.35,110.3,110.3,1313,0
2015-07-10,17:35:00,110.31,110.34,110.31,110.34,871,0
2015-07-10,17:40:00,110.31,110.31,110.31,110.31,323,0
2015-07-10,17:45:00,110.36,110.36,110.36,110.36,516,0
2015-07-10,18:05:00,110.3,110.3,110.3,110.3,120,0
2015-07-10,18:30:00,110.32,110.32,110.32,110.32,114,0
2015-07-10,18:35:00,110.31,110.31,110.31,110.31,512,0
2015-07-10,18:40:00,110.24,110.24,110.24,110.24,100,0
2015-07-10,18:45:00,110.25,110.25,110.25,110.25,205,0
2015-07-10,18:50:00,110.25,110.25,110.22,110.22,16890,0
2015-07-10,18:55:00,110.24,110.24,110.23,110.23,16850,0
2015-07-10,19:00:00,110.23,110.23,110.23,110.23,501,0
2015-07-10,19:05:00,110.18,110.18,110.18,110.18,200,0
2015-07-10,19:10:00,110.23,110.23,110.23,110.23,100,0
2015-07-10,19:20:00,110.14,110.14,110.14,110.14,501,0
2015-07-10,19:25:00,110.12,110.12,110.12,110.12,241,0
2015-07-10,19:35:00,110.17,110.17,110.13,110.13,1197,0
2015-07-10,19:40:00,110.11,110.11,110.11,110.11,160,0
2015-07-10,19:45:00,110.13,110.13,110.12,110.12,636,0
2015-07-10,19:50:00,110.12,110.12,110.11,110.11,9909,0
2015-07-10,19:55:00,110.12,110.12,110.12,110.12,401,0
2015-07-10,20:00:00,110.11,110.12,110.11,110.12,200,0
2015-07-10,20:05:00,110.12,110.12,110.12,110.12,762,0
2015-07-10,20:10:00,110.12,110.12,110.11,110.11,601,0
2015-07-10,20:15:00,110.12,110.12,110.12,110.12,300,0
2015-07-10,20:20:00,110.11,110.12,110.1,110.12,531,0
2015-07-10,20:25:00,110.11,110.12,110.11,110.11,1376,0
2015-07-10,20:30:00,110.12,110.18,110.1,110.17,44100,0
2015-07-10,20:40:00,110.12,110.16,110.12,110.16,401,0
2015-07-10,20:45:00,110.13,110.13,110.13,110.13,200,0
2015-07-10,20:50:00,110.09,110.16,110.09,110.12,501,0
2015-07-10,20:55:00,110.12,110.12,110.12,110.12,300,0
2015-07-10,21:00:00,110.15,110.16,110.12,110.12,1526,0
2015-07-10,21:05:00,110.17,110.17,110.16,110.16,300,0
2015-07-10,21:10:00,110.14,110.16,110.14,110.16,200,0
2015-07-10,21:15:00,110.14,110.17,110.13,110.13,1582,0
2015-07-10,21:20:00,110.16,110.17,110.14,110.17,1014,0
2015-07-10,21:25:00,110.18,110.18,110.18,110.18,367,0
2015-07-10,21:30:00,110.18,110.21,110.15,110.19,29885,0
2015-07-10,21:35:00,110.19,110.22,110.15,110.15,2116,0
2015-07-10,21:40:00,110.2,110.22,110.18,110.18,2103,0
2015-07-10,21:45:00,110.21,110.23,110.16,110.22,5762,0
2015-07-10,21:50:00,110.22,110.23,110.2,110.22,3705,0
2015-07-10,21:55:00,110.22,110.27,110.21,110.22,5608,0
2015-07-10,22:00:00,110.24,110.26,110.21,110.24,8825,0
2015-07-13,15:35:00,110.13,110.13,110.06,110.07,2718,0
2015-07-13,15:45:00,110.1,110.12,110.03,110.03,10215,0
2015-07-13,16:20:00,110.11,110.11,110.07,110.07,1602,0
2015-07-13,16:30:00,110.09,110.09,110.09,110.09,465,0
2015-07-13,16:55:00,110.04,110.11,110.04,110.08,3570,0
2015-07-13,17:00:00,110.12,110.12,110.12,110.12,736,0
2015-07-13,17:05:00,110.08,110.13,110.08,110.13,344,0
2015-07-13,17:15:00,110.12,110.12,110.12,110.12,190,0
2015-07-13,17:20:00,110.13,110.13,110.13,110.13,100,0
2015-07-13,17:25:00,110.05,110.05,110.05,110.05,566,0
2015-07-13,17:30:00,110.14,110.14,110.14,110.14,100,0
2015-07-13,17:35:00,110.1,110.15,110.1,110.15,1723,0
2015-07-13,17:40:00,110.15,110.15,110.14,110.14,401,0
2015-07-13,17:45:00,110.15,110.17,110.14,110.17,601,0
2015-07-13,17:50:00,110.17,110.17,110.13,110.17,801,0
2015-07-13,17:55:00,110.17,110.17,110.12,110.12,663,0
2015-07-13,18:00:00,110.17,110.17,110.17,110.17,366,0
2015-07-13,18:10:00,110.17,110.17,110.17,110.17,100,0
2015-07-13,18:15:00,110.15,110.15,110.15,110.15,100,0
2015-07-13,18:20:00,110.11,110.11,110.11,110.11,100,0
2015-07-13,18:25:00,110.17,110.2,110.17,110.2,461,0
2015-07-13,18:30:00,110.16,110.16,110.16,110.16,100,0
2015-07-13,18:35:00,110.16,110.18,110.16,110.18,235,0
2015-07-13,18:40:00,110.14,110.14,110.14,110.14,237,0
2015-07-13,18:45:00,110.17,110.18,110.17,110.18,300,0
2015-07-13,18:50:00,110.19,110.19,110.19,110.19,100,0
2015-07-13,18:55:00,110.19,110.19,110.19,110.19,200,0
2015-07-13,19:00:00,110.2,110.2,110.2,110.2,100,0
2015-07-13,19:25:00,110.18,110.18,110.18,110.18,180,0
2015-07-13,19:35:00,110.15,110.19,110.15,110.19,229,0
2015-07-13,19:50:00,110.19,110.19,110.15,110.15,490,0
2015-07-13,19:55:00,110.18,110.18,110.18,110.18,845,0
2015-07-13,20:00:00,110.18,110.18,110.18,110.18,200,0
2015-07-13,20:05:00,110.15,110.18,110.15,110.18,300,0
2015-07-13,20:10:00,110.16,110.16,110.16,110.16,100,0
2015-07-13,20:15:00,110.16,110.18,110.14,110.18,4907,0
2015-07-13,20:20:00,110.14,110.18,110.14,110.14,626,0
2015-07-13,20:25:00,110.15,110.18,110.14,110.18,2433,0
2015-07-13,20:30:00,110.14,110.16,110.14,110.16,701,0
2015-07-13,20:35:00,110.15,110.16,110.14,110.14,501,0
2015-07-13,20:40:00,110.14,110.16,110.14,110.16,300,0
2015-07-13,20:45:00,110.14,110.18,110.14,110.14,857,0
2015-07-13,20:50:00,110.15,110.15,110.15,110.15,100,0
2015-07-13,20:55:00,110.15,110.15,110.15,110.15,100,0
2015-07-13,21:00:00,110.15,110.15,110.09,110.09,300,0
2015-07-13,21:05:00,110.15,110.15,110.1,110.1,200,0
2015-07-13,21:10:00,110.07,110.09,110.07,110.09,801,0
2015-07-13,21:20:00,110.12,110.16,110.12,110.14,501,0
2015-07-13,21:25:00,110.11,110.14,110.09,110.14,886,0
2015-07-13,21:35:00,110.1,110.1,110.1,110.1,250,0
2015-07-13,21:45:00,110.17,110.17,110.17,110.17,337,0
2015-07-13,21:50:00,110.14,110.14,110.14,110.14,525,0
2015-07-13,21:55:00,110.16,110.16,110.12,110.12,1848,0
2015-07-14,15:35:00,110.29,110.29,110.29,110.29,256,0
2015-07-14,15:50:00,110.22,110.22,110.22,110.22,100,0
2015-07-14,16:10:00,110.21,110.21,110.21,110.21,170,0
2015-07-14,16:20:00,110.18,110.18,110.18,110.18,108,0
2015-07-14,16:25:00,110.22,110.23,110.18,110.18,1008,0
2015-07-14,16:30:00,110.21,110.21,110.18,110.18,311,0
2015-07-14,16:35:00,110.2,110.21,110.18,110.18,2197,0
2015-07-14,16:40:00,110.18,110.18,110.18,110.18,544,0
2015-07-14,16:45:00,110.18,110.19,110.18,110.19,2823,0
