Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-08,17:15:00,42.13,42.13,42.13,42.13,210,0
2015-01-08,20:05:00,42.06,42.06,42.06,42.06,800,0
2015-01-08,22:00:00,42.09,42.09,42.09,42.09,1296,0
2015-01-09,16:00:00,42.1,42.1,42.1,42.1,222,0
2015-01-09,16:30:00,42.08,42.08,42.08,42.08,300,0
2015-01-09,16:40:00,42.02,42.02,42.02,42.02,300,0
2015-01-09,17:00:00,42.04,42.04,42.04,42.04,396,0
2015-01-09,17:10:00,42.03,42.03,42.03,42.03,333,0
2015-01-09,21:50:00,42.07,42.07,42.07,42.07,950,0
2015-01-09,21:55:00,42.04,42.04,42.04,42.04,298,0
2015-01-09,22:00:00,42.05,42.32,42.04,42.32,9972,0
2015-01-12,18:35:00,41.99,41.99,41.99,41.99,1200,0
2015-01-12,18:45:00,41.92,41.93,41.92,41.93,1303,0
2015-01-12,20:10:00,41.99,42.08,41.99,42.08,3000,0
2015-01-12,21:15:00,41.91,41.91,41.91,41.91,579,0
2015-01-12,21:40:00,41.95,41.95,41.86,41.95,2000,0
2015-01-13,16:15:00,42.18,42.18,42.18,42.18,453,0
2015-01-13,17:30:00,42.07,42.07,42.07,42.07,180,0
2015-01-13,17:45:00,42.11,42.11,42.11,42.11,1200,0
2015-01-13,19:55:00,41.91,41.93,41.91,41.93,4972,0
2015-01-13,20:30:00,41.9,42.07,41.85,42.07,2974,0
2015-01-14,16:15:00,41.92,41.92,41.92,41.92,300,0
2015-01-14,19:15:00,41.87,41.87,41.87,41.87,1929,0
2015-01-14,20:15:00,41.83,41.83,41.83,41.83,100,0
2015-01-14,21:05:00,41.83,41.83,41.83,41.83,212,0
2015-01-14,21:10:00,41.85,41.85,41.85,41.85,884,0
2015-01-14,21:20:00,41.9,41.9,41.9,41.9,200,0
2015-01-15,17:20:00,42.01,42.01,42.01,42.01,382,0
2015-01-15,18:40:00,41.96,41.96,41.96,41.96,570,0
2015-01-15,20:15:00,41.98,41.98,41.9,41.9,29725,0
2015-01-15,21:45:00,41.97,41.97,41.97,41.97,155,0
2015-01-16,17:00:00,42.14,42.14,42.14,42.14,171,0
2015-01-16,17:30:00,41.97,41.97,41.97,41.97,1155,0
2015-01-16,17:35:00,42.06,42.06,42.06,42.06,356,0
2015-01-16,17:40:00,42.11,42.11,42.06,42.06,1010,0
2015-01-16,18:00:00,41.98,41.98,41.98,41.98,250,0
2015-01-16,20:45:00,42.02,42.02,42.0,42.0,1016,0
2015-01-16,21:50:00,42.09,42.14,42.09,42.14,926,0
2015-01-20,18:25:00,42.09,42.09,42.09,42.09,730,0
2015-01-20,19:45:00,42.09,42.09,42.09,42.09,524,0
2015-01-20,20:20:00,42.18,42.18,42.18,42.18,1073,0
2015-01-20,20:50:00,42.2,42.2,42.2,42.2,2016,0
2015-01-20,21:00:00,42.14,42.14,42.14,42.14,638,0
2015-01-21,16:55:00,42.2,42.2,42.2,42.2,3348,0
2015-01-21,17:15:00,42.22,42.22,42.22,42.22,400,0
2015-01-21,19:25:00,42.21,42.21,42.21,42.21,198,0
2015-01-21,20:20:00,42.15,42.15,42.15,42.15,1596,0
2015-01-21,21:50:00,42.25,42.25,42.25,42.25,225,0
2015-01-22,15:35:00,42.09,42.22,42.09,42.22,1232,0
2015-01-22,15:45:00,42.2,42.2,42.2,42.2,200,0
2015-01-22,16:15:00,42.23,42.23,42.23,42.23,100,0
2015-01-22,16:45:00,42.28,42.3,42.28,42.3,404,0
2015-01-22,19:05:00,42.3,42.3,42.28,42.28,25200,0
