Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-07,16:15:00,16.274,16.274,16.274,16.274,2575,0
2015-01-07,16:45:00,16.264,16.264,16.245,16.245,2449,0
2015-01-07,17:55:00,16.215,16.215,16.215,16.215,204,0
2015-01-07,18:00:00,16.235,16.235,16.235,16.235,2036,0
2015-01-07,18:25:00,16.264,16.264,16.264,16.264,2036,0
2015-01-07,19:35:00,16.264,16.264,16.254,16.254,632,0
2015-01-07,19:50:00,16.254,16.254,16.254,16.254,626,0
2015-01-07,20:55:00,16.284,16.284,16.284,16.284,306,0
2015-01-07,21:00:00,16.284,16.284,16.284,16.284,2159,0
2015-01-07,21:40:00,16.274,16.274,16.274,16.274,306,0
2015-01-08,16:25:00,16.48,16.48,16.48,16.48,306,0
2015-01-08,18:40:00,16.5,16.5,16.5,16.5,212,0
2015-01-08,18:45:00,16.5,16.5,16.5,16.5,557,0
2015-01-08,19:55:00,16.51,16.51,16.51,16.51,509,0
2015-01-08,20:00:00,16.49,16.49,16.49,16.49,102,0
2015-01-08,20:55:00,16.471,16.471,16.461,16.461,1857,0
2015-01-09,17:15:00,16.402,16.402,16.402,16.402,2036,0
2015-01-09,19:15:00,16.363,16.363,16.363,16.363,102,0
2015-01-09,20:30:00,16.422,16.422,16.422,16.422,196,0
2015-01-09,21:10:00,16.441,16.441,16.431,16.431,1120,0
2015-01-09,21:20:00,16.441,16.441,16.441,16.441,750,0
2015-01-09,21:30:00,16.441,16.441,16.441,16.441,712,0
2015-01-09,21:40:00,16.431,16.441,16.412,16.422,16189,0
2015-01-12,17:20:00,16.363,16.372,16.363,16.372,814,0
2015-01-12,17:30:00,16.363,16.363,16.363,16.363,228,0
2015-01-12,19:40:00,16.343,16.353,16.343,16.353,7738,0
2015-01-12,19:55:00,16.343,16.343,16.333,16.343,2242,0
2015-01-12,20:05:00,16.343,16.353,16.343,16.343,1629,0
2015-01-12,20:10:00,16.343,16.353,16.343,16.343,8624,0
2015-01-12,20:15:00,16.353,16.353,16.333,16.333,814,0
2015-01-12,20:40:00,16.323,16.323,16.323,16.323,1120,0
2015-01-12,20:50:00,16.314,16.314,16.304,16.304,2138,0
2015-01-12,21:10:00,16.343,16.343,16.343,16.343,488,0
2015-01-12,21:45:00,16.333,16.333,16.314,16.314,2779,0
2015-01-13,15:55:00,16.51,16.51,16.51,16.51,480,0
2015-01-13,16:30:00,16.539,16.539,16.539,16.539,611,0
2015-01-13,17:10:00,16.539,16.539,16.539,16.539,306,0
2015-01-13,18:35:00,16.51,16.51,16.51,16.51,408,0
2015-01-13,18:40:00,16.5,16.51,16.5,16.51,2454,0
2015-01-13,18:45:00,16.51,16.51,16.51,16.51,509,0
2015-01-13,19:10:00,16.51,16.52,16.51,16.52,839,0
2015-01-13,20:20:00,16.304,16.304,16.304,16.304,138,0
