Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-04-10,15:35:00,33.7,33.7,33.7,33.7,105,0
2014-04-10,16:00:00,33.5,33.509,33.452,33.5,2099,0
2014-04-10,16:05:00,33.462,33.471,33.452,33.452,839,0
2014-04-10,16:10:00,33.452,33.481,33.433,33.462,8814,0
2014-04-10,16:15:00,33.481,33.519,33.481,33.509,25460,0
2014-04-10,16:20:00,33.5,33.509,33.424,33.433,21877,0
2014-04-10,16:25:00,33.452,33.462,33.443,33.462,1259,0
2014-04-10,16:30:00,33.462,33.49,33.462,33.481,13431,0
2014-04-10,16:35:00,33.49,33.509,33.49,33.5,44069,0
2014-04-10,16:40:00,33.5,33.509,33.481,33.481,10223,0
2014-04-10,16:45:00,33.462,33.462,33.443,33.443,1049,0
2014-04-10,16:50:00,33.443,33.452,33.395,33.395,6505,0
2014-04-10,16:55:00,33.357,33.395,33.357,33.385,6400,0
2014-04-10,17:00:00,33.357,33.357,33.357,33.357,315,0
2014-04-10,17:10:00,33.262,33.262,33.262,33.262,210,0
2014-04-10,17:15:00,33.271,33.29,33.271,33.29,420,0
2014-04-10,17:20:00,33.3,33.3,33.3,33.3,105,0
2014-04-10,17:25:00,33.243,33.243,33.233,33.233,420,0
2014-04-10,17:30:00,33.233,33.233,33.185,33.185,570,0
2014-04-10,17:35:00,33.223,33.233,33.214,33.233,2099,0
2014-04-10,17:40:00,33.223,33.223,33.223,33.223,315,0
2014-04-10,17:45:00,33.214,33.271,33.214,33.271,3148,0
2014-04-10,18:40:00,33.128,33.128,33.09,33.09,1679,0
2014-04-10,18:45:00,33.09,33.09,33.052,33.052,734,0
2014-04-10,18:50:00,33.052,33.1,33.042,33.081,8394,0
2014-04-10,18:55:00,33.071,33.071,33.052,33.071,7030,0
2014-04-10,19:00:00,33.081,33.09,33.023,33.023,9863,0
2014-04-10,19:05:00,33.023,33.023,33.004,33.014,33052,0
2014-04-10,19:10:00,33.023,33.071,33.014,33.023,61172,0
2014-04-10,19:15:00,33.033,33.052,33.014,33.014,420,0
2014-04-10,19:20:00,33.023,33.023,32.957,32.957,13116,0
2014-04-10,19:25:00,32.957,32.976,32.938,32.947,45118,0
2014-04-10,19:30:00,32.947,32.947,32.918,32.947,12381,0
2014-04-10,19:35:00,32.957,32.966,32.947,32.966,9443,0
2014-04-10,19:45:00,32.947,32.995,32.947,32.976,9758,0
2014-04-10,19:50:00,32.966,32.966,32.966,32.966,105,0
2014-04-10,19:55:00,32.966,32.995,32.947,32.995,525,0
2014-04-10,20:00:00,32.995,33.033,32.995,33.033,525,0
2014-04-10,20:05:00,33.023,33.023,33.023,33.023,105,0
2014-04-10,20:10:00,33.042,33.042,33.042,33.042,105,0
2014-04-10,20:15:00,33.061,33.061,33.061,33.061,105,0
2014-04-10,20:20:00,33.09,33.09,33.071,33.081,420,0
2014-04-10,20:25:00,33.081,33.081,33.071,33.071,1154,0
2014-04-10,20:55:00,32.976,32.976,32.938,32.938,315,0
2014-04-10,21:05:00,32.918,32.918,32.594,32.594,525,0
2014-04-10,21:45:00,32.833,32.833,32.833,32.833,420,0
2014-04-10,21:55:00,32.918,32.918,32.918,32.918,105,0
2014-04-10,22:00:00,32.871,32.871,32.871,32.871,210,0
2014-04-11,15:40:00,32.633,32.652,32.575,32.652,19306,0
2014-04-11,15:55:00,32.699,32.861,32.699,32.861,210,0
2014-04-11,16:00:00,32.69,32.804,32.69,32.728,20565,0
2014-04-11,16:10:00,32.68,32.68,32.68,32.68,7765,0
