Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-23,15:35:00,105.01,105.05,104.98,105,4472,0
2015-07-23,15:40:00,105.07,105.07,105.04,105.06,43187,0
2015-07-23,15:45:00,105.07,105.1,105.07,105.08,1952,0
2015-07-23,15:50:00,105.08,105.1,105.08,105.08,1350,0
2015-07-23,15:55:00,105.08,105.12,105.08,105.12,392,0
2015-07-23,16:00:00,105.11,105.13,105.1,105.11,5762,0
2015-07-23,16:05:00,105.09,105.09,105.07,105.07,2094,0
2015-07-23,16:10:00,105.11,105.11,105.1,105.11,4191,0
2015-07-23,16:15:00,105.08,105.08,105.05,105.08,80395,0
2015-07-23,16:20:00,105.08,105.1,105.06,105.07,48584,0
2015-07-23,16:25:00,105.07,105.07,105.04,105.04,3164,0
2015-07-23,16:30:00,105.05,105.06,105.05,105.06,635,0
2015-07-23,16:35:00,105.02,105.06,105.02,105.06,3496,0
2015-07-23,16:40:00,105.05,105.07,105.05,105.07,509,0
2015-07-23,16:45:00,105.06,105.08,105.05,105.08,2852,0
2015-07-23,16:50:00,105.08,105.1,105.08,105.1,200,0
2015-07-23,16:55:00,105.11,105.11,105.07,105.07,3513,0
2015-07-23,17:00:00,105.06,105.06,105.03,105.03,3108,0
2015-07-23,17:05:00,105.01,105.04,105.01,105.02,4258,0
2015-07-23,17:10:00,105.01,105.04,105.01,105.03,2133,0
2015-07-23,17:15:00,105.08,105.09,105.07,105.09,7829,0
2015-07-23,17:20:00,105.11,105.15,105.11,105.14,1202,0
2015-07-23,17:25:00,105.13,105.14,105.13,105.14,3610,0
2015-07-23,17:30:00,105.15,105.15,105.15,105.15,198,0
2015-07-23,17:35:00,105.15,105.19,105.15,105.17,3774,0
2015-07-23,17:40:00,105.18,105.21,105.18,105.2,1703,0
2015-07-23,17:45:00,105.19,105.21,105.19,105.2,629,0
2015-07-23,17:50:00,105.18,105.19,105.18,105.19,3057,0
2015-07-23,17:55:00,105.19,105.21,105.19,105.21,2456,0
2015-07-23,18:00:00,105.21,105.23,105.21,105.23,3446,0
2015-07-23,18:05:00,105.23,105.23,105.21,105.21,991,0
2015-07-23,18:15:00,105.21,105.21,105.21,105.21,851,0
