Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-22,15:35:00,28.51,28.55,28.37,28.37,6897,0
2015-07-22,15:40:00,28.37,28.39,28.36,28.38,25384,0
2015-07-22,15:45:00,28.35,28.35,28.34,28.34,24017,0
2015-07-22,15:50:00,28.34,28.38,28.34,28.38,16477,0
2015-07-22,15:55:00,28.38,28.41,28.37,28.41,17445,0
2015-07-22,16:00:00,28.41,28.41,28.41,28.41,100,0
2015-07-22,16:05:00,28.39,28.39,28.36,28.36,1500,0
2015-07-22,16:15:00,28.39,28.39,28.39,28.39,1434,0
2015-07-22,16:20:00,28.41,28.42,28.4,28.4,5552,0
2015-07-22,16:25:00,28.4305,28.44,28.4,28.4,6401,0
2015-07-22,16:30:00,28.38,28.39,28.37,28.39,7045,0
2015-07-22,16:35:00,28.39,28.39,28.35,28.36,2900,0
2015-07-22,16:40:00,28.36,28.37,28.35,28.35,8695,0
2015-07-22,16:45:00,28.34,28.35,28.335,28.34,3625,0
2015-07-22,16:50:00,28.34,28.34,28.34,28.34,1100,0
2015-07-22,16:55:00,28.35,28.36,28.35,28.36,1700,0
2015-07-22,17:00:00,28.37,28.395,28.36,28.39,5900,0
2015-07-22,17:05:00,28.38,28.38,28.33,28.34,7166,0
2015-07-22,17:10:00,28.33,28.34,28.32,28.33,3200,0
2015-07-22,17:15:00,28.33,28.33,28.31,28.31,3000,0
2015-07-22,17:20:00,28.3,28.31,28.29,28.29,6600,0
2015-07-22,17:25:00,28.29,28.3,28.28,28.3,2700,0
2015-07-22,17:30:00,28.27,28.28,28.27,28.28,500,0
2015-07-22,17:35:00,28.29,28.29,28.27,28.28,3100,0
2015-07-22,17:40:00,28.28,28.28,28.26,28.27,1300,0
2015-07-22,17:45:00,28.27,28.27,28.26,28.263,2400,0
2015-07-22,17:50:00,28.26,28.26,28.25,28.25,2350,0
2015-07-22,17:55:00,28.24,28.24,28.23,28.23,1500,0
2015-07-22,18:00:00,28.243,28.243,28.243,28.243,281,0
2015-07-22,18:05:00,28.2336,28.26,28.2336,28.24,4750,0
2015-07-22,18:10:00,28.24,28.25,28.23,28.23,2610,0
2015-07-22,18:15:00,28.22,28.235,28.22,28.23,2359,0
2015-07-22,18:20:00,28.22,28.22,28.19,28.19,6022,0
2015-07-22,18:25:00,28.21,28.22,28.18,28.19,5552,0
2015-07-22,18:30:00,28.19,28.21,28.18,28.21,3051,0
2015-07-22,18:35:00,28.21,28.22,28.195,28.2,20276,0
2015-07-22,18:40:00,28.21,28.23,28.21,28.22,4220,0
2015-07-22,18:45:00,28.21,28.22,28.21,28.21,1600,0
2015-07-22,18:50:00,28.22,28.22,28.22,28.22,1060,0
2015-07-22,18:55:00,28.2,28.2,28.18,28.18,1006,0
2015-07-22,19:00:00,28.19,28.19,28.165,28.18,4680,0
2015-07-22,19:05:00,28.18,28.18,28.16,28.17,2900,0
2015-07-22,19:10:00,28.15,28.15,28.12,28.1264,3430,0
2015-07-22,19:15:00,28.11,28.112,28.11,28.11,1347,0
2015-07-22,19:20:00,28.13,28.13,28.13,28.13,600,0
2015-07-22,19:25:00,28.11,28.11,28.1,28.1,2091,0
2015-07-22,19:30:00,28.11,28.11,28.08,28.09,5919,0
2015-07-22,19:35:00,28.08,28.08,28.05,28.05,3850,0
2015-07-22,19:40:00,28.05,28.05,28.04,28.04,1400,0
2015-07-22,19:45:00,28.04,28.05,28.04,28.05,2100,0
2015-07-22,19:50:00,28.05,28.05,28.035,28.035,2217,0
2015-07-22,19:55:00,28.03,28.06,28.03,28.06,2400,0
2015-07-22,20:00:00,28.05,28.05,28.05,28.05,206,0
2015-07-22,20:05:00,28.04,28.04,28.04,28.04,800,0
2015-07-22,20:10:00,28.02,28.03,28.02,28.03,1290,0
2015-07-22,20:15:00,28.05,28.06,28.05,28.06,700,0
