Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-15,15:35:00,33.787,33.787,33.787,33.787,10682,0
2015-07-15,15:50:00,33.787,33.787,33.787,33.787,100,0
2015-07-15,16:00:00,33.777,33.777,33.777,33.777,100,0
2015-07-15,16:05:00,33.787,33.787,33.787,33.787,1102,0
2015-07-15,16:10:00,33.787,33.792,33.787,33.787,2621,0
2015-07-15,16:20:00,33.792,33.792,33.787,33.787,303,0
2015-07-15,16:25:00,33.792,33.792,33.792,33.792,501,0
2015-07-15,16:35:00,33.792,33.792,33.787,33.792,1102,0
2015-07-15,16:40:00,33.792,33.797,33.792,33.792,806,0
2015-07-15,16:45:00,33.792,33.792,33.787,33.791,427,0
2015-07-15,16:55:00,33.789,33.789,33.789,33.789,205,0
2015-07-15,17:00:00,33.797,33.797,33.797,33.797,1535,0
2015-07-15,17:05:00,33.797,33.797,33.797,33.797,446,0
2015-07-15,17:10:00,33.787,33.797,33.787,33.79,2366,0
2015-07-15,17:15:00,33.787,33.787,33.787,33.787,301,0
2015-07-15,17:30:00,33.779,33.779,33.779,33.779,441,0
2015-07-15,17:35:00,33.787,33.791,33.787,33.791,12557,0
2015-07-15,17:45:00,33.787,33.787,33.787,33.787,1214,0
2015-07-15,17:55:00,33.787,33.797,33.787,33.797,432,0
2015-07-15,18:05:00,33.787,33.787,33.787,33.787,1002,0
2015-07-15,18:10:00,33.787,33.79,33.787,33.79,422,0
2015-07-15,18:25:00,33.789,33.789,33.789,33.789,174,0
2015-07-15,18:30:00,33.779,33.779,33.779,33.779,360,0
2015-07-15,18:35:00,33.797,33.797,33.79,33.79,422,0
2015-07-15,18:45:00,33.817,33.817,33.817,33.817,248,0
2015-07-15,18:50:00,33.807,33.807,33.807,33.807,225,0
2015-07-15,18:55:00,33.817,33.817,33.817,33.817,100,0
2015-07-15,19:10:00,33.799,33.799,33.799,33.799,114,0
2015-07-15,19:20:00,33.817,33.817,33.817,33.817,104,0
2015-07-15,19:25:00,33.802,33.802,33.802,33.802,2466,0
2015-07-15,19:35:00,33.787,33.787,33.787,33.787,8910,0
2015-07-15,19:45:00,33.815,33.815,33.815,33.815,544,0
2015-07-15,19:55:00,33.806,33.815,33.805,33.805,1034,0
2015-07-15,20:00:00,33.797,33.797,33.797,33.797,303,0
2015-07-15,20:05:00,33.817,33.817,33.817,33.817,447,0
2015-07-15,20:10:00,33.816,33.816,33.807,33.807,401,0
2015-07-15,20:20:00,33.797,33.822,33.797,33.822,1578,0
2015-07-15,20:30:00,33.827,33.83,33.827,33.83,606,0
2015-07-15,20:35:00,33.829,33.836,33.817,33.826,1819,0
