Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-05-28,15:35:00,106.25,106.26,106.25,106.26,508,0
2015-05-28,16:15:00,105.886,105.886,105.886,105.886,330,0
2015-05-28,16:45:00,105.82,105.82,105.82,105.82,104,0
2015-05-28,17:00:00,105.9594,105.9594,105.9594,105.9594,125,0
2015-05-28,17:10:00,105.89,105.89,105.89,105.89,280,0
2015-05-28,17:45:00,105.975,105.975,105.975,105.975,105,0
2015-05-28,18:35:00,106.04,106.04,106.03,106.03,200,0
2015-05-28,18:55:00,105.905,105.905,105.905,105.905,284,0
2015-05-29,15:35:00,106.37,106.37,106.37,106.37,136,0
2015-05-29,16:35:00,105.5879,105.5879,105.5879,105.5879,330,0
2015-05-29,17:10:00,105.31,105.31,105.31,105.31,1100,0
2015-05-29,17:30:00,105.25,105.25,105.25,105.25,200,0
2015-05-29,17:35:00,105.242,105.242,105.242,105.242,125,0
2015-05-29,17:40:00,105.3,105.3,105.3,105.3,500,0
2015-05-29,17:45:00,105.52,105.52,105.4873,105.4873,12256,0
2015-05-29,18:05:00,105.75,105.75,105.75,105.75,645,0
2015-05-29,18:25:00,105.725,105.725,105.725,105.725,180,0
2015-05-29,19:00:00,105.75,105.75,105.75,105.75,148,0
2015-05-29,19:40:00,105.858,105.858,105.858,105.858,200,0
2015-05-29,19:50:00,105.8799,105.8799,105.8799,105.8799,114,0
2015-05-29,20:25:00,105.6999,105.6999,105.63,105.63,308,0
2015-05-29,21:40:00,105.6,105.61,105.6,105.6,483,0
2015-05-29,21:45:00,105.645,105.645,105.645,105.645,255,0
2015-05-29,22:00:00,105.5278,105.54,105.52,105.54,550,0
2015-06-01,15:35:00,106.06,106.06,105.8699,105.8699,729,0
2015-06-01,15:45:00,105.54,105.54,105.54,105.54,200,0
2015-06-01,15:55:00,105.29,105.29,105.29,105.29,100,0
2015-06-01,16:05:00,105.553,105.553,105.553,105.553,100,0
2015-06-01,17:00:00,105.58,105.58,105.58,105.58,100,0
2015-06-01,17:50:00,105.619,105.619,105.619,105.619,300,0
2015-06-01,17:55:00,105.64,105.65,105.64,105.65,440,0
2015-06-01,18:15:00,105.68,105.68,105.68,105.68,100,0
2015-06-01,18:25:00,105.9022,105.9022,105.9022,105.9022,354,0
2015-06-01,18:35:00,106,106,106,106,164,0
2015-06-01,18:50:00,105.9504,105.9504,105.9504,105.9504,283,0
2015-06-01,19:05:00,106.1385,106.1385,106.1385,106.1385,141,0
2015-06-01,19:45:00,105.9941,105.9941,105.9941,105.9941,339,0
2015-06-01,19:55:00,106.02,106.02,105.9953,105.9953,565,0
2015-06-01,20:50:00,106.099,106.099,106.093,106.093,400,0
2015-06-01,21:00:00,105.983,105.983,105.983,105.983,353,0
2015-06-01,21:20:00,106.07,106.07,106.07,106.07,423,0
2015-06-02,15:35:00,105.34,105.34,105.34,105.34,586,0
2015-06-02,15:45:00,105.2245,105.2245,105.2245,105.2245,284,0
2015-06-02,15:55:00,105.194,105.194,105.194,105.194,100,0
2015-06-02,16:00:00,105.32,105.32,105.32,105.32,100,0
2015-06-02,16:15:00,105.67,105.67,105.67,105.67,1000,0
2015-06-02,16:45:00,105.71,105.711,105.71,105.711,852,0
2015-06-02,17:10:00,105.57,105.57,105.57,105.57,100,0
2015-06-02,17:30:00,105.62,105.62,105.5501,105.5501,285,0
2015-06-02,17:35:00,105.629,105.629,105.629,105.629,160,0
2015-06-02,18:05:00,105.848,105.848,105.848,105.848,100,0
2015-06-02,18:10:00,105.81,105.81,105.81,105.81,284,0
2015-06-02,19:45:00,105.9104,105.9104,105.9104,105.9104,120,0
2015-06-02,20:00:00,105.965,105.965,105.965,105.965,320,0
2015-06-02,20:05:00,105.939,105.939,105.939,105.939,103,0
2015-06-02,20:30:00,105.869,105.869,105.822,105.822,491,0
2015-06-02,21:35:00,105.6459,105.655,105.6459,105.655,390,0
2015-06-02,21:45:00,105.7392,105.7392,105.7392,105.7392,190,0
2015-06-02,21:55:00,105.7,105.7008,105.7,105.7,1000,0
2015-06-02,22:00:00,105.69,105.69,105.69,105.69,709,0
2015-06-03,15:35:00,105.99,105.99,105.99,105.99,111,0
2015-06-03,16:10:00,105.99,105.99,105.99,105.99,100,0
2015-06-03,16:15:00,106.13,106.13,106.13,106.13,100,0
2015-06-03,16:25:00,106.14,106.14,106.14,106.14,250,0
2015-06-03,17:10:00,106.43,106.43,106.4299,106.4299,800,0
2015-06-03,17:30:00,106.4199,106.4199,106.4199,106.4199,187,0
2015-06-03,17:40:00,106.47,106.47,106.4441,106.4441,300,0
2015-06-03,18:30:00,106.1101,106.1101,106.1101,106.1101,1112,0
2015-06-03,20:10:00,106.2494,106.2494,106.2494,106.2494,470,0
2015-06-03,20:35:00,106.2604,106.2604,106.2604,106.2604,100,0
2015-06-03,21:35:00,106.24,106.24,106.24,106.24,106,0
2015-06-04,15:35:00,105.96,105.96,105.96,105.96,345,0
2015-06-04,15:50:00,105.7433,105.7433,105.711,105.711,415,0
2015-06-04,16:45:00,105.78,105.78,105.78,105.78,100,0
2015-06-04,18:10:00,105.6312,105.6312,105.6312,105.6312,192,0
2015-06-04,19:40:00,105.2499,105.2499,105.2499,105.2499,180,0
2015-06-04,20:45:00,105.3199,105.3199,105.3199,105.3199,185,0
2015-06-04,21:20:00,105.3344,105.3344,105.3344,105.3344,150,0
2015-06-04,21:35:00,105.23,105.2604,105.2268,105.2268,1097,0
2015-06-04,21:45:00,105.2635,105.2635,105.2635,105.2635,135,0
2015-06-05,15:35:00,105.11,105.11,105,105,880,0
2015-06-05,16:15:00,104.89,105.01,104.89,105.01,800,0
2015-06-05,16:35:00,105.14,105.14,105.14,105.14,200,0
2015-06-05,16:45:00,105.1601,105.1601,105.1601,105.1601,500,0
2015-06-05,17:05:00,105.1,105.1,105.1,105.1,300,0
2015-06-05,17:15:00,105.149,105.149,105.078,105.078,857,0
2015-06-05,17:30:00,105.21,105.21,105.21,105.21,200,0
2015-06-05,17:40:00,105.2004,105.2004,105.2004,105.2004,156,0
2015-06-05,17:45:00,105.182,105.28,105.182,105.2233,1601,0
2015-06-05,19:30:00,105.41,105.41,105.32,105.32,220,0
2015-06-05,21:00:00,105.59,105.59,105.5604,105.5604,400,0
2015-06-05,21:05:00,105.58,105.58,105.58,105.58,575,0
2015-06-05,21:10:00,105.58,105.58,105.58,105.58,372,0
2015-06-05,21:40:00,105.43,105.43,105.43,105.43,100,0
2015-06-05,21:45:00,105.43,105.43,105.43,105.43,200,0
2015-06-08,15:35:00,105.67,105.67,105.67,105.67,971,0
2015-06-08,15:45:00,105.4681,105.4681,105.4681,105.4681,210,0
2015-06-08,16:30:00,105.3605,105.3605,105.3605,105.3605,100,0
2015-06-08,16:35:00,105.29,105.29,105.26,105.26,440,0
2015-06-08,16:50:00,105.25,105.25,105.25,105.25,200,0
2015-06-08,17:35:00,105.2092,105.2092,105.2092,105.2092,133,0
2015-06-08,18:10:00,105.0695,105.0695,105.0404,105.0404,366,0
2015-06-08,18:15:00,105.0846,105.0846,105.0846,105.0846,527,0
2015-06-08,19:50:00,104.84,104.84,104.84,104.84,400,0
2015-06-08,20:20:00,104.8399,104.8399,104.8399,104.8399,220,0
2015-06-08,20:30:00,104.8801,104.8801,104.8801,104.8801,100,0
2015-06-08,20:35:00,105.06,105.06,105.06,105.06,100,0
2015-06-08,21:30:00,104.97,104.97,104.94,104.94,1000,0
2015-06-09,15:35:00,104.72,104.75,104.72,104.75,392,0
2015-06-09,15:40:00,104.65,104.65,104.65,104.65,124,0
2015-06-09,15:45:00,104.5,104.5,104.5,104.5,500,0
