Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-25,15:45:00,47.52,47.52,47.52,47.52,4449,0
2015-02-25,15:55:00,47.47,47.47,47.47,47.47,1333,0
2015-02-25,16:00:00,47.47,47.47,47.47,47.47,2528,0
2015-02-25,17:00:00,47.51,47.51,47.51,47.51,127,0
2015-02-25,17:25:00,47.53,47.53,47.53,47.53,202,0
2015-02-25,17:50:00,47.51,47.599,47.51,47.599,1117,0
2015-02-25,19:10:00,47.628,47.628,47.628,47.628,1043,0
2015-02-25,19:25:00,47.569,47.618,47.559,47.579,1123,0
2015-02-25,20:25:00,47.658,47.658,47.658,47.658,336,0
2015-02-25,20:30:00,47.658,47.658,47.658,47.658,102,0
2015-02-25,21:10:00,47.43,47.44,47.43,47.44,918,0
2015-02-26,15:35:00,47.579,47.579,47.48,47.49,708,0
2015-02-26,15:55:00,47.43,47.43,47.43,47.43,102,0
2015-02-26,16:00:00,47.43,47.46,47.43,47.46,910,0
2015-02-26,16:15:00,47.381,47.381,47.381,47.381,202,0
2015-02-26,16:35:00,47.45,47.45,47.45,47.45,212,0
2015-02-26,19:25:00,47.51,47.51,47.51,47.51,506,0
2015-02-27,16:35:00,47.45,47.45,47.45,47.45,304,0
2015-02-27,17:30:00,47.5,47.5,47.5,47.5,102,0
2015-02-27,17:35:00,47.47,47.47,47.47,47.47,404,0
2015-02-27,17:45:00,47.48,47.5,47.48,47.5,506,0
2015-02-27,17:50:00,47.5,47.5,47.49,47.49,1213,0
2015-02-27,17:55:00,47.48,47.48,47.48,47.48,506,0
2015-02-27,18:30:00,47.53,47.54,47.46,47.54,1932,0
2015-02-27,18:45:00,47.54,47.54,47.54,47.54,147,0
2015-02-27,19:20:00,47.46,47.46,47.46,47.46,404,0
2015-02-27,20:45:00,47.411,47.411,47.411,47.411,841,0
2015-02-27,21:30:00,47.371,47.371,47.371,47.371,5763,0
2015-03-02,16:45:00,47.53,47.53,47.53,47.53,404,0
2015-03-02,17:00:00,47.52,47.52,47.52,47.52,202,0
2015-03-02,18:45:00,47.411,47.411,47.411,47.411,137,0
2015-03-02,20:40:00,47.49,47.49,47.49,47.49,404,0
2015-03-02,22:00:00,47.618,47.618,47.618,47.618,202,0
2015-03-03,15:35:00,47.608,47.608,47.608,47.608,681,0
2015-03-03,16:35:00,47.351,47.351,47.351,47.351,152,0
