Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-23,15:35:00,39.92,40.0401,39.92,40.0212,35736,0
2015-07-23,15:40:00,40.07,40.152,40.05,40.05,6055,0
2015-07-23,15:45:00,40.05,40.05,40.032,40.04,6143,0
2015-07-23,15:50:00,40.03,40.03,39.963,39.97,12545,0
2015-07-23,15:55:00,39.99,40.05,39.99,40.0346,2594,0
2015-07-23,16:00:00,40.1,40.1,40.07,40.07,3016,0
2015-07-23,16:05:00,40.06,40.06,40,40,1740,0
2015-07-23,16:10:00,39.98,40.05,39.951,40.02,5203,0
2015-07-23,16:15:00,40.02,40.06,39.99,40.03,11944,0
2015-07-23,16:20:00,40.02,40.043,40.01,40.02,2862,0
2015-07-23,16:25:00,40.02,40.02,39.95,39.95,4683,0
2015-07-23,16:30:00,39.95,39.96,39.93,39.95,800,0
2015-07-23,16:35:00,39.94,39.94,39.94,39.94,1078,0
2015-07-23,16:40:00,39.95,39.98,39.95,39.98,3100,0
2015-07-23,16:45:00,39.995,40,39.95,39.95,5565,0
2015-07-23,16:50:00,39.93,39.9301,39.91,39.9299,3578,0
2015-07-23,16:55:00,39.91,39.926,39.9,39.9,4346,0
2015-07-23,17:00:00,39.8762,39.88,39.86,39.87,1103,0
2015-07-23,17:05:00,39.9,39.9,39.85,39.85,5950,0
2015-07-23,17:10:00,39.83,39.846,39.76,39.78,6780,0
2015-07-23,17:15:00,39.76,39.76,39.7371,39.7371,22300,0
2015-07-23,17:20:00,39.7062,39.7062,39.6434,39.6434,26087,0
2015-07-23,17:25:00,39.67,39.67,39.62,39.64,2878,0
2015-07-23,17:30:00,39.64,39.64,39.604,39.64,7712,0
2015-07-23,17:35:00,39.62,39.69,39.62,39.68,6750,0
2015-07-23,17:40:00,39.695,39.7,39.66,39.67,10867,0
2015-07-23,17:45:00,39.665,39.665,39.6303,39.66,11083,0
2015-07-23,17:50:00,39.63,39.63,39.59,39.61,1937,0
2015-07-23,17:55:00,39.59,39.6151,39.59,39.59,4571,0
2015-07-23,18:00:00,39.59,39.5971,39.52,39.53,10857,0
2015-07-23,18:05:00,39.54,39.57,39.4901,39.52,4175,0
2015-07-23,18:10:00,39.5199,39.53,39.4901,39.53,16856,0
2015-07-23,18:15:00,39.537,39.6,39.53,39.56,2100,0
2015-07-23,18:20:00,39.569,39.569,39.54,39.55,1475,0
2015-07-23,18:25:00,39.55,39.62,39.55,39.62,6221,0
2015-07-23,18:30:00,39.63,39.69,39.63,39.68,12547,0
2015-07-23,18:35:00,39.65,39.651,39.61,39.61,3949,0
2015-07-23,18:40:00,39.605,39.61,39.57,39.58,5531,0
2015-07-23,18:45:00,39.58,39.62,39.58,39.62,1650,0
2015-07-23,18:50:00,39.62,39.62,39.55,39.55,7197,0
2015-07-23,18:55:00,39.5549,39.57,39.53,39.53,7832,0
2015-07-23,19:00:00,39.52,39.59,39.51,39.59,4205,0
2015-07-23,19:05:00,39.57,39.6,39.559,39.6,3637,0
2015-07-23,19:10:00,39.59,39.62,39.58,39.62,5927,0
2015-07-23,19:15:00,39.62,39.62,39.57,39.59,6711,0
2015-07-23,19:20:00,39.61,39.61,39.59,39.6,4420,0
2015-07-23,19:25:00,39.61,39.6199,39.56,39.575,38082,0
2015-07-23,19:30:00,39.57,39.62,39.56,39.62,31456,0
2015-07-23,19:35:00,39.62,39.66,39.61,39.66,1800,0
2015-07-23,19:40:00,39.654,39.6901,39.64,39.68,3245,0
2015-07-23,19:45:00,39.68,39.73,39.68,39.73,4006,0
2015-07-23,19:50:00,39.72,39.73,39.7,39.715,5717,0
2015-07-23,19:55:00,39.71,39.79,39.7,39.79,5977,0
2015-07-23,20:00:00,39.79,39.82,39.79,39.816,925,0
2015-07-23,20:05:00,39.81,39.81,39.75,39.77,8646,0
2015-07-23,20:10:00,39.77,39.77,39.74,39.7401,4649,0
2015-07-23,20:15:00,39.74,39.75,39.7,39.745,23680,0
2015-07-23,20:20:00,39.75,39.75,39.721,39.7499,9381,0
2015-07-23,20:25:00,39.75,39.7801,39.75,39.7801,1066,0
2015-07-23,20:30:00,39.8,39.8,39.77,39.77,10619,0
2015-07-23,20:35:00,39.77,39.83,39.77,39.83,1760,0
2015-07-23,20:40:00,39.83,39.91,39.8213,39.91,10321,0
2015-07-23,20:45:00,39.9,39.91,39.89,39.91,15136,0
2015-07-23,20:50:00,39.91,39.91,39.859,39.86,2553,0
2015-07-23,20:55:00,39.8449,39.845,39.77,39.79,8360,0
2015-07-23,21:00:00,39.79,39.82,39.77,39.81,4500,0
2015-07-23,21:05:00,39.79,39.83,39.79,39.83,12619,0
2015-07-23,21:10:00,39.8214,39.8256,39.79,39.81,20996,0
2015-07-23,21:15:00,39.81,39.81,39.77,39.77,9178,0
2015-07-23,21:20:00,39.76,39.77,39.75,39.77,2600,0
2015-07-23,21:25:00,39.76,39.8,39.76,39.8,2400,0
2015-07-23,21:30:00,39.805,39.8401,39.7901,39.84,14903,0
2015-07-23,21:35:00,39.84,39.84,39.76,39.7778,10492,0
2015-07-23,21:40:00,39.77,39.77,39.74,39.75,1900,0
2015-07-23,21:45:00,39.76,39.79,39.7501,39.78,7582,0
2015-07-23,21:50:00,39.76,39.76,39.74,39.749,14449,0
2015-07-23,21:55:00,39.77,39.77,39.74,39.7429,2400,0
2015-07-23,22:00:00,39.7665,39.79,39.7638,39.78,9061,0
2015-07-24,15:35:00,39.81,39.82,39.56,39.56,25758,0
2015-07-24,15:40:00,39.56,39.62,39.53,39.62,8409,0
2015-07-24,15:45:00,39.6,39.62,39.582,39.6,25065,0
2015-07-24,15:50:00,39.55,39.55,39.52,39.53,3243,0
2015-07-24,15:55:00,39.5103,39.5103,39.48,39.48,9439,0
2015-07-24,16:00:00,39.48,39.48,39.41,39.43,5242,0
2015-07-24,16:05:00,39.44,39.47,39.43,39.45,4729,0
2015-07-24,16:10:00,39.45,39.475,39.44,39.47,13067,0
2015-07-24,16:15:00,39.46,39.49,39.46,39.4851,4901,0
2015-07-24,16:20:00,39.49,39.49,39.42,39.42,3122,0
2015-07-24,16:25:00,39.429,39.429,39.39,39.41,11658,0
2015-07-24,16:30:00,39.41,39.41,39.36,39.38,4247,0
