Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-22,15:35:00,163.41,163.41,162.88,163.06,6375,0
2015-07-22,15:40:00,163.02,163.24,163.02,163.15,625,0
2015-07-22,15:45:00,163.13,163.3744,163.13,163.31,400,0
2015-07-22,15:50:00,163.27,163.27,163.1806,163.2141,3255,0
2015-07-22,15:55:00,163.4772,163.53,163.4772,163.53,784,0
2015-07-22,16:00:00,163.5599,163.6,163.51,163.57,1140,0
2015-07-22,16:05:00,163.551,163.5675,163.55,163.55,508,0
2015-07-22,16:10:00,163.57,163.614,163.57,163.614,500,0
2015-07-22,16:15:00,163.74,163.74,163.74,163.74,200,0
2015-07-22,16:20:00,163.8601,163.88,163.8601,163.88,207,0
2015-07-22,16:25:00,163.96,163.96,163.88,163.88,300,0
2015-07-22,16:30:00,163.85,163.85,163.6701,163.6701,734,0
2015-07-22,16:35:00,163.59,163.59,163.59,163.59,100,0
2015-07-22,16:40:00,163.73,163.73,163.6,163.6,300,0
2015-07-22,16:45:00,163.6,163.6,163.6,163.6,100,0
2015-07-22,16:50:00,163.51,163.6099,163.51,163.6063,1150,0
2015-07-22,16:55:00,163.695,163.83,163.695,163.83,7023,0
2015-07-22,17:00:00,163.92,163.92,163.92,163.92,200,0
2015-07-22,17:10:00,163.7955,163.7955,163.75,163.758,2690,0
2015-07-22,17:15:00,163.8,163.8,163.8,163.8,200,0
2015-07-22,17:25:00,163.79,163.79,163.79,163.79,100,0
2015-07-22,17:30:00,163.5999,163.5999,163.5999,163.5999,100,0
2015-07-22,17:35:00,163.65,163.65,163.65,163.65,300,0
2015-07-22,17:45:00,163.759,163.822,163.759,163.822,400,0
2015-07-22,17:50:00,163.9073,163.9073,163.9073,163.9073,336,0
2015-07-22,17:55:00,163.9,163.9,163.9,163.9,200,0
2015-07-22,18:00:00,163.7243,163.7243,163.7243,163.7243,207,0
2015-07-22,18:05:00,163.8563,163.8899,163.8563,163.8899,363,0
2015-07-22,18:10:00,163.8499,163.8499,163.8499,163.8499,122,0
2015-07-22,18:15:00,163.7598,163.81,163.7598,163.81,722,0
2015-07-22,18:20:00,163.83,163.83,163.83,163.83,150,0
2015-07-22,18:25:00,163.8896,163.8896,163.8896,163.8896,400,0
2015-07-22,18:30:00,163.9147,163.94,163.9147,163.94,219,0
2015-07-22,18:35:00,163.9499,163.9499,163.89,163.89,300,0
2015-07-22,18:40:00,163.8972,163.8972,163.8766,163.8766,200,0
2015-07-22,18:45:00,163.84,163.84,163.76,163.76,903,0
2015-07-22,18:50:00,163.8544,163.8544,163.8263,163.8263,276,0
2015-07-22,19:10:00,163.9463,163.99,163.9199,163.99,484,0
2015-07-22,19:15:00,163.99,164.01,163.93,163.93,4888,0
2015-07-22,19:20:00,163.9,163.9,163.9,163.9,100,0
2015-07-22,19:30:00,163.9251,163.9251,163.9251,163.9251,106,0
2015-07-22,19:40:00,163.91,163.9663,163.91,163.9663,860,0
2015-07-22,19:50:00,163.958,163.958,163.958,163.958,100,0
2015-07-22,19:55:00,163.8986,163.8986,163.8986,163.8986,230,0
2015-07-22,20:00:00,163.8955,163.93,163.8955,163.93,440,0
2015-07-22,20:05:00,163.9455,163.9455,163.9455,163.9455,230,0
2015-07-22,20:10:00,163.8985,163.8985,163.87,163.87,1098,0
2015-07-22,20:20:00,163.91,163.9796,163.91,163.96,373,0
2015-07-22,20:25:00,164.0245,164.0245,164.0245,164.0245,156,0
2015-07-22,20:30:00,163.93,163.93,163.93,163.93,650,0
2015-07-22,20:35:00,163.9663,163.97,163.9194,163.97,953,0
2015-07-22,20:40:00,163.9725,163.9725,163.9725,163.9725,121,0
2015-07-22,20:45:00,163.8953,163.8953,163.8953,163.8953,679,0
2015-07-22,20:50:00,163.96,163.96,163.9503,163.9503,456,0
2015-07-22,20:55:00,163.945,163.955,163.93,163.93,450,0
2015-07-22,21:00:00,163.974,164.07,163.974,164.07,322,0
2015-07-22,21:10:00,164.049,164.049,164.045,164.047,581,0
2015-07-22,21:15:00,163.9601,163.9601,163.81,163.81,681,0
2015-07-22,21:25:00,163.78,163.78,163.78,163.78,900,0
2015-07-22,21:30:00,163.7946,163.7946,163.7946,163.7946,100,0
2015-07-22,21:35:00,163.67,163.7799,163.67,163.7799,290,0
2015-07-22,21:40:00,163.71,163.725,163.71,163.725,250,0
2015-07-22,21:45:00,163.6945,163.6945,163.6799,163.6799,470,0
2015-07-22,21:50:00,163.6947,163.7099,163.6947,163.7099,444,0
2015-07-22,21:55:00,163.74,163.751,163.74,163.751,714,0
2015-07-22,22:00:00,163.8899,163.94,163.86,163.91,2759,0
2015-07-23,15:35:00,164.32,164.62,164.18,164.18,4046,0
2015-07-23,15:40:00,163.89,163.89,163.89,163.89,1000,0
2015-07-23,15:45:00,163.8,163.8,163.8,163.8,100,0
2015-07-23,15:50:00,163.86,163.86,163.85,163.86,600,0
2015-07-23,15:55:00,163.898,163.898,163.898,163.898,200,0
2015-07-23,16:05:00,163.6645,163.81,163.6645,163.81,200,0
2015-07-23,16:10:00,163.9199,163.9199,163.9199,163.9199,100,0
2015-07-23,16:15:00,163.99,163.99,163.99,163.99,100,0
2015-07-23,16:20:00,164.1,164.1,164.1,164.1,100,0
2015-07-23,16:30:00,164.17,164.17,164.17,164.17,100,0
2015-07-23,16:45:00,164.44,164.44,164.32,164.32,400,0
2015-07-23,17:00:00,164.37,164.37,164.37,164.37,100,0
