Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-03-23,15:40:00,26.19,26.19,26.19,26.19,5844,0
2015-03-23,15:45:00,26.14,26.14,26.14,26.14,200,0
2015-03-23,16:00:00,26.14,26.14,26.14,26.14,1600,0
2015-03-23,16:25:00,26.14,26.16,26.13,26.13,3100,0
2015-03-23,17:15:00,26.17,26.17,26.17,26.17,6100,0
2015-03-23,17:50:00,26.17,26.17,26.17,26.17,7300,0
2015-03-23,18:00:00,26.16,26.16,26.16,26.16,2100,0
2015-03-23,18:10:00,26.21,26.21,26.21,26.21,600,0
2015-03-23,18:15:00,26.13,26.21,26.11,26.11,1400,0
2015-03-23,18:30:00,26.21,26.21,26.0801,26.0801,1100,0
2015-03-23,18:40:00,26.22,26.22,26.06,26.08,1900,0
2015-03-23,18:45:00,26.14,26.14,26.13,26.13,200,0
2015-03-23,18:50:00,26.13,26.19,26.08,26.08,2100,0
2015-03-23,19:45:00,26.09,26.09,26.09,26.09,4600,0
2015-03-23,20:30:00,26.09,26.11,26.09,26.11,400,0
2015-03-23,20:35:00,26.11,26.14,26.11,26.14,1200,0
2015-03-23,20:50:00,26.14,26.14,26.14,26.14,100,0
2015-03-24,14:40:00,26.11,26.12,26.11,26.12,5600,0
2015-03-24,15:20:00,26.09,26.09,26.09,26.09,4000,0
2015-03-24,15:30:00,26.12,26.12,26.12,26.12,8100,0
2015-03-24,16:30:00,26.07,26.09,26.07,26.09,800,0
2015-03-24,16:45:00,26.09,26.09,26.09,26.09,1400,0
2015-03-24,16:50:00,26.09,26.09,26.09,26.09,1400,0
2015-03-24,17:05:00,26.15,26.15,26.06,26.06,1200,0
2015-03-24,17:15:00,26.07,26.07,26.07,26.07,2000,0
2015-03-24,17:40:00,26.14,26.14,26.04,26.04,1500,0
2015-03-24,17:45:00,26.06,26.06,26.06,26.06,300,0
2015-03-24,17:55:00,26.06,26.06,26.06,26.06,200,0
2015-03-24,18:05:00,26.06,26.14,26.06,26.14,1100,0
2015-03-24,19:35:00,26.11,26.11,26.04,26.04,1100,0
