Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-07-21,15:55:00,51.311,51.311,51.311,51.311,1130,0
2014-07-21,17:50:00,51.292,51.292,51.292,51.292,101,0
2014-07-21,18:35:00,51.44,51.44,51.44,51.44,1514,0
2014-07-21,19:30:00,51.401,51.42,51.401,51.42,505,0
2014-07-21,21:20:00,51.589,51.589,51.589,51.589,111,0
2014-07-21,22:00:00,51.401,51.401,51.401,51.401,182,0
2014-07-22,15:40:00,51.678,51.678,51.668,51.678,4137,0
2014-07-22,22:00:00,51.678,51.678,51.678,51.678,101,0
2014-07-23,18:55:00,51.796,51.796,51.796,51.796,202,0
2014-07-23,21:45:00,51.866,51.866,51.866,51.866,290,0
2014-07-23,22:00:00,51.866,51.866,51.866,51.866,189,0
2014-07-24,21:05:00,51.767,51.767,51.767,51.767,606,0
2014-07-25,20:00:00,51.955,51.955,51.955,51.955,706,0
2014-07-25,21:45:00,51.916,51.916,51.916,51.916,202,0
2014-07-28,15:35:00,52.015,52.015,52.015,52.015,505,0
2014-07-29,16:00:00,52.401,52.401,52.401,52.401,263,0
2014-07-29,16:50:00,52.411,52.411,52.411,52.411,711,0
2014-07-29,16:55:00,52.382,52.382,52.382,52.382,505,0
2014-07-30,15:40:00,52.253,52.253,52.253,52.253,143,0
2014-07-30,17:55:00,52.045,52.163,52.015,52.015,4743,0
2014-07-30,18:00:00,52.045,52.055,51.985,51.985,12313,0
2014-07-30,18:05:00,51.975,51.975,51.955,51.955,5249,0
2014-07-30,20:05:00,51.896,51.965,51.896,51.965,461,0
2014-07-30,20:15:00,51.995,52.113,51.975,52.084,17865,0
2014-07-30,20:20:00,52.074,52.312,52.064,52.312,9689,0
2014-07-30,21:10:00,52.025,52.025,52.025,52.025,3230,0
2014-07-30,21:25:00,52.015,52.015,52.015,52.015,6864,0
2014-07-30,22:00:00,52.015,52.015,52.015,52.015,1817,0
2014-07-31,15:40:00,51.728,51.728,51.728,51.728,202,0
2014-07-31,16:10:00,51.351,51.351,51.351,51.351,353,0
2014-07-31,18:20:00,51.381,51.381,51.381,51.381,101,0
2014-07-31,19:10:00,51.519,51.519,51.519,51.519,1135,0
2014-07-31,21:40:00,51.222,51.222,51.222,51.222,404,0
2014-08-01,19:35:00,51.064,51.064,50.994,50.994,1362,0
2014-08-01,19:40:00,51.004,51.004,50.984,50.984,1865,0
2014-08-04,19:35:00,51.093,51.093,51.093,51.093,303,0
2014-08-04,21:20:00,51.212,51.212,51.212,51.212,1009,0
2014-08-04,21:25:00,51.212,51.212,51.212,51.212,514,0
2014-08-04,21:30:00,51.302,51.302,51.302,51.302,1615,0
2014-08-04,22:00:00,51.272,51.272,51.272,51.272,202,0
2014-08-05,16:55:00,50.618,50.618,50.618,50.618,303,0
2014-08-05,20:00:00,50.687,50.687,50.687,50.687,404,0
2014-08-05,21:15:00,50.311,50.311,50.311,50.311,1110,0
2014-08-06,21:05:00,50.201,50.201,50.201,50.201,101,0
2014-08-08,19:25:00,50.281,50.281,50.281,50.281,1354,0
2014-08-08,19:30:00,50.36,50.36,50.281,50.281,202,0
2014-08-08,21:55:00,50.548,50.548,50.548,50.548,524,0
2014-08-11,15:35:00,50.845,50.845,50.845,50.845,303,0
2014-08-11,19:45:00,51.123,51.123,51.123,51.123,118,0
2014-08-11,20:15:00,50.855,50.855,50.855,50.855,981,0
2014-08-11,21:55:00,50.835,50.835,50.835,50.835,101,0
2014-08-13,18:05:00,51.272,51.272,51.272,51.272,2988,0
2014-08-14,15:45:00,51.45,51.45,51.45,51.45,101,0
2014-08-14,17:45:00,51.182,51.182,51.182,51.182,404,0
2014-08-14,20:10:00,51.212,51.212,51.182,51.182,807,0
2014-08-14,22:00:00,51.401,51.401,51.401,51.401,606,0
2014-08-15,15:45:00,51.668,51.668,51.668,51.668,353,0
2014-08-15,20:30:00,51.43,51.43,51.43,51.43,404,0
2014-08-18,17:05:00,51.688,51.708,51.658,51.708,1720,0
2014-08-18,17:10:00,51.718,51.718,51.708,51.708,1110,0
2014-08-18,17:15:00,51.796,51.836,51.786,51.806,1312,0
2014-08-18,17:20:00,51.816,51.816,51.816,51.816,1009,0
2014-08-18,17:35:00,51.777,51.777,51.777,51.777,101,0
