Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-23,15:35:00,37.2,37.2,37.11,37.1292,32229,0
2015-07-23,15:40:00,37.12,37.27,37.12,37.21,18318,0
2015-07-23,15:45:00,37.19,37.1999,37.14,37.18,20576,0
2015-07-23,15:50:00,37.18,37.2,37.16,37.2,16351,0
2015-07-23,15:55:00,37.19,37.23,37.15,37.215,18867,0
2015-07-23,16:00:00,37.21,37.21,37.1707,37.19,2503,0
2015-07-23,16:05:00,37.1914,37.206,37.14,37.14,3564,0
2015-07-23,16:10:00,37.14,37.16,37.14,37.15,9328,0
2015-07-23,16:15:00,37.15,37.17,37.13,37.17,9853,0
2015-07-23,16:20:00,37.17,37.17,37.145,37.15,15131,0
2015-07-23,16:25:00,37.155,37.19,37.15,37.17,11063,0
2015-07-23,16:30:00,37.17,37.2,37.17,37.19,11063,0
2015-07-23,16:35:00,37.2,37.211,37.19,37.21,19653,0
2015-07-23,16:40:00,37.2,37.2473,37.2,37.24,6020,0
2015-07-23,16:45:00,37.24,37.272,37.24,37.26,16060,0
2015-07-23,16:50:00,37.27,37.279,37.21,37.21,16604,0
2015-07-23,16:55:00,37.2,37.2,37.1715,37.19,2700,0
2015-07-23,17:00:00,37.18,37.18,37.14,37.15,9381,0
2015-07-23,17:05:00,37.15,37.17,37.14,37.15,33419,0
2015-07-23,17:10:00,37.16,37.16,37.14,37.1462,3232,0
2015-07-23,17:15:00,37.16,37.16,37.122,37.13,6416,0
2015-07-23,17:20:00,37.125,37.13,37.1,37.1,1716,0
2015-07-23,17:25:00,37.09,37.115,37.06,37.07,24075,0
2015-07-23,17:30:00,37.06,37.06,37.02,37.02,6771,0
2015-07-23,17:35:00,37,37,36.94,36.94,11200,0
2015-07-23,17:40:00,36.935,36.94,36.85,36.85,8642,0
2015-07-23,17:45:00,36.84,36.85,36.815,36.825,6250,0
2015-07-23,17:50:00,36.83,36.83,36.75,36.76,8644,0
2015-07-23,17:55:00,36.76,36.77,36.73,36.74,25864,0
2015-07-23,18:00:00,36.74,36.76,36.725,36.755,26348,0
2015-07-23,18:05:00,36.76,36.76,36.72,36.74,33907,0
2015-07-23,18:10:00,36.73,36.73,36.71,36.725,22752,0
2015-07-23,18:15:00,36.73,36.75,36.69,36.7,30237,0
2015-07-23,18:20:00,36.71,36.71,36.62,36.62,25376,0
2015-07-23,18:25:00,36.61,36.63,36.58,36.615,60133,0
2015-07-23,18:30:00,36.61,36.66,36.595,36.66,12125,0
