Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-17,15:35:00,71,71,70.96,70.96,1675,0
2015-07-17,15:40:00,70.92,70.92,70.88,70.88,443,0
2015-07-17,15:50:00,70.85,70.87,70.83,70.87,388,0
2015-07-17,15:55:00,70.9099,70.9099,70.899,70.899,806,0
2015-07-17,16:00:00,70.9,70.9,70.9,70.9,100,0
2015-07-17,16:05:00,70.91,70.91,70.89,70.89,250,0
2015-07-17,16:10:00,70.8545,70.8545,70.8545,70.8545,440,0
2015-07-17,16:30:00,70.86,70.86,70.86,70.86,200,0
2015-07-17,16:35:00,70.82,70.82,70.82,70.82,100,0
2015-07-17,16:40:00,70.82,70.82,70.799,70.799,1600,0
2015-07-17,16:45:00,70.82,70.82,70.77,70.8,450,0
2015-07-17,16:50:00,70.77,70.77,70.77,70.77,100,0
2015-07-17,16:55:00,70.71,70.71,70.71,70.71,100,0
2015-07-17,17:00:00,70.74,70.74,70.74,70.74,100,0
2015-07-17,17:05:00,70.78,70.78,70.78,70.78,100,0
2015-07-17,17:10:00,70.79,70.79,70.79,70.79,500,0
2015-07-17,17:40:00,70.8,70.8,70.8,70.8,100,0
2015-07-17,17:55:00,70.8,70.82,70.79,70.82,3200,0
2015-07-17,18:10:00,70.71,70.72,70.7,70.72,5200,0
2015-07-17,18:15:00,70.71,70.71,70.7,70.7,10502,0
2015-07-17,18:20:00,70.76,70.76,70.73,70.73,4700,0
2015-07-17,18:25:00,70.6947,70.6947,70.6947,70.6947,300,0
2015-07-17,18:30:00,70.6952,70.72,70.6952,70.72,10200,0
2015-07-17,18:45:00,70.7,70.7,70.7,70.7,100,0
2015-07-17,19:15:00,70.65,70.68,70.65,70.68,5100,0
2015-07-17,19:20:00,70.65,70.65,70.65,70.65,4806,0
2015-07-17,19:25:00,70.66,70.66,70.66,70.66,3400,0
2015-07-17,19:45:00,70.62,70.64,70.61,70.61,10000,0
2015-07-17,20:05:00,70.63,70.63,70.63,70.63,2100,0
2015-07-17,20:10:00,70.63,70.63,70.63,70.63,8094,0
2015-07-17,20:15:00,70.64,70.6796,70.63,70.6746,5425,0
2015-07-17,20:20:00,70.68,70.6895,70.68,70.6895,326,0
2015-07-17,20:25:00,70.69,70.71,70.68,70.71,13000,0
2015-07-17,20:30:00,70.71,70.7646,70.71,70.73,9755,0
2015-07-17,20:35:00,70.73,70.74,70.71,70.7346,11241,0
2015-07-17,20:45:00,70.7246,70.7246,70.72,70.72,315,0
2015-07-17,20:50:00,70.7,70.7099,70.7,70.7046,475,0
2015-07-17,21:00:00,70.7046,70.7046,70.7046,70.7046,570,0
2015-07-17,21:05:00,70.695,70.695,70.6646,70.6646,315,0
2015-07-17,21:10:00,70.682,70.682,70.682,70.682,350,0
2015-07-17,21:15:00,70.7,70.7046,70.6946,70.7046,795,0
2015-07-17,21:20:00,70.7046,70.7246,70.7046,70.7246,640,0
2015-07-17,21:30:00,70.74,70.77,70.74,70.762,965,0
2015-07-17,21:35:00,70.8146,70.8146,70.8146,70.8146,285,0
2015-07-17,21:40:00,70.81,70.815,70.79,70.815,1980,0
2015-07-17,21:45:00,70.81,70.81,70.8067,70.8067,624,0
2015-07-17,21:50:00,70.84,70.85,70.84,70.85,1730,0
2015-07-17,21:55:00,70.8201,70.84,70.8201,70.83,1230,0
2015-07-17,22:00:00,70.82,70.84,70.82,70.83,3720,0
2015-07-20,15:35:00,70.91,70.91,70.91,70.91,100,0
2015-07-20,15:40:00,70.91,70.91,70.83,70.8372,757,0
2015-07-20,15:45:00,70.79,70.79,70.76,70.76,3294,0
2015-07-20,15:50:00,70.71,70.72,70.71,70.72,200,0
2015-07-20,16:00:00,70.74,70.74,70.68,70.69,300,0
2015-07-20,16:05:00,70.64,70.64,70.6,70.6,650,0
2015-07-20,16:10:00,70.59,70.59,70.59,70.59,100,0
2015-07-20,16:20:00,70.66,70.66,70.63,70.63,300,0
2015-07-20,16:25:00,70.64,70.64,70.64,70.64,100,0
2015-07-20,16:30:00,70.67,70.67,70.64,70.64,300,0
2015-07-20,16:35:00,70.6,70.6,70.59,70.59,576,0
2015-07-20,16:40:00,70.58,70.59,70.56,70.57,500,0
2015-07-20,16:45:00,70.54,70.54,70.54,70.54,100,0
2015-07-20,16:50:00,70.53,70.53,70.53,70.53,100,0
2015-07-20,16:55:00,70.54,70.54,70.54,70.54,623,0
2015-07-20,17:05:00,70.66,70.6601,70.66,70.6601,373,0
2015-07-20,17:10:00,70.69,70.7,70.69,70.69,862,0
2015-07-20,17:15:00,70.67,70.67,70.67,70.67,100,0
2015-07-20,17:20:00,70.6772,70.69,70.6772,70.69,450,0
2015-07-20,17:30:00,70.78,70.78,70.77,70.77,400,0
2015-07-20,17:35:00,70.76,70.77,70.73,70.73,404,0
2015-07-20,17:45:00,70.76,70.76,70.76,70.76,100,0
2015-07-20,17:50:00,70.74,70.74,70.74,70.74,100,0
2015-07-20,17:55:00,70.75,70.75,70.73,70.73,200,0
2015-07-20,18:05:00,70.74,70.76,70.74,70.76,96297,0
2015-07-20,18:25:00,70.71,70.71,70.71,70.71,200,0
2015-07-20,18:45:00,70.76,70.76,70.76,70.76,143,0
2015-07-20,19:00:00,70.75,70.75,70.75,70.75,200,0
2015-07-20,19:15:00,70.7392,70.7392,70.7392,70.7392,131,0
2015-07-20,19:25:00,70.76,70.76,70.76,70.76,270,0
2015-07-20,19:35:00,70.78,70.78,70.78,70.78,106,0
2015-07-20,19:40:00,70.79,70.79,70.79,70.79,100,0
2015-07-20,19:45:00,70.78,70.79,70.77,70.77,965,0
2015-07-20,19:50:00,70.76,70.76,70.75,70.75,300,0
2015-07-20,20:00:00,70.6802,70.74,70.6802,70.74,900,0
2015-07-20,20:15:00,70.75,70.75,70.75,70.75,502,0
2015-07-20,20:20:00,70.72,70.72,70.72,70.72,100,0
2015-07-20,20:25:00,70.7122,70.7122,70.7122,70.7122,157,0
2015-07-20,20:30:00,70.74,70.74,70.74,70.74,100,0
2015-07-20,20:35:00,70.74,70.74,70.72,70.72,750,0
2015-07-20,20:50:00,70.7,70.7,70.68,70.68,300,0
2015-07-20,20:55:00,70.67,70.67,70.67,70.67,100,0
2015-07-20,21:05:00,70.65,70.65,70.64,70.64,370,0
2015-07-20,21:10:00,70.63,70.66,70.63,70.66,666,0
2015-07-20,21:15:00,70.67,70.67,70.66,70.66,500,0
2015-07-20,21:20:00,70.65,70.65,70.62,70.62,300,0
2015-07-20,21:25:00,70.63,70.63,70.63,70.63,256,0
2015-07-20,21:30:00,70.6,70.6,70.6,70.6,100,0
2015-07-20,21:35:00,70.62,70.62,70.62,70.62,100,0
2015-07-20,21:40:00,70.61,70.61,70.61,70.61,200,0
2015-07-20,21:50:00,70.6199,70.6199,70.6199,70.6199,324,0
2015-07-20,21:55:00,70.61,70.61,70.59,70.59,320,0
2015-07-20,22:00:00,70.58,70.6,70.58,70.6,500,0
2015-07-21,15:35:00,70.64,70.67,70.64,70.67,1471,0
2015-07-21,15:40:00,70.68,70.72,70.68,70.72,2461,0
2015-07-21,15:45:00,70.73,70.84,70.73,70.82,2198,0
2015-07-21,15:50:00,70.79,70.87,70.79,70.87,1299,0
2015-07-21,15:55:00,70.88,70.92,70.88,70.91,1900,0
2015-07-21,16:00:00,70.9,70.92,70.9,70.91,2095,0
2015-07-21,16:05:00,70.93,70.96,70.92,70.96,560,0
2015-07-21,16:10:00,70.96,70.99,70.93,70.93,2050,0
2015-07-21,16:15:00,70.92,70.95,70.92,70.95,960,0
2015-07-21,16:20:00,70.98,71.02,70.98,71.02,1140,0
2015-07-21,16:25:00,71.0204,71.03,71.0204,71.03,700,0
2015-07-21,16:30:00,71.06,71.06,71.04,71.04,2940,0
2015-07-21,16:35:00,70.98,70.99,70.98,70.99,890,0
2015-07-21,16:40:00,70.95,70.95,70.91,70.91,900,0
2015-07-21,16:45:00,70.89,70.89,70.83,70.83,1660,0
2015-07-21,16:50:00,70.82,70.82,70.79,70.79,700,0
2015-07-21,16:55:00,70.8,70.8,70.72,70.72,1650,0
2015-07-21,17:00:00,70.73,70.73,70.72,70.72,1100,0
2015-07-21,17:05:00,70.73,70.73,70.72,70.72,761,0
2015-07-21,17:10:00,70.71,70.71,70.63,70.63,1200,0
2015-07-21,17:15:00,70.65,70.6599,70.63,70.65,1074,0
2015-07-21,17:20:00,70.64,70.64,70.63,70.63,2300,0
2015-07-21,17:25:00,70.62,70.62,70.62,70.62,261,0
2015-07-21,17:30:00,70.63,70.63,70.63,70.63,400,0
2015-07-21,17:35:00,70.66,70.66,70.65,70.66,1822,0
2015-07-21,17:45:00,70.68,70.69,70.68,70.68,3261,0
2015-07-21,17:50:00,70.68,70.68,70.67,70.68,539,0
2015-07-21,17:55:00,70.68,70.68,70.67,70.67,739,0
2015-07-21,18:00:00,70.67,70.67,70.63,70.65,2254,0
2015-07-21,18:05:00,70.648,70.648,70.63,70.63,1775,0
2015-07-21,18:10:00,70.65,70.65,70.65,70.65,261,0
2015-07-21,18:15:00,70.64,70.64,70.63,70.63,1461,0
2015-07-21,18:20:00,70.63,70.63,70.63,70.63,939,0
2015-07-21,18:25:00,70.62,70.62,70.62,70.62,500,0
2015-07-21,18:30:00,70.62,70.63,70.62,70.63,3522,0
2015-07-21,18:35:00,70.65,70.65,70.65,70.65,4812,0
2015-07-21,18:40:00,70.64,70.64,70.64,70.64,400,0
