Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-08,16:30:00,67.48,67.49,67.48,67.49,215,0
2014-10-08,18:00:00,67.414,67.414,67.414,67.414,534,0
2014-10-08,18:25:00,67.499,67.499,67.499,67.499,108,0
2014-10-08,18:40:00,67.48,67.49,67.48,67.48,3737,0
2014-10-08,19:15:00,67.442,67.442,67.442,67.442,312,0
2014-10-08,21:55:00,68.417,68.417,68.417,68.417,534,0
2014-10-09,16:10:00,68.201,68.201,68.201,68.201,640,0
2014-10-09,21:15:00,67.208,67.208,67.208,67.208,321,0
2014-10-09,21:25:00,67.302,67.302,67.302,67.302,321,0
2014-10-09,21:50:00,67.293,67.293,67.293,67.293,534,0
2014-10-09,22:00:00,67.331,67.331,67.331,67.331,471,0
2014-10-10,15:35:00,67.096,67.096,67.096,67.096,192,0
2014-10-10,16:40:00,67.217,67.217,67.217,67.217,213,0
2014-10-10,16:55:00,67.321,67.321,67.321,67.321,213,0
2014-10-10,21:35:00,67.227,67.227,67.227,67.227,300,0
2014-10-13,15:45:00,67.245,67.245,67.236,67.236,961,0
2014-10-13,15:50:00,67.077,67.077,67.077,67.077,992,0
2014-10-13,20:45:00,66.946,66.946,66.946,66.946,660,0
2014-10-13,21:00:00,66.918,66.918,66.918,66.918,213,0
2014-10-13,21:05:00,66.833,66.833,66.833,66.833,108,0
2014-10-13,21:20:00,66.797,66.797,66.797,66.797,108,0
2014-10-13,21:25:00,66.712,66.712,66.712,66.712,108,0
2014-10-13,21:30:00,66.683,66.683,66.683,66.683,213,0
2014-10-14,16:20:00,66.572,66.572,66.572,66.572,108,0
2014-10-14,21:25:00,66.403,66.413,66.403,66.403,967,0
2014-10-15,16:00:00,66,66,66,66,134,0
2014-10-15,18:30:00,65.279,65.279,65.279,65.279,108,0
2014-10-15,21:25:00,65.419,65.419,65.419,65.419,160,0
2014-10-15,21:30:00,65.711,65.711,65.711,65.711,160,0
2014-10-15,21:55:00,65.822,65.87,65.822,65.822,1252,0
2014-10-16,20:45:00,65.943,65.943,65.943,65.943,640,0
2014-10-17,17:35:00,66.6,66.6,66.6,66.6,169,0
2014-10-17,21:20:00,66.646,66.646,66.646,66.646,160,0
2014-10-17,21:50:00,66.769,66.769,66.712,66.712,1068,0
2014-10-20,15:55:00,66.664,66.664,66.664,66.664,419,0
2014-10-20,16:10:00,66.581,66.581,66.581,66.581,585,0
2014-10-20,17:15:00,66.806,66.806,66.806,66.806,108,0
2014-10-20,19:00:00,66.788,66.788,66.788,66.788,173,0
