Date,Time,Open,High,Low,Close,Volume,OpenInt
2011-05-03,16:10:00,48.54,48.54,48.54,48.54,1000,0
2011-05-03,17:00:00,48.4,48.4,48.37,48.37,300,0
2011-05-03,17:05:00,48.33,48.33,48.33,48.33,300,0
2011-05-03,17:15:00,48.28,48.28,48.28,48.28,400,0
2011-05-03,17:20:00,48.3,48.3,48.3,48.3,100,0
2011-05-03,17:35:00,48.33,48.33,48.33,48.33,200,0
2011-05-03,18:15:00,48.29,48.29,48.29,48.29,300,0
2011-05-03,19:00:00,48.24,48.24,48.18,48.18,900,0
2011-05-03,19:10:00,48.11,48.11,48.03,48.03,1000,0
2011-05-03,19:45:00,47.94,47.94,47.94,47.94,500,0
2011-05-03,20:00:00,47.84,47.84,47.84,47.84,500,0
2011-05-03,20:45:00,47.88,47.88,47.84,47.84,300,0
2011-05-03,20:50:00,47.85,47.85,47.85,47.85,200,0
2011-05-04,19:15:00,47.88,47.88,47.88,47.88,100,0
2011-05-04,19:25:00,47.91,47.91,47.91,47.91,200,0
2011-05-04,19:35:00,47.95,47.95,47.95,47.95,300,0
2011-05-04,20:00:00,48.0,48.0,48.0,48.0,800,0
2011-05-05,16:15:00,47.78,47.96,47.78,47.96,1500,0
2011-05-05,16:55:00,47.94,47.94,47.94,47.94,100,0
2011-05-05,17:00:00,47.91,47.91,47.82,47.82,900,0
2011-05-05,17:05:00,47.76,47.76,47.73,47.73,1000,0
2011-05-05,17:10:00,47.69,47.69,47.64,47.64,700,0
2011-05-05,17:15:00,47.58,47.58,47.51,47.51,1000,0
2011-05-05,17:20:00,47.53,47.6,47.53,47.6,500,0
2011-05-05,17:25:00,47.6,47.6,47.6,47.6,100,0
2011-05-05,17:30:00,47.65,47.65,47.65,47.65,400,0
2011-05-05,17:35:00,47.71,47.71,47.71,47.71,500,0
2011-05-05,17:40:00,47.78,47.78,47.78,47.78,500,0
2011-05-05,17:50:00,47.86,47.89,47.86,47.89,300,0
2011-05-05,17:55:00,47.93,47.93,47.93,47.93,200,0
2011-05-05,18:05:00,47.98,48.04,47.98,48.04,900,0
2011-05-05,19:10:00,48.02,48.02,48.02,48.02,100,0
2011-05-05,19:15:00,47.99,47.99,47.99,47.99,200,0
2011-05-05,19:50:00,47.95,47.95,47.95,47.95,300,0
2011-05-05,19:55:00,47.9,47.9,47.9,47.9,400,0
2011-05-05,20:25:00,47.84,47.84,47.84,47.84,500,0
2011-05-05,21:25:00,47.77,47.77,47.77,47.77,800,0
2011-05-05,21:30:00,47.74,47.74,47.74,47.74,200,0
2011-05-05,21:50:00,47.7,47.7,47.7,47.7,300,0
2011-05-06,16:10:00,47.63,47.63,47.63,47.63,100,0
2011-05-06,16:25:00,47.66,47.75,47.66,47.75,900,0
2011-05-06,17:05:00,47.73,47.73,47.73,47.73,100,0
2011-05-06,18:10:00,47.7,47.7,47.7,47.7,100,0
2011-05-06,18:15:00,47.7,47.7,47.6,47.6,1100,0
2011-05-06,19:10:00,47.62,47.65,47.62,47.65,200,0
2011-05-06,19:15:00,47.65,47.65,47.64,47.64,200,0
2011-05-06,19:25:00,47.67,47.67,47.67,47.67,200,0
2011-05-06,19:30:00,47.71,47.76,47.71,47.76,700,0
2011-05-06,19:35:00,47.82,47.82,47.82,47.82,100,0
2011-05-06,19:55:00,47.82,47.82,47.82,47.82,400,0
2011-05-06,20:00:00,47.8,47.8,47.8,47.8,100,0
2011-05-06,21:25:00,47.77,47.77,47.77,47.77,400,0
2011-05-11,16:50:00,47.64,47.64,47.64,47.64,300,0
2011-05-11,18:15:00,47.45,47.45,47.45,47.45,200,0
2011-05-20,17:00:00,47.0,47.0,47.0,47.0,1551,0
2011-05-20,20:00:00,47.03,47.04,47.03,47.04,1902,0
2011-05-23,16:25:00,45.9,45.9,45.9,45.9,2100,0
2011-05-23,20:15:00,45.67,45.67,45.67,45.67,300,0
2011-05-26,16:35:00,45.81,45.81,45.81,45.81,100,0
2011-05-26,16:40:00,45.92,45.92,45.92,45.92,100,0
2011-05-26,17:50:00,45.73,45.76,45.73,45.76,4900,0
2011-06-08,20:20:00,46.33,46.33,46.33,46.33,100,0
2011-06-09,17:55:00,46.76,46.76,46.76,46.76,100,0
2011-06-09,19:20:00,46.96,46.96,46.96,46.96,100,0
2011-06-16,19:15:00,47.55,47.55,47.55,47.55,100,0
2011-06-16,19:25:00,47.56,47.56,47.56,47.56,100,0
2011-06-16,19:35:00,47.55,47.55,47.55,47.55,100,0
2011-06-16,19:40:00,47.55,47.55,47.55,47.55,300,0
2011-06-16,19:45:00,47.56,47.56,47.56,47.56,100,0
2011-06-16,20:05:00,47.55,47.56,47.55,47.56,200,0
2011-06-16,20:10:00,47.56,47.56,47.56,47.56,200,0
2011-06-16,20:15:00,47.56,47.56,47.56,47.56,100,0
2011-06-16,21:45:00,47.51,47.51,47.5,47.5,300,0
2011-06-17,21:20:00,47.99,47.99,47.99,47.99,100,0
2011-06-17,21:35:00,47.99,47.99,47.99,47.99,200,0
2011-06-24,21:20:00,48.62,48.64,48.62,48.62,2200,0
2011-06-24,21:25:00,48.62,48.62,48.62,48.62,1000,0
2011-06-24,21:55:00,48.53,48.53,48.53,48.53,100,0
