Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-03-19,20:35:00,12.28,12.28,12.28,12.28,200,0
2014-03-19,20:50:00,12.28,12.28,12.28,12.28,100,0
2014-03-19,20:55:00,12.28,12.28,12.28,12.28,400,0
2014-03-20,18:45:00,12.28,12.28,12.28,12.28,1665,0
2014-03-24,14:40:00,12.24,12.24,12.24,12.24,200,0
2014-03-24,16:30:00,12.33,12.33,12.33,12.33,100,0
2014-03-24,18:45:00,12.31,12.31,12.31,12.31,100,0
2014-03-28,18:00:00,12.19,12.19,12.19,12.19,2478,0
2014-03-31,17:00:00,12.08,12.08,12.08,12.08,3000,0
2014-03-31,17:05:00,12.08,12.09,12.08,12.09,9300,0
2014-03-31,21:45:00,12.06,12.06,12.06,12.06,1500,0
2014-03-31,21:50:00,12.06,12.06,12.05,12.05,3100,0
2014-03-31,22:00:00,12.05,12.05,12.03,12.05,8500,0
2014-04-01,16:30:00,12.01,12.01,12.01,12.01,500,0
2014-04-01,17:35:00,12.03,12.03,12.02,12.02,1750,0
2014-04-01,17:55:00,12.03,12.03,12.03,12.03,700,0
2014-04-01,19:25:00,11.96,11.96,11.96,11.96,100,0
2014-04-01,19:55:00,11.96,11.96,11.96,11.96,100,0
2014-04-01,20:35:00,11.92,11.92,11.92,11.92,350,0
2014-04-04,18:20:00,11.8,11.8,11.8,11.8,1000,0
2014-04-07,15:35:00,11.8,11.8,11.8,11.8,400,0
2014-04-07,16:00:00,11.84,11.84,11.84,11.84,100,0
2014-04-07,19:10:00,11.9,11.9,11.9,11.9,400,0
2014-04-07,19:45:00,11.93,11.93,11.93,11.93,100,0
2014-04-07,22:00:00,11.95,11.95,11.95,11.95,100,0
2014-04-09,20:10:00,11.85,11.85,11.85,11.85,2000,0
2014-04-10,17:10:00,11.77,11.77,11.77,11.77,2800,0
2014-04-11,16:40:00,11.86,11.86,11.86,11.86,3200,0
2014-04-11,20:50:00,11.82,11.82,11.82,11.82,1000,0
2014-04-17,16:00:00,11.71,11.71,11.71,11.71,200,0
2014-04-17,16:20:00,11.7,11.7,11.7,11.7,100,0
2014-04-17,16:45:00,11.73,11.73,11.73,11.73,100,0
2014-04-17,17:00:00,11.72,11.72,11.72,11.72,100,0
2014-04-17,17:40:00,11.7,11.7,11.7,11.7,100,0
2014-04-17,17:55:00,11.7,11.7,11.7,11.7,100,0
2014-04-17,18:35:00,11.67,11.67,11.67,11.67,100,0
2014-04-17,18:45:00,11.67,11.67,11.67,11.67,100,0
2014-04-17,19:30:00,11.65,11.65,11.65,11.65,200,0
2014-04-24,18:50:00,11.66,11.66,11.66,11.66,200,0
2014-04-24,20:20:00,11.66,11.66,11.66,11.66,100,0
2014-04-28,15:35:00,11.77,11.77,11.75,11.75,2000,0
2014-04-28,15:40:00,11.74,11.74,11.71,11.71,13900,0
2014-04-28,16:20:00,11.68,11.68,11.68,11.68,600,0
2014-04-30,19:30:00,11.59,11.59,11.58,11.58,10000,0
2014-04-30,19:45:00,11.59,11.59,11.59,11.59,700,0
2014-04-30,20:15:00,11.62,11.62,11.62,11.62,1500,0
2014-04-30,20:30:00,11.61,11.61,11.61,11.61,7500,0
2014-04-30,20:35:00,11.62,11.62,11.62,11.62,1500,0
2014-04-30,20:40:00,11.61,11.61,11.61,11.61,6000,0
2014-04-30,20:55:00,11.59,11.59,11.54,11.54,800,0
2014-05-01,15:40:00,11.55,11.55,11.54,11.54,6700,0
2014-05-01,15:45:00,11.55,11.55,11.55,11.55,3000,0
2014-05-01,17:05:00,11.49,11.49,11.49,11.49,1500,0
2014-05-01,18:55:00,11.49,11.49,11.49,11.49,1500,0
2014-05-01,20:20:00,11.49,11.49,11.49,11.49,1500,0
2014-05-01,20:25:00,11.49,11.49,11.49,11.49,1500,0
2014-05-02,19:00:00,11.5,11.5,11.5,11.5,1068,0
2014-05-05,20:25:00,11.32,11.32,11.32,11.32,1500,0
2014-05-05,20:35:00,11.3,11.3,11.3,11.3,1500,0
2014-05-06,15:55:00,11.32,11.32,11.32,11.32,15000,0
2014-05-08,16:30:00,11.31,11.31,11.31,11.31,3500,0
2014-05-08,17:10:00,11.4,11.4,11.4,11.4,2500,0
2014-05-08,17:35:00,11.42,11.42,11.42,11.42,2500,0
2014-05-08,18:10:00,11.39,11.39,11.39,11.39,2500,0
2014-05-09,18:50:00,11.42,11.42,11.42,11.42,2100,0
2014-05-09,21:45:00,11.41,11.41,11.41,11.41,600,0
2014-05-09,22:00:00,11.4,11.4,11.4,11.4,700,0
2014-05-12,16:00:00,11.31,11.31,11.31,11.31,1000,0
2014-05-15,21:30:00,11.35,11.35,11.35,11.35,1400,0
2014-05-22,17:05:00,11.2,11.2,11.2,11.2,200,0
2014-05-22,17:35:00,11.2,11.2,11.2,11.2,100,0
2014-05-29,17:30:00,11.23,11.25,11.23,11.25,900,0
2014-05-29,17:50:00,11.23,11.23,11.23,11.23,800,0
2014-05-30,21:15:00,11.14,11.14,11.14,11.14,500,0
2014-05-30,21:30:00,11.14,11.14,11.14,11.14,2600,0
2014-06-02,20:25:00,11.08,11.08,11.08,11.08,3030,0
2014-06-03,15:50:00,11.02,11.02,10.98,10.98,3454,0
2014-06-05,19:15:00,10.96,10.96,10.96,10.96,100,0
2014-06-09,21:20:00,10.88,10.88,10.88,10.88,480,0
2014-06-10,16:15:00,10.89,10.89,10.89,10.89,1500,0
2014-06-10,16:20:00,10.89,10.89,10.89,10.89,970,0
2014-06-16,15:40:00,10.89,10.89,10.89,10.89,1500,0
2014-06-16,16:45:00,10.87,10.87,10.87,10.87,1350,0
2014-06-16,16:50:00,10.87,10.87,10.87,10.87,350,0
2014-06-16,16:55:00,10.87,10.87,10.87,10.87,150,0
2014-06-17,20:50:00,10.85,10.85,10.85,10.85,600,0
2014-06-18,15:45:00,10.92,10.92,10.91,10.91,18000,0
2014-06-18,18:55:00,11.0,11.0,11.0,11.0,100,0
2014-06-23,20:50:00,10.67,10.67,10.67,10.67,100,0
2014-06-24,16:10:00,10.53,10.53,10.53,10.53,1100,0
2014-06-25,16:05:00,10.57,10.57,10.57,10.57,100,0
2014-06-27,15:45:00,10.45,10.47,10.45,10.47,3300,0
2014-06-27,16:05:00,10.51,10.51,10.51,10.51,100,0
2014-06-27,19:25:00,10.54,10.55,10.54,10.54,4314,0
2014-06-30,16:05:00,10.45,10.45,10.45,10.45,100,0
2014-07-02,16:05:00,10.37,10.37,10.37,10.37,100,0
2014-07-02,19:45:00,10.45,10.45,10.45,10.45,805,0
2014-07-02,22:00:00,10.45,10.45,10.45,10.45,402,0
2014-07-03,16:00:00,10.45,10.45,10.45,10.45,400,0
2014-07-03,19:05:00,10.45,10.45,10.45,10.45,100,0
2014-07-07,20:10:00,10.65,10.65,10.65,10.65,100,0
2014-07-07,20:55:00,10.75,10.75,10.75,10.75,1468,0
2014-07-07,22:00:00,10.75,10.75,10.75,10.75,734,0
2014-07-08,20:50:00,10.7,10.7,10.7,10.7,100,0
2014-07-08,22:00:00,10.7,10.7,10.7,10.7,100,0
2014-07-09,16:05:00,10.7,10.7,10.7,10.7,100,0
2014-07-09,22:00:00,10.7,10.7,10.7,10.7,100,0
2014-07-11,20:50:00,10.6,10.6,10.6,10.6,100,0
2014-07-14,20:50:00,10.55,10.55,10.55,10.55,100,0
2014-07-16,15:50:00,10.47,10.47,10.47,10.47,100,0
2014-07-17,16:10:00,10.44,10.44,10.44,10.44,100,0
2014-07-18,21:00:00,10.5,10.5,10.45,10.47,700,0
2014-07-18,21:05:00,10.47,10.47,10.47,10.47,100,0
2014-07-24,19:50:00,10.4,10.4,10.4,10.4,386,0
2014-07-24,21:25:00,10.4,10.4,10.4,10.4,200,0
2014-07-25,21:55:00,10.42,10.42,10.42,10.42,200,0
2014-07-25,22:00:00,10.42,10.42,10.42,10.42,100,0
2014-07-28,17:00:00,10.52,10.52,10.42,10.42,200,0
2014-07-28,18:25:00,10.43,10.44,10.43,10.44,3899,0
2014-07-28,22:00:00,10.44,10.44,10.44,10.44,799,0
2014-07-30,20:15:00,10.67,10.68,10.67,10.67,10600,0
2014-07-30,21:10:00,10.68,10.68,10.68,10.68,500,0
2014-07-30,22:00:00,10.66,10.66,10.66,10.66,100,0
2014-07-31,20:50:00,10.67,10.67,10.67,10.67,100,0
2014-08-01,16:10:00,10.8,10.8,10.8,10.8,100,0
2014-08-04,16:30:00,10.83,10.83,10.83,10.83,700,0
2014-08-05,20:50:00,10.81,10.81,10.81,10.81,100,0
2014-08-07,16:05:00,10.75,10.75,10.75,10.75,200,0
2014-08-08,20:50:00,10.79,10.79,10.79,10.79,100,0
2014-08-12,20:10:00,10.46,10.46,10.46,10.46,250,0
2014-08-12,20:45:00,10.48,10.48,10.48,10.48,1700,0
2014-08-12,20:55:00,10.43,10.43,10.43,10.43,100,0
2014-08-12,21:20:00,10.47,10.48,10.47,10.48,5000,0
2014-08-12,21:45:00,10.47,10.47,10.47,10.47,600,0
2014-08-13,20:00:00,10.31,10.31,10.27,10.28,1200,0
2014-08-13,20:50:00,10.26,10.26,10.26,10.26,100,0
2014-08-13,21:10:00,10.31,10.31,10.31,10.31,600,0
2014-08-14,16:00:00,10.33,10.33,10.33,10.33,1000,0
2014-08-14,21:30:00,10.2,10.2,10.2,10.2,100,0
2014-08-15,16:05:00,10.11,10.11,10.11,10.11,100,0
2014-08-15,21:05:00,10.17,10.17,10.17,10.17,1900,0
2014-08-18,16:10:00,10.13,10.13,10.13,10.13,104,0
2014-08-19,17:20:00,10.07,10.07,10.07,10.07,400,0
2014-08-19,20:15:00,10.13,10.13,10.13,10.13,100,0
2014-08-19,20:30:00,10.12,10.12,10.12,10.12,100,0
2014-08-19,20:45:00,10.12,10.12,10.12,10.12,100,0
2014-08-19,21:00:00,10.11,10.11,10.11,10.11,100,0
2014-08-19,21:10:00,10.12,10.12,10.12,10.12,100,0
2014-08-19,21:30:00,10.12,10.12,10.12,10.12,2772,0
