Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-18,17:05:00,36.81,36.81,36.81,36.81,1000,0
2014-03-04,15:35:00,37.11,37.11,37.11,37.11,100,0
2014-03-07,21:20:00,37.2,37.2,37.2,37.2,302,0
2014-03-10,20:20:00,36.91,36.91,36.9,36.9,2000,0
2014-03-11,14:35:00,36.82,36.82,36.7,36.71,500,0
2014-03-11,17:05:00,36.84,36.9,36.84,36.9,550,0
2014-03-12,19:00:00,37.12,37.12,37.12,37.12,100,0
2014-03-13,16:00:00,37.1,37.12,37.1,37.1,7400,0
2014-03-13,18:05:00,37.21,37.21,37.21,37.21,1100,0
2014-03-13,19:10:00,37.21,37.21,37.21,37.21,4000,0
2014-03-19,14:35:00,37.5,37.5,37.5,37.5,375,0
2014-03-24,16:45:00,37.5,37.5,37.5,37.5,300,0
2014-03-24,16:55:00,37.12,37.12,37.12,37.12,125,0
2014-03-24,20:40:00,37.3,37.36,37.2,37.2,5200,0
2014-03-24,20:45:00,37.25,37.25,37.25,37.25,100,0
2014-03-26,14:35:00,37.25,37.25,37.25,37.25,100,0
2014-03-31,19:30:00,36.95,36.95,36.91,36.91,1100,0
2014-03-31,21:50:00,37.29,37.29,37.29,37.29,300,0
2014-04-16,15:35:00,37.33,37.33,37.33,37.33,4387,0
2014-04-16,15:40:00,37.39,37.39,37.37,37.38,600,0
2014-04-16,15:45:00,37.38,37.42,37.38,37.42,1500,0
2014-04-16,15:50:00,37.47,37.51,37.31,37.31,2102,0
2014-04-17,16:35:00,37.4,37.4,37.4,37.4,800,0
2014-04-17,16:40:00,37.4,37.4,37.4,37.4,1900,0
2014-04-17,16:45:00,37.41,37.41,37.41,37.41,600,0
2014-04-17,21:50:00,37.4,37.41,37.4,37.41,958,0
2014-04-24,16:05:00,37.07,37.07,37.07,37.07,350,0
2014-04-24,16:10:00,37.3,37.3,37.3,37.3,133,0
2014-04-29,15:40:00,37.32,37.33,37.32,37.33,500,0
2014-04-29,17:05:00,37.24,37.25,37.24,37.25,300,0
2014-05-05,15:35:00,35.64,36.97,34.9,36.94,2200,0
2014-05-06,16:35:00,37.01,37.01,37.01,37.01,270,0
2014-05-06,20:05:00,37.0,37.0,37.0,37.0,100,0
2014-05-09,16:20:00,37.07,37.07,37.07,37.07,195,0
2014-05-09,21:00:00,37.06,37.06,37.06,37.06,150,0
2014-06-03,17:20:00,36.76,36.76,36.76,36.76,900,0
2014-06-03,17:25:00,36.68,36.69,36.68,36.69,200,0
2014-06-03,17:30:00,36.75,36.75,36.69,36.69,600,0
2014-06-03,17:35:00,36.76,36.76,36.66,36.68,1800,0
2014-06-03,17:40:00,36.78,36.79,36.72,36.72,2300,0
2014-06-03,17:55:00,36.74,36.74,36.74,36.74,100,0
2014-06-03,18:15:00,36.7,36.84,36.7,36.84,300,0
2014-06-03,18:20:00,36.8,36.81,36.7,36.75,1200,0
2014-06-03,20:20:00,36.75,36.77,36.75,36.77,200,0
2014-06-03,20:25:00,36.8,36.85,36.8,36.85,1400,0
2014-06-04,16:10:00,36.86,36.86,36.86,36.86,600,0
2014-06-04,16:25:00,36.78,36.78,36.78,36.78,700,0
2014-06-04,16:45:00,36.94,36.94,36.82,36.82,1300,0
2014-06-04,17:30:00,36.8,36.85,36.8,36.85,1200,0
2014-06-04,21:50:00,36.99,37.03,36.99,37.03,6000,0
2014-06-05,17:25:00,36.82,36.82,36.82,36.82,200,0
2014-06-05,17:30:00,36.82,36.82,36.82,36.82,500,0
2014-06-05,17:35:00,37.0,37.0,37.0,37.0,1100,0
2014-06-05,17:40:00,36.9,36.91,36.9,36.91,800,0
2014-06-06,16:30:00,36.91,36.91,36.91,36.91,500,0
2014-06-06,17:20:00,36.88,36.95,36.88,36.95,900,0
2014-06-06,17:25:00,36.95,36.95,36.95,36.95,400,0
2014-06-06,17:35:00,36.94,36.94,36.94,36.94,100,0
2014-06-06,17:40:00,36.95,37.14,36.95,37.05,800,0
2014-06-06,17:45:00,37.05,37.13,37.05,37.12,3800,0
2014-06-06,17:50:00,36.95,36.96,36.95,36.96,300,0
2014-06-06,18:10:00,36.97,37.0,36.97,36.99,700,0
2014-06-06,18:15:00,36.98,36.98,36.98,36.98,400,0
2014-06-06,18:30:00,36.96,36.96,36.96,36.96,100,0
2014-06-06,19:00:00,36.98,37.01,36.98,37.01,300,0
2014-06-06,19:05:00,37.01,37.01,37.01,37.01,100,0
2014-06-06,19:10:00,37.01,37.01,37.01,37.01,100,0
2014-06-06,19:15:00,37.02,37.02,37.02,37.02,400,0
2014-06-06,19:30:00,37.0,37.01,37.0,37.01,300,0
2014-06-06,19:35:00,37.01,37.05,37.01,37.05,500,0
2014-06-06,20:00:00,37.04,37.05,37.04,37.05,200,0
2014-06-06,20:15:00,37.05,37.05,37.05,37.05,300,0
2014-06-06,20:20:00,37.06,37.11,37.06,37.11,1600,0
2014-06-06,20:25:00,37.11,37.14,37.11,37.14,1900,0
2014-06-06,20:30:00,37.13,37.13,37.1,37.1,2209,0
2014-06-06,21:40:00,37.13,37.14,37.13,37.14,1200,0
2014-06-09,16:40:00,36.75,36.75,36.72,36.72,300,0
