Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-23,15:35:00,3.89,3.93,3.81,3.859,1913505,0
2015-07-23,15:40:00,3.8599,3.88,3.78,3.8601,1086183,0
2015-07-23,15:45:00,3.86,3.87,3.77,3.774,1393213,0
2015-07-23,15:50:00,3.7701,3.8179,3.75,3.7648,952622,0
2015-07-23,15:55:00,3.7646,3.83,3.7201,3.8299,939528,0
2015-07-23,16:00:00,3.8299,3.84,3.75,3.7599,804798,0
2015-07-23,16:05:00,3.76,3.77,3.73,3.7326,752933,0
2015-07-23,16:10:00,3.74,3.779,3.7246,3.7445,592273,0
2015-07-23,16:15:00,3.7499,3.76,3.71,3.72,775029,0
2015-07-23,16:20:00,3.7155,3.73,3.67,3.7146,823924,0
2015-07-23,16:25:00,3.7168,3.76,3.71,3.72,678230,0
2015-07-23,16:30:00,3.71,3.72,3.67,3.679,686371,0
2015-07-23,16:35:00,3.68,3.7,3.67,3.6755,481946,0
2015-07-23,16:40:00,3.6746,3.68,3.65,3.6799,913615,0
2015-07-23,16:45:00,3.6799,3.68,3.61,3.6271,1027026,0
2015-07-23,16:50:00,3.62,3.64,3.6,3.63,708636,0
2015-07-23,16:55:00,3.64,3.64,3.6,3.6026,446877,0
2015-07-23,17:00:00,3.61,3.62,3.56,3.5621,1225655,0
2015-07-23,17:05:00,3.565,3.61,3.5601,3.61,654850,0
2015-07-23,17:10:00,3.6,3.63,3.594,3.63,468881,0
2015-07-23,17:15:00,3.6351,3.64,3.57,3.5899,749245,0
2015-07-23,17:20:00,3.5899,3.5899,3.55,3.5599,457395,0
2015-07-23,17:25:00,3.55,3.58,3.55,3.5501,365304,0
2015-07-23,17:30:00,3.56,3.57,3.52,3.522,847672,0
2015-07-23,17:35:00,3.52,3.57,3.51,3.55,646897,0
2015-07-23,17:40:00,3.55,3.58,3.5,3.5046,727452,0
2015-07-23,17:45:00,3.5,3.53,3.5,3.5083,654646,0
2015-07-23,17:50:00,3.5,3.5094,3.4601,3.48,1162220,0
2015-07-23,17:55:00,3.48,3.5,3.47,3.4836,332309,0
2015-07-23,18:00:00,3.4871,3.49,3.4601,3.48,487222,0
2015-07-23,18:05:00,3.48,3.48,3.45,3.4579,398187,0
2015-07-23,18:10:00,3.4599,3.48,3.43,3.48,862659,0
2015-07-23,18:15:00,3.48,3.51,3.46,3.5002,536676,0
2015-07-23,18:20:00,3.504,3.51,3.48,3.4974,309676,0
2015-07-23,18:25:00,3.499,3.54,3.48,3.54,884366,0
2015-07-23,18:30:00,3.54,3.5774,3.52,3.549,792374,0
2015-07-23,18:35:00,3.54,3.6,3.54,3.5799,631900,0
2015-07-23,18:40:00,3.5701,3.61,3.56,3.565,418960,0
2015-07-23,18:45:00,3.5601,3.57,3.5045,3.5188,383014,0
2015-07-23,18:50:00,3.51,3.51,3.47,3.49,282732,0
2015-07-23,18:55:00,3.49,3.52,3.49,3.504,349585,0
2015-07-23,19:00:00,3.5,3.52,3.49,3.491,441157,0
2015-07-23,19:05:00,3.49,3.5,3.465,3.465,272736,0
2015-07-23,19:10:00,3.4695,3.5,3.46,3.4901,236144,0
2015-07-23,19:15:00,3.5,3.52,3.48,3.4999,428363,0
2015-07-23,19:20:00,3.5,3.5,3.4679,3.4699,203301,0
2015-07-23,19:25:00,3.4697,3.51,3.46,3.51,372556,0
2015-07-23,19:30:00,3.5,3.5,3.46,3.46,290694,0
2015-07-23,19:35:00,3.4699,3.4699,3.45,3.45,444542,0
2015-07-23,19:40:00,3.45,3.46,3.43,3.4399,424663,0
2015-07-23,19:45:00,3.4379,3.44,3.42,3.4242,375125,0
2015-07-23,19:50:00,3.4299,3.469,3.41,3.469,631952,0
2015-07-23,19:55:00,3.46,3.48,3.44,3.454,409196,0
2015-07-23,20:00:00,3.46,3.46,3.43,3.435,179285,0
2015-07-23,20:05:00,3.43,3.43,3.4,3.4,810122,0
2015-07-23,20:10:00,3.41,3.41,3.37,3.3859,1379521,0
2015-07-23,20:15:00,3.3825,3.4,3.35,3.37,492780,0
2015-07-23,20:20:00,3.3601,3.39,3.36,3.3699,190622,0
2015-07-23,20:25:00,3.3665,3.37,3.35,3.36,348732,0
2015-07-23,20:30:00,3.3689,3.369,3.34,3.3499,436671,0
2015-07-23,20:35:00,3.3401,3.37,3.33,3.365,323673,0
2015-07-23,20:40:00,3.3652,3.42,3.3601,3.41,468229,0
2015-07-23,20:45:00,3.4,3.41,3.36,3.36,182208,0
2015-07-23,20:50:00,3.365,3.38,3.35,3.35,255177,0
2015-07-23,20:55:00,3.35,3.3599,3.32,3.3299,388517,0
2015-07-23,21:00:00,3.325,3.349,3.32,3.34,420048,0
2015-07-23,21:05:00,3.3399,3.34,3.32,3.3301,351735,0
2015-07-23,21:10:00,3.335,3.37,3.32,3.37,328032,0
2015-07-23,21:15:00,3.37,3.39,3.35,3.3505,291115,0
2015-07-23,21:20:00,3.3501,3.37,3.35,3.3501,248394,0
2015-07-23,21:25:00,3.3501,3.36,3.33,3.3399,250781,0
2015-07-23,21:30:00,3.34,3.38,3.3341,3.3601,472778,0
2015-07-23,21:35:00,3.36,3.3601,3.33,3.33,277335,0
2015-07-23,21:40:00,3.33,3.349,3.31,3.32,472447,0
2015-07-23,21:45:00,3.315,3.34,3.31,3.3399,574847,0
2015-07-23,21:50:00,3.335,3.34,3.32,3.33,269631,0
2015-07-23,21:55:00,3.32,3.35,3.32,3.3301,670562,0
2015-07-23,22:00:00,3.335,3.4,3.33,3.4,1189784,0
2015-07-24,15:35:00,3.22,3.26,3.18,3.26,1144426,0
2015-07-24,15:40:00,3.26,3.29,3.22,3.23,921798,0
2015-07-24,15:45:00,3.2254,3.23,3.2,3.21,701680,0
2015-07-24,15:50:00,3.2101,3.22,3.2,3.21,478952,0
2015-07-24,15:55:00,3.2,3.21,3.12,3.13,1219845,0
2015-07-24,16:00:00,3.12,3.14,3.12,3.136,849085,0
2015-07-24,16:05:00,3.14,3.25,3.14,3.2499,1366921,0
2015-07-24,16:10:00,3.25,3.27,3.2,3.205,862634,0
2015-07-24,16:15:00,3.2,3.22,3.16,3.17,585686,0
2015-07-24,16:20:00,3.17,3.18,3.1499,3.1499,371334,0
2015-07-24,16:25:00,3.144,3.15,3.12,3.1301,471101,0
2015-07-24,16:30:00,3.1399,3.14,3.1,3.106,884871,0
2015-07-24,16:35:00,3.109,3.11,3.07,3.076,948217,0
2015-07-24,16:40:00,3.08,3.12,3.06,3.0965,944568,0
2015-07-24,16:45:00,3.09,3.13,3.09,3.115,1087573,0
2015-07-24,16:50:00,3.111,3.111,3.06,3.0901,817457,0
2015-07-24,16:55:00,3.0995,3.1,3.08,3.08,325492,0
2015-07-24,17:00:00,3.085,3.09,3.06,3.07,358413,0
2015-07-24,17:05:00,3.06,3.15,3.06,3.12,1121810,0
2015-07-24,17:10:00,3.115,3.13,3.11,3.119,437016,0
2015-07-24,17:15:00,3.12,3.18,3.1,3.18,686018,0
2015-07-24,17:20:00,3.1799,3.19,3.15,3.1701,1014344,0
2015-07-24,17:25:00,3.1701,3.27,3.1701,3.2605,1176888,0
2015-07-24,17:30:00,3.2665,3.27,3.19,3.2,813593,0
2015-07-24,17:35:00,3.2,3.21,3.17,3.17,492715,0
2015-07-24,17:40:00,3.1701,3.21,3.16,3.2,760524,0
2015-07-24,17:45:00,3.195,3.2,3.16,3.17,235893,0
2015-07-24,17:50:00,3.1601,3.17,3.1345,3.1345,258109,0
2015-07-24,17:55:00,3.13,3.15,3.11,3.1299,527174,0
2015-07-24,18:00:00,3.13,3.18,3.12,3.159,365725,0
2015-07-24,18:05:00,3.16,3.1794,3.15,3.16,262982,0
2015-07-24,18:10:00,3.169,3.169,3.14,3.1564,262257,0
2015-07-24,18:15:00,3.15,3.16,3.11,3.1299,411117,0
2015-07-24,18:20:00,3.1297,3.13,3.1051,3.11,290659,0
2015-07-24,18:25:00,3.11,3.13,3.1099,3.1101,263399,0
2015-07-24,18:30:00,3.1121,3.12,3.11,3.11,126078,0
2015-07-24,18:35:00,3.12,3.12,3.09,3.098,313798,0
2015-07-24,18:40:00,3.094,3.15,3.094,3.15,387699,0
2015-07-24,18:45:00,3.1596,3.16,3.14,3.155,220803,0
2015-07-24,18:50:00,3.15,3.2,3.15,3.1797,674595,0
2015-07-24,18:55:00,3.175,3.19,3.14,3.1492,275737,0
2015-07-24,19:00:00,3.1433,3.15,3.13,3.13,332548,0
2015-07-24,19:05:00,3.14,3.15,3.13,3.14,164682,0
2015-07-24,19:10:00,3.14,3.14,3.09,3.0953,242641,0
2015-07-24,19:15:00,3.0901,3.12,3.09,3.093,482110,0
2015-07-24,19:20:00,3.099,3.12,3.09,3.1151,524784,0
2015-07-24,19:25:00,3.11,3.14,3.1,3.1376,355386,0
2015-07-24,19:30:00,3.131,3.14,3.1,3.1,280423,0
2015-07-24,19:35:00,3.1,3.14,3.08,3.125,498914,0
2015-07-24,19:40:00,3.1201,3.15,3.115,3.1299,308806,0
2015-07-24,19:45:00,3.129,3.15,3.12,3.133,98115,0
2015-07-24,19:50:00,3.1386,3.14,3.1001,3.11,159771,0
2015-07-24,19:55:00,3.11,3.16,3.1,3.151,275732,0
2015-07-24,20:00:00,3.158,3.23,3.15,3.202,1253250,0
2015-07-24,20:05:00,3.2,3.29,3.2,3.285,918863,0
2015-07-24,20:10:00,3.29,3.32,3.2501,3.26,958140,0
2015-07-24,20:15:00,3.26,3.2799,3.23,3.2528,676040,0
2015-07-24,20:20:00,3.255,3.38,3.25,3.37,1591173,0
2015-07-24,20:25:00,3.367,3.49,3.36,3.4879,2298696,0
2015-07-24,20:30:00,3.49,3.59,3.48,3.579,2817613,0
2015-07-24,20:35:00,3.58,3.62,3.5,3.51,2953289,0
2015-07-24,20:40:00,3.5,3.56,3.5,3.53,1610070,0
2015-07-24,20:45:00,3.53,3.535,3.47,3.4936,1498289,0
2015-07-24,20:50:00,3.49,3.54,3.49,3.54,1484555,0
2015-07-24,20:55:00,3.54,3.6,3.539,3.58,2327117,0
2015-07-24,21:00:00,3.57,3.59,3.51,3.52,1007327,0
2015-07-24,21:05:00,3.515,3.53,3.49,3.5299,733911,0
2015-07-24,21:10:00,3.53,3.63,3.53,3.6,2208753,0
2015-07-24,21:15:00,3.59,3.6699,3.59,3.655,1886778,0
2015-07-24,21:20:00,3.6501,3.71,3.64,3.6899,1770900,0
2015-07-24,21:25:00,3.6899,3.75,3.68,3.741,1882322,0
2015-07-24,21:30:00,3.7414,3.76,3.68,3.6865,1752319,0
2015-07-24,21:35:00,3.685,3.7,3.64,3.6849,1216730,0
2015-07-24,21:40:00,3.6899,3.71,3.64,3.707,677111,0
2015-07-24,21:45:00,3.7179,3.75,3.7,3.74,787248,0
2015-07-24,21:50:00,3.7496,3.75,3.7,3.7099,914535,0
2015-07-24,21:55:00,3.7098,3.7099,3.67,3.6762,904821,0
2015-07-24,22:00:00,3.6799,3.74,3.6701,3.74,1402751,0
2015-07-27,15:35:00,3.6,3.6199,3.5219,3.6154,1879883,0
2015-07-27,15:40:00,3.615,3.8199,3.61,3.81,2857464,0
2015-07-27,15:45:00,3.8046,3.82,3.67,3.71,1699486,0
2015-07-27,15:50:00,3.71,3.76,3.6601,3.7596,1317586,0
2015-07-27,15:55:00,3.76,3.81,3.76,3.8001,1006880,0
2015-07-27,16:00:00,3.801,3.89,3.79,3.8501,1633849,0
2015-07-27,16:05:00,3.8599,3.94,3.85,3.9399,1720862,0
2015-07-27,16:10:00,3.9379,3.96,3.88,3.8899,1549014,0
2015-07-27,16:15:00,3.89,3.93,3.87,3.9201,903435,0
2015-07-27,16:20:00,3.9101,3.95,3.9101,3.935,838497,0
2015-07-27,16:25:00,3.931,3.94,3.84,3.8465,926873,0
2015-07-27,16:30:00,3.844,3.85,3.76,3.7637,939917,0
2015-07-27,16:35:00,3.7668,3.84,3.75,3.8097,1161568,0
2015-07-27,16:40:00,3.81,3.8199,3.76,3.7799,669245,0
2015-07-27,16:45:00,3.77,3.78,3.7,3.73,774257,0
2015-07-27,16:50:00,3.7299,3.81,3.71,3.7655,732894,0
2015-07-27,16:55:00,3.761,3.78,3.7,3.71,999865,0
2015-07-27,17:00:00,3.71,3.74,3.69,3.721,723390,0
2015-07-27,17:05:00,3.72,3.7748,3.67,3.75,683584,0
2015-07-27,17:10:00,3.75,3.76,3.71,3.72,551041,0
2015-07-27,17:15:00,3.729,3.75,3.7,3.7207,503102,0
2015-07-27,17:20:00,3.72,3.73,3.63,3.69,880720,0
2015-07-27,17:25:00,3.6851,3.69,3.62,3.64,726850,0
2015-07-27,17:30:00,3.63,3.72,3.62,3.678,419808,0
2015-07-27,17:35:00,3.6762,3.73,3.674,3.6916,408284,0
2015-07-27,17:40:00,3.6905,3.8086,3.6905,3.7999,902347,0
2015-07-27,17:45:00,3.791,3.791,3.73,3.7368,498209,0
2015-07-27,17:50:00,3.73,3.74,3.6916,3.7201,278255,0
2015-07-27,17:55:00,3.721,3.75,3.72,3.73,233404,0
2015-07-27,18:00:00,3.721,3.76,3.7206,3.7401,66692,0
2015-07-27,18:05:00,3.74,3.75,3.68,3.7,356043,0
2015-07-27,18:10:00,3.6813,3.71,3.67,3.68,564072,0
2015-07-27,18:15:00,3.68,3.69,3.65,3.6879,457947,0
2015-07-27,18:20:00,3.69,3.71,3.67,3.68,235794,0
2015-07-27,18:25:00,3.67,3.67,3.655,3.67,336682,0
2015-07-27,18:30:00,3.67,3.68,3.66,3.675,255075,0
2015-07-27,18:35:00,3.67,3.68,3.65,3.66,233942,0
2015-07-27,18:40:00,3.65,3.65,3.585,3.6016,539785,0
2015-07-27,18:45:00,3.6001,3.63,3.58,3.6001,349129,0
2015-07-27,18:50:00,3.61,3.64,3.6051,3.6101,239777,0
2015-07-27,18:55:00,3.6186,3.64,3.61,3.63,208144,0
2015-07-27,19:00:00,3.6268,3.63,3.6,3.6199,180852,0
2015-07-27,19:05:00,3.6199,3.6199,3.5832,3.5999,149677,0
2015-07-27,19:10:00,3.591,3.61,3.59,3.5984,177461,0
2015-07-27,19:15:00,3.6,3.6,3.59,3.6,40450,0
