Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-03-30,16:35:00,31.748,31.748,31.748,31.748,204,0
2015-03-30,16:40:00,31.708,31.708,31.708,31.708,100,0
2015-03-30,17:15:00,31.788,31.788,31.788,31.788,100,0
2015-03-30,17:20:00,31.734,31.734,31.734,31.734,100,0
2015-03-30,18:20:00,31.734,31.734,31.734,31.734,15,0
2015-03-30,18:50:00,31.734,31.734,31.734,31.734,70,0
2015-03-30,19:45:00,32.017,32.017,32.017,32.017,176,0
2015-03-30,20:00:00,31.941,31.941,31.941,31.941,326,0
2015-03-30,20:15:00,31.907,31.957,31.907,31.957,1070,0
2015-03-30,20:25:00,31.932,31.932,31.932,31.932,1054,0
2015-03-30,20:35:00,31.937,31.997,31.897,31.922,1255,0
2015-03-30,21:25:00,31.922,31.922,31.922,31.922,25,0
2015-03-30,22:00:00,31.897,31.897,31.897,31.897,174,0
2015-03-31,16:10:00,31.933,31.933,31.933,31.933,125,0
2015-03-31,16:20:00,31.933,31.933,31.933,31.933,2,0
2015-03-31,16:25:00,31.933,31.933,31.933,31.933,4,0
2015-03-31,16:45:00,31.933,31.933,31.897,31.916,1908,0
2015-03-31,16:55:00,31.916,31.916,31.916,31.916,2,0
2015-03-31,17:25:00,31.916,31.916,31.916,31.916,4,0
2015-03-31,17:30:00,31.916,31.916,31.916,31.916,9,0
2015-03-31,17:40:00,31.867,31.886,31.867,31.886,443,0
2015-03-31,18:00:00,31.886,31.886,31.886,31.886,18,0
2015-03-31,18:05:00,31.886,31.886,31.886,31.886,2,0
2015-03-31,18:25:00,31.886,31.886,31.886,31.886,78,0
2015-03-31,19:55:00,31.887,31.887,31.887,31.887,301,0
2015-03-31,20:35:00,31.837,31.837,31.837,31.837,100,0
2015-03-31,21:55:00,31.808,31.808,31.808,31.808,629,0
2015-03-31,22:00:00,31.847,31.877,31.847,31.877,12780,0
2015-04-01,15:35:00,31.837,31.837,31.837,31.837,216,0
2015-04-01,15:40:00,31.837,31.837,31.837,31.837,14,0
2015-04-01,15:50:00,31.837,31.837,31.837,31.837,44,0
2015-04-01,15:55:00,31.837,31.837,31.837,31.837,1,0
2015-04-01,16:05:00,31.837,31.837,31.837,31.837,39,0
2015-04-01,16:15:00,31.837,31.837,31.837,31.837,11,0
2015-04-01,16:35:00,31.837,31.837,31.837,31.837,30,0
2015-04-01,16:45:00,31.648,31.648,31.648,31.648,104,0
2015-04-01,16:50:00,31.669,31.669,31.628,31.628,501,0
2015-04-01,17:25:00,31.827,31.827,31.827,31.827,100,0
2015-04-01,19:15:00,31.827,31.827,31.827,31.827,3,0
2015-04-01,19:35:00,31.827,31.827,31.827,31.827,22,0
2015-04-01,20:00:00,31.668,31.668,31.668,31.668,422,0
2015-04-02,16:10:00,31.907,31.907,31.907,31.907,176,0
2015-04-02,16:35:00,31.907,31.907,31.907,31.907,50,0
2015-04-02,16:45:00,31.907,31.907,31.907,31.907,24,0
2015-04-02,16:55:00,31.907,31.907,31.897,31.897,895,0
2015-04-02,17:00:00,31.897,31.897,31.897,31.897,86,0
2015-04-02,17:20:00,31.975,31.975,31.975,31.975,466,0
2015-04-02,17:30:00,31.975,31.975,31.975,31.975,13,0
2015-04-02,17:45:00,31.947,31.947,31.947,31.947,196,0
2015-04-02,17:50:00,31.947,31.947,31.947,31.947,10,0
2015-04-02,17:55:00,31.947,31.947,31.908,31.908,163,0
2015-04-02,19:55:00,31.987,31.987,31.987,31.987,1003,0
2015-04-02,20:35:00,31.987,31.987,31.987,31.987,1,0
2015-04-02,20:40:00,31.987,31.987,31.987,31.987,2,0
2015-04-02,21:40:00,31.913,31.913,31.913,31.913,160,0
2015-04-02,21:45:00,31.987,31.987,31.987,31.987,100,0
2015-04-06,15:35:00,31.907,31.907,31.907,31.907,2508,0
2015-04-06,15:40:00,31.977,31.977,31.977,31.977,201,0
2015-04-06,15:50:00,31.987,31.987,31.987,31.987,100,0
2015-04-06,17:35:00,32.156,32.156,32.156,32.156,100,0
2015-04-06,17:50:00,32.156,32.156,32.156,32.156,55,0
2015-04-06,17:55:00,32.166,32.166,32.166,32.166,301,0
2015-04-06,18:10:00,32.146,32.146,32.141,32.141,337,0
2015-04-06,18:20:00,32.144,32.144,32.144,32.144,280,0
2015-04-06,18:55:00,32.126,32.126,32.12,32.12,421,0
2015-04-06,19:10:00,32.106,32.106,32.087,32.087,565,0
2015-04-06,19:55:00,32.087,32.087,32.087,32.087,89,0
2015-04-06,20:30:00,32.074,32.096,32.074,32.096,551,0
2015-04-06,21:10:00,32.057,32.096,32.057,32.096,1113,0
