Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-22,15:35:00,82.83,82.86,82.25,82.37,26862,0
2015-07-22,15:40:00,82.34,82.5,82.281,82.48,2500,0
2015-07-22,15:45:00,82.562,82.6,82.5126,82.5126,1831,0
2015-07-22,15:50:00,82.4106,82.4106,82.394,82.41,500,0
2015-07-22,15:55:00,82.46,82.6742,82.46,82.6742,1080,0
2015-07-22,16:00:00,82.67,82.71,82.67,82.71,200,0
2015-07-22,16:05:00,82.6829,82.6829,82.6576,82.6576,1160,0
2015-07-22,16:10:00,82.57,82.57,82.57,82.57,500,0
2015-07-22,16:15:00,82.868,82.8806,82.868,82.8806,300,0
2015-07-22,16:20:00,83,83.0499,82.9601,82.9601,510,0
2015-07-22,16:25:00,83.0199,83.0199,83.0199,83.0199,3872,0
2015-07-22,16:30:00,82.9033,82.9033,82.9033,82.9033,100,0
2015-07-22,16:35:00,82.89,82.89,82.89,82.89,100,0
2015-07-22,16:40:00,82.886,82.95,82.886,82.89,1184,0
2015-07-22,16:45:00,82.8581,82.909,82.805,82.805,4469,0
2015-07-22,16:50:00,82.7799,82.9252,82.7799,82.9252,277,0
2015-07-22,16:55:00,82.94,83.03,82.94,83,1700,0
2015-07-22,17:00:00,83.0409,83.1536,83.0409,83.1169,519,0
2015-07-22,17:05:00,83.0763,83.0763,83.025,83.025,250,0
2015-07-22,17:10:00,83.009,83.009,82.9478,82.9478,2526,0
2015-07-22,17:15:00,82.9529,82.9529,82.9529,82.9529,200,0
2015-07-22,17:25:00,83.04,83.04,82.961,82.98,656,0
2015-07-22,17:30:00,82.9401,83.0129,82.9401,82.9972,470,0
2015-07-22,17:35:00,83.03,83.11,83.03,83.11,736,0
2015-07-22,17:40:00,83.1241,83.1425,83.1,83.13,2111,0
2015-07-22,17:45:00,83.1399,83.179,83.1035,83.1763,3697,0
2015-07-22,17:50:00,83.2363,83.255,83.2363,83.24,2990,0
2015-07-22,17:55:00,83.249,83.249,83.19,83.19,965,0
2015-07-22,18:00:00,83.1244,83.1244,83.08,83.08,605,0
2015-07-22,18:05:00,83.155,83.18,83.155,83.1799,364,0
2015-07-22,18:10:00,83.14,83.14,83.04,83.04,2313,0
2015-07-22,18:15:00,83.179,83.179,83.179,83.179,125,0
2015-07-22,18:20:00,83.1399,83.1399,83.07,83.0725,1090,0
2015-07-22,18:25:00,83.0576,83.129,83.0576,83.129,1870,0
2015-07-22,18:30:00,83.155,83.18,83.155,83.18,415,0
2015-07-22,18:35:00,83.14,83.1899,83.138,83.138,1633,0
2015-07-22,18:40:00,83.1598,83.17,83.1299,83.1299,1828,0
2015-07-22,18:45:00,83.0799,83.0799,83.0799,83.0799,100,0
2015-07-22,18:50:00,83.084,83.084,83.024,83.024,2196,0
2015-07-22,18:55:00,83.0979,83.1299,83.0979,83.11,400,0
2015-07-22,19:05:00,83.1177,83.19,83.1177,83.19,727,0
2015-07-22,19:10:00,83.217,83.217,83.17,83.1808,530,0
2015-07-22,19:20:00,83.14,83.14,83.1355,83.1355,450,0
2015-07-22,19:25:00,83.1363,83.1963,83.1363,83.1578,986,0
2015-07-22,19:35:00,83.15,83.166,83.15,83.166,1050,0
2015-07-22,19:40:00,83.2099,83.2099,83.2099,83.2099,120,0
2015-07-22,19:45:00,83.1937,83.1937,83.1937,83.1937,265,0
2015-07-22,19:50:00,83.21,83.21,83.21,83.21,200,0
2015-07-22,19:55:00,83.1699,83.1699,83.1699,83.1699,212,0
2015-07-22,20:00:00,83.1437,83.17,83.1437,83.17,200,0
2015-07-22,20:05:00,83.1331,83.1331,83.1245,83.1245,500,0
2015-07-22,20:10:00,83.12,83.1499,83.11,83.11,1724,0
2015-07-22,20:15:00,83.1367,83.1367,83.09,83.09,1745,0
2015-07-22,20:20:00,83.117,83.18,83.117,83.1601,3311,0
2015-07-22,20:25:00,83.1895,83.22,83.155,83.1963,1313,0
2015-07-22,20:30:00,83.1933,83.1933,83.18,83.192,430,0
2015-07-22,20:35:00,83.19,83.19,83.17,83.17,700,0
2015-07-22,20:40:00,83.1865,83.2099,83.1865,83.2099,445,0
2015-07-22,20:45:00,83.18,83.18,83.1297,83.1297,4043,0
2015-07-22,20:50:00,83.1799,83.1799,83.1637,83.1637,470,0
2015-07-22,20:55:00,83.17,83.1863,83.17,83.1863,1149,0
2015-07-22,21:00:00,83.2099,83.24,83.2099,83.24,1301,0
2015-07-22,21:05:00,83.23,83.23,83.22,83.2205,635,0
2015-07-22,21:10:00,83.22,83.22,83.21,83.22,500,0
2015-07-22,21:15:00,83.22,83.22,83.08,83.08,1042,0
2015-07-22,21:20:00,83.0399,83.0399,83.01,83.01,1378,0
2015-07-22,21:25:00,83.01,83.0799,83.01,83.0736,1928,0
2015-07-22,21:30:00,83.08,83.08,83.04,83.04,600,0
2015-07-22,21:35:00,83.0504,83.0504,83.0504,83.0504,104,0
2015-07-22,21:40:00,83.0928,83.094,83.08,83.08,669,0
2015-07-22,21:45:00,83.07,83.07,83.0096,83.04,398,0
2015-07-22,21:50:00,83.03,83.03,83.03,83.03,2000,0
2015-07-22,21:55:00,83.07,83.09,83.05,83.09,34500,0
2015-07-22,22:00:00,83.08,83.2,83.08,83.2,8569,0
2015-07-23,15:35:00,83.52,83.52,83.21,83.3,5128,0
2015-07-23,15:40:00,83.3999,83.3999,83.188,83.25,2110,0
2015-07-23,15:45:00,83.09,83.09,83,83.06,3452,0
2015-07-23,15:50:00,83.04,83.04,83.04,83.04,100,0
2015-07-23,15:55:00,83.1481,83.1481,83,83.0799,956,0
2015-07-23,16:00:00,83.05,83.06,83,83.0258,804,0
2015-07-23,16:05:00,82.99,83.08,82.99,83.08,300,0
2015-07-23,16:10:00,83.0745,83.186,83.0745,83.186,620,0
2015-07-23,16:15:00,83.21,83.22,83.21,83.22,1006,0
2015-07-23,16:20:00,83.2724,83.2724,83.2724,83.2724,145,0
2015-07-23,16:25:00,83.27,83.3199,83.27,83.3199,1218,0
2015-07-23,16:30:00,83.2999,83.3599,83.271,83.3599,1864,0
2015-07-23,16:35:00,83.36,83.36,83.3512,83.3512,201,0
2015-07-23,16:40:00,83.4799,83.4999,83.45,83.45,1396,0
2015-07-23,16:45:00,83.475,83.475,83.4437,83.4437,415,0
2015-07-23,16:50:00,83.48,83.48,83.41,83.41,500,0
2015-07-23,16:55:00,83.4308,83.46,83.41,83.41,814,0
2015-07-23,17:00:00,83.3938,83.3938,83.3938,83.3938,100,0
2015-07-23,17:05:00,83.3955,83.3955,83.3955,83.3955,100,0
2015-07-23,17:10:00,83.4411,83.47,83.4334,83.46,821,0
2015-07-23,17:15:00,83.446,83.446,83.4,83.4,910,0
2015-07-23,17:20:00,83.385,83.399,83.26,83.26,1350,0
2015-07-23,17:25:00,83.25,83.25,83.24,83.24,300,0
2015-07-23,17:30:00,83.27,83.27,83.15,83.15,300,0
2015-07-23,17:35:00,83.16,83.16,83.07,83.079,856,0
2015-07-23,17:40:00,82.976,82.976,82.96,82.96,570,0
2015-07-23,17:45:00,82.92,82.945,82.9,82.93,2068,0
2015-07-23,17:50:00,83,83.004,82.9286,82.9499,1561,0
