Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-21,15:35:00,92.15,92.15,92.087,92.1,5228,0
2015-07-21,15:40:00,92.14,92.14,92.11,92.13,600,0
2015-07-21,15:45:00,92.1874,92.2795,92.184,92.2795,973,0
2015-07-21,15:50:00,92.24,92.255,92.24,92.255,374,0
2015-07-21,15:55:00,92.22,92.22,92.184,92.208,7677,0
2015-07-21,16:00:00,92.19,92.22,92.18,92.21,1642,0
2015-07-21,16:10:00,92.2499,92.2499,92.21,92.21,1554,0
2015-07-21,16:15:00,92.15,92.1699,92.129,92.1699,1387,0
2015-07-21,16:20:00,92.1501,92.1501,92.1501,92.1501,100,0
2015-07-21,16:30:00,92.19,92.2171,92.1789,92.2171,738,0
2015-07-21,16:35:00,92.17,92.17,92.17,92.17,200,0
2015-07-21,16:40:00,92.15,92.15,92.14,92.14,357,0
2015-07-21,16:45:00,92.11,92.11,92.07,92.07,700,0
2015-07-21,16:55:00,92.0386,92.0386,92,92,2933,0
2015-07-21,17:00:00,92.0205,92.0205,92.0205,92.0205,108,0
2015-07-21,17:05:00,92.03,92.03,92,92.0099,1687,0
2015-07-21,17:10:00,91.96,91.96,91.9449,91.9449,1048,0
2015-07-21,17:15:00,91.95,91.95,91.91,91.92,1600,0
2015-07-21,17:20:00,91.92,91.92,91.903,91.912,528,0
2015-07-21,17:30:00,91.91,91.9199,91.9,91.9,1209,0
2015-07-21,17:35:00,91.89,91.9249,91.89,91.9249,1422,0
2015-07-21,17:40:00,91.8705,91.88,91.8705,91.88,530,0
2015-07-21,17:45:00,91.8949,91.8949,91.8949,91.8949,270,0
2015-07-21,17:50:00,91.89,91.89,91.89,91.89,100,0
2015-07-21,17:55:00,91.87,91.8802,91.87,91.87,3954,0
2015-07-21,18:00:00,91.86,91.87,91.84,91.84,2979,0
2015-07-21,18:15:00,91.8849,91.8849,91.8499,91.85,372,0
2015-07-21,18:20:00,91.86,91.8799,91.85,91.8549,3143,0
2015-07-21,18:25:00,91.82,91.8436,91.82,91.8436,650,0
2015-07-21,18:30:00,91.85,91.8595,91.83,91.8595,527,0
2015-07-21,18:35:00,91.86,91.8949,91.86,91.881,965,0
2015-07-21,18:45:00,91.82,91.8225,91.817,91.817,700,0
2015-07-21,19:00:00,91.811,91.8233,91.811,91.8233,440,0
2015-07-21,19:05:00,91.785,91.785,91.785,91.785,164,0
2015-07-21,19:10:00,91.74,91.74,91.72,91.721,1524,0
2015-07-21,19:20:00,91.73,91.73,91.73,91.73,200,0
2015-07-21,19:25:00,91.7005,91.73,91.7005,91.7201,1119,0
2015-07-21,19:35:00,91.718,91.718,91.6975,91.7,574,0
2015-07-21,19:40:00,91.6813,91.6999,91.6813,91.6999,410,0
2015-07-21,19:45:00,91.6802,91.6995,91.6802,91.6995,245,0
2015-07-21,19:50:00,91.706,91.719,91.706,91.719,734,0
2015-07-21,19:55:00,91.7057,91.7057,91.7001,91.7001,717,0
2015-07-21,20:05:00,91.69,91.69,91.69,91.69,400,0
2015-07-21,20:15:00,91.6315,91.6315,91.6287,91.6287,787,0
2015-07-21,20:20:00,91.64,91.64,91.64,91.64,100,0
2015-07-21,20:25:00,91.7,91.7599,91.69,91.7599,1871,0
2015-07-21,20:30:00,91.7598,91.7598,91.7598,91.7598,379,0
2015-07-21,20:35:00,91.785,91.797,91.7811,91.7811,1072,0
2015-07-21,20:40:00,91.75,91.75,91.75,91.75,100,0
2015-07-21,20:45:00,91.7639,91.7639,91.752,91.752,480,0
2015-07-21,20:50:00,91.76,91.76,91.72,91.72,13030,0
2015-07-21,20:55:00,91.71,91.71,91.65,91.65,1100,0
2015-07-21,21:00:00,91.6741,91.69,91.6741,91.69,685,0
2015-07-21,21:05:00,91.6751,91.6751,91.65,91.65,1321,0
2015-07-21,21:10:00,91.67,91.67,91.6581,91.6581,525,0
2015-07-21,21:15:00,91.65,91.7,91.65,91.7,365,0
2015-07-21,21:20:00,91.695,91.7241,91.688,91.7241,2300,0
2015-07-21,21:25:00,91.695,91.71,91.695,91.71,1227,0
2015-07-21,21:30:00,91.69,91.7299,91.66,91.7182,8387,0
2015-07-21,21:35:00,91.7299,91.78,91.72,91.7781,5035,0
2015-07-21,21:40:00,91.79,91.79,91.78,91.7843,3700,0
2015-07-21,21:45:00,91.7958,91.7958,91.7958,91.7958,909,0
2015-07-21,21:50:00,91.798,91.83,91.798,91.83,975,0
2015-07-21,21:55:00,91.8419,91.8419,91.8414,91.8414,745,0
2015-07-21,22:00:00,91.8,91.81,91.76,91.81,70346,0
2015-07-22,15:35:00,91.5,91.5,91.5,91.5,4095,0
2015-07-22,15:40:00,91.6352,91.68,91.6352,91.68,1352,0
2015-07-22,15:45:00,91.7284,91.7284,91.7284,91.7284,593,0
2015-07-22,15:50:00,91.69,91.69,91.69,91.69,130,0
2015-07-22,15:55:00,91.76,91.76,91.76,91.76,100,0
2015-07-22,16:05:00,91.82,91.82,91.7889,91.7889,525,0
2015-07-22,16:20:00,91.794,91.825,91.794,91.825,644,0
2015-07-22,16:30:00,91.79,91.799,91.77,91.799,700,0
2015-07-22,16:35:00,91.77,91.77,91.68,91.68,1200,0
2015-07-22,16:40:00,91.709,91.7241,91.68,91.68,2529,0
2015-07-22,16:45:00,91.67,91.6963,91.67,91.68,763,0
2015-07-22,16:50:00,91.6547,91.67,91.62,91.67,789,0
2015-07-22,16:55:00,91.67,91.73,91.67,91.73,258,0
2015-07-22,17:00:00,91.78,91.78,91.78,91.78,100,0
2015-07-22,17:05:00,91.7901,91.7901,91.72,91.75,4706,0
2015-07-22,17:10:00,91.72,91.72,91.72,91.72,100,0
2015-07-22,17:15:00,91.7371,91.7371,91.7371,91.7371,571,0
2015-07-22,17:20:00,91.71,91.71,91.71,91.71,823,0
2015-07-22,17:25:00,91.7,91.7,91.65,91.65,250,0
2015-07-22,17:30:00,91.65,91.65,91.65,91.65,161,0
2015-07-22,17:35:00,91.67,91.6713,91.6675,91.6675,699,0
2015-07-22,17:50:00,91.6705,91.689,91.66,91.689,783,0
2015-07-22,17:55:00,91.669,91.669,91.669,91.669,225,0
2015-07-22,18:00:00,91.67,91.6768,91.642,91.6768,989,0
2015-07-22,18:05:00,91.7057,91.731,91.69,91.731,543,0
2015-07-22,18:10:00,91.7,91.7,91.68,91.68,209,0
2015-07-22,18:20:00,91.6,91.6,91.5801,91.5801,991,0
2015-07-22,18:25:00,91.605,91.62,91.605,91.62,242,0
2015-07-22,18:30:00,91.6157,91.6296,91.6157,91.6296,1514,0
2015-07-22,18:35:00,91.5713,91.5713,91.5713,91.5713,545,0
2015-07-22,18:40:00,91.5805,91.5805,91.5805,91.5805,196,0
2015-07-22,18:45:00,91.5963,91.6,91.5963,91.6,409,0
2015-07-22,18:50:00,91.6363,91.6363,91.6363,91.6363,134,0
2015-07-22,19:00:00,91.61,91.61,91.61,91.61,100,0
2015-07-22,19:05:00,91.6599,91.68,91.6599,91.68,4412,0
2015-07-22,19:15:00,91.646,91.647,91.6364,91.6364,933,0
2015-07-22,19:20:00,91.6225,91.6225,91.6225,91.6225,415,0
2015-07-22,19:25:00,91.6863,91.6863,91.67,91.678,6672,0
2015-07-22,19:30:00,91.671,91.671,91.671,91.671,109,0
2015-07-22,19:35:00,91.7,91.7081,91.7,91.7081,550,0
2015-07-22,19:45:00,91.7,91.71,91.7,91.71,642,0
2015-07-22,19:50:00,91.7142,91.7142,91.7142,91.7142,270,0
2015-07-22,19:55:00,91.668,91.668,91.6601,91.6601,2657,0
2015-07-22,20:00:00,91.685,91.6999,91.685,91.6999,420,0
2015-07-22,20:05:00,91.679,91.679,91.66,91.678,2717,0
2015-07-22,20:10:00,91.67,91.67,91.65,91.65,1422,0
2015-07-22,20:15:00,91.65,91.65,91.65,91.65,100,0
2015-07-22,20:20:00,91.6686,91.68,91.6686,91.68,1000,0
2015-07-22,20:25:00,91.75,91.75,91.75,91.75,500,0
2015-07-22,20:30:00,91.75,91.77,91.74,91.75,15542,0
2015-07-22,20:35:00,91.77,91.78,91.75,91.78,3090,0
2015-07-22,20:40:00,91.762,91.79,91.762,91.78,1584,0
2015-07-22,20:45:00,91.76,91.76,91.7195,91.7195,1121,0
2015-07-22,20:50:00,91.75,91.757,91.75,91.757,1754,0
2015-07-22,20:55:00,91.76,91.77,91.74,91.74,800,0
2015-07-22,21:00:00,91.734,91.78,91.734,91.78,2261,0
2015-07-22,21:05:00,91.78,91.78,91.7605,91.7605,709,0
2015-07-22,21:10:00,91.78,91.78,91.76,91.77,824,0
2015-07-22,21:15:00,91.75,91.75,91.7416,91.75,1375,0
2015-07-22,21:20:00,91.6999,91.6999,91.6999,91.6999,658,0
2015-07-22,21:25:00,91.71,91.72,91.702,91.72,1893,0
2015-07-22,21:30:00,91.71,91.71,91.6999,91.6999,1110,0
2015-07-22,21:35:00,91.677,91.677,91.6685,91.6685,800,0
2015-07-22,21:40:00,91.67,91.67,91.6,91.6,2590,0
2015-07-22,21:45:00,91.6,91.6,91.5699,91.58,1727,0
2015-07-22,21:50:00,91.59,91.62,91.58,91.62,1200,0
2015-07-22,21:55:00,91.64,91.64,91.601,91.62,1604,0
2015-07-22,22:00:00,91.66,91.73,91.656,91.72,3500,0
2015-07-23,15:35:00,91.81,91.99,91.7615,91.796,5765,0
2015-07-23,15:45:00,91.71,91.71,91.71,91.71,100,0
2015-07-23,15:55:00,91.63,91.6696,91.63,91.6696,417,0
2015-07-23,16:05:00,91.61,91.63,91.61,91.63,385,0
2015-07-23,16:10:00,91.56,91.62,91.56,91.62,400,0
2015-07-23,16:20:00,91.644,91.644,91.644,91.644,166,0
2015-07-23,16:25:00,91.7,91.7,91.6401,91.6401,1030,0
2015-07-23,16:30:00,91.69,91.69,91.69,91.69,1100,0
2015-07-23,16:35:00,91.717,91.717,91.717,91.717,1990,0
2015-07-23,16:40:00,91.7,91.761,91.7,91.761,2809,0
2015-07-23,16:45:00,91.7805,91.7805,91.73,91.7356,4116,0
2015-07-23,16:55:00,91.7,91.71,91.7,91.71,6246,0
2015-07-23,17:00:00,91.7036,91.7036,91.684,91.684,1245,0
2015-07-23,17:05:00,91.7099,91.7099,91.7099,91.7099,130,0
2015-07-23,17:10:00,91.68,91.6899,91.68,91.686,1846,0
2015-07-23,17:15:00,91.65,91.65,91.65,91.65,100,0
2015-07-23,17:35:00,91.45,91.4601,91.45,91.4601,236,0
2015-07-23,17:45:00,91.38,91.38,91.38,91.38,109,0
2015-07-23,17:55:00,91.29,91.3,91.25,91.25,760,0
2015-07-23,18:00:00,91.27,91.27,91.223,91.223,1300,0
2015-07-23,18:05:00,91.17,91.17,91.17,91.17,100,0
2015-07-23,18:10:00,91.15,91.15,91.128,91.128,404,0
2015-07-23,18:15:00,91.1701,91.1701,91.13,91.13,300,0
2015-07-23,18:20:00,91.091,91.091,91.091,91.091,100,0
2015-07-23,18:25:00,91.12,91.13,91.12,91.13,649,0
2015-07-23,18:35:00,91.1327,91.1625,91.1327,91.1625,799,0
2015-07-23,18:40:00,91.18,91.18,91.18,91.18,100,0
2015-07-23,18:50:00,91.147,91.147,91.147,91.147,109,0
2015-07-23,18:55:00,91.12,91.12,91.12,91.12,300,0
2015-07-23,19:00:00,91.152,91.152,91.152,91.152,196,0
2015-07-23,19:20:00,91.16,91.1796,91.16,91.1796,1615,0
2015-07-23,19:25:00,91.14,91.14,91.14,91.14,300,0
2015-07-23,19:30:00,91.12,91.15,91.12,91.15,1500,0
2015-07-23,19:35:00,91.1823,91.1823,91.1823,91.1823,378,0
2015-07-23,19:40:00,91.16,91.16,91.16,91.16,300,0
2015-07-23,19:45:00,91.19,91.19,91.169,91.169,987,0
2015-07-23,19:50:00,91.22,91.22,91.212,91.212,844,0
2015-07-23,19:55:00,91.2499,91.2499,91.2499,91.2499,406,0
2015-07-23,20:00:00,91.34,91.34,91.34,91.34,100,0
2015-07-23,20:05:00,91.327,91.327,91.274,91.274,368,0
2015-07-23,20:10:00,91.28,91.28,91.28,91.28,100,0
2015-07-23,20:15:00,91.22,91.222,91.22,91.222,762,0
2015-07-23,20:20:00,91.26,91.26,91.26,91.26,115,0
2015-07-23,20:25:00,91.268,91.268,91.268,91.268,350,0
2015-07-23,20:30:00,91.21,91.23,91.21,91.23,3035,0
2015-07-23,20:35:00,91.2205,91.26,91.2205,91.26,780,0
2015-07-23,20:40:00,91.24,91.27,91.24,91.27,552,0
2015-07-23,20:45:00,91.3299,91.3299,91.3206,91.3206,210,0
2015-07-23,20:50:00,91.29,91.29,91.2499,91.2499,1050,0
2015-07-23,20:55:00,91.2,91.2,91.14,91.1599,750,0
2015-07-23,21:00:00,91.12,91.1599,91.1001,91.1599,2564,0
2015-07-23,21:05:00,91.147,91.147,91.096,91.096,1938,0
2015-07-23,21:10:00,91.064,91.064,91.064,91.064,104,0
2015-07-23,21:15:00,91,91.01,90.9601,90.9905,2524,0
2015-07-23,21:25:00,91.043,91.05,91.043,91.05,577,0
2015-07-23,21:30:00,91.01,91.02,91,91.02,483,0
2015-07-23,21:35:00,91.04,91.04,91.04,91.04,800,0
2015-07-23,21:40:00,91.06,91.06,91.04,91.04,750,0
2015-07-23,21:45:00,91.11,91.11,91.086,91.1,1242,0
2015-07-23,21:50:00,91.048,91.048,91.048,91.048,107,0
2015-07-23,21:55:00,91.08,91.08,91.0405,91.05,915,0
2015-07-23,22:00:00,91.05,91.1,91.05,91.1,656,0
2015-07-24,15:35:00,91.18,91.18,90.945,90.945,4266,0
2015-07-24,15:40:00,90.918,90.918,90.85,90.895,1066,0
2015-07-24,15:45:00,90.9145,90.94,90.9,90.9,1470,0
2015-07-24,15:50:00,90.91,90.95,90.91,90.95,784,0
2015-07-24,16:00:00,91.0799,91.0799,91.042,91.05,1445,0
2015-07-24,16:05:00,90.96,90.96,90.92,90.921,1020,0
2015-07-24,16:10:00,90.96,91.03,90.96,91.03,210,0
2015-07-24,16:15:00,90.997,91.002,90.932,90.932,718,0
2015-07-24,16:20:00,90.935,90.935,90.86,90.86,200,0
2015-07-24,16:25:00,90.85,90.85,90.8156,90.8156,908,0
2015-07-24,16:30:00,90.8,90.8,90.76,90.76,830,0
2015-07-24,16:35:00,90.79,90.79,90.71,90.72,7810,0
2015-07-24,16:40:00,90.75,90.75,90.73,90.73,400,0
2015-07-24,16:45:00,90.7,90.7,90.7,90.7,1710,0
2015-07-24,16:50:00,90.71,90.71,90.68,90.68,4847,0
2015-07-24,17:00:00,90.69,90.69,90.61,90.61,1468,0
2015-07-24,17:05:00,90.614,90.662,90.614,90.662,1285,0
2015-07-24,17:10:00,90.67,90.67,90.67,90.67,200,0
2015-07-24,17:15:00,90.65,90.65,90.61,90.64,2255,0
2015-07-24,17:20:00,90.63,90.64,90.63,90.63,1550,0
2015-07-24,17:25:00,90.69,90.69,90.69,90.69,700,0
2015-07-24,17:30:00,90.69,90.72,90.69,90.7,1100,0
2015-07-24,17:35:00,90.72,90.738,90.7,90.73,1465,0
2015-07-24,17:40:00,90.71,90.72,90.71,90.72,800,0
2015-07-24,17:45:00,90.72,90.72,90.71,90.71,1100,0
2015-07-24,17:50:00,90.7,90.7,90.69,90.696,2388,0
2015-07-24,17:55:00,90.66,90.67,90.66,90.66,800,0
2015-07-24,18:00:00,90.621,90.66,90.62,90.66,3321,0
2015-07-24,18:05:00,90.655,90.66,90.63,90.63,1000,0
2015-07-24,18:10:00,90.61,90.6101,90.59,90.6101,2371,0
2015-07-24,18:15:00,90.6199,90.63,90.6099,90.63,8565,0
2015-07-24,18:20:00,90.63,90.63,90.552,90.5647,1425,0
2015-07-24,18:25:00,90.56,90.56,90.55,90.55,290,0
2015-07-24,18:30:00,90.56,90.56,90.56,90.56,100,0
2015-07-24,18:40:00,90.57,90.58,90.5514,90.5514,2418,0
2015-07-24,18:45:00,90.521,90.53,90.51,90.53,337,0
2015-07-24,18:50:00,90.51,90.51,90.4549,90.4549,1350,0
2015-07-24,18:55:00,90.46,90.46,90.42,90.421,1100,0
2015-07-24,19:00:00,90.42,90.42,90.42,90.42,600,0
2015-07-24,19:05:00,90.4697,90.47,90.4501,90.46,4506,0
2015-07-24,19:10:00,90.45,90.45,90.42,90.42,2234,0
2015-07-24,19:15:00,90.4,90.4,90.3764,90.3764,600,0
2015-07-24,19:20:00,90.376,90.3999,90.3602,90.39,2155,0
2015-07-24,19:25:00,90.38,90.38,90.3665,90.38,1200,0
2015-07-24,19:30:00,90.4,90.4,90.3601,90.39,4050,0
2015-07-24,19:35:00,90.374,90.374,90.34,90.34,601,0
2015-07-24,19:40:00,90.33,90.33,90.29,90.29,2384,0
2015-07-24,19:45:00,90.278,90.278,90.2,90.2,1390,0
2015-07-24,19:50:00,90.17,90.21,90.13,90.2,14587,0
2015-07-24,19:55:00,90.227,90.227,90.2003,90.2052,1026,0
2015-07-24,20:00:00,90.19,90.247,90.19,90.247,492,0
2015-07-24,20:05:00,90.2299,90.2299,90.173,90.22,1250,0
2015-07-24,20:10:00,90.22,90.22,90.2,90.2,1400,0
2015-07-24,20:15:00,90.18,90.19,90.14,90.14,2000,0
2015-07-24,20:20:00,90.12,90.12,90.0641,90.08,1656,0
2015-07-24,20:25:00,90.06,90.08,90.06,90.08,2123,0
2015-07-24,20:30:00,90.0752,90.16,90.0752,90.16,2105,0
2015-07-24,20:35:00,90.13,90.14,90.09,90.09,1955,0
2015-07-24,20:40:00,90.0499,90.0499,90.0005,90.03,1187,0
2015-07-24,20:45:00,90.0699,90.0748,90.05,90.0748,1534,0
2015-07-24,20:50:00,90.0879,90.11,90.05,90.05,4084,0
2015-07-24,20:55:00,90.04,90.04,90,90,4909,0
2015-07-24,21:00:00,90.0301,90.0999,90.0301,90.0999,2548,0
2015-07-24,21:05:00,90.0699,90.07,90.04,90.043,2310,0
2015-07-24,21:10:00,90.16,90.19,90.16,90.18,1768,0
2015-07-24,21:15:00,90.21,90.21,90.1971,90.2,1428,0
2015-07-24,21:20:00,90.19,90.2148,90.1879,90.2095,5953,0
2015-07-24,21:25:00,90.2,90.233,90.18,90.193,2338,0
2015-07-24,21:30:00,90.2,90.21,90.11,90.11,2790,0
2015-07-24,21:35:00,90.09,90.09,90.06,90.0658,1225,0
2015-07-24,21:40:00,90.09,90.09,90.0401,90.048,3404,0
2015-07-24,21:45:00,90.04,90.08,90.04,90.08,2613,0
2015-07-24,21:50:00,90.11,90.16,90.1099,90.13,1944,0
2015-07-24,21:55:00,90.13,90.16,90.11,90.15,2400,0
2015-07-24,22:00:00,90.16,90.16,90.09,90.12,4434,0
2015-07-27,15:35:00,89.61,89.84,89.415,89.415,14544,0
2015-07-27,15:40:00,89.35,89.3914,89.35,89.3914,1745,0
2015-07-27,15:45:00,89.37,89.4399,89.28,89.28,2948,0
2015-07-27,15:50:00,89.3026,89.3026,89.2675,89.3,809,0
2015-07-27,15:55:00,89.39,89.474,89.39,89.474,1172,0
2015-07-27,16:00:00,89.54,89.54,89.54,89.54,100,0
2015-07-27,16:05:00,89.54,89.54,89.45,89.45,3225,0
2015-07-27,16:10:00,89.42,89.4699,89.42,89.4699,318,0
2015-07-27,16:15:00,89.4518,89.475,89.4518,89.475,810,0
2015-07-27,16:20:00,89.7,89.7,89.65,89.65,1827,0
2015-07-27,16:25:00,89.68,89.68,89.55,89.55,4700,0
2015-07-27,16:30:00,89.5598,89.56,89.5598,89.56,267,0
2015-07-27,16:35:00,89.76,89.764,89.76,89.764,543,0
2015-07-27,16:40:00,89.77,89.7841,89.75,89.78,6937,0
2015-07-27,16:45:00,89.81,89.81,89.81,89.81,550,0
2015-07-27,16:50:00,89.8101,89.8101,89.73,89.76,2916,0
2015-07-27,16:55:00,89.72,89.72,89.72,89.72,750,0
2015-07-27,17:00:00,89.695,89.695,89.695,89.695,282,0
2015-07-27,17:05:00,89.67,89.76,89.65,89.76,2580,0
2015-07-27,17:10:00,89.8,89.8136,89.77,89.8,6112,0
2015-07-27,17:15:00,89.7,89.7,89.7,89.7,100,0
2015-07-27,17:20:00,89.696,89.696,89.632,89.632,1000,0
2015-07-27,17:25:00,89.6695,89.6695,89.614,89.65,978,0
2015-07-27,17:30:00,89.6796,89.7099,89.6796,89.7099,576,0
2015-07-27,17:40:00,89.627,89.627,89.627,89.627,200,0
2015-07-27,17:45:00,89.64,89.66,89.6161,89.6161,149418,0
2015-07-27,17:50:00,89.6169,89.6485,89.6169,89.6485,1796,0
2015-07-27,18:00:00,89.704,89.704,89.704,89.704,170,0
2015-07-27,18:05:00,89.6948,89.6948,89.683,89.683,237,0
2015-07-27,18:10:00,89.644,89.644,89.644,89.644,100,0
2015-07-27,18:15:00,89.6001,89.62,89.6001,89.62,621,0
2015-07-27,18:30:00,89.6698,89.6698,89.6698,89.6698,168,0
2015-07-27,18:35:00,89.66,89.66,89.6344,89.6344,893,0
2015-07-27,18:40:00,89.64,89.64,89.64,89.64,200,0
2015-07-27,18:45:00,89.6072,89.6072,89.6072,89.6072,111,0
2015-07-27,18:55:00,89.56,89.56,89.56,89.56,100,0
2015-07-27,19:10:00,89.57,89.57,89.57,89.57,200,0
2015-07-27,19:15:00,89.5718,89.5718,89.5718,89.5718,100,0
2015-07-27,19:20:00,89.5705,89.59,89.56,89.56,8794,0
2015-07-27,19:25:00,89.51,89.51,89.51,89.51,420,0
2015-07-27,19:30:00,89.4929,89.4929,89.48,89.48,1204,0
2015-07-27,19:35:00,89.48,89.48,89.48,89.48,155,0
2015-07-27,19:40:00,89.53,89.5353,89.47,89.47,1657,0
2015-07-27,19:45:00,89.4805,89.4805,89.4801,89.4801,599,0
2015-07-27,19:50:00,89.534,89.56,89.534,89.5401,355,0
2015-07-27,20:00:00,89.645,89.645,89.59,89.59,1191,0
2015-07-27,20:05:00,89.5501,89.5969,89.5501,89.5969,1508,0
2015-07-27,20:10:00,89.5701,89.63,89.5701,89.63,530,0
2015-07-27,20:15:00,89.56,89.5999,89.5552,89.5999,2088,0
2015-07-27,20:20:00,89.5901,89.67,89.5901,89.66,2308,0
2015-07-27,20:25:00,89.67,89.67,89.59,89.59,2552,0
2015-07-27,20:30:00,89.583,89.62,89.56,89.56,1774,0
2015-07-27,20:35:00,89.51,89.52,89.51,89.52,425,0
2015-07-27,20:40:00,89.521,89.6,89.521,89.593,1094,0
2015-07-27,20:45:00,89.5953,89.61,89.5953,89.61,797,0
2015-07-27,20:50:00,89.5765,89.599,89.5765,89.599,561,0
2015-07-27,20:55:00,89.5969,89.5999,89.57,89.57,1105,0
2015-07-27,21:00:00,89.5502,89.577,89.5502,89.577,745,0
2015-07-27,21:05:00,89.57,89.57,89.57,89.57,100,0
2015-07-27,21:10:00,89.52,89.526,89.4992,89.4992,2467,0
2015-07-27,21:25:00,89.4652,89.4999,89.46,89.4847,2536,0
2015-07-27,21:30:00,89.4746,89.4746,89.41,89.41,384,0
2015-07-27,21:35:00,89.409,89.409,89.3931,89.3931,208,0
2015-07-27,21:40:00,89.393,89.393,89.3701,89.3701,919,0
2015-07-27,21:45:00,89.4099,89.4099,89.4099,89.4099,1575,0
2015-07-27,21:50:00,89.37,89.3895,89.36,89.3895,2359,0
2015-07-27,21:55:00,89.38,89.3808,89.36,89.36,785,0
2015-07-27,22:00:00,89.39,89.52,89.39,89.52,16313,0
2015-07-28,15:35:00,89.92,89.92,89.92,89.92,1011,0
2015-07-28,15:40:00,89.83,89.88,89.78,89.81,2917,0
2015-07-28,15:45:00,89.78,89.85,89.78,89.85,560,0
2015-07-28,15:50:00,89.756,89.756,89.7416,89.7416,305,0
2015-07-28,15:55:00,89.71,89.77,89.71,89.77,1690,0
2015-07-28,16:00:00,89.82,89.82,89.82,89.82,100,0
2015-07-28,16:05:00,89.7599,89.7599,89.7599,89.7599,134,0
2015-07-28,16:20:00,89.69,89.69,89.62,89.62,3489,0
2015-07-28,16:25:00,89.6,89.65,89.58,89.65,2501,0
2015-07-28,16:30:00,89.5501,89.5899,89.5501,89.5573,862,0
2015-07-28,16:40:00,89.6401,89.7051,89.6401,89.7051,504,0
2015-07-28,16:50:00,89.8699,89.8699,89.8699,89.8699,366,0
2015-07-28,16:55:00,89.8896,89.944,89.8896,89.944,1193,0
2015-07-28,17:00:00,89.942,89.9897,89.942,89.985,1886,0
2015-07-28,17:05:00,90.0295,90.04,90.0295,90.04,1986,0
