Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-06-22,15:35:00,28.69,28.69,28.69,28.69,870,0
2015-06-22,15:40:00,28.6,28.6,28.6,28.6,700,0
2015-06-22,16:00:00,28.62,28.62,28.62,28.62,100,0
2015-06-22,16:05:00,28.57,28.58,28.57,28.58,1200,0
2015-06-22,16:15:00,28.6,28.6,28.6,28.6,100,0
2015-06-22,16:30:00,28.54,28.54,28.52,28.52,2109,0
2015-06-22,16:40:00,28.48,28.48,28.48,28.48,500,0
2015-06-22,16:45:00,28.44,28.4996,28.44,28.4996,739,0
2015-06-22,16:50:00,28.47,28.47,28.45,28.45,4000,0
2015-06-22,16:55:00,28.45,28.45,28.45,28.45,100,0
2015-06-22,17:00:00,28.3872,28.3872,28.3872,28.3872,4000,0
2015-06-22,17:10:00,28.4399,28.4399,28.4399,28.4399,700,0
2015-06-22,17:15:00,28.39,28.39,28.39,28.39,500,0
2015-06-22,17:25:00,28.42,28.4348,28.42,28.4348,1110,0
2015-06-22,17:30:00,28.4201,28.4201,28.4201,28.4201,100,0
2015-06-22,17:35:00,28.44,28.44,28.4101,28.4101,470,0
2015-06-22,17:45:00,28.4,28.4001,28.4,28.4001,1257,0
2015-06-22,17:50:00,28.4,28.4,28.4,28.4,300,0
2015-06-22,17:55:00,28.4,28.4,28.36,28.36,909,0
2015-06-22,18:15:00,28.3434,28.3434,28.3434,28.3434,277,0
2015-06-22,18:25:00,28.3332,28.3332,28.3001,28.3001,429,0
2015-06-22,18:30:00,28.3,28.3,28.3,28.3,400,0
2015-06-22,19:00:00,28.3328,28.3328,28.3328,28.3328,1000,0
2015-06-22,19:05:00,28.33,28.33,28.33,28.33,100,0
2015-06-22,19:10:00,28.33,28.33,28.33,28.33,100,0
2015-06-22,20:05:00,28.39,28.39,28.39,28.39,100,0
2015-06-22,20:15:00,28.41,28.41,28.41,28.41,100,0
2015-06-22,20:20:00,28.4056,28.4056,28.4056,28.4056,549,0
2015-06-22,20:35:00,28.41,28.41,28.41,28.41,100,0
2015-06-22,20:50:00,28.4176,28.4176,28.4176,28.4176,879,0
2015-06-22,20:55:00,28.42,28.4424,28.42,28.4424,1900,0
2015-06-22,21:20:00,28.42,28.42,28.42,28.42,100,0
2015-06-22,21:45:00,28.4438,28.4438,28.4438,28.4438,100,0
