Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-06-04,15:35:00,20.56,20.65,20.56,20.65,1900,0
2015-06-04,15:40:00,20.67,20.68,20.66,20.68,1800,0
2015-06-04,15:45:00,20.67,20.68,20.66,20.68,1800,0
2015-06-04,15:50:00,20.63,20.645,20.63,20.64,800,0
2015-06-04,16:00:00,20.655,20.655,20.65,20.65,700,0
2015-06-04,16:10:00,20.61,20.61,20.61,20.61,200,0
2015-06-04,16:15:00,20.61,20.61,20.61,20.61,600,0
2015-06-04,16:20:00,20.6,20.6,20.58,20.58,200,0
2015-06-04,16:35:00,20.575,20.6001,20.575,20.6,400,0
2015-06-04,16:40:00,20.58,20.58,20.575,20.575,200,0
2015-06-04,17:00:00,20.54,20.54,20.53,20.535,400,0
2015-06-04,17:05:00,20.54,20.59,20.54,20.5899,1500,0
2015-06-04,17:15:00,20.6099,20.6099,20.6099,20.6099,500,0
2015-06-04,17:25:00,20.59,20.59,20.58,20.58,200,0
2015-06-04,17:30:00,20.57,20.57,20.57,20.57,200,0
2015-06-04,17:35:00,20.59,20.59,20.59,20.59,600,0
2015-06-04,17:45:00,20.575,20.575,20.575,20.575,200,0
2015-06-04,17:55:00,20.58,20.58,20.58,20.58,300,0
2015-06-04,18:15:00,20.585,20.59,20.585,20.59,200,0
2015-06-04,18:30:00,20.605,20.605,20.605,20.605,200,0
2015-06-04,18:35:00,20.59,20.59,20.59,20.59,600,0
2015-06-04,18:40:00,20.565,20.565,20.565,20.565,100,0
2015-06-04,18:50:00,20.56,20.56,20.56,20.56,800,0
2015-06-04,18:55:00,20.57,20.57,20.57,20.57,300,0
2015-06-04,19:00:00,20.59,20.59,20.59,20.59,600,0
2015-06-04,19:20:00,20.6,20.6,20.6,20.6,200,0
2015-06-04,19:45:00,20.605,20.605,20.6028,20.6028,300,0
2015-06-04,20:10:00,20.612,20.63,20.612,20.63,500,0
2015-06-04,20:25:00,20.6149,20.6149,20.6149,20.6149,763,0
2015-06-04,20:35:00,20.6001,20.6001,20.6001,20.6001,223,0
2015-06-04,20:45:00,20.6043,20.6043,20.595,20.595,599,0
2015-06-04,20:55:00,20.5946,20.595,20.5946,20.595,4178,0
2015-06-04,21:05:00,20.58,20.58,20.5701,20.5701,494,0
2015-06-04,21:10:00,20.575,20.575,20.575,20.575,100,0
2015-06-04,21:15:00,20.58,20.58,20.58,20.58,200,0
2015-06-04,21:20:00,20.59,20.59,20.59,20.59,300,0
2015-06-04,21:30:00,20.59,20.59,20.59,20.59,100,0
2015-06-04,21:35:00,20.6154,20.6154,20.6154,20.6154,113,0
2015-06-04,21:40:00,20.615,20.6299,20.615,20.6299,400,0
2015-06-04,21:50:00,20.635,20.635,20.635,20.635,100,0
2015-06-04,21:55:00,20.64,20.64,20.64,20.64,190,0
2015-06-04,22:00:00,20.62,20.62,20.62,20.62,100,0
2015-06-05,15:35:00,20.92,20.95,20.89,20.92,8200,0
2015-06-05,15:40:00,20.93,20.93,20.87,20.89,5600,0
2015-06-05,15:45:00,20.89,20.89,20.84,20.84,3000,0
2015-06-05,15:50:00,20.83,20.86,20.83,20.86,1200,0
2015-06-05,15:55:00,20.87,20.87,20.84,20.84,1500,0
2015-06-05,16:00:00,20.82,20.8357,20.815,20.815,1380,0
2015-06-05,16:05:00,20.8256,20.8256,20.81,20.81,1010,0
2015-06-05,16:10:00,20.8199,20.8199,20.8199,20.8199,500,0
2015-06-05,16:25:00,20.81,20.81,20.81,20.81,200,0
2015-06-05,16:30:00,20.81,20.81,20.81,20.81,100,0
2015-06-05,16:50:00,20.8,20.8,20.8,20.8,300,0
2015-06-05,17:00:00,20.81,20.8199,20.81,20.8199,384,0
2015-06-05,17:10:00,20.785,20.785,20.785,20.785,100,0
2015-06-05,17:20:00,20.765,20.765,20.765,20.765,200,0
2015-06-05,17:35:00,20.755,20.77,20.755,20.77,300,0
2015-06-05,18:00:00,20.8,20.8,20.8,20.8,555,0
2015-06-05,18:25:00,20.82,20.825,20.82,20.825,1400,0
2015-06-05,18:30:00,20.82,20.82,20.82,20.82,100,0
2015-06-05,18:35:00,20.83,20.83,20.83,20.83,100,0
2015-06-05,18:45:00,20.82,20.82,20.82,20.82,894,0
2015-06-05,19:10:00,20.79,20.79,20.79,20.79,200,0
2015-06-05,19:35:00,20.765,20.765,20.765,20.765,200,0
2015-06-05,20:00:00,20.77,20.77,20.77,20.77,200,0
2015-06-05,20:05:00,20.75,20.7599,20.75,20.7599,769,0
2015-06-05,20:25:00,20.74,20.74,20.74,20.74,200,0
2015-06-05,20:30:00,20.75,20.75,20.75,20.75,200,0
2015-06-05,20:45:00,20.78,20.78,20.78,20.78,980,0
2015-06-05,20:50:00,20.78,20.79,20.78,20.79,1444,0
2015-06-05,21:10:00,20.7938,20.81,20.7938,20.81,700,0
2015-06-05,21:15:00,20.81,20.81,20.8001,20.81,917,0
2015-06-05,21:20:00,20.82,20.82,20.82,20.82,200,0
2015-06-05,21:25:00,20.84,20.84,20.83,20.83,906,0
2015-06-05,21:30:00,20.8343,20.8343,20.8343,20.8343,100,0
2015-06-05,21:35:00,20.84,20.84,20.8243,20.8243,505,0
