Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-17,15:35:00,89.721,89.721,89.043,89.461,235,0
2015-04-17,15:40:00,89.152,89.152,89.143,89.143,125,0
2015-04-17,16:25:00,88.843,88.843,88.843,88.843,20,0
2015-04-17,16:40:00,89.052,89.052,89.052,89.052,301,0
2015-04-17,16:50:00,89.033,89.033,89.013,89.013,102,0
2015-04-17,17:00:00,88.943,88.943,88.943,88.943,55,0
2015-04-17,17:05:00,88.873,88.873,88.873,88.873,55,0
2015-04-17,17:10:00,88.863,88.863,88.853,88.853,502,0
2015-04-17,17:15:00,88.823,88.823,88.823,88.823,14,0
2015-04-17,17:20:00,89.083,89.083,89.083,89.083,327,0
2015-04-17,17:40:00,89.132,89.132,89.132,89.132,125,0
2015-04-17,17:45:00,88.965,88.965,88.965,88.965,34,0
2015-04-17,17:55:00,89.023,89.023,89.023,89.023,100,0
2015-04-17,18:00:00,89.023,89.023,88.903,89.023,78,0
2015-04-17,18:05:00,88.973,88.973,88.973,88.973,100,0
2015-04-17,18:10:00,89.049,89.049,89.049,89.049,873,0
2015-04-17,18:15:00,89.063,89.073,89.063,89.073,100,0
2015-04-17,18:50:00,89.102,89.102,89.102,89.102,44,0
2015-04-17,18:55:00,89.023,89.023,89.023,89.023,100,0
2015-04-17,19:10:00,89.033,89.033,89.033,89.033,35,0
2015-04-17,19:55:00,88.873,88.873,88.873,88.873,2508,0
2015-04-17,20:00:00,88.873,88.873,88.873,88.873,1470,0
2015-04-17,20:05:00,88.833,88.833,88.833,88.833,100,0
2015-04-17,20:10:00,88.724,88.724,88.724,88.724,3,0
2015-04-17,20:15:00,88.704,88.704,88.704,88.704,1,0
2015-04-17,20:20:00,88.614,88.614,88.614,88.614,2,0
2015-04-17,20:35:00,88.674,88.674,88.674,88.674,1,0
2015-04-17,20:45:00,88.724,88.724,88.722,88.722,201,0
2015-04-17,20:50:00,88.684,88.684,88.684,88.684,20,0
2015-04-17,21:00:00,88.662,88.662,88.662,88.662,30,0
2015-04-17,21:05:00,88.664,88.664,88.664,88.664,30,0
2015-04-17,21:20:00,88.7,88.754,88.7,88.754,126,0
2015-04-17,21:25:00,88.578,88.663,88.578,88.663,504,0
2015-04-17,21:40:00,88.894,88.894,88.894,88.894,2,0
2015-04-17,21:50:00,88.923,88.923,88.923,88.923,3,0
2015-04-17,21:55:00,88.853,88.853,88.853,88.853,10,0
2015-04-17,22:00:00,88.833,88.833,88.724,88.724,346,0
2015-04-20,16:05:00,89.382,89.382,89.382,89.382,135,0
2015-04-20,16:25:00,89.511,89.511,89.511,89.511,100,0
2015-04-20,16:30:00,89.591,89.591,89.591,89.591,100,0
2015-04-20,16:35:00,89.521,89.521,89.521,89.521,75,0
2015-04-20,16:40:00,89.571,89.571,89.571,89.571,100,0
2015-04-20,16:55:00,89.76,89.76,89.621,89.621,119,0
2015-04-20,17:05:00,89.731,90,89.731,90,42,0
2015-04-20,17:10:00,90,90,90,90,21,0
2015-04-20,17:20:00,89.812,90,89.812,90,142,0
2015-04-20,17:55:00,89.978,89.98,89.978,89.98,109,0
2015-04-20,18:35:00,89.92,89.93,89.92,89.93,281,0
2015-04-20,19:00:00,89.84,89.92,89.84,89.92,181,0
2015-04-20,19:15:00,89.969,89.969,89.969,89.969,37,0
2015-04-20,19:30:00,89.851,89.95,89.851,89.95,38,0
2015-04-20,19:35:00,89.84,89.84,89.84,89.84,150,0
2015-04-20,19:50:00,89.87,89.87,89.87,89.87,7,0
2015-04-20,20:00:00,89.871,89.871,89.871,89.871,78,0
2015-04-20,20:15:00,89.79,89.79,89.79,89.79,8,0
2015-04-20,20:20:00,89.853,89.853,89.853,89.853,145,0
2015-04-20,20:35:00,89.891,89.97,89.891,89.97,5,0
2015-04-20,20:40:00,89.85,89.85,89.849,89.849,502,0
2015-04-20,21:00:00,89.93,89.93,89.93,89.93,100,0
2015-04-20,21:30:00,89.93,89.93,89.93,89.93,101,0
2015-04-20,21:50:00,89.81,89.81,89.162,89.81,555,0
2015-04-20,21:55:00,89.82,89.87,89.82,89.87,203,0
2015-04-20,22:00:00,89.86,89.86,89.86,89.86,100,0
2015-04-21,15:35:00,89.92,90.089,89.92,90.089,209,0
2015-04-21,15:40:00,89.9,89.9,89.9,89.9,100,0
2015-04-21,15:45:00,89.78,89.78,89.78,89.78,49,0
2015-04-21,16:15:00,89.611,89.611,89.582,89.611,1788,0
2015-04-21,16:20:00,89.521,89.76,89.521,89.759,125,0
2015-04-21,16:25:00,89.651,89.651,89.65,89.65,11,0
2015-04-21,16:35:00,89.571,89.571,89.571,89.571,7,0
2015-04-21,16:40:00,89.551,89.551,89.501,89.501,1414,0
