Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-15,15:35:00,5.93,5.93,5.93,5.93,9323,0
2015-07-15,15:45:00,5.92,5.92,5.91,5.915,3240,0
2015-07-15,15:50:00,5.915,5.915,5.9101,5.9101,2300,0
2015-07-15,16:00:00,5.9101,5.9101,5.9101,5.9101,1017,0
2015-07-15,16:05:00,5.9276,5.93,5.9246,5.93,3414,0
2015-07-15,16:20:00,5.9299,5.9299,5.9299,5.9299,4000,0
2015-07-15,16:45:00,5.94,5.94,5.94,5.94,10500,0
2015-07-15,17:00:00,5.93,5.93,5.93,5.93,300,0
2015-07-15,17:05:00,5.925,5.9299,5.925,5.9299,1300,0
2015-07-15,17:10:00,5.9101,5.93,5.9101,5.93,722,0
2015-07-15,17:20:00,5.91,5.93,5.91,5.91,3843,0
2015-07-15,17:35:00,5.93,5.93,5.93,5.93,715,0
2015-07-15,17:40:00,5.93,5.93,5.91,5.93,4755,0
2015-07-15,17:45:00,5.9102,5.9102,5.9102,5.9102,2250,0
2015-07-15,17:50:00,5.92,5.925,5.92,5.92,15980,0
2015-07-15,17:55:00,5.9049,5.9049,5.89,5.89,40517,0
2015-07-15,18:00:00,5.8901,5.91,5.8901,5.91,16464,0
2015-07-15,18:05:00,5.91,5.91,5.91,5.91,18535,0
2015-07-15,18:10:00,5.898,5.898,5.898,5.898,381,0
2015-07-15,18:15:00,5.9099,5.91,5.89,5.9084,9596,0
2015-07-15,18:20:00,5.91,5.91,5.91,5.91,850,0
2015-07-15,18:30:00,5.89,5.9,5.89,5.9,12256,0
2015-07-15,18:40:00,5.8962,5.8962,5.8962,5.8962,611,0
2015-07-15,18:50:00,5.8901,5.895,5.8901,5.895,520,0
2015-07-15,18:55:00,5.9,5.9,5.9,5.9,100,0
2015-07-15,19:00:00,5.9,5.9,5.895,5.895,19920,0
2015-07-15,19:05:00,5.8999,5.8999,5.8899,5.8899,8736,0
2015-07-15,19:10:00,5.88,5.89,5.88,5.89,600,0
2015-07-15,19:20:00,5.89,5.899,5.89,5.899,771,0
2015-07-15,19:25:00,5.9,5.9,5.9,5.9,100,0
2015-07-15,19:30:00,5.8999,5.8999,5.8999,5.8999,220,0
2015-07-15,19:35:00,5.8901,5.8968,5.8901,5.8968,1314,0
2015-07-15,19:40:00,5.8999,5.8999,5.8999,5.8999,2618,0
2015-07-15,19:55:00,5.899,5.9,5.899,5.9,5946,0
2015-07-15,20:05:00,5.8999,5.8999,5.899,5.8999,1729,0
2015-07-15,20:10:00,5.8902,5.8999,5.8902,5.8999,4383,0
2015-07-15,20:15:00,5.8938,5.8938,5.8927,5.8927,2022,0
2015-07-15,20:30:00,5.9001,5.9001,5.8901,5.8901,1017,0
2015-07-15,20:35:00,5.89,5.89,5.88,5.89,13556,0
2015-07-15,20:40:00,5.8862,5.8899,5.8832,5.886,5705,0
2015-07-15,20:45:00,5.88,5.88,5.88,5.88,6849,0
2015-07-15,20:50:00,5.8838,5.8838,5.8801,5.8801,1173,0
2015-07-15,20:55:00,5.8801,5.886,5.8801,5.886,1512,0
2015-07-15,21:05:00,5.89,5.89,5.8827,5.89,34843,0
2015-07-15,21:10:00,5.8801,5.8801,5.8801,5.8801,1000,0
2015-07-15,21:15:00,5.8899,5.89,5.8846,5.8846,10182,0
2015-07-15,21:20:00,5.885,5.89,5.88,5.89,10800,0
2015-07-15,21:25:00,5.8818,5.8899,5.8818,5.8899,4088,0
2015-07-15,21:30:00,5.88,5.8899,5.88,5.8899,20484,0
2015-07-15,21:35:00,5.8801,5.8801,5.8801,5.8801,1744,0
2015-07-15,21:45:00,5.8818,5.8818,5.88,5.88,24944,0
2015-07-15,21:50:00,5.8844,5.9,5.8844,5.9,3403,0
2015-07-15,22:00:00,5.9,5.9,5.88,5.88,4528,0
2015-07-16,15:35:00,5.93,5.93,5.93,5.93,12880,0
2015-07-16,15:45:00,5.9,5.91,5.9,5.91,13695,0
2015-07-16,15:55:00,5.9001,5.9001,5.9001,5.9001,306,0
2015-07-16,16:00:00,5.9001,5.9001,5.9001,5.9001,4000,0
2015-07-16,16:10:00,5.9038,5.905,5.9038,5.905,2655,0
2015-07-16,16:25:00,5.9099,5.9099,5.9099,5.9099,165,0
2015-07-16,16:30:00,5.9073,5.9073,5.9073,5.9073,1399,0
2015-07-16,16:35:00,5.9099,5.9099,5.9099,5.9099,492,0
2015-07-16,16:40:00,5.895,5.895,5.8901,5.8901,6554,0
2015-07-16,16:45:00,5.89,5.892,5.89,5.892,300,0
2015-07-16,16:50:00,5.8901,5.8901,5.89,5.89,1014,0
2015-07-16,16:55:00,5.9,5.9,5.9,5.9,1111,0
2015-07-16,17:10:00,5.9099,5.9099,5.9099,5.9099,1141,0
2015-07-16,17:20:00,5.8938,5.8938,5.8938,5.8938,294,0
2015-07-16,17:25:00,5.8901,5.8901,5.89,5.89,1200,0
2015-07-16,17:30:00,5.895,5.895,5.895,5.895,1665,0
2015-07-16,17:35:00,5.895,5.9,5.895,5.9,1063,0
2015-07-16,17:40:00,5.89,5.8999,5.89,5.8999,9653,0
2015-07-16,18:00:00,5.89,5.89,5.8802,5.8802,2970,0
2015-07-16,18:05:00,5.8801,5.8801,5.8801,5.8801,205,0
2015-07-16,18:10:00,5.88,5.88,5.88,5.88,200,0
2015-07-16,18:20:00,5.89,5.89,5.8849,5.8849,2603,0
2015-07-16,18:25:00,5.88,5.88,5.88,5.88,300,0
2015-07-16,18:40:00,5.8701,5.88,5.8701,5.88,21938,0
2015-07-16,18:45:00,5.875,5.875,5.875,5.875,1500,0
2015-07-16,19:00:00,5.8715,5.8715,5.8715,5.8715,1398,0
2015-07-16,19:05:00,5.879,5.8799,5.879,5.8799,7242,0
2015-07-16,19:10:00,5.877,5.877,5.877,5.877,360,0
2015-07-16,19:15:00,5.88,5.886,5.88,5.886,900,0
2015-07-16,19:25:00,5.8881,5.9,5.8881,5.9,13300,0
2015-07-16,19:35:00,5.9,5.9,5.9,5.9,2825,0
2015-07-16,19:40:00,5.8801,5.8833,5.8801,5.8833,2448,0
2015-07-16,19:50:00,5.88,5.88,5.8712,5.8712,866,0
2015-07-16,19:55:00,5.8799,5.88,5.8701,5.8701,8538,0
2015-07-16,20:00:00,5.87,5.88,5.87,5.875,15850,0
2015-07-16,20:05:00,5.875,5.875,5.875,5.875,1000,0
2015-07-16,20:10:00,5.8701,5.8799,5.8701,5.8742,2993,0
2015-07-16,20:20:00,5.87,5.875,5.87,5.875,4927,0
2015-07-16,20:25:00,5.875,5.875,5.865,5.865,1924,0
2015-07-16,20:30:00,5.8601,5.8601,5.86,5.86,831,0
2015-07-16,20:35:00,5.855,5.855,5.85,5.85,48027,0
2015-07-16,20:40:00,5.855,5.855,5.85,5.85,10100,0
2015-07-16,20:50:00,5.8538,5.8556,5.85,5.8556,4965,0
2015-07-16,20:55:00,5.8501,5.8501,5.8501,5.8501,116,0
2015-07-16,21:00:00,5.85,5.85,5.85,5.85,15020,0
2015-07-16,21:05:00,5.87,5.87,5.87,5.87,2000,0
2015-07-16,21:10:00,5.8656,5.8656,5.8656,5.8656,841,0
2015-07-16,21:20:00,5.87,5.87,5.8544,5.865,8576,0
2015-07-16,21:25:00,5.8638,5.8699,5.8638,5.8699,3612,0
2015-07-16,21:35:00,5.8699,5.8699,5.8601,5.8601,7366,0
2015-07-16,21:40:00,5.8601,5.8601,5.8601,5.8601,4951,0
2015-07-16,21:45:00,5.865,5.87,5.86,5.86,16711,0
2015-07-16,21:50:00,5.8601,5.87,5.86,5.86,1094,0
2015-07-16,21:55:00,5.87,5.87,5.8638,5.87,2449,0
2015-07-16,22:00:00,5.865,5.87,5.86,5.87,3707,0
2015-07-17,15:35:00,5.84,5.84,5.84,5.84,12461,0
2015-07-17,16:05:00,5.8199,5.8199,5.8199,5.8199,321,0
2015-07-17,16:25:00,5.81,5.81,5.81,5.81,1000,0
2015-07-17,16:45:00,5.8198,5.8198,5.8198,5.8198,879,0
2015-07-17,17:00:00,5.81,5.8195,5.81,5.8195,568,0
2015-07-17,17:05:00,5.812,5.812,5.812,5.812,800,0
2015-07-17,17:10:00,5.8101,5.8299,5.8101,5.8203,10917,0
2015-07-17,17:25:00,5.8298,5.8298,5.8298,5.8298,571,0
2015-07-17,18:00:00,5.825,5.83,5.8201,5.8201,5310,0
2015-07-17,18:15:00,5.8225,5.83,5.8225,5.83,6300,0
2015-07-17,18:20:00,5.82,5.82,5.82,5.82,500,0
2015-07-17,18:35:00,5.8201,5.8201,5.8201,5.8201,145,0
2015-07-17,18:40:00,5.83,5.83,5.83,5.83,200,0
2015-07-17,18:50:00,5.8201,5.8264,5.8201,5.8264,1710,0
2015-07-17,18:55:00,5.82,5.8224,5.82,5.8224,708,0
2015-07-17,19:00:00,5.84,5.84,5.84,5.84,1000,0
2015-07-17,19:05:00,5.85,5.85,5.83,5.83,4520,0
2015-07-17,19:10:00,5.83,5.83,5.83,5.83,10110,0
2015-07-17,19:15:00,5.8499,5.8499,5.8499,5.8499,285,0
2015-07-17,19:40:00,5.83,5.84,5.83,5.84,3652,0
2015-07-17,19:45:00,5.82,5.82,5.82,5.82,10000,0
2015-07-17,19:50:00,5.82,5.83,5.82,5.83,57180,0
2015-07-17,19:55:00,5.82,5.821,5.82,5.821,55892,0
2015-07-17,20:00:00,5.82,5.82,5.82,5.82,11268,0
2015-07-17,20:05:00,5.825,5.83,5.82,5.82,14089,0
2015-07-17,20:10:00,5.8201,5.8299,5.8201,5.8201,2113,0
2015-07-17,20:15:00,5.8201,5.83,5.8201,5.83,16205,0
2015-07-17,20:20:00,5.8218,5.8218,5.8218,5.8218,2417,0
2015-07-17,20:30:00,5.83,5.8302,5.83,5.8302,4153,0
2015-07-17,21:00:00,5.83,5.83,5.83,5.83,156,0
2015-07-17,21:05:00,5.83,5.8301,5.83,5.8301,11740,0
2015-07-17,21:10:00,5.83,5.83,5.83,5.83,9190,0
2015-07-17,21:15:00,5.8386,5.8386,5.8386,5.8386,660,0
2015-07-17,21:20:00,5.8402,5.8402,5.8402,5.8402,2569,0
2015-07-17,21:25:00,5.831,5.8418,5.83,5.83,18736,0
2015-07-17,21:30:00,5.8418,5.8418,5.8418,5.8418,5000,0
2015-07-17,21:40:00,5.83,5.83,5.83,5.83,6214,0
2015-07-17,21:45:00,5.8476,5.85,5.83,5.83,18027,0
2015-07-17,21:50:00,5.83,5.83,5.83,5.83,2783,0
2015-07-17,21:55:00,5.83,5.83,5.83,5.83,4629,0
