Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-01,15:50:00,8.45,8.45,8.45,8.45,350,0
2014-10-01,16:50:00,8.44,8.44,8.44,8.44,1200,0
2014-10-01,19:25:00,8.48,8.48,8.47,8.47,781,0
2014-10-01,19:55:00,8.48,8.49,8.48,8.49,500,0
2014-10-01,21:10:00,8.48,8.48,8.48,8.48,100,0
2014-10-01,21:35:00,8.47,8.47,8.47,8.47,475,0
2014-10-01,21:50:00,8.45,8.45,8.45,8.45,6000,0
2014-10-02,15:35:00,8.4,8.45,8.39,8.45,1162,0
2014-10-02,16:15:00,8.4,8.4,8.4,8.4,100,0
2014-10-02,16:45:00,8.39,8.39,8.39,8.39,100,0
2014-10-02,17:00:00,8.39,8.39,8.38,8.39,8700,0
2014-10-02,21:55:00,8.43,8.43,8.43,8.43,300,0
2014-10-03,15:35:00,8.37,8.37,8.37,8.37,1230,0
2014-10-03,15:40:00,8.36,8.36,8.36,8.36,200,0
2014-10-03,16:20:00,8.37,8.37,8.37,8.37,100,0
2014-10-03,16:45:00,8.34,8.34,8.34,8.34,113,0
2014-10-03,18:20:00,8.35,8.35,8.35,8.35,1000,0
2014-10-03,18:55:00,8.36,8.36,8.36,8.36,200,0
2014-10-03,19:10:00,8.38,8.38,8.38,8.38,100,0
2014-10-03,19:15:00,8.38,8.38,8.38,8.38,300,0
2014-10-03,20:20:00,8.37,8.38,8.37,8.38,9003,0
2014-10-03,20:40:00,8.36,8.37,8.35,8.37,9200,0
2014-10-03,21:05:00,8.35,8.35,8.35,8.35,1550,0
2014-10-03,21:10:00,8.36,8.36,8.36,8.36,600,0
2014-10-03,21:20:00,8.37,8.37,8.37,8.37,11100,0
2014-10-03,21:40:00,8.37,8.37,8.37,8.37,9900,0
2014-10-03,21:50:00,8.37,8.37,8.37,8.37,200,0
2014-10-03,21:55:00,8.37,8.37,8.37,8.37,100,0
2014-10-03,22:00:00,8.35,8.37,8.35,8.37,300,0
2014-10-06,16:05:00,8.39,8.39,8.39,8.39,1000,0
2014-10-06,16:10:00,8.39,8.39,8.39,8.39,500,0
2014-10-06,16:25:00,8.4,8.4,8.4,8.4,390,0
2014-10-06,17:05:00,8.42,8.42,8.42,8.42,100,0
2014-10-06,17:15:00,8.43,8.43,8.43,8.43,100,0
2014-10-06,18:20:00,8.45,8.47,8.45,8.45,1320,0
2014-10-06,19:05:00,8.49,8.49,8.48,8.49,700,0
2014-10-07,16:25:00,8.49,8.49,8.49,8.49,300,0
2014-10-07,16:45:00,8.47,8.47,8.47,8.47,3722,0
2014-10-07,17:00:00,8.49,8.49,8.49,8.49,2698,0
2014-10-07,22:00:00,8.53,8.54,8.53,8.54,843,0
2014-10-08,16:45:00,8.45,8.45,8.44,8.45,1980,0
2014-10-08,16:50:00,8.44,8.44,8.44,8.44,1050,0
2014-10-08,17:05:00,8.44,8.44,8.44,8.44,375,0
2014-10-08,17:40:00,8.47,8.47,8.47,8.47,2000,0
2014-10-08,17:55:00,8.43,8.43,8.43,8.43,4000,0
2014-10-08,21:20:00,8.53,8.53,8.53,8.53,980,0
2014-10-08,21:55:00,8.52,8.52,8.52,8.52,490,0
2014-10-09,15:40:00,8.54,8.54,8.54,8.54,300,0
2014-10-09,16:00:00,8.54,8.54,8.54,8.54,3800,0
2014-10-09,17:15:00,8.54,8.54,8.54,8.54,500,0
2014-10-09,17:25:00,8.54,8.54,8.54,8.54,500,0
