Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-27,15:45:00,27.079,27.079,27.079,27.079,1209,0
2015-04-27,15:50:00,27.079,27.079,27.079,27.079,2016,0
2015-04-27,16:00:00,27.089,27.089,27.089,27.089,101,0
2015-04-27,16:05:00,27.089,27.089,27.089,27.089,166,0
2015-04-27,16:45:00,27.129,27.129,27.129,27.129,101,0
2015-04-27,16:55:00,27.119,27.119,27.119,27.119,907,0
2015-04-27,17:00:00,27.114,27.114,27.099,27.099,202,0
2015-04-27,17:05:00,27.099,27.099,27.099,27.099,4434,0
2015-04-27,18:15:00,27.126,27.126,27.126,27.126,131,0
2015-04-27,19:20:00,27.116,27.116,27.116,27.116,323,0
2015-04-27,19:25:00,27.104,27.104,27.104,27.104,101,0
2015-04-27,20:25:00,27.083,27.083,27.083,27.083,202,0
2015-04-27,21:20:00,27.089,27.089,27.059,27.059,504,0
2015-04-27,21:30:00,27.059,27.059,27.059,27.059,101,0
2015-04-27,21:45:00,27.059,27.059,27.059,27.059,174,0
2015-04-27,21:55:00,27.06,27.06,27.06,27.06,119,0
2015-04-27,22:00:00,27.05,27.05,27.04,27.04,705,0
2015-04-28,15:35:00,27.188,27.188,27.119,27.119,1083,0
2015-04-28,15:40:00,27.089,27.099,27.089,27.089,1713,0
2015-04-28,17:55:00,27.093,27.093,27.093,27.093,124,0
2015-04-28,19:25:00,27.099,27.099,27.099,27.099,101,0
2015-04-28,20:20:00,27.079,27.079,27.079,27.079,104,0
2015-04-28,20:35:00,27.102,27.102,27.102,27.102,552,0
2015-04-28,20:40:00,27.089,27.108,27.089,27.108,649,0
2015-04-28,20:55:00,27.115,27.115,27.115,27.115,504,0
2015-04-28,21:05:00,27.099,27.099,27.099,27.099,149,0
2015-04-28,21:15:00,27.119,27.129,27.119,27.119,18090,0
2015-04-28,21:55:00,27.069,27.108,27.069,27.106,1874,0
2015-04-28,22:00:00,27.079,27.089,27.079,27.089,252,0
2015-04-29,17:15:00,27.02,27.02,27.02,27.02,115,0
2015-04-29,17:45:00,27.05,27.05,27.05,27.05,104,0
2015-04-29,17:55:00,27.021,27.067,27.02,27.067,7807,0
2015-04-29,18:30:00,27.016,27.016,27.016,27.016,302,0
2015-04-29,19:20:00,27.049,27.049,27.049,27.049,151,0
2015-04-29,19:45:00,27.059,27.059,27.02,27.02,1603,0
2015-04-29,20:00:00,27.069,27.069,27.069,27.069,101,0
2015-04-29,20:10:00,26.951,27.066,26.951,27.066,309,0
2015-04-29,20:15:00,27.056,27.056,27.056,27.056,162,0
2015-04-29,20:40:00,27.059,27.059,27.02,27.02,360,0
2015-04-29,20:45:00,27.085,27.085,27.062,27.062,504,0
2015-04-29,20:55:00,27.04,27.04,27.04,27.04,101,0
2015-04-29,21:00:00,27.059,27.059,27.059,27.059,1384,0
2015-04-29,21:25:00,27.032,27.032,27.032,27.032,674,0
2015-04-29,21:50:00,27.011,27.049,27.01,27.049,676,0
2015-04-29,21:55:00,27.03,27.03,27.03,27.03,101,0
2015-04-29,22:00:00,27.039,27.039,27.016,27.016,1593,0
2015-04-30,16:05:00,26.879,26.879,26.879,26.879,197,0
2015-04-30,18:10:00,26.913,26.919,26.913,26.919,1440,0
2015-04-30,18:30:00,26.915,26.915,26.915,26.915,363,0
2015-04-30,19:40:00,26.94,26.94,26.94,26.94,344,0
2015-04-30,20:15:00,26.96,26.96,26.96,26.96,302,0
2015-04-30,20:45:00,26.948,26.948,26.94,26.94,705,0
2015-04-30,21:00:00,26.911,26.911,26.911,26.911,101,0
2015-04-30,21:15:00,26.862,26.862,26.862,26.862,6551,0
2015-04-30,21:30:00,26.902,26.902,26.902,26.902,643,0
2015-04-30,21:45:00,26.896,26.896,26.896,26.896,684,0
2015-04-30,22:00:00,26.901,26.901,26.901,26.901,794,0
2015-05-01,16:00:00,27.01,27.01,26.98,26.98,258,0
2015-05-01,16:15:00,27.03,27.03,27.03,27.03,720,0
2015-05-01,16:20:00,26.969,26.969,26.969,26.969,403,0
2015-05-01,17:15:00,26.99,27,26.99,27,403,0
2015-05-01,19:35:00,26.994,26.994,26.994,26.994,110,0
2015-05-01,19:55:00,27.011,27.011,27.011,27.011,149,0
2015-05-01,20:05:00,27.01,27.01,27.01,27.01,220,0
2015-05-01,20:10:00,27.01,27.02,27.01,27.02,501,0
2015-05-01,20:15:00,27.038,27.038,27.038,27.038,628,0
2015-05-01,20:20:00,27.049,27.049,27.03,27.03,417,0
2015-05-01,20:25:00,27.034,27.049,27.034,27.049,1602,0
2015-05-01,20:40:00,27.05,27.05,27.05,27.05,238,0
2015-05-01,20:50:00,27.04,27.04,27.01,27.01,928,0
2015-05-01,20:55:00,27.059,27.059,27.056,27.056,1188,0
2015-05-01,21:00:00,27.04,27.04,27.04,27.04,227,0
2015-05-01,21:20:00,27.068,27.068,27.047,27.047,1214,0
2015-05-01,21:55:00,27.03,27.03,27.03,27.03,101,0
2015-05-04,15:55:00,27.059,27.059,27.059,27.059,187,0
2015-05-04,16:00:00,27.059,27.059,27.059,27.059,605,0
2015-05-04,16:05:00,27.082,27.082,27.082,27.082,353,0
2015-05-04,16:25:00,27.138,27.138,27.138,27.138,202,0
2015-05-04,17:40:00,27.065,27.065,27.065,27.065,168,0
2015-05-04,17:45:00,27.08,27.08,27.08,27.08,289,0
2015-05-04,18:55:00,27.069,27.079,27.069,27.079,1372,0
2015-05-04,19:10:00,27.033,27.033,27.033,27.033,176,0
2015-05-04,19:15:00,27.078,27.078,27.058,27.058,2519,0
2015-05-04,19:20:00,27.041,27.041,27.041,27.041,723,0
2015-05-04,19:25:00,27.039,27.039,27.039,27.039,168,0
2015-05-04,19:40:00,27.053,27.053,27.031,27.031,383,0
2015-05-04,19:45:00,27.01,27.01,27.01,27.01,182,0
2015-05-04,20:15:00,27.06,27.06,27.06,27.06,104,0
2015-05-04,20:20:00,27.063,27.069,27.062,27.062,334,0
2015-05-04,20:25:00,27.066,27.079,27.066,27.067,878,0
2015-05-04,20:30:00,27.066,27.066,27.066,27.066,181,0
2015-05-04,20:35:00,27.079,27.079,27.079,27.079,500,0
2015-05-04,20:40:00,27.079,27.079,27.079,27.079,191,0
2015-05-04,20:45:00,27.067,27.067,27.067,27.067,597,0
2015-05-04,20:50:00,27.069,27.069,27.055,27.055,1872,0
2015-05-04,20:55:00,27.05,27.06,27.05,27.059,955,0
2015-05-04,21:00:00,27.053,27.059,27.03,27.05,897,0
2015-05-04,21:05:00,27.05,27.05,27.045,27.045,542,0
2015-05-04,21:10:00,27.045,27.045,27.045,27.045,611,0
2015-05-04,21:15:00,27.054,27.056,27.054,27.056,994,0
2015-05-04,21:25:00,27.069,27.069,27.06,27.06,1066,0
2015-05-04,21:30:00,27.057,27.057,27.056,27.056,837,0
2015-05-04,21:35:00,27.052,27.068,27.052,27.068,441,0
2015-05-04,21:40:00,27.045,27.045,27.045,27.045,233,0
2015-05-04,21:45:00,27.063,27.063,27.063,27.063,192,0
2015-05-04,21:50:00,27.063,27.063,27.063,27.063,393,0
2015-05-04,22:00:00,27.077,27.079,27.077,27.079,369,0
2015-05-05,16:10:00,27.079,27.079,27.079,27.079,362,0
2015-05-05,16:50:00,27.095,27.095,27.095,27.095,124,0
2015-05-05,17:00:00,27.097,27.097,27.097,27.097,314,0
2015-05-05,18:00:00,27.027,27.049,27.027,27.049,376,0
2015-05-05,18:05:00,27.049,27.049,27.049,27.049,188,0
2015-05-05,18:10:00,27.011,27.011,27.001,27.001,830,0
2015-05-05,18:30:00,27.03,27.03,27.028,27.028,510,0
2015-05-05,18:50:00,27.02,27.02,27.02,27.02,101,0
2015-05-05,19:05:00,27.02,27.02,27.02,27.02,101,0
2015-05-05,19:20:00,26.99,26.99,26.99,26.99,101,0
2015-05-05,19:45:00,26.964,26.99,26.964,26.99,390,0
2015-05-05,20:15:00,26.98,26.98,26.98,26.98,101,0
2015-05-05,20:35:00,26.93,26.93,26.93,26.93,101,0
2015-05-05,20:50:00,26.96,26.96,26.96,26.96,101,0
2015-05-05,21:00:00,26.96,26.96,26.96,26.96,101,0
2015-05-05,21:10:00,26.95,26.95,26.921,26.938,458,0
2015-05-05,21:15:00,26.937,26.937,26.937,26.937,161,0
2015-05-05,21:20:00,26.958,26.958,26.958,26.958,142,0
2015-05-05,21:25:00,26.937,26.937,26.937,26.937,220,0
2015-05-05,21:30:00,26.943,26.943,26.943,26.943,135,0
2015-05-05,21:35:00,26.96,26.96,26.96,26.96,403,0
2015-05-05,21:40:00,26.95,26.95,26.95,26.95,101,0
2015-05-05,21:45:00,26.944,26.944,26.944,26.944,264,0
2015-05-05,21:50:00,26.959,26.959,26.93,26.93,840,0
2015-05-05,21:55:00,26.943,26.943,26.922,26.922,750,0
2015-05-06,15:55:00,26.954,26.954,26.921,26.921,534,0
2015-05-06,16:00:00,26.938,26.938,26.938,26.938,378,0
2015-05-06,16:45:00,26.984,26.984,26.982,26.982,983,0
2015-05-06,17:05:00,26.981,27.02,26.981,27.02,1043,0
2015-05-06,17:55:00,26.938,26.938,26.938,26.938,325,0
2015-05-06,18:00:00,26.901,26.95,26.901,26.95,346,0
2015-05-06,20:35:00,26.837,26.837,26.837,26.837,101,0
2015-05-06,20:45:00,26.861,26.861,26.861,26.861,115,0
2015-05-06,20:50:00,26.813,26.813,26.782,26.782,292,0
2015-05-06,21:00:00,26.861,26.861,26.833,26.833,521,0
2015-05-06,21:05:00,26.855,26.855,26.855,26.855,114,0
2015-05-06,21:10:00,26.792,26.792,26.792,26.792,103,0
2015-05-06,21:35:00,26.82,26.82,26.82,26.82,231,0
2015-05-06,21:45:00,26.801,26.801,26.801,26.801,151,0
2015-05-06,21:50:00,26.859,26.859,26.824,26.824,449,0
2015-05-07,17:50:00,26.7,26.7,26.7,26.7,588,0
2015-05-07,19:05:00,26.792,26.792,26.722,26.722,592,0
2015-05-07,19:25:00,26.73,26.73,26.73,26.73,154,0
2015-05-07,19:35:00,26.718,26.718,26.718,26.718,116,0
