Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-09-09,21:55:00,41.936,41.936,41.936,41.936,2630,0
2014-09-11,18:10:00,41.109,41.109,41.109,41.109,105,0
2014-09-12,15:45:00,45.985,45.985,44.141,44.141,1368,0
2014-09-12,15:55:00,49.568,49.568,49.568,49.568,13993,0
2014-09-12,19:30:00,42.297,42.297,40.643,40.643,1432,0
2014-09-12,19:35:00,40.643,40.643,40.643,40.643,1377,0
2014-09-12,21:00:00,42.059,42.059,42.059,42.059,526,0
2014-09-12,21:10:00,40.158,40.472,40.158,40.472,316,0
2014-09-12,21:55:00,41.831,41.831,41.822,41.822,526,0
2014-09-15,16:30:00,41.584,41.584,41.584,41.584,210,0
2014-09-15,17:35:00,41.822,43.133,41.822,43.133,3921,0
2014-09-16,16:30:00,43.057,43.057,43.057,43.057,105,0
2014-09-16,16:45:00,42.877,42.877,42.487,42.487,2104,0
2014-09-16,17:20:00,41.346,41.346,41.346,41.346,421,0
2014-09-16,20:55:00,42.753,42.753,42.753,42.753,421,0
2014-09-17,17:00:00,42.724,42.724,42.724,42.724,263,0
2014-09-18,18:50:00,41.432,41.432,41.432,41.432,1431,0
2014-09-18,21:50:00,41.004,41.004,41.004,41.004,105,0
2014-09-19,20:20:00,43.532,43.532,43.532,43.532,263,0
2014-09-19,21:15:00,45.129,45.129,42.772,42.772,210,0
2014-09-22,15:50:00,40.472,40.472,40.472,40.472,132,0
2014-09-22,17:15:00,40.472,40.472,40.472,40.472,316,0
2014-09-23,15:35:00,41.023,41.023,41.023,41.023,210,0
2014-09-23,16:35:00,39.978,39.978,39.978,39.978,316,0
2014-09-23,21:40:00,41.822,41.822,41.822,41.822,316,0
2014-09-23,21:50:00,41.822,41.822,41.822,41.822,105,0
2014-09-24,21:55:00,42.667,44.473,42.667,44.473,947,0
2014-09-25,15:35:00,40.747,40.747,40.662,40.662,4892,0
2014-09-25,15:45:00,40.605,40.605,40.586,40.586,631,0
2014-09-25,16:05:00,40.415,40.415,40.415,40.415,105,0
2014-09-25,16:25:00,40.263,40.263,40.263,40.263,105,0
2014-09-25,16:35:00,40.139,40.139,40.139,40.139,242,0
2014-09-26,18:50:00,40.196,40.196,40.196,40.196,578,0
2014-09-26,21:25:00,40.396,40.396,40.377,40.377,842,0
2014-10-02,15:35:00,39.122,39.122,39.122,39.122,488,0
2014-10-02,16:10:00,39.531,39.531,39.531,39.531,105,0
2014-10-02,16:15:00,39.445,39.445,39.445,39.445,105,0
2014-10-02,16:35:00,39.398,39.398,39.398,39.398,316,0
2014-10-03,19:35:00,40.054,40.054,40.054,40.054,1599,0
2014-10-03,19:40:00,39.911,39.911,39.911,39.911,1704,0
2014-10-08,16:00:00,39.274,39.274,39.274,39.274,105,0
2014-10-08,17:10:00,38.904,38.904,38.904,38.904,526,0
2014-10-08,21:30:00,39.892,39.892,39.892,39.892,185,0
2014-10-10,16:25:00,38.647,38.647,38.647,38.647,105,0
2014-10-13,21:45:00,37.706,37.706,37.706,37.706,526,0
2014-10-15,18:15:00,36.793,36.803,36.793,36.803,1789,0
2014-10-16,18:55:00,37.259,37.269,37.259,37.269,947,0
2014-10-17,16:50:00,38.21,38.21,38.21,38.21,105,0
2014-10-22,15:40:00,39.35,39.35,39.35,39.35,421,0
2014-10-24,18:55:00,39.816,39.816,39.816,39.816,316,0
2014-10-29,16:45:00,40.491,40.491,40.491,40.491,618,0
2014-10-30,17:10:00,40.605,40.605,40.605,40.605,105,0
2014-11-03,16:00:00,41.365,41.394,41.365,41.365,1662,0
2014-11-03,17:15:00,41.308,41.308,41.308,41.308,105,0
2014-11-04,18:20:00,40.928,40.928,40.928,40.928,105,0
2014-11-04,20:50:00,40.976,40.976,40.976,40.976,652,0
2014-11-05,18:15:00,41.156,41.156,41.156,41.156,416,0
2014-11-05,18:35:00,41.166,41.166,41.166,41.166,173,0
2014-11-05,21:30:00,41.08,41.08,41.08,41.08,105,0
2014-11-05,21:40:00,41.09,41.09,41.09,41.09,210,0
2014-11-05,21:45:00,41.109,41.109,41.109,41.109,137,0
2014-11-12,19:05:00,41.603,41.603,41.603,41.603,281,0
2014-11-21,15:35:00,42.202,42.202,42.202,42.202,421,0
2014-11-21,19:20:00,42.202,42.202,42.202,42.202,210,0
2014-11-25,16:55:00,42.525,42.525,42.525,42.525,155,0
2014-11-25,17:35:00,42.468,42.468,42.468,42.468,119,0
2014-11-26,15:35:00,42.601,42.601,42.601,42.601,210,0
2014-11-26,15:40:00,42.43,42.43,42.43,42.43,105,0
2014-11-26,15:55:00,42.487,42.487,42.487,42.487,316,0
2014-11-26,17:15:00,42.458,42.458,42.458,42.458,237,0
