Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-02-20,17:25:00,42.69,42.69,42.69,42.69,100,0
2014-02-20,17:30:00,42.68,42.7,42.64,42.64,1200,0
2014-03-11,16:55:00,42.48,42.48,42.43,42.43,200,0
2014-03-11,17:00:00,42.44,42.44,42.44,42.44,200,0
2014-03-11,17:10:00,42.42,42.42,42.42,42.42,100,0
2014-03-11,17:45:00,42.44,42.44,42.38,42.38,800,0
2014-03-21,18:00:00,42.36,42.36,42.36,42.36,100,0
2014-03-21,18:05:00,42.34,42.35,42.28,42.28,1500,0
2014-04-11,20:30:00,43.05,43.05,43.05,43.05,100,0
2014-04-14,20:20:00,43.44,43.44,43.4,43.4,1600,0
2014-04-14,20:25:00,43.37,43.38,43.35,43.35,2900,0
2014-04-24,17:25:00,43.64,43.64,43.64,43.64,1884,0
2014-04-25,20:25:00,43.5,43.5,43.43,43.46,4000,0
2014-04-25,20:30:00,43.44,43.44,43.44,43.44,100,0
2014-04-25,21:25:00,43.35,43.35,43.35,43.35,200,0
2014-05-02,19:00:00,43.09,43.09,43.05,43.05,400,0
2014-05-06,16:05:00,42.96,42.97,42.92,42.92,700,0
2014-05-06,16:10:00,42.9,42.9,42.9,42.9,100,0
2014-05-06,17:35:00,43.02,43.02,42.95,42.95,600,0
2014-05-06,17:40:00,43.05,43.05,43.05,43.05,100,0
2014-05-06,17:45:00,42.93,42.93,42.93,42.93,100,0
2014-05-09,17:45:00,43.0,43.0,42.97,42.97,200,0
2014-05-09,17:50:00,42.99,42.99,42.94,42.94,800,0
2014-05-22,18:15:00,43.62,43.62,43.57,43.61,1100,0
2014-05-22,18:20:00,43.58,43.61,43.58,43.61,600,0
2014-05-22,18:35:00,43.56,43.59,43.56,43.59,400,0
2014-05-22,18:40:00,43.6,43.6,43.56,43.57,1100,0
2014-05-22,18:45:00,43.57,43.6,43.55,43.56,2300,0
2014-05-22,20:05:00,43.54,43.54,43.54,43.54,100,0
2014-05-22,20:10:00,43.48,43.48,43.48,43.48,100,0
2014-05-28,18:10:00,43.36,43.36,43.31,43.34,900,0
2014-05-28,18:15:00,43.33,43.33,43.33,43.33,500,0
2014-05-28,18:20:00,43.33,43.33,43.33,43.33,100,0
2014-06-18,20:50:00,44.38,44.38,44.3,44.33,1200,0
2014-06-18,20:55:00,44.36,44.37,44.33,44.36,3100,0
2014-06-18,21:05:00,44.35,44.38,44.35,44.38,1300,0
2014-06-18,21:10:00,44.35,44.38,44.35,44.35,1200,0
2014-06-18,21:20:00,44.34,44.34,44.34,44.34,200,0
2014-06-19,16:55:00,44.6,44.6,44.55,44.59,1400,0
2014-06-19,17:00:00,44.56,44.59,44.56,44.58,1400,0
2014-06-19,17:05:00,44.57,44.61,44.57,44.6,900,0
2014-06-20,17:00:00,44.69,44.69,44.68,44.69,900,0
2014-06-20,17:05:00,44.71,44.71,44.67,44.67,3200,0
2014-06-20,17:10:00,44.69,44.7,44.68,44.69,1200,0
2014-06-20,18:35:00,44.69,44.69,44.63,44.63,800,0
2014-06-20,18:40:00,44.65,44.65,44.65,44.65,100,0
2014-06-23,17:25:00,44.56,44.6,44.56,44.57,1400,0
2014-06-23,17:30:00,44.59,44.59,44.56,44.57,1800,0
2014-06-23,18:00:00,44.52,44.52,44.52,44.52,1100,0
2014-06-23,18:25:00,44.49,44.49,44.49,44.49,100,0
2014-06-24,18:35:00,44.69,44.69,44.69,44.69,200,0
2014-06-24,18:50:00,44.67,44.69,44.67,44.69,200,0
