Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-22,15:35:00,23.75,23.75,23.7206,23.7206,16084,0
2015-07-22,15:40:00,23.75,23.75,23.7,23.7,2389,0
2015-07-22,15:45:00,23.69,23.711,23.69,23.711,2609,0
2015-07-22,15:50:00,23.69,23.7,23.69,23.697,1021,0
2015-07-22,15:55:00,23.6998,23.71,23.6998,23.705,5472,0
2015-07-22,16:00:00,23.715,23.7247,23.711,23.7247,2081,0
2015-07-22,16:05:00,23.701,23.718,23.68,23.682,1024,0
2015-07-22,16:10:00,23.6905,23.6905,23.682,23.682,1524,0
2015-07-22,16:15:00,23.704,23.704,23.685,23.69,3694,0
2015-07-22,16:20:00,23.683,23.698,23.68,23.698,6028,0
2015-07-22,16:25:00,23.708,23.708,23.68,23.68,400,0
2015-07-22,16:30:00,23.6802,23.6802,23.6802,23.6802,500,0
2015-07-22,16:35:00,23.668,23.668,23.662,23.662,355,0
2015-07-22,16:45:00,23.65,23.65,23.6435,23.649,6216,0
2015-07-22,16:50:00,23.64,23.645,23.64,23.64,700,0
2015-07-22,16:55:00,23.64,23.6595,23.64,23.6595,716,0
2015-07-22,17:00:00,23.68,23.68,23.68,23.68,100,0
2015-07-22,17:05:00,23.68,23.68,23.65,23.66,829,0
2015-07-22,17:10:00,23.658,23.668,23.65,23.65,766,0
2015-07-22,17:15:00,23.663,23.6699,23.663,23.6699,708,0
2015-07-22,17:20:00,23.648,23.6502,23.648,23.6502,1000,0
2015-07-22,17:30:00,23.632,23.65,23.63,23.64,40855,0
2015-07-22,17:35:00,23.635,23.66,23.635,23.65,29754,0
2015-07-22,17:40:00,23.6301,23.6301,23.6301,23.6301,253,0
2015-07-22,17:45:00,23.643,23.643,23.63,23.63,1009,0
2015-07-22,17:50:00,23.62,23.628,23.62,23.628,2329,0
2015-07-22,17:55:00,23.62,23.63,23.62,23.63,1460,0
2015-07-22,18:00:00,23.638,23.64,23.61,23.629,4805,0
2015-07-22,18:10:00,23.64,23.6438,23.63,23.6365,3324,0
2015-07-22,18:15:00,23.631,23.639,23.631,23.639,1000,0
