Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-23,15:35:00,18.67,18.74,18.67,18.72,16264,0
2015-07-23,15:40:00,18.73,18.7799,18.73,18.76,8868,0
2015-07-23,15:45:00,18.773,18.82,18.773,18.82,11226,0
2015-07-23,15:50:00,18.8,18.8371,18.8,18.81,8892,0
2015-07-23,15:55:00,18.81,18.85,18.81,18.8201,11868,0
2015-07-23,16:00:00,18.82,18.8565,18.82,18.84,10028,0
2015-07-23,16:05:00,18.84,18.87,18.82,18.82,12400,0
2015-07-23,16:10:00,18.85,18.86,18.8199,18.82,2260,0
2015-07-23,16:15:00,18.8,18.8,18.78,18.8,19060,0
2015-07-23,16:20:00,18.79,18.7942,18.78,18.78,2270,0
2015-07-23,16:25:00,18.77,18.77,18.76,18.7601,5596,0
2015-07-23,16:30:00,18.7552,18.77,18.73,18.73,27172,0
2015-07-23,16:35:00,18.751,18.76,18.7458,18.76,1483,0
2015-07-23,16:40:00,18.73,18.75,18.73,18.73,5500,0
2015-07-23,16:45:00,18.7201,18.75,18.7139,18.7401,12850,0
2015-07-23,16:50:00,18.76,18.76,18.74,18.74,2150,0
2015-07-23,16:55:00,18.7349,18.7349,18.7349,18.7349,3000,0
2015-07-23,17:00:00,18.7201,18.74,18.7201,18.74,2700,0
2015-07-23,17:05:00,18.74,18.74,18.7142,18.7142,6500,0
2015-07-23,17:10:00,18.7132,18.74,18.7132,18.73,4308,0
2015-07-23,17:15:00,18.74,18.76,18.74,18.76,1700,0
2015-07-23,17:20:00,18.7668,18.7999,18.7668,18.7965,5024,0
2015-07-23,17:25:00,18.8101,18.82,18.8101,18.82,400,0
2015-07-23,17:30:00,18.8268,18.8501,18.8268,18.8438,6535,0
2015-07-23,17:35:00,18.8573,18.8573,18.8399,18.8399,2000,0
2015-07-23,17:40:00,18.84,18.87,18.84,18.87,4200,0
2015-07-23,17:45:00,18.87,18.8801,18.8637,18.8637,5993,0
2015-07-23,17:50:00,18.88,18.91,18.88,18.8994,3250,0
2015-07-23,17:55:00,18.9199,18.94,18.9199,18.94,3937,0
2015-07-23,18:00:00,18.93,18.9795,18.93,18.95,15428,0
2015-07-23,18:05:00,18.96,19.0099,18.95,18.98,35014,0
2015-07-23,18:10:00,18.9901,19.0149,18.98,18.98,15234,0
2015-07-23,18:15:00,18.9801,19,18.9752,19,20590,0
2015-07-23,18:20:00,19,19.02,19,19,9550,0
2015-07-23,18:25:00,19.02,19.0301,19,19,10700,0
2015-07-23,18:30:00,19,19,18.9852,18.9901,7516,0
2015-07-23,18:35:00,19.01,19.01,18.9851,18.9851,9891,0
2015-07-23,18:40:00,18.9813,18.99,18.98,18.98,12454,0
2015-07-23,18:45:00,18.9832,18.987,18.98,18.98,2300,0
2015-07-23,18:50:00,18.9995,19.0138,18.9995,19.0138,900,0
2015-07-23,18:55:00,19.0201,19.04,19.0201,19.0399,5987,0
2015-07-23,19:00:00,19.023,19.023,19,19,3900,0
2015-07-23,19:05:00,19.0014,19.0014,18.99,18.99,9833,0
2015-07-23,19:10:00,18.98,18.9962,18.98,18.99,2500,0
2015-07-23,19:15:00,18.99,19.01,18.99,19.01,3300,0
2015-07-23,19:20:00,19.0158,19.02,19,19,2200,0
2015-07-23,19:25:00,19.01,19.03,19.01,19.03,2600,0
2015-07-23,19:30:00,19.04,19.05,19.039,19.05,5150,0
2015-07-23,19:35:00,19.02,19.02,19.02,19.02,200,0
2015-07-23,19:40:00,19.03,19.05,19.0261,19.05,4700,0
2015-07-23,19:45:00,19.03,19.0301,19.02,19.02,6900,0
2015-07-23,19:50:00,19.02,19.02,18.98,18.98,11900,0
2015-07-23,19:55:00,18.985,18.985,18.93,18.93,17260,0
2015-07-23,20:00:00,18.9328,18.9328,18.9201,18.93,8026,0
2015-07-23,20:05:00,18.94,18.95,18.94,18.95,6130,0
2015-07-23,20:10:00,18.95,18.964,18.95,18.96,7100,0
2015-07-23,20:15:00,18.97,18.99,18.97,18.97,4200,0
2015-07-23,20:20:00,18.96,18.9699,18.96,18.96,3189,0
2015-07-23,20:25:00,18.9676,19,18.9676,18.9968,2642,0
2015-07-23,20:30:00,18.9859,18.99,18.97,18.97,14600,0
2015-07-23,20:35:00,18.96,18.97,18.96,18.97,13900,0
2015-07-23,20:40:00,18.96,18.97,18.931,18.94,5250,0
2015-07-23,20:45:00,18.95,18.95,18.95,18.95,900,0
2015-07-23,20:50:00,18.96,18.99,18.96,18.99,10461,0
2015-07-23,20:55:00,18.98,19.07,18.98,19.07,9467,0
2015-07-23,21:00:00,19.07,19.0799,19.05,19.054,6180,0
2015-07-23,21:05:00,19.07,19.08,19.06,19.0799,3900,0
