Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-06-30,15:35:00,114.48,114.48,114.35,114.35,1360,0
2015-06-30,15:40:00,114.3879,114.49,114.3879,114.49,810,0
2015-06-30,16:00:00,114.466,114.466,114.45,114.45,462,0
2015-06-30,16:10:00,114.4501,114.515,114.4501,114.515,500,0
2015-06-30,16:15:00,114.52,114.52,114.52,114.52,100,0
2015-06-30,16:20:00,114.52,114.52,114.51,114.51,331,0
2015-06-30,16:25:00,114.445,114.445,114.445,114.445,135,0
2015-06-30,16:35:00,114.46,114.46,114.4244,114.44,573,0
2015-06-30,16:40:00,114.45,114.45,114.45,114.45,100,0
2015-06-30,16:55:00,114.4552,114.4552,114.4552,114.4552,204,0
2015-06-30,17:00:00,114.4001,114.4001,114.338,114.38,700,0
2015-06-30,17:05:00,114.23,114.23,114.08,114.18,5000,0
2015-06-30,17:20:00,114.31,114.31,114.31,114.31,100,0
2015-06-30,17:30:00,114.45,114.61,114.44,114.44,3308,0
2015-06-30,17:35:00,114.66,114.67,114.64,114.64,2200,0
2015-06-30,17:45:00,114.66,114.66,114.66,114.66,100,0
2015-06-30,18:00:00,114.64,114.64,114.64,114.64,100,0
2015-06-30,18:05:00,115.2,115.2,115.154,115.17,596,0
2015-06-30,18:15:00,115.15,115.15,115.15,115.15,100,0
2015-06-30,18:30:00,115,115,115,115,180,0
2015-06-30,18:35:00,115.0499,115.0499,114.9442,114.9442,400,0
2015-06-30,18:40:00,114.88,114.88,114.88,114.88,100,0
2015-06-30,18:45:00,114.88,114.88,114.88,114.88,189,0
2015-06-30,18:50:00,114.9,114.9,114.9,114.9,295,0
2015-06-30,18:55:00,114.9312,114.9312,114.9312,114.9312,100,0
2015-06-30,19:00:00,114.86,114.88,114.86,114.88,200,0
2015-06-30,19:15:00,114.73,114.73,114.73,114.73,500,0
2015-06-30,19:25:00,114.74,114.745,114.74,114.745,700,0
2015-06-30,19:30:00,114.7075,114.7075,114.66,114.665,874,0
2015-06-30,19:35:00,114.62,114.62,114.62,114.62,100,0
2015-06-30,19:40:00,114.595,114.595,114.595,114.595,432,0
2015-06-30,19:45:00,114.63,114.63,114.63,114.63,215,0
2015-06-30,20:00:00,114.64,114.64,114.64,114.64,100,0
2015-06-30,20:20:00,114.69,114.69,114.69,114.69,100,0
