Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-07-20,15:35:00,7.1709,7.26,7.1,7.1304,25723,0
2015-07-20,15:40:00,7.14,7.16,7.12,7.1396,21238,0
2015-07-20,15:45:00,7.17,7.17,7.12,7.13,7400,0
2015-07-20,15:50:00,7.1359,7.1359,7.08,7.08,23900,0
2015-07-20,15:55:00,7.09,7.1,7.08,7.09,10900,0
2015-07-20,16:00:00,7.0801,7.09,7.05,7.0636,24560,0
2015-07-20,16:05:00,7.05,7.05,7.01,7.02,8946,0
2015-07-20,16:10:00,7.01,7.01,6.99,7.0001,12748,0
2015-07-20,16:15:00,7.03,7.04,7.02,7.03,33694,0
2015-07-20,16:20:00,7.03,7.03,7.0068,7.02,7483,0
2015-07-20,16:25:00,7,7.02,7,7.01,3150,0
2015-07-20,16:30:00,7.0065,7.02,7.0027,7.02,3275,0
2015-07-20,16:35:00,7.02,7.03,7,7,2400,0
2015-07-20,16:40:00,7,7,6.9699,6.98,49093,0
2015-07-20,16:45:00,6.98,6.98,6.96,6.97,6600,0
2015-07-20,16:50:00,6.97,6.98,6.96,6.98,13093,0
2015-07-20,16:55:00,6.9736,7,6.97,7,7250,0
2015-07-20,17:00:00,7,7,6.99,6.99,1640,0
2015-07-20,17:05:00,6.99,7.01,6.99,7,10050,0
2015-07-20,17:10:00,7.0086,7.04,7.0086,7.03,15800,0
2015-07-20,17:15:00,7.0299,7.05,7.0299,7.04,4540,0
2015-07-20,17:20:00,7.0636,7.09,7.0636,7.07,7451,0
2015-07-20,17:25:00,7.06,7.06,7.0401,7.0448,5631,0
2015-07-20,17:30:00,7.05,7.06,7.0401,7.06,1800,0
2015-07-20,17:35:00,7.0525,7.06,7.04,7.04,3400,0
2015-07-20,17:40:00,7.06,7.06,7.05,7.05,1050,0
2015-07-20,17:45:00,7.0699,7.0699,7.04,7.04,1270,0
2015-07-20,17:50:00,7.0201,7.0255,7.0201,7.0228,1919,0
2015-07-20,17:55:00,7.03,7.03,7.03,7.03,900,0
2015-07-20,18:00:00,7.0201,7.04,7.02,7.02,15800,0
2015-07-20,18:10:00,7.0371,7.0468,7.03,7.0321,2015,0
2015-07-20,18:15:00,7.0399,7.0399,7.02,7.02,4100,0
2015-07-20,18:20:00,7.03,7.04,7.03,7.04,200,0
2015-07-20,18:25:00,7.0301,7.0301,7.0301,7.0301,2500,0
2015-07-20,18:30:00,7.03,7.03,7.02,7.02,600,0
2015-07-20,18:35:00,7.02,7.02,7.01,7.0198,4139,0
2015-07-20,18:40:00,7.01,7.01,7.01,7.01,100,0
2015-07-20,18:45:00,7.02,7.02,7.01,7.01,300,0
2015-07-20,18:50:00,7.0172,7.0172,7.0172,7.0172,3000,0
2015-07-20,18:55:00,7.0199,7.0199,7.0199,7.0199,400,0
2015-07-20,19:00:00,7.01,7.01,7,7.0001,1550,0
2015-07-20,19:05:00,7.01,7.01,7.0051,7.0051,2100,0
2015-07-20,19:10:00,7.0001,7.02,7,7,1505,0
2015-07-20,19:15:00,7.0102,7.0102,7.0102,7.0102,100,0
2015-07-20,19:20:00,7.0099,7.01,7,7.0038,3150,0
2015-07-20,19:25:00,7.0065,7.01,7,7.0001,1940,0
2015-07-20,19:30:00,7,7.01,7,7,9650,0
2015-07-20,19:35:00,7,7,6.9979,6.9979,1350,0
2015-07-20,19:40:00,7,7,7,7,400,0
2015-07-20,19:45:00,6.9951,6.9951,6.9801,6.9801,2652,0
2015-07-20,19:50:00,6.9945,6.9945,6.9945,6.9945,100,0
2015-07-20,19:55:00,7,7,6.98,6.98,6298,0
2015-07-20,20:00:00,6.98,6.99,6.97,6.97,3748,0
2015-07-20,20:05:00,6.97,6.98,6.9612,6.9612,4700,0
2015-07-20,20:10:00,6.98,6.98,6.97,6.97,24400,0
2015-07-20,20:15:00,6.96,6.98,6.96,6.96,5035,0
